,Whose Me Mum,Aldebaran Leroy,Krakuer,Arrjays Trapper,Majestic Speed,Buslin Brody,So Vogue
11-01-2023 21:18:16.811276,"(9.0, 14.5, 13.375)","(31.0, 65.0, 54.54545454545455)","(12.0, 21.0, 16.714285714285715)","(11.0, 17.5, 16.0)","(2.2, 2.98, 2.932)","(20.0, 42.0, 30.857142857142858)","(2.05, 2.56, 2.473846153846154)"
11-01-2023 21:18:18.016499,"(9.0, 14.5, 13.375)","(31.0, 65.0, 54.54545454545455)","(12.0, 21.0, 16.714285714285715)","(11.0, 17.5, 16.0)","(2.2, 2.98, 2.932)","(20.0, 42.0, 30.857142857142858)","(2.05, 2.56, 2.473846153846154)"
11-01-2023 21:18:19.218794,"(9.0, 14.5, 13.375)","(31.0, 65.0, 54.54545454545455)","(12.0, 21.0, 16.714285714285715)","(11.0, 17.5, 16.0)","(2.2, 2.98, 2.932)","(20.0, 42.0, 30.857142857142858)","(2.05, 2.56, 2.473846153846154)"
11-01-2023 21:18:20.406990,"(9.0, 14.5, 13.375)","(31.0, 65.0, 54.54545454545455)","(12.0, 21.0, 16.714285714285715)","(11.0, 17.5, 16.0)","(2.2, 2.98, 2.932)","(20.0, 42.0, 30.857142857142858)","(2.05, 2.56, 2.473846153846154)"
11-01-2023 21:18:21.522433,"(9.0, 14.5, 13.375)","(31.0, 65.0, 54.54545454545455)","(12.0, 21.0, 16.714285714285715)","(11.0, 17.5, 16.0)","(2.2, 2.98, 2.77)","(20.0, 42.0, 30.857142857142858)","(2.05, 2.56, 2.49)"
11-01-2023 21:18:22.739781,"(9.0, 14.5, 13.375)","(31.0, 65.0, 54.54545454545455)","(12.0, 21.0, 16.714285714285715)","(11.0, 17.5, 16.0)","(2.2, 2.98, 2.77)","(20.0, 42.0, 30.857142857142858)","(2.05, 2.56, 2.49)"
11-01-2023 21:18:23.933762,"(9.0, 14.5, 13.375)","(31.0, 60.0, 51.111111111111114)","(12.0, 21.0, 16.714285714285715)","(11.0, 17.5, 14.125)","(2.2, 2.94, 2.6815384615384614)","(20.0, 38.0, 30.5)","(2.05, 2.6, 2.4904109589041097)"
11-01-2023 21:18:25.114201,"(9.0, 14.5, 13.375)","(31.0, 60.0, 51.25)","(12.0, 21.0, 16.833333333333332)","(11.0, 18.0, 14.25)","(2.2, 2.94, 2.7423529411764704)","(20.0, 38.0, 30.5)","(2.05, 2.6, 2.4904109589041097)"
11-01-2023 21:18:26.408339,"(9.0, 14.5, 13.375)","(31.0, 60.0, 51.25)","(12.0, 21.0, 16.833333333333332)","(11.0, 18.0, 14.25)","(2.2, 2.94, 2.7)","(20.0, 38.0, 30.5)","(2.05, 2.6, 2.4904109589041097)"
11-01-2023 21:18:27.888917,"(9.0, 14.5, 13.375)","(31.0, 60.0, 51.25)","(12.0, 21.0, 16.833333333333332)","(11.0, 18.0, 14.25)","(2.2, 2.94, 2.7)","(20.0, 38.0, 30.5)","(2.05, 2.6, 2.4904109589041097)"
11-01-2023 21:18:28.995768,"(9.0, 14.5, 13.375)","(31.0, 60.0, 51.25)","(12.0, 21.0, 16.833333333333332)","(11.0, 18.0, 14.25)","(2.2, 2.94, 2.7)","(20.0, 38.0, 30.5)","(2.05, 2.6, 2.4840579710144928)"
11-01-2023 21:18:30.317710,"(9.0, 14.5, 13.375)","(31.0, 60.0, 51.25)","(12.0, 21.0, 16.833333333333332)","(11.0, 18.0, 14.25)","(2.2, 2.94, 2.7)","(20.0, 38.0, 30.5)","(2.05, 2.6, 2.4840579710144928)"
11-01-2023 21:18:31.557937,"(9.0, 14.5, 13.375)","(31.0, 60.0, 51.25)","(12.0, 21.0, 16.833333333333332)","(11.0, 18.0, 14.25)","(2.2, 2.94, 2.7333333333333334)","(20.0, 38.0, 30.5)","(2.05, 2.6, 2.9908045977011493)"
11-01-2023 21:18:32.794504,"(9.0, 14.5, 13.375)","(31.0, 60.0, 51.25)","(12.0, 21.0, 16.833333333333332)","(11.0, 18.0, 14.25)","(2.2, 2.92, 2.787)","(20.0, 38.0, 30.166666666666668)","(2.05, 3.0, 2.924)"
11-01-2023 21:18:34.066322,"(9.0, 14.5, 13.375)","(31.0, 55.0, 49.0)","(12.0, 21.0, 18.5)","(11.0, 18.0, 14.25)","(2.2, 2.92, 2.8214814814814813)","(20.0, 36.0, 29.77777777777778)","(2.05, 2.94, 2.8858823529411763)"
11-01-2023 21:18:35.287824,"(9.0, 14.5, 13.375)","(31.0, 55.0, 50.5)","(12.0, 21.0, 23.2)","(11.0, 18.0, 14.25)","(2.2, 2.92, 2.8181818181818183)","(20.0, 36.0, 29.333333333333332)","(2.05, 2.9, 2.727692307692308)"
11-01-2023 21:18:36.385472,"(9.0, 14.5, 13.375)","(31.0, 50.0, 48.0)","(12.0, 25.0, 20.5)","(11.0, 18.0, 14.25)","(2.2, 2.9, 2.7111111111111112)","(20.0, 36.0, 31.333333333333332)","(2.05, 2.9, 2.70125)"
11-01-2023 21:18:37.446061,"(9.0, 14.0, 13.125)","(31.0, 50.0, 48.0)","(12.0, 25.0, 20.5)","(11.0, 18.0, 14.25)","(2.2, 2.9, 2.7022222222222223)","(20.0, 34.0, 29.0)","(2.05, 2.88, 2.70125)"
11-01-2023 21:18:38.565888,"(9.0, 14.0, 13.125)","(31.0, 50.0, 50.0)","(12.0, 25.0, 21.2)","(11.0, 18.0, 14.5)","(2.2, 2.88, 2.816)","(20.0, 34.0, 29.0)","(2.05, 2.88, 2.668)"
11-01-2023 21:18:39.664650,"(9.0, 14.0, 13.125)","(31.0, 55.0, 50.0)","(12.0, 24.0, 20.0)","(11.0, 17.5, 14.5)","(2.2, 2.88, 2.848)","(20.0, 34.0, 29.0)","(2.05, 2.86, 2.646666666666667)"
11-01-2023 21:18:40.790956,"(9.0, 14.0, 13.125)","(31.0, 85.0, 77.2)","(12.0, 24.0, 21.0)","(11.0, 17.0, 13.0625)","(2.2, 2.92, 2.862222222222222)","(20.0, 34.0, 29.0)","(2.05, 2.86, 2.664)"
11-01-2023 21:18:41.887908,"(9.0, 14.0, 13.125)","(31.0, 75.0, 69.2)","(12.0, 23.0, 19.15)","(11.0, 17.0, 13.0625)","(2.2, 2.9, 2.844444444444444)","(20.0, 34.0, 29.0)","(2.05, 2.84, 2.6475)"
11-01-2023 21:18:42.962029,"(9.0, 14.0, 13.125)","(31.0, 75.0, 69.2)","(12.0, 23.0, 19.15)","(11.0, 17.0, 13.0625)","(2.2, 2.88, 2.6244444444444444)","(20.0, 34.0, 26.5)","(2.05, 2.84, 2.6475)"
11-01-2023 21:18:44.032587,"(9.0, 14.0, 13.125)","(31.0, 70.0, 62.0)","(12.0, 23.0, 20.25)","(11.0, 17.0, 13.0625)","(2.2, 2.68, 2.641538461538462)","(20.0, 34.0, 26.5)","(2.05, 2.84, 2.6475)"
11-01-2023 21:18:45.173817,"(9.0, 14.0, 13.125)","(31.0, 70.0, 56.666666666666664)","(12.0, 23.0, 20.25)","(11.0, 17.0, 13.0625)","(2.2, 2.68, 2.641538461538462)","(20.0, 34.0, 26.5)","(2.05, 2.84, 2.6475)"
11-01-2023 21:18:46.345697,"(9.0, 14.0, 13.125)","(31.0, 70.0, 56.666666666666664)","(12.0, 23.0, 20.25)","(11.0, 17.0, 13.0625)","(2.2, 2.68, 2.902222222222222)","(20.0, 34.0, 29.833333333333336)","(2.05, 2.84, 2.6383333333333336)"
11-01-2023 21:18:47.588299,"(9.0, 14.0, 13.045454545454545)","(31.0, 70.0, 55.0)","(12.0, 23.0, 20.25)","(11.0, 17.0, 13.0625)","(2.2, 2.92, 2.902222222222222)","(20.0, 34.0, 27.733333333333334)","(2.05, 2.84, 2.6383333333333336)"
11-01-2023 21:18:48.833815,"(9.0, 14.0, 13.045454545454545)","(31.0, 70.0, 55.0)","(12.0, 23.0, 20.25)","(11.0, 17.0, 13.0625)","(2.2, 2.92, 2.902222222222222)","(20.0, 32.0, 27.733333333333334)","(2.05, 2.84, 2.6383333333333336)"
11-01-2023 21:18:50.026800,"(9.0, 14.0, 13.045454545454545)","(31.0, 70.0, 55.0)","(12.0, 23.0, 20.125)","(11.0, 17.0, 13.0625)","(2.2, 2.92, 2.908)","(20.0, 32.0, 27.733333333333334)","(2.05, 2.84, 2.66)"
11-01-2023 21:18:51.172758,"(9.0, 14.0, 13.045454545454545)","(31.0, 70.0, 55.0)","(12.0, 22.0, 20.125)","(11.0, 17.0, 13.0625)","(2.2, 2.98, 2.912)","(20.0, 32.0, 27.733333333333334)","(2.05, 2.82, 2.6422222222222222)"
11-01-2023 21:18:52.266360,"(9.0, 14.0, 13.045454545454545)","(31.0, 70.0, 55.0)","(12.0, 22.0, 20.125)","(11.0, 17.0, 13.0625)","(2.2, 2.98, 2.912)","(20.0, 32.0, 27.733333333333334)","(2.05, 2.82, 2.6422222222222222)"
11-01-2023 21:18:53.349689,"(9.0, 14.0, 13.045454545454545)","(31.0, 70.0, 55.0)","(12.0, 22.0, 20.125)","(11.0, 17.0, 13.0625)","(2.2, 2.98, 2.912)","(20.0, 32.0, 27.733333333333334)","(2.05, 2.82, 2.6422222222222222)"
11-01-2023 21:18:54.457632,"(9.0, 14.0, 13.045454545454545)","(31.0, 70.0, 55.0)","(12.0, 22.0, 22.3125)","(11.0, 17.0, 13.0625)","(2.2, 2.98, 2.912)","(20.0, 32.0, 29.6)","(2.05, 2.82, 2.6422222222222222)"
11-01-2023 21:18:55.641497,"(9.0, 14.0, 13.045454545454545)","(31.0, 70.0, 55.0)","(12.0, 23.0, 22.3125)","(11.0, 17.0, 13.0625)","(2.2, 2.98, 2.912)","(20.0, 32.0, 29.6)","(2.05, 2.82, 2.6422222222222222)"
11-01-2023 21:18:56.822630,"(9.0, 14.0, 13.045454545454545)","(31.0, 70.0, 53.125)","(12.0, 23.0, 22.3125)","(11.0, 17.0, 13.0625)","(2.2, 2.98, 2.7911111111111113)","(20.0, 32.0, 29.6)","(2.05, 2.82, 2.6422222222222222)"
11-01-2023 21:18:58.016933,"(9.0, 14.0, 13.045454545454545)","(31.0, 65.0, 53.125)","(12.0, 23.0, 22.3125)","(11.0, 17.0, 13.25)","(2.2, 2.98, 2.7533333333333334)","(20.0, 32.0, 29.6)","(2.05, 2.82, 2.6422222222222222)"
11-01-2023 21:18:59.124598,"(9.0, 14.0, 13.045454545454545)","(31.0, 65.0, 57.4)","(12.0, 23.0, 22.3125)","(11.0, 17.0, 13.25)","(2.2, 2.98, 2.7680000000000002)","(20.0, 32.0, 29.6)","(2.05, 2.82, 2.6422222222222222)"
11-01-2023 21:19:00.251912,"(9.0, 14.0, 13.045454545454545)","(31.0, 60.0, 51.25)","(12.0, 23.0, 22.3125)","(11.0, 17.0, 13.25)","(2.2, 2.96, 2.7384615384615385)","(20.0, 32.0, 29.6)","(2.05, 2.82, 2.6422222222222222)"
11-01-2023 21:19:01.386418,"(9.0, 14.0, 13.045454545454545)","(31.0, 60.0, 54.4)","(12.0, 23.0, 22.3125)","(11.0, 17.0, 13.25)","(2.2, 2.96, 2.8372727272727274)","(20.0, 32.0, 29.6)","(2.05, 2.82, 2.6422222222222222)"
11-01-2023 21:19:02.505034,"(9.0, 14.0, 13.045454545454545)","(31.0, 60.0, 54.4)","(12.0, 23.0, 22.3125)","(11.0, 17.0, 13.25)","(2.2, 2.96, 2.7666666666666666)","(20.0, 32.0, 29.6)","(2.05, 2.82, 2.68)"
11-01-2023 21:19:03.683331,"(9.0, 14.0, 13.045454545454545)","(31.0, 60.0, 51.25)","(12.0, 23.0, 22.3125)","(11.0, 16.5, 15.166666666666666)","(2.2, 2.94, 2.7666666666666666)","(20.0, 32.0, 29.6)","(2.05, 2.8, 2.68)"
11-01-2023 21:19:04.858420,"(9.0, 14.0, 13.045454545454545)","(31.0, 60.0, 51.25)","(12.0, 23.0, 22.3125)","(11.0, 16.5, 15.166666666666666)","(2.2, 2.94, 2.7666666666666666)","(20.0, 32.0, 29.6)","(2.05, 2.8, 2.68)"
11-01-2023 21:19:06.042174,"(9.0, 14.0, 13.045454545454545)","(31.0, 60.0, 51.25)","(12.0, 23.0, 22.3125)","(11.0, 16.5, 15.166666666666666)","(2.2, 2.94, 2.7666666666666666)","(20.0, 32.0, 29.6)","(2.05, 2.8, 2.68)"
11-01-2023 21:19:07.211887,"(9.0, 14.0, 13.045454545454545)","(31.0, 60.0, 51.25)","(12.0, 23.0, 22.3125)","(11.0, 16.5, 15.166666666666666)","(2.2, 2.94, 2.7666666666666666)","(20.0, 32.0, 27.8)","(2.05, 2.8, 2.623809523809524)"
11-01-2023 21:19:08.335620,"(9.0, 14.0, 13.357142857142858)","(31.0, 60.0, 51.25)","(12.0, 23.0, 22.3125)","(11.0, 16.5, 15.166666666666666)","(2.2, 2.94, 2.7666666666666666)","(20.0, 32.0, 29.428571428571427)","(2.05, 2.7, 2.626666666666667)"
11-01-2023 21:19:09.421988,"(9.0, 14.0, 13.357142857142858)","(31.0, 60.0, 51.25)","(12.0, 23.0, 22.3125)","(11.0, 16.5, 15.166666666666666)","(2.2, 2.94, 2.875)","(20.0, 32.0, 29.666666666666668)","(2.05, 2.68, 2.624615384615385)"
11-01-2023 21:19:10.423402,"(9.0, 14.0, 13.357142857142858)","(31.0, 60.0, 51.25)","(12.0, 23.0, 22.3125)","(11.0, 16.5, 15.166666666666666)","(2.2, 2.94, 2.875)","(20.0, 32.0, 29.666666666666668)","(2.05, 2.68, 2.624615384615385)"
11-01-2023 21:19:11.510386,"(9.0, 14.0, 13.357142857142858)","(31.0, 60.0, 51.25)","(12.0, 23.0, 22.3125)","(11.0, 16.5, 15.166666666666666)","(2.2, 2.94, 2.875)","(20.0, 32.0, 29.666666666666668)","(2.05, 2.68, 2.624615384615385)"
11-01-2023 21:19:12.652452,"(9.0, 14.0, 13.357142857142858)","(31.0, 60.0, 51.25)","(12.0, 23.0, 22.3125)","(11.0, 16.5, 15.166666666666666)","(2.2, 2.94, 2.875)","(20.0, 32.0, 29.666666666666668)","(2.05, 2.68, 2.624615384615385)"
11-01-2023 21:19:13.770221,"(9.0, 14.0, 13.357142857142858)","(31.0, 60.0, 51.25)","(12.0, 23.0, 22.3125)","(11.0, 16.5, 15.166666666666666)","(2.2, 2.94, 2.875)","(20.0, 32.0, 30.25)","(2.05, 2.68, 2.624615384615385)"
11-01-2023 21:19:14.876769,"(9.0, 14.0, 13.357142857142858)","(31.0, 60.0, 51.25)","(12.0, 23.0, 22.3125)","(11.0, 16.5, 15.166666666666666)","(2.2, 2.94, 2.875)","(20.0, 32.0, 30.25)","(2.05, 2.68, 2.624615384615385)"
11-01-2023 21:19:15.984750,"(9.0, 14.0, 13.357142857142858)","(31.0, 60.0, 53.0)","(12.0, 23.0, 22.3125)","(11.0, 16.5, 15.166666666666666)","(2.2, 2.94, 2.875)","(20.0, 32.0, 30.25)","(2.05, 2.68, 2.624615384615385)"
11-01-2023 21:19:17.144207,"(9.0, 14.0, 13.357142857142858)","(31.0, 60.0, 53.0)","(12.0, 23.0, 22.3125)","(11.0, 16.5, 15.166666666666666)","(2.2, 2.94, 2.875)","(20.0, 32.0, 30.25)","(2.05, 2.68, 2.624615384615385)"
11-01-2023 21:19:18.268731,"(9.0, 14.0, 13.357142857142858)","(31.0, 60.0, 53.0)","(12.0, 23.0, 22.3125)","(11.0, 16.5, 13.785714285714286)","(2.2, 2.94, 2.902857142857143)","(20.0, 32.0, 30.25)","(2.05, 2.68, 2.624615384615385)"
11-01-2023 21:19:19.449593,"(9.0, 14.0, 13.357142857142858)","(31.0, 60.0, 53.0)","(12.0, 23.0, 22.3125)","(11.0, 17.0, 15.26923076923077)","(2.2, 2.94, 2.902857142857143)","(20.0, 32.0, 30.25)","(2.05, 2.68, 2.624615384615385)"
11-01-2023 21:19:20.687150,"(9.0, 14.0, 13.357142857142858)","(31.0, 60.0, 53.0)","(12.0, 23.0, 22.3125)","(11.0, 17.0, 15.26923076923077)","(2.2, 2.94, 2.9228571428571426)","(20.0, 32.0, 30.25)","(2.05, 2.68, 2.624615384615385)"
11-01-2023 21:19:21.845786,"(9.0, 14.0, 13.357142857142858)","(31.0, 60.0, 53.0)","(12.0, 23.0, 22.3125)","(11.0, 17.0, 15.26923076923077)","(2.2, 2.94, 2.9228571428571426)","(20.0, 32.0, 30.25)","(2.05, 2.68, 2.624615384615385)"
11-01-2023 21:19:23.010814,"(9.0, 14.0, 13.357142857142858)","(31.0, 85.0, 68.75)","(12.0, 23.0, 22.3125)","(11.0, 17.0, 15.26923076923077)","(2.2, 2.94, 2.9228571428571426)","(20.0, 32.0, 30.25)","(2.05, 2.68, 2.624615384615385)"
11-01-2023 21:19:24.216214,"(9.0, 14.0, 13.357142857142858)","(31.0, 80.0, 64.0)","(12.0, 23.0, 22.3125)","(11.0, 17.0, 15.26923076923077)","(2.2, 2.94, 2.9228571428571426)","(20.0, 32.0, 29.666666666666668)","(2.05, 2.68, 2.624615384615385)"
11-01-2023 21:19:25.405051,"(9.0, 16.0, 13.692307692307692)","(31.0, 80.0, 61.25)","(12.0, 23.0, 18.40740740740741)","(11.0, 17.0, 15.26923076923077)","(2.2, 2.94, 2.9228571428571426)","(20.0, 32.0, 29.666666666666668)","(2.05, 2.68, 2.624615384615385)"
11-01-2023 21:19:26.599512,"(9.0, 16.0, 13.692307692307692)","(31.0, 80.0, 61.25)","(12.0, 21.0, 18.40740740740741)","(11.0, 17.0, 15.26923076923077)","(2.2, 2.94, 2.9228571428571426)","(20.0, 32.0, 29.666666666666668)","(2.05, 2.68, 2.6244444444444444)"
11-01-2023 21:19:27.685567,"(9.0, 16.0, 13.692307692307692)","(31.0, 80.0, 66.36363636363636)","(12.0, 21.0, 18.40740740740741)","(11.0, 17.0, 15.26923076923077)","(2.2, 2.94, 2.8642105263157895)","(20.0, 32.0, 29.666666666666668)","(2.05, 2.66, 2.6244444444444444)"
11-01-2023 21:19:28.819576,"(9.0, 16.0, 13.692307692307692)","(31.0, 80.0, 66.36363636363636)","(12.0, 21.0, 18.75)","(11.0, 17.0, 15.26923076923077)","(2.2, 2.94, 2.841818181818182)","(20.0, 32.0, 29.666666666666668)","(2.05, 2.66, 2.6244444444444444)"
11-01-2023 21:19:30.066963,"(9.0, 16.0, 13.692307692307692)","(31.0, 80.0, 63.63636363636364)","(12.0, 20.0, 18.75)","(11.0, 17.0, 15.26923076923077)","(2.2, 2.94, 2.841818181818182)","(20.0, 32.0, 27.727272727272727)","(2.05, 2.66, 2.6244444444444444)"
11-01-2023 21:19:31.309764,"(9.0, 16.0, 13.692307692307692)","(31.0, 75.0, 60.90909090909091)","(12.0, 20.0, 19.055555555555557)","(11.0, 17.0, 15.26923076923077)","(2.2, 2.94, 2.841818181818182)","(20.0, 30.0, 39.57142857142857)","(2.05, 2.66, 2.6244444444444444)"
11-01-2023 21:19:32.484767,"(9.0, 15.5, 14.25)","(31.0, 70.0, 60.90909090909091)","(12.0, 19.5, 19.055555555555557)","(11.0, 17.0, 15.125)","(2.2, 2.94, 2.841818181818182)","(20.0, 42.0, 39.57142857142857)","(2.05, 2.66, 2.6244444444444444)"
11-01-2023 21:19:33.608624,"(9.0, 15.5, 13.75)","(31.0, 70.0, 60.90909090909091)","(12.0, 19.5, 19.055555555555557)","(11.0, 17.0, 15.125)","(2.2, 2.94, 2.841818181818182)","(20.0, 42.0, 34.0)","(2.05, 2.66, 2.6244444444444444)"
11-01-2023 21:19:34.701493,"(9.0, 15.5, 13.75)","(31.0, 70.0, 60.90909090909091)","(12.0, 19.5, 19.055555555555557)","(11.0, 17.0, 15.125)","(2.2, 2.94, 2.841818181818182)","(20.0, 42.0, 31.6)","(2.05, 2.66, 2.6244444444444444)"
11-01-2023 21:19:35.799930,"(9.0, 15.5, 13.75)","(31.0, 70.0, 60.90909090909091)","(12.0, 19.5, 19.055555555555557)","(11.0, 17.0, 13.25)","(2.2, 2.94, 2.841818181818182)","(20.0, 40.0, 31.6)","(2.05, 2.66, 2.6244444444444444)"
11-01-2023 21:19:36.872685,"(9.0, 15.5, 13.75)","(31.0, 70.0, 60.90909090909091)","(12.0, 19.5, 19.055555555555557)","(11.0, 17.0, 12.666666666666666)","(2.2, 2.94, 2.841818181818182)","(20.0, 40.0, 31.6)","(2.05, 2.66, 2.6244444444444444)"
11-01-2023 21:19:37.915374,"(9.0, 15.5, 13.75)","(31.0, 70.0, 60.90909090909091)","(12.0, 19.5, 19.055555555555557)","(11.0, 16.0, 12.666666666666666)","(2.2, 2.94, 2.841818181818182)","(20.0, 40.0, 31.6)","(2.05, 2.66, 2.628)"
11-01-2023 21:19:39.013973,"(9.0, 15.5, 13.75)","(31.0, 70.0, 60.90909090909091)","(12.0, 19.5, 19.055555555555557)","(11.0, 16.0, 12.645833333333334)","(2.2, 2.94, 2.8773913043478263)","(20.0, 40.0, 31.6)","(2.05, 2.66, 2.625)"
11-01-2023 21:19:40.108033,"(9.0, 15.5, 13.75)","(31.0, 70.0, 60.90909090909091)","(12.0, 19.5, 18.666666666666668)","(11.0, 16.0, 12.619047619047619)","(2.2, 2.94, 2.8773913043478263)","(20.0, 40.0, 31.6)","(2.05, 2.64, 2.625)"
11-01-2023 21:19:41.251858,"(9.0, 15.0, 13.666666666666666)","(31.0, 70.0, 60.90909090909091)","(12.0, 19.5, 18.666666666666668)","(11.0, 15.0, 12.604166666666666)","(2.2, 2.94, 2.8773913043478263)","(20.0, 40.0, 31.6)","(2.05, 2.64, 2.625)"
11-01-2023 21:19:42.364192,"(9.0, 15.0, 13.666666666666666)","(31.0, 70.0, 60.90909090909091)","(12.0, 19.5, 18.666666666666668)","(11.0, 15.0, 12.604166666666666)","(2.2, 2.94, 2.8773913043478263)","(20.0, 40.0, 31.6)","(2.05, 2.64, 2.625)"
11-01-2023 21:19:43.415625,"(9.0, 15.0, 13.666666666666666)","(31.0, 70.0, 60.90909090909091)","(12.0, 19.5, 18.666666666666668)","(11.0, 15.0, 12.604166666666666)","(2.2, 2.94, 2.8773913043478263)","(20.0, 40.0, 31.6)","(2.05, 2.64, 2.625)"
11-01-2023 21:19:44.481252,"(9.0, 15.0, 13.666666666666666)","(31.0, 65.0, 58.18181818181818)","(12.0, 19.0, 18.375)","(11.0, 15.0, 12.604166666666666)","(2.2, 2.94, 2.8773913043478263)","(20.0, 40.0, 31.6)","(2.05, 2.64, 2.625)"
11-01-2023 21:19:45.650683,"(9.0, 15.5, 13.833333333333334)","(31.0, 65.0, 58.18181818181818)","(12.0, 19.0, 18.375)","(11.0, 15.0, 12.604166666666666)","(2.2, 2.94, 2.8773913043478263)","(20.0, 40.0, 31.6)","(2.05, 2.64, 2.625)"
11-01-2023 21:19:46.871783,"(9.0, 15.5, 13.625)","(31.0, 65.0, 56.42857142857143)","(12.0, 19.0, 18.375)","(11.0, 15.0, 12.604166666666666)","(2.2, 2.94, 2.8773913043478263)","(20.0, 40.0, 31.6)","(2.05, 2.64, 2.625)"
11-01-2023 21:19:48.077673,"(9.0, 15.5, 13.833333333333334)","(31.0, 65.0, 56.42857142857143)","(12.0, 19.0, 18.375)","(11.0, 15.0, 12.604166666666666)","(2.2, 2.94, 2.8080000000000003)","(20.0, 40.0, 32.0)","(2.05, 2.64, 2.625)"
11-01-2023 21:19:49.276783,"(9.0, 15.5, 13.833333333333334)","(31.0, 65.0, 56.42857142857143)","(12.0, 19.0, 18.375)","(11.0, 15.0, 12.604166666666666)","(2.2, 2.94, 2.8080000000000003)","(20.0, 38.0, 32.0)","(2.05, 2.64, 2.625)"
11-01-2023 21:19:50.386258,"(9.0, 15.5, 13.833333333333334)","(31.0, 65.0, 56.42857142857143)","(12.0, 19.0, 18.375)","(11.0, 15.0, 12.604166666666666)","(2.2, 2.94, 2.8080000000000003)","(20.0, 38.0, 31.0)","(2.05, 2.64, 2.625)"
11-01-2023 21:19:51.426991,"(9.0, 15.5, 13.833333333333334)","(31.0, 65.0, 56.42857142857143)","(12.0, 19.0, 18.375)","(11.0, 15.0, 12.604166666666666)","(2.2, 2.94, 2.8080000000000003)","(20.0, 36.0, 31.0)","(2.05, 2.64, 2.625)"
11-01-2023 21:19:52.446153,"(9.0, 15.0, 14.2)","(31.0, 65.0, 56.42857142857143)","(12.0, 19.0, 18.375)","(11.0, 14.5, 13.166666666666666)","(2.2, 2.94, 2.8080000000000003)","(20.0, 36.0, 31.0)","(2.05, 2.64, 2.625)"
