,Art Major,Bucks,Jaffastock,Tametomo,Allyrock,Rippa Choice,Roederer
08-01-2023 14:32:04.886377,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.0, 9.619047619047619)","(7.5, 14.5, 11.95)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:06.028940,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.0, 9.837837837837839)","(7.5, 14.5, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:07.109184,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.0, 9.837837837837839)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:08.160940,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:09.200384,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:10.281229,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:11.361537,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:12.384670,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:13.400580,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:14.485163,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:15.623520,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:16.721066,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:17.792967,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:18.806632,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:19.933083,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:21.049313,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:22.249207,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:23.321112,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:24.414397,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:25.479542,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:26.626291,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:27.754525,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:28.801709,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.675)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:29.933621,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.8, 4.6375)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:31.466515,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:32.710837,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:34.003208,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:35.362069,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:36.716162,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:38.041176,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:39.225499,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:40.376792,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.7)","(51.0, 170.0, 149.0)"
08-01-2023 14:32:41.548515,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 10.236842105263158)","(7.5, 14.0, 11.86)","(51.0, 170.0, 128.33333333333334)"
08-01-2023 14:32:42.714349,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 10.236842105263158)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:32:43.907192,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:32:45.031900,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:32:46.186926,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:32:47.304918,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:32:48.452492,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:32:49.540805,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:32:50.608511,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:32:51.741489,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:32:52.916136,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:32:54.080374,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:32:55.210017,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:32:56.283883,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:32:57.400523,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:32:58.480512,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:32:59.647303,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:00.744098,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:01.834232,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:02.881941,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:04.007526,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:05.195622,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:06.319851,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:07.483171,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:08.549575,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:09.590406,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:10.730184,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:11.808597,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:12.829863,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:13.865071,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:14.929040,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:16.068028,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:17.193198,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:18.266961,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:19.480799,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:20.569409,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:21.769752,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:23.087342,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:24.309539,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:25.556896,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:26.732401,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:27.888848,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:29.046568,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:30.217475,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:31.285055,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:32.339114,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:33.527204,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:34.651906,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
08-01-2023 14:33:35.851443,"(2.9, 3.2, 3.1302439024390245)","(5.5, 8.8, 7.54)","(4.8, 6.6, 6.12)","(4.2, 4.7, 4.6375)","(7.0, 10.5, 9.58)","(7.5, 13.5, 11.86)","(51.0, 160.0, 128.33333333333334)"
