,Lucky Fernando,Dewana Scotch,Dewana Burger,Deep Fever,Zippy Audi,Fabriola Yanis,Apache Shout,Arkansas
14-12-2022 19:20:50.218140,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:20:51.401903,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:20:52.530873,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:20:53.593628,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:20:54.673949,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:20:55.790834,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:20:56.989112,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:20:58.175543,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:20:59.359539,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:21:00.384684,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
14-12-2022 19:21:01.370388,"(20.0, 60.0, 42.916666666666664)","(1.65, 1.84, 1.804)","(4.6, 7.8, 4.68)","(11.0, 30.0, 18.125)","(7.5, 18.5, 9.32857142857143)","(18.0, 65.0, 35.3125)","(7.0, 13.5, 11.528571428571428)","(21.0, 80.0, 40.0)"
