,My Best Buddy,Long Gully Brown,Fizzy Crest,Alaska Black,Emerley Cougar,Chilli On Ice
11-01-2023 11:15:54.797998,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 4.517073170731708)","(5.5, 12.5, 6.29)"
11-01-2023 11:15:55.730217,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 4.517073170731708)","(5.5, 12.5, 6.29)"
11-01-2023 11:15:56.635580,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 4.517073170731708)","(5.5, 12.5, 6.29)"
11-01-2023 11:15:57.526179,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 4.517073170731708)","(5.5, 12.5, 6.29)"
11-01-2023 11:15:58.449758,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 4.517073170731708)","(5.5, 12.5, 6.29)"
11-01-2023 11:15:59.375626,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 4.517073170731708)","(5.5, 12.5, 6.29)"
11-01-2023 11:16:00.382802,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 4.517073170731708)","(5.5, 12.5, 6.29)"
11-01-2023 11:16:01.353534,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 4.517073170731708)","(5.5, 12.5, 6.29)"
11-01-2023 11:16:02.335478,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 4.517073170731708)","(5.5, 12.5, 6.29)"
11-01-2023 11:16:03.292598,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 4.517073170731708)","(5.5, 12.5, 6.29)"
11-01-2023 11:16:04.154924,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 3.465909090909091)","(5.5, 12.5, 6.29)"
11-01-2023 11:16:05.077579,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 3.465909090909091)","(5.5, 12.5, 6.3999999999999995)"
11-01-2023 11:16:05.968151,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 6.3999999999999995)"
11-01-2023 11:16:06.899923,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 6.3999999999999995)"
11-01-2023 11:16:07.904909,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 6.3999999999999995)"
11-01-2023 11:16:08.870755,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 6.3999999999999995)"
11-01-2023 11:16:09.822743,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 6.3999999999999995)"
11-01-2023 11:16:10.778713,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 6.3999999999999995)"
11-01-2023 11:16:11.767953,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 6.3999999999999995)"
11-01-2023 11:16:12.717208,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 6.3999999999999995)"
11-01-2023 11:16:13.618385,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 17.944444444444443)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 6.3999999999999995)"
11-01-2023 11:16:14.547946,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:15.462638,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:16.460474,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:17.363015,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:18.331443,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:19.192658,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:20.066370,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:20.968271,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:21.919983,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:22.917719,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:23.920990,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:24.931318,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:25.867963,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:26.758678,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:27.640722,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:28.509876,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:29.501969,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:30.463327,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:31.412019,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:32.370695,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:33.255421,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:34.137958,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:35.062791,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:36.004512,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:37.033994,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:37.975244,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:38.976714,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:39.894589,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:40.816729,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:41.717510,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:42.620329,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:43.545940,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:44.489671,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:45.443506,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:46.402028,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:47.324497,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:48.204419,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:49.167086,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:50.185310,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:51.233883,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:52.216113,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:53.231718,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:54.172563,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:55.066188,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:55.934009,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:56.887553,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:57.852088,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:58.849164,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:16:59.780770,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:17:00.751408,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:17:01.648689,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:17:02.588238,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:17:03.594553,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:17:04.572619,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:17:05.587628,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:17:06.537020,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:17:07.445710,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:17:08.346843,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:17:09.265251,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:17:10.284084,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:17:11.338016,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:17:12.429937,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:17:13.444077,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:17:14.357995,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:17:15.259371,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:17:16.174696,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:17:17.124447,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:17:18.067053,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
11-01-2023 11:17:19.044463,"(2.9, 4.6, 3.517333333333333)","(5.5, 9.8, 7.8965517241379315)","(6.5, 13.5, 11.553333333333333)","(8.0, 19.0, 16.409090909090907)","(3.2, 5.9, 3.465909090909091)","(5.5, 9.6, 8.992592592592592)"
