,Determination,Udella Bale,Laquita Star,Goolagong,Ocean Girl,Sir Les
12-01-2023 14:56:33.683550,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:34.739978,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:35.884431,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:37.014066,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:38.061799,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:39.339893,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:40.473786,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:41.926164,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:42.972745,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:43.962672,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:45.053980,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:46.182525,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:47.254122,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:48.173731,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:49.140078,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:50.175887,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:51.172228,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:52.179468,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:53.188841,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:54.148978,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:55.198425,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:56.231238,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:57.168422,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:58.070152,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:59.010566,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:56:59.946678,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:57:01.016742,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:57:02.025140,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:57:03.026662,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:57:03.929900,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:57:04.917403,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:57:05.797470,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:57:06.678231,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.0461702127659573)"
12-01-2023 14:57:07.631623,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.3803125)"
12-01-2023 14:57:08.568837,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.3803125)"
12-01-2023 14:57:09.458883,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.1552000000000002)"
12-01-2023 14:57:10.381818,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.1552000000000002)"
12-01-2023 14:57:11.324437,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.1552000000000002)"
12-01-2023 14:57:12.188924,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:13.072752,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:13.986340,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:14.935852,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:15.946251,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:16.989779,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:17.905514,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:18.816887,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:19.793141,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:20.686249,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:21.568738,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:22.478576,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:23.397234,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:24.323021,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:25.281751,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:26.261058,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:27.156941,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:28.076895,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:28.979725,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:29.918913,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:30.926748,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:31.935439,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:32.903647,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:33.871992,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:34.816464,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:35.768759,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:36.741488,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:37.738361,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:38.631218,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:39.482647,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:40.412061,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:41.346059,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:42.270860,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:43.237292,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:44.187542,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:45.009703,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:45.937547,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:46.952073,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:47.802408,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:48.655500,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:49.545538,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:50.517757,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:51.488754,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:52.483770,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:53.466759,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:54.488665,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:55.394676,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:56.394270,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:57.330118,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
12-01-2023 14:57:58.254198,"(4.4, 7.4, 4.839130434782609)","(2.35, 3.4, 2.4025)","(12.0, 26.0, 23.1)","(26.0, 270.0, 95.0)","(91.0, 610.0, 340.0)","(2.0, 3.25, 2.124468085106383)"
