,Sailor,Valley Of Dreams,Ghostwriter,Two Smokin Barrels,Goldeel,Teranga,Oakfield Warpaint,The Love Rocket
11-01-2023 15:01:42.444175,"(4.6, 7.0, 6.4750000000000005)","(10.0, 17.5, 15.25)","(2.15, 2.44, 2.354285714285714)","(26.0, 55.0, 41.0)","(5.0, 6.0, 5.851851851851852)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.875)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:01:43.750074,"(4.6, 7.0, 6.4750000000000005)","(10.0, 17.5, 15.25)","(2.15, 2.44, 2.354285714285714)","(26.0, 55.0, 41.0)","(5.0, 6.0, 5.851851851851852)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.875)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:01:44.932574,"(4.6, 7.0, 6.4750000000000005)","(10.0, 17.5, 15.25)","(2.15, 2.44, 2.354285714285714)","(26.0, 55.0, 41.0)","(5.0, 6.0, 5.875)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.875)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:01:46.109653,"(4.6, 7.0, 6.4750000000000005)","(10.0, 17.5, 15.25)","(2.15, 2.44, 2.354285714285714)","(26.0, 55.0, 41.0)","(5.0, 6.0, 5.875)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.875)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:01:47.308115,"(4.6, 7.0, 6.4750000000000005)","(10.0, 17.5, 15.25)","(2.15, 2.44, 2.354285714285714)","(26.0, 55.0, 41.0)","(5.0, 6.0, 5.875)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.875)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:01:48.571488,"(4.6, 7.0, 6.4750000000000005)","(10.0, 17.5, 15.25)","(2.15, 2.44, 2.354285714285714)","(26.0, 55.0, 41.0)","(5.0, 6.0, 5.875)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.875)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:01:49.829918,"(4.6, 7.0, 6.4750000000000005)","(10.0, 17.5, 15.25)","(2.15, 2.44, 2.354285714285714)","(26.0, 55.0, 41.0)","(5.0, 6.0, 5.875)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.875)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:01:51.054291,"(4.6, 7.0, 6.4750000000000005)","(10.0, 17.5, 15.25)","(2.15, 2.44, 2.354285714285714)","(26.0, 55.0, 41.0)","(5.0, 6.0, 5.875)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.875)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:01:52.339904,"(4.6, 7.0, 6.4750000000000005)","(10.0, 17.5, 15.25)","(2.15, 2.44, 2.354285714285714)","(26.0, 55.0, 41.0)","(5.0, 6.0, 5.875)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.875)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:01:53.728292,"(4.6, 7.0, 6.4750000000000005)","(10.0, 17.5, 15.25)","(2.15, 2.44, 2.354285714285714)","(26.0, 55.0, 41.0)","(5.0, 6.0, 5.88)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.875)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:01:55.024907,"(4.6, 7.0, 6.4750000000000005)","(10.0, 17.5, 15.25)","(2.15, 2.44, 2.354285714285714)","(26.0, 55.0, 41.0)","(5.0, 6.0, 5.88)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.875)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:01:56.300330,"(4.6, 7.6, 6.7)","(10.0, 17.5, 15.25)","(2.15, 2.44, 2.354285714285714)","(26.0, 55.0, 41.0)","(5.0, 6.0, 5.88)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.875)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:01:57.767908,"(4.6, 7.6, 6.9)","(10.0, 17.5, 15.25)","(2.15, 2.44, 2.354285714285714)","(26.0, 55.0, 41.0)","(5.0, 6.0, 5.88)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.875)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:01:59.378854,"(4.6, 7.6, 6.9)","(10.0, 17.5, 15.25)","(2.15, 2.44, 2.354285714285714)","(26.0, 55.0, 41.0)","(5.0, 6.0, 5.88)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.875)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:00.735084,"(4.6, 7.6, 6.9)","(10.0, 17.5, 15.25)","(2.15, 2.44, 2.3402985074626863)","(26.0, 55.0, 42.333333333333336)","(5.0, 6.0, 5.88)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.875)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:01.950654,"(4.6, 7.6, 6.9)","(10.0, 17.5, 15.25)","(2.15, 2.4, 2.3402985074626863)","(26.0, 55.0, 42.333333333333336)","(5.0, 6.0, 5.88)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.875)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:03.405759,"(4.6, 7.6, 6.666666666666667)","(10.0, 17.5, 15.25)","(2.15, 2.38, 2.356)","(26.0, 55.0, 42.333333333333336)","(5.0, 6.0, 5.88)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.875)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:04.869590,"(4.6, 7.6, 6.666666666666667)","(10.0, 17.5, 15.25)","(2.15, 2.38, 2.3525714285714283)","(26.0, 55.0, 42.333333333333336)","(5.0, 6.0, 5.88)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.875)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:06.251594,"(4.6, 7.6, 6.666666666666667)","(10.0, 17.5, 15.25)","(2.15, 2.38, 2.3115577889447234)","(26.0, 55.0, 42.333333333333336)","(5.0, 6.0, 5.88)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.875)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:07.479000,"(4.6, 7.6, 6.666666666666667)","(10.0, 17.5, 15.25)","(2.15, 2.4, 2.3115577889447234)","(26.0, 55.0, 42.333333333333336)","(5.0, 6.0, 5.88)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.875)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:08.792037,"(4.6, 7.6, 6.666666666666667)","(10.0, 17.5, 15.25)","(2.15, 2.4, 2.311734693877551)","(26.0, 55.0, 42.333333333333336)","(5.0, 6.0, 5.88)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.875)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:10.134550,"(4.6, 7.6, 6.666666666666667)","(10.0, 17.5, 15.25)","(2.15, 2.4, 2.311734693877551)","(26.0, 55.0, 42.333333333333336)","(5.0, 6.0, 5.88)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.875)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:11.383463,"(4.6, 7.6, 6.666666666666667)","(10.0, 17.5, 15.25)","(2.15, 2.4, 2.311734693877551)","(26.0, 55.0, 42.333333333333336)","(5.0, 6.0, 5.88)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.875)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:12.832002,"(4.6, 7.6, 6.666666666666667)","(10.0, 17.5, 15.25)","(2.15, 2.4, 2.311734693877551)","(26.0, 55.0, 50.77777777777778)","(5.0, 6.0, 5.88)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.875)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:14.262782,"(4.6, 7.6, 6.666666666666667)","(10.0, 17.5, 15.25)","(2.15, 2.4, 2.311734693877551)","(26.0, 55.0, 50.77777777777778)","(5.0, 6.0, 5.88)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.77777777777778)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:15.599559,"(4.6, 7.6, 6.666666666666667)","(10.0, 17.5, 15.25)","(2.15, 2.4, 2.311734693877551)","(26.0, 55.0, 50.77777777777778)","(5.0, 6.0, 5.88)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.77777777777778)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:16.870037,"(4.6, 7.6, 6.666666666666667)","(10.0, 17.5, 15.25)","(2.15, 2.4, 2.311734693877551)","(26.0, 55.0, 50.77777777777778)","(5.0, 6.0, 5.88)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.77777777777778)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:18.197213,"(4.6, 7.6, 6.666666666666667)","(10.0, 17.5, 15.25)","(2.15, 2.4, 2.311734693877551)","(26.0, 55.0, 48.666666666666664)","(5.0, 6.0, 6.7)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.77777777777778)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:19.383742,"(4.6, 7.6, 6.666666666666667)","(10.0, 17.5, 15.25)","(2.15, 2.4, 2.3133802816901405)","(26.0, 55.0, 48.666666666666664)","(5.0, 7.2, 6.542857142857143)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.77777777777778)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:20.597168,"(4.6, 7.6, 6.666666666666667)","(10.0, 17.5, 15.25)","(2.15, 2.4, 2.3133802816901405)","(26.0, 55.0, 50.14285714285714)","(5.0, 7.0, 6.542857142857143)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.77777777777778)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:21.875036,"(4.6, 7.6, 6.666666666666667)","(10.0, 17.5, 15.25)","(2.15, 2.4, 2.3133802816901405)","(26.0, 55.0, 50.14285714285714)","(5.0, 7.0, 6.44)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.77777777777778)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:23.146452,"(4.6, 7.6, 6.666666666666667)","(10.0, 17.5, 15.25)","(2.15, 2.4, 2.3133802816901405)","(26.0, 55.0, 50.14285714285714)","(5.0, 7.0, 6.44)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.77777777777778)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:24.563266,"(4.6, 7.6, 6.666666666666667)","(10.0, 17.5, 15.25)","(2.15, 2.4, 2.3133802816901405)","(26.0, 55.0, 50.14285714285714)","(5.0, 7.0, 6.44)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.77777777777778)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:25.895445,"(4.6, 7.6, 6.666666666666667)","(10.0, 17.5, 15.25)","(2.15, 2.4, 2.3133802816901405)","(26.0, 55.0, 50.14285714285714)","(5.0, 7.0, 6.44)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.77777777777778)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:27.398289,"(4.6, 7.6, 6.302857142857143)","(10.0, 17.5, 15.25)","(2.15, 2.4, 2.3133802816901405)","(26.0, 55.0, 44.666666666666664)","(5.0, 7.0, 6.4222222222222225)","(7.0, 10.0, 8.892307692307693)","(19.0, 28.0, 21.272727272727273)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:28.674797,"(4.6, 7.4, 6.294736842105263)","(10.0, 17.5, 16.375)","(2.15, 2.4, 2.3133802816901405)","(26.0, 50.0, 42.0)","(5.0, 7.2, 6.4222222222222225)","(7.0, 10.0, 8.892307692307693)","(19.0, 27.0, 21.272727272727273)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:30.210588,"(4.6, 7.4, 6.7)","(10.0, 17.5, 16.681818181818183)","(2.15, 2.4, 2.3133802816901405)","(26.0, 50.0, 42.0)","(5.0, 7.2, 6.4222222222222225)","(7.0, 10.0, 8.892307692307693)","(19.0, 27.0, 21.272727272727273)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:31.556559,"(4.6, 7.2, 6.7)","(10.0, 17.5, 16.681818181818183)","(2.15, 2.4, 2.369090909090909)","(26.0, 50.0, 42.0)","(5.0, 7.2, 6.4222222222222225)","(7.0, 10.0, 8.892307692307693)","(19.0, 27.0, 21.272727272727273)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:33.259649,"(4.6, 7.2, 6.7)","(10.0, 17.5, 16.681818181818183)","(2.15, 2.38, 2.3518181818181816)","(26.0, 50.0, 42.0)","(5.0, 7.2, 6.390476190476191)","(7.0, 10.0, 8.892307692307693)","(19.0, 27.0, 21.272727272727273)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:34.730191,"(4.6, 7.2, 6.533333333333333)","(10.0, 17.5, 16.681818181818183)","(2.15, 2.36, 2.3518181818181816)","(26.0, 50.0, 42.0)","(5.0, 7.2, 6.6571428571428575)","(7.0, 10.0, 8.892307692307693)","(19.0, 27.0, 21.272727272727273)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:36.332384,"(4.6, 7.2, 6.533333333333333)","(10.0, 17.5, 16.681818181818183)","(2.15, 2.36, 2.3518181818181816)","(26.0, 50.0, 42.0)","(5.0, 7.0, 6.6571428571428575)","(7.0, 10.0, 8.892307692307693)","(19.0, 27.0, 21.272727272727273)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:37.970031,"(4.6, 7.2, 6.533333333333333)","(10.0, 17.5, 16.375)","(2.15, 2.36, 2.3518181818181816)","(26.0, 50.0, 42.0)","(5.0, 7.0, 6.6571428571428575)","(7.0, 10.0, 8.892307692307693)","(19.0, 27.0, 21.272727272727273)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:39.380770,"(4.6, 7.2, 6.533333333333333)","(10.0, 17.5, 16.375)","(2.15, 2.36, 2.3345454545454545)","(26.0, 50.0, 42.0)","(5.0, 7.0, 6.6571428571428575)","(7.0, 10.0, 8.892307692307693)","(19.0, 27.0, 21.272727272727273)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:40.891644,"(4.6, 7.2, 6.533333333333333)","(10.0, 17.5, 16.375)","(2.15, 2.34, 2.3345454545454545)","(26.0, 50.0, 42.0)","(5.0, 7.0, 6.6571428571428575)","(7.0, 10.0, 8.892307692307693)","(19.0, 27.0, 21.272727272727273)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:42.257945,"(4.6, 7.2, 6.533333333333333)","(10.0, 17.5, 16.375)","(2.15, 2.34, 2.3345454545454545)","(26.0, 50.0, 42.0)","(5.0, 7.0, 6.6571428571428575)","(7.5, 10.0, 8.892307692307693)","(18.0, 27.0, 24.0)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:43.812301,"(4.6, 7.2, 6.5)","(10.0, 17.5, 16.375)","(2.15, 2.34, 2.3345454545454545)","(26.0, 50.0, 42.0)","(5.0, 7.0, 6.6571428571428575)","(7.5, 10.0, 8.892307692307693)","(18.0, 32.0, 22.857142857142858)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:45.020610,"(4.6, 7.0, 6.44)","(10.0, 17.5, 16.375)","(2.15, 2.34, 2.3345454545454545)","(26.0, 50.0, 42.0)","(5.0, 7.0, 6.5200000000000005)","(7.5, 10.0, 8.892307692307693)","(18.0, 30.0, 22.857142857142858)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:46.270103,"(4.6, 7.0, 6.44)","(10.0, 17.5, 16.375)","(2.15, 2.34, 2.3345454545454545)","(26.0, 50.0, 45.0)","(5.0, 7.0, 6.5200000000000005)","(7.5, 10.0, 8.892307692307693)","(18.0, 30.0, 24.5)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:47.505582,"(4.6, 7.0, 6.44)","(10.0, 17.5, 16.375)","(2.15, 2.34, 2.3345454545454545)","(26.0, 50.0, 45.0)","(5.0, 7.0, 6.5200000000000005)","(7.5, 10.0, 8.892307692307693)","(18.0, 29.0, 24.5)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:48.652693,"(4.6, 7.0, 6.44)","(10.0, 17.5, 16.375)","(2.15, 2.34, 2.3345454545454545)","(26.0, 50.0, 45.0)","(5.0, 7.0, 6.5200000000000005)","(7.5, 10.0, 8.892307692307693)","(18.0, 29.0, 24.5)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:49.897587,"(4.6, 7.0, 6.44)","(10.0, 17.5, 16.375)","(2.15, 2.34, 2.3345454545454545)","(26.0, 50.0, 45.0)","(5.0, 7.0, 6.5200000000000005)","(7.5, 10.0, 8.892307692307693)","(18.0, 29.0, 24.5)","(26.0, 50.0, 40.90909090909091)"
11-01-2023 15:02:51.105574,"(4.6, 7.0, 6.44)","(10.0, 17.5, 16.375)","(2.15, 2.34, 2.3345454545454545)","(26.0, 50.0, 45.0)","(5.0, 7.0, 6.5200000000000005)","(7.5, 10.0, 8.892307692307693)","(18.0, 29.0, 24.5)","(26.0, 50.0, 40.90909090909091)"
