,Tat Yap,Its Luigi,Villanova,Mibin Magic,Over Slips,Aston Gray,Juice,Chloes China
15-12-2022 12:36:31.340111,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 114.28571428571429)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 12.75)"
15-12-2022 12:36:32.663775,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 114.28571428571429)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 12.75)"
15-12-2022 12:36:33.877039,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 114.28571428571429)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 12.75)"
15-12-2022 12:36:35.070875,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 114.28571428571429)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 12.75)"
15-12-2022 12:36:36.171401,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 114.28571428571429)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 12.75)"
15-12-2022 12:36:37.315386,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 114.28571428571429)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 12.75)"
15-12-2022 12:36:38.531430,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 114.28571428571429)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 15.125)"
15-12-2022 12:36:39.710129,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 114.28571428571429)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 13.166666666666666)"
15-12-2022 12:36:40.791296,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 114.28571428571429)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 13.166666666666666)"
15-12-2022 12:36:41.969109,"(2.25, 2.48, 2.176842105263158)","(5.0, 8.2, 6.057142857142857)","(41.0, 310.0, 114.28571428571429)","(41.0, 290.0, 108.57142857142857)","(7.0, 15.5, 11.286666666666667)","(4.8, 8.0, 5.9375)","(6.0, 13.0, 10.8)","(10.0, 24.0, 13.166666666666666)"
