,Regal Sun,Jimmy Seven,Nitro Lad,Berry Berry Good,Westozi,Peppi Grove,Deuce Afloat,Justa Lil Faith,Schnoots,Tu Tu Won One Too
08-12-2022 15:11:43.837829,"(13.0, 18.0, 17.9375)","(81.0, 190.0, 176.08695652173913)","(61.0, 70.0, 68.63636363636364)","(4.4, 5.3, 5.267391304347826)","(8.0, 9.4, 9.359349593495935)","(21.0, 27.0, 26.93548387096774)","(101.0, 210.0, 199.33333333333334)","(3.4, 4.3, 4.156622114216281)","(2.7, 3.0, 3.049014522821577)","(51.0, 65.0, 63.0)"
08-12-2022 15:11:45.191128,"(13.0, 18.0, 17.970588235294116)","(81.0, 190.0, 163.33333333333334)","(61.0, 70.0, 68.63636363636364)","(4.4, 5.3, 5.267391304347826)","(8.0, 9.4, 9.359349593495935)","(21.0, 27.0, 26.93548387096774)","(101.0, 210.0, 192.5)","(3.4, 4.3, 4.132142857142857)","(2.7, 3.05, 3.049373040752351)","(51.0, 65.0, 62.64705882352941)"
08-12-2022 15:11:46.490241,"(13.0, 18.5, 17.567961165048544)","(81.0, 180.0, 162.85714285714286)","(61.0, 70.0, 68.125)","(4.4, 5.3, 5.280349344978166)","(8.0, 9.6, 9.322448979591837)","(20.0, 27.0, 26.547169811320753)","(101.0, 200.0, 188.78787878787878)","(3.4, 4.2, 4.130232558139535)","(2.7, 3.05, 3.0792090395480227)","(51.0, 65.0, 62.64705882352941)"
08-12-2022 15:11:47.733279,"(13.0, 18.0, 17.653846153846153)","(81.0, 170.0, 161.66666666666666)","(61.0, 70.0, 67.85714285714286)","(4.4, 5.3, 5.283257918552036)","(8.0, 9.6, 9.267605633802816)","(20.0, 27.0, 26.58)","(101.0, 190.0, 186.75675675675677)","(3.4, 4.2, 4.1305327868852455)","(2.7, 3.1, 3.079542719614922)","(51.0, 65.0, 62.8125)"
08-12-2022 15:11:48.894054,"(13.0, 18.5, 18.03723404255319)","(81.0, 170.0, 161.8181818181818)","(51.0, 70.0, 68.33333333333333)","(4.4, 5.3, 5.273263888888889)","(8.0, 9.6, 9.2625)","(20.0, 27.0, 26.65909090909091)","(101.0, 190.0, 186.75675675675677)","(3.5, 4.2, 4.081818181818181)","(2.7, 3.1, 3.072459016393443)","(51.0, 65.0, 62.674418604651166)"
08-12-2022 15:11:50.256237,"(13.0, 18.5, 18.042105263157893)","(81.0, 170.0, 161.8181818181818)","(51.0, 70.0, 68.33333333333333)","(4.4, 5.3, 5.273263888888889)","(8.0, 9.6, 9.2625)","(20.0, 27.0, 26.65909090909091)","(101.0, 190.0, 186.75675675675677)","(3.5, 4.1, 4.087804878048781)","(2.7, 3.1, 3.083081896551724)","(51.0, 65.0, 62.77777777777778)"
08-12-2022 15:11:51.637265,"(13.0, 18.5, 18.071428571428573)","(81.0, 170.0, 163.33333333333334)","(51.0, 70.0, 68.57142857142857)","(4.4, 5.3, 5.270030581039755)","(8.0, 9.6, 9.297196261682242)","(20.0, 27.0, 26.605263157894736)","(101.0, 180.0, 177.69230769230768)","(3.4, 4.2, 4.060238568588469)","(2.7, 3.1, 3.0795039164490863)","(51.0, 65.0, 62.82608695652174)"
08-12-2022 15:11:52.941536,"(13.0, 18.5, 18.071428571428573)","(81.0, 170.0, 163.33333333333334)","(51.0, 70.0, 68.57142857142857)","(4.4, 5.3, 5.270030581039755)","(8.0, 9.6, 9.297196261682242)","(20.0, 27.0, 26.605263157894736)","(101.0, 180.0, 177.69230769230768)","(3.4, 4.1, 4.0580901856763925)","(2.7, 3.1, 3.0646511627906974)","(51.0, 65.0, 62.14285714285714)"
08-12-2022 15:11:54.344674,"(13.0, 18.5, 18.071428571428573)","(81.0, 170.0, 163.33333333333334)","(51.0, 70.0, 68.57142857142857)","(4.4, 5.3, 5.269953051643192)","(8.0, 9.6, 9.303703703703704)","(20.0, 27.0, 26.970588235294116)","(101.0, 180.0, 177.69230769230768)","(3.4, 4.1, 4.0588235294117645)","(2.7, 3.1, 3.067361111111111)","(51.0, 65.0, 62.14285714285714)"
08-12-2022 15:11:55.647716,"(13.0, 18.5, 18.071428571428573)","(81.0, 170.0, 163.33333333333334)","(51.0, 70.0, 68.57142857142857)","(4.4, 5.3, 5.271291866028708)","(8.0, 9.6, 9.292307692307691)","(20.0, 27.0, 26.97222222222222)","(101.0, 180.0, 177.69230769230768)","(3.4, 4.1, 4.056764705882353)","(2.7, 3.1, 3.0679032258064516)","(51.0, 65.0, 62.14285714285714)"
08-12-2022 15:11:57.023672,"(13.0, 18.0, 17.87878787878788)","(81.0, 180.0, 170.0)","(51.0, 70.0, 66.55555555555556)","(4.4, 5.3, 5.332367149758454)","(8.0, 9.6, 9.333096085409252)","(20.0, 27.0, 28.5)","(101.0, 180.0, 211.25)","(3.4, 4.1, 3.9754752851711026)","(2.7, 3.1, 3.0790721649484536)","(51.0, 65.0, 66.66666666666667)"
08-12-2022 15:11:58.234633,"(13.0, 18.0, 17.875)","(81.0, 210.0, 190.55555555555554)","(51.0, 70.0, 66.32075471698113)","(4.4, 5.4, 5.355902777777778)","(8.0, 9.4, 9.336263736263737)","(20.0, 29.0, 28.8125)","(101.0, 220.0, 206.36363636363637)","(3.4, 4.0, 3.9828296703296706)","(2.7, 3.1, 3.0763546798029555)","(51.0, 70.0, 67.5)"
08-12-2022 15:11:59.493840,"(13.0, 18.5, 17.672727272727272)","(81.0, 210.0, 186.1904761904762)","(51.0, 70.0, 66.32075471698113)","(4.4, 5.4, 5.355902777777778)","(8.0, 9.4, 9.336263736263737)","(20.0, 29.0, 28.566666666666666)","(101.0, 210.0, 200.0)","(3.4, 4.0, 3.9763513513513513)","(2.7, 3.1, 3.1331055900621116)","(51.0, 70.0, 63.333333333333336)"
08-12-2022 15:12:00.954428,"(13.0, 18.5, 17.6981981981982)","(81.0, 200.0, 182.85714285714286)","(51.0, 70.0, 65.83333333333333)","(4.4, 5.4, 5.3428571428571425)","(8.0, 9.4, 9.325862068965517)","(20.0, 29.0, 28.133333333333333)","(101.0, 210.0, 200.0)","(3.4, 4.0, 3.9762162162162165)","(2.7, 3.15, 3.118961625282167)","(51.0, 65.0, 64.0)"
08-12-2022 15:12:02.205023,"(13.0, 18.5, 17.6981981981982)","(81.0, 200.0, 182.85714285714286)","(51.0, 70.0, 65.83333333333333)","(4.4, 5.4, 5.347791164658634)","(8.0, 9.4, 9.324786324786325)","(20.0, 29.0, 27.571428571428573)","(101.0, 210.0, 192.0)","(3.4, 4.0, 3.982614942528736)","(2.7, 3.15, 3.123181818181818)","(51.0, 65.0, 64.0)"
08-12-2022 15:12:03.593310,"(13.0, 18.5, 17.665137614678898)","(81.0, 200.0, 182.85714285714286)","(51.0, 70.0, 65.83333333333333)","(4.4, 5.4, 5.347791164658634)","(8.0, 9.4, 9.306878306878307)","(20.0, 28.0, 27.51219512195122)","(101.0, 200.0, 195.0)","(3.4, 4.0, 3.9838274932614555)","(2.7, 3.15, 3.0967123287671234)","(51.0, 65.0, 64.0)"
08-12-2022 15:12:05.026006,"(13.0, 18.5, 18.016666666666666)","(81.0, 200.0, 192.5)","(51.0, 70.0, 65.81632653061224)","(4.4, 5.4, 5.348818897637796)","(8.0, 9.4, 9.303061224489795)","(21.0, 28.0, 26.90625)","(101.0, 220.0, 194.11764705882354)","(3.4, 4.0, 3.9840425531914896)","(2.7, 3.1, 3.095890410958904)","(51.0, 65.0, 64.0)"
08-12-2022 15:12:06.322622,"(13.0, 18.5, 18.016666666666666)","(81.0, 200.0, 192.5)","(51.0, 70.0, 63.421052631578945)","(4.4, 5.4, 5.3875)","(8.0, 9.4, 9.307608695652174)","(21.0, 27.0, 26.896551724137932)","(101.0, 220.0, 201.66666666666666)","(3.4, 4.0, 3.9833795013850417)","(2.7, 3.1, 3.1072327044025156)","(51.0, 65.0, 56.25)"
08-12-2022 15:12:07.765906,"(13.0, 18.5, 18.005681818181817)","(81.0, 200.0, 192.5)","(51.0, 65.0, 61.5)","(4.4, 5.4, 5.387931034482759)","(8.0, 9.4, 9.313142857142857)","(20.0, 27.0, 26.896551724137932)","(101.0, 220.0, 201.66666666666666)","(3.5, 4.0, 3.966292134831461)","(2.6, 3.15, 3.113253012048193)","(51.0, 60.0, 56.09756097560975)"
08-12-2022 15:12:09.158890,"(13.0, 18.5, 17.70472440944882)","(81.0, 200.0, 192.5)","(51.0, 65.0, 62.0)","(4.4, 5.4, 5.409836065573771)","(8.0, 9.4, 9.320454545454545)","(20.0, 27.0, 27.333333333333332)","(101.0, 220.0, 192.5)","(3.5, 4.0, 3.9657534246575343)","(2.6, 3.15, 3.1252535496957403)","(51.0, 60.0, 55.921052631578945)"
08-12-2022 15:12:10.481321,"(13.0, 18.5, 17.698473282442748)","(81.0, 200.0, 186.66666666666666)","(51.0, 65.0, 62.0)","(4.4, 5.5, 5.413235294117647)","(8.0, 9.4, 9.325443786982248)","(20.0, 28.0, 27.0625)","(101.0, 220.0, 192.5)","(3.5, 4.0, 3.9583333333333335)","(2.7, 3.15, 3.1266283524904215)","(51.0, 60.0, 55.921052631578945)"
08-12-2022 15:12:12.063661,"(13.0, 18.5, 17.686046511627907)","(81.0, 210.0, 197.64705882352942)","(51.0, 65.0, 62.27272727272727)","(4.4, 5.5, 5.431851851851852)","(8.0, 9.4, 9.32840909090909)","(20.0, 28.0, 26.96551724137931)","(101.0, 220.0, 192.72727272727272)","(3.5, 4.0, 3.967142857142857)","(2.7, 3.15, 3.107608695652174)","(51.0, 60.0, 56.02564102564102)"
08-12-2022 15:12:13.590086,"(13.0, 18.5, 17.695121951219512)","(81.0, 210.0, 193.84615384615384)","(51.0, 65.0, 62.5)","(4.4, 5.5, 5.423529411764706)","(8.0, 9.4, 9.429166666666667)","(20.0, 28.0, 26.933333333333334)","(101.0, 220.0, 192.72727272727272)","(3.5, 4.0, 3.964406779661017)","(2.7, 3.15, 3.0308046940486166)","(51.0, 60.0, 51.773049645390074)"
08-12-2022 15:12:15.115354,"(13.0, 18.5, 18.10330578512397)","(81.0, 210.0, 198.33333333333334)","(51.0, 65.0, 63.8)","(4.4, 5.5, 5.54875)","(8.0, 9.6, 9.566666666666666)","(20.0, 27.0, 27.323529411764707)","(101.0, 220.0, 192.72727272727272)","(3.5, 4.0, 3.9892857142857143)","(2.7, 3.15, 3.125247524752475)","(51.0, 55.0, 51.89873417721519)"
08-12-2022 15:12:16.576282,"(13.0, 18.5, 18.05140186915888)","(81.0, 210.0, 183.33333333333334)","(51.0, 65.0, 63.125)","(4.4, 5.6, 5.494285714285715)","(8.0, 9.6, 9.553571428571429)","(20.0, 28.0, 27.21276595744681)","(101.0, 220.0, 192.72727272727272)","(3.5, 4.0, 3.9779761904761903)","(2.7, 3.15, 3.144)","(51.0, 55.0, 51.83229813664596)"
08-12-2022 15:12:17.996063,"(13.0, 18.5, 18.05140186915888)","(81.0, 200.0, 183.33333333333334)","(51.0, 65.0, 63.125)","(4.4, 5.5, 5.519354838709678)","(8.0, 9.6, 9.540740740740741)","(20.0, 28.0, 27.21276595744681)","(101.0, 220.0, 195.0)","(3.5, 4.0, 3.982191780821918)","(2.7, 3.15, 3.1296296296296298)","(51.0, 55.0, 51.87898089171974)"
08-12-2022 15:12:19.463872,"(13.0, 17.5, 16.75)","(81.0, 200.0, 183.33333333333334)","(51.0, 65.0, 63.125)","(4.4, 5.6, 5.530188679245283)","(8.0, 9.8, 9.540740740740741)","(20.0, 28.0, 31.506493506493506)","(101.0, 220.0, 195.0)","(3.5, 4.0, 3.9815436241610738)","(2.7, 3.15, 3.1301169590643276)","(51.0, 55.0, 51.87898089171974)"
08-12-2022 15:12:20.806418,"(13.0, 17.5, 16.75)","(81.0, 200.0, 183.33333333333334)","(51.0, 65.0, 63.125)","(4.4, 5.6, 5.527272727272727)","(8.0, 9.8, 9.525641025641026)","(20.0, 32.0, 28.31578947368421)","(101.0, 220.0, 195.0)","(3.5, 4.0, 4.0118)","(2.7, 3.15, 3.125347222222222)","(51.0, 55.0, 51.84375)"
08-12-2022 15:12:22.141506,"(13.0, 17.5, 16.545454545454547)","(81.0, 200.0, 183.33333333333334)","(51.0, 65.0, 63.125)","(4.4, 5.6, 5.254929577464789)","(8.0, 9.6, 9.588461538461537)","(20.0, 32.0, 29.758620689655174)","(101.0, 220.0, 195.0)","(3.5, 4.1, 4.011688311688312)","(2.7, 3.15, 3.125886524822695)","(51.0, 55.0, 51.84375)"
08-12-2022 15:12:23.443449,"(13.0, 17.5, 16.545454545454547)","(91.0, 200.0, 183.33333333333334)","(51.0, 65.0, 62.27272727272727)","(4.6, 5.2, 5.167901234567902)","(8.0, 9.6, 9.64)","(20.0, 32.0, 27.396825396825395)","(101.0, 220.0, 195.0)","(3.5, 4.1, 4.056521739130434)","(2.6, 3.15, 3.1433593749999997)","(51.0, 55.0, 51.87898089171974)"
08-12-2022 15:12:24.740201,"(13.0, 17.5, 16.891304347826086)","(91.0, 200.0, 191.66666666666666)","(51.0, 65.0, 63.0)","(4.6, 5.2, 5.027027027027027)","(8.0, 9.8, 9.654545454545454)","(20.0, 32.0, 28.26086956521739)","(101.0, 220.0, 210.9090909090909)","(3.5, 4.1, 4.109170305676855)","(2.6, 3.15, 3.1674846625766873)","(51.0, 55.0, 52.0125786163522)"
08-12-2022 15:12:26.030122,"(13.0, 17.5, 17.318181818181817)","(91.0, 200.0, 191.66666666666666)","(51.0, 65.0, 63.0)","(4.6, 5.1, 5.082539682539682)","(8.0, 9.8, 9.702857142857143)","(20.0, 30.0, 28.244897959183675)","(101.0, 220.0, 210.9090909090909)","(3.5, 4.2, 4.120754716981132)","(2.7, 3.2, 3.1680379746835445)","(51.0, 55.0, 51.96319018404908)"
08-12-2022 15:12:27.298818,"(13.0, 17.5, 17.318181818181817)","(81.0, 200.0, 191.66666666666666)","(51.0, 65.0, 63.0)","(4.6, 5.1, 5.0807692307692305)","(8.0, 9.8, 9.751428571428573)","(20.0, 30.0, 28.155844155844157)","(101.0, 220.0, 210.9090909090909)","(3.5, 4.2, 4.119238095238095)","(2.7, 3.2, 3.1652920962199316)","(51.0, 55.0, 52.0125786163522)"
08-12-2022 15:12:28.591294,"(13.0, 17.5, 17.36842105263158)","(81.0, 200.0, 191.66666666666666)","(51.0, 65.0, 65.8695652173913)","(4.6, 5.1, 4.9904761904761905)","(8.0, 9.8, 9.989473684210527)","(20.0, 30.0, 29.263157894736842)","(101.0, 220.0, 214.28571428571428)","(3.5, 4.2, 4.1534954407294835)","(2.7, 3.2, 3.229245283018868)","(51.0, 55.0, 52.295597484276726)"
08-12-2022 15:12:30.193419,"(13.0, 18.0, 17.703703703703702)","(81.0, 120.0, 97.5)","(51.0, 70.0, 66.08695652173913)","(4.4, 5.0, 5.001612903225807)","(8.0, 10.0, 9.98857142857143)","(20.0, 30.0, 28.75)","(101.0, 220.0, 215.0)","(3.5, 4.2, 4.15)","(2.7, 3.25, 3.191717791411043)","(51.0, 55.0, 52.32484076433121)"
08-12-2022 15:12:48.344899,"(13.0, 18.0, 17.753846153846155)","(81.0, 100.0, 97.5)","(51.0, 70.0, 66.11111111111111)","(4.4, 5.1, 4.988888888888889)","(8.5, 10.0, 9.98857142857143)","(20.0, 29.0, 28.107692307692307)","(101.0, 220.0, 215.0)","(3.5, 4.2, 4.15)","(2.7, 3.2, 3.099302915082383)","(51.0, 55.0, 52.30769230769231)"
08-12-2022 15:12:49.687880,"(13.0, 17.5, 17.193181818181817)","(81.0, 180.0, 135.0)","(51.0, 65.0, 64.16666666666667)","(4.4, 5.3, 5.292307692307692)","(8.5, 10.5, 10.068553459119498)","(20.0, 28.0, 27.047619047619047)","(101.0, 220.0, 194.28571428571428)","(3.5, 4.2, 4.129098360655737)","(2.7, 3.1, 3.099302915082383)","(51.0, 55.0, 52.30769230769231)"
08-12-2022 15:12:51.241183,"(13.0, 17.5, 17.193181818181817)","(81.0, 180.0, 145.0)","(51.0, 65.0, 64.21052631578948)","(4.4, 5.3, 5.292857142857143)","(8.5, 10.5, 10.103468208092487)","(20.0, 28.0, 27.076923076923077)","(101.0, 220.0, 194.28571428571428)","(3.5, 4.2, 4.1305220883534135)","(2.7, 3.1, 3.0993142144638406)","(51.0, 55.0, 52.5)"
08-12-2022 15:12:52.668511,"(13.0, 17.5, 17.203296703296704)","(81.0, 170.0, 145.0)","(51.0, 65.0, 64.21052631578948)","(4.4, 5.3, 5.292857142857143)","(8.5, 10.5, 9.971014492753623)","(20.0, 28.0, 27.205882352941178)","(101.0, 220.0, 194.28571428571428)","(3.5, 4.2, 4.113065326633166)","(2.6, 3.1, 3.122560975609756)","(51.0, 55.0, 52.5)"
08-12-2022 15:12:53.961156,"(13.0, 17.5, 17.177884615384617)","(81.0, 170.0, 128.33333333333334)","(51.0, 65.0, 64.0)","(4.4, 5.4, 5.340490797546012)","(8.5, 10.0, 9.971014492753623)","(20.0, 28.0, 27.205882352941178)","(101.0, 220.0, 194.28571428571428)","(3.5, 4.2, 4.113065326633166)","(2.6, 3.15, 3.122560975609756)","(51.0, 55.0, 52.5)"
08-12-2022 15:12:55.338455,"(13.0, 17.5, 17.161616161616163)","(81.0, 180.0, 140.0)","(51.0, 65.0, 63.1578947368421)","(4.4, 5.4, 5.3302158273381295)","(8.5, 10.5, 10.048684210526316)","(20.0, 28.0, 27.18918918918919)","(101.0, 220.0, 194.28571428571428)","(3.5, 4.1, 4.08041958041958)","(2.6, 3.15, 3.1268867924528303)","(51.0, 55.0, 52.5)"
08-12-2022 15:12:56.797543,"(13.0, 17.5, 16.772727272727273)","(81.0, 180.0, 140.0)","(51.0, 65.0, 63.1578947368421)","(4.4, 5.4, 5.3302158273381295)","(8.5, 10.5, 10.042666666666667)","(20.0, 28.0, 27.18918918918919)","(101.0, 220.0, 194.28571428571428)","(3.5, 4.1, 4.055102040816326)","(2.6, 3.15, 3.1268867924528303)","(51.0, 55.0, 52.5)"
08-12-2022 15:12:58.268773,"(13.0, 17.5, 16.772727272727273)","(81.0, 180.0, 145.0)","(51.0, 65.0, 64.0)","(4.4, 5.4, 5.3302158273381295)","(8.5, 10.5, 10.042666666666667)","(20.0, 28.0, 27.18918918918919)","(101.0, 220.0, 194.28571428571428)","(3.5, 4.1, 4.055102040816326)","(2.6, 3.15, 3.138)","(51.0, 55.0, 52.5)"
08-12-2022 15:12:59.600637,"(13.0, 17.5, 16.772727272727273)","(81.0, 170.0, 162.85714285714286)","(51.0, 65.0, 64.0)","(4.4, 5.3, 5.252941176470588)","(8.5, 10.5, 10.089221556886228)","(20.0, 28.0, 27.205882352941178)","(101.0, 220.0, 194.28571428571428)","(3.5, 4.1, 4.009322033898305)","(2.6, 3.15, 3.143921568627451)","(51.0, 55.0, 52.5)"
08-12-2022 15:13:01.244599,"(13.0, 17.5, 16.845454545454544)","(81.0, 170.0, 157.5)","(51.0, 65.0, 64.11764705882354)","(4.4, 5.3, 5.185333333333333)","(8.5, 10.5, 10.108)","(20.0, 28.0, 27.27027027027027)","(101.0, 220.0, 197.5)","(3.5, 4.1, 4.02012987012987)","(2.6, 3.15, 3.143921568627451)","(41.0, 55.0, 52.666666666666664)"
08-12-2022 15:13:02.683238,"(13.0, 17.5, 16.845454545454544)","(81.0, 170.0, 157.5)","(51.0, 65.0, 64.11764705882354)","(4.4, 5.3, 5.123791821561338)","(8.5, 10.5, 10.231818181818182)","(20.0, 28.0, 27.41304347826087)","(101.0, 220.0, 202.85714285714286)","(3.5, 4.1, 4.069672131147541)","(2.6, 3.15, 3.1954128440366976)","(41.0, 55.0, 53.75)"
08-12-2022 15:13:04.297989,"(13.0, 17.5, 17.084415584415584)","(81.0, 170.0, 146.66666666666666)","(51.0, 65.0, 65.15625)","(4.4, 5.0, 4.933134328358209)","(8.5, 10.5, 10.26984126984127)","(20.0, 28.0, 27.517857142857142)","(101.0, 220.0, 213.33333333333334)","(3.5, 4.1, 4.03170731707317)","(2.7, 3.2, 3.1950000000000003)","(51.0, 55.0, 54.44444444444444)"
08-12-2022 15:13:05.852156,"(13.0, 17.5, 17.067961165048544)","(81.0, 180.0, 146.66666666666666)","(51.0, 70.0, 65.15625)","(4.4, 5.0, 5.066216216216216)","(8.5, 10.5, 10.26984126984127)","(20.0, 28.0, 27.06896551724138)","(101.0, 220.0, 213.33333333333334)","(3.5, 4.1, 3.9479591836734693)","(2.7, 3.2, 3.1950000000000003)","(51.0, 60.0, 54.44444444444444)"
08-12-2022 15:13:07.343402,"(13.0, 17.5, 17.068627450980394)","(81.0, 180.0, 153.33333333333334)","(51.0, 70.0, 65.16666666666667)","(4.4, 5.1, 5.030555555555555)","(8.5, 10.5, 10.276923076923078)","(20.0, 28.0, 27.1)","(101.0, 220.0, 213.33333333333334)","(3.5, 4.1, 3.9964646464646463)","(2.7, 3.2, 3.193801652892562)","(51.0, 60.0, 54.11764705882353)"
08-12-2022 15:13:08.687966,"(13.0, 17.5, 17.068627450980394)","(81.0, 180.0, 144.0)","(51.0, 70.0, 65.16666666666667)","(4.4, 5.1, 5.094230769230769)","(8.5, 10.5, 10.297520661157025)","(20.0, 28.0, 26.88235294117647)","(101.0, 220.0, 213.33333333333334)","(3.5, 4.0, 3.9886904761904765)","(2.7, 3.2, 3.1289141414141413)","(41.0, 60.0, 54.54545454545455)"
08-12-2022 15:13:10.637495,"(13.0, 17.5, 17.076923076923077)","(81.0, 180.0, 147.27272727272728)","(51.0, 70.0, 65.16666666666667)","(4.4, 5.1, 5.101818181818182)","(8.5, 10.5, 10.296875)","(20.0, 27.0, 26.884615384615383)","(101.0, 220.0, 213.33333333333334)","(3.5, 4.0, 3.9955445544554458)","(2.7, 3.15, 3.1275626423690204)","(41.0, 60.0, 54.642857142857146)"
08-12-2022 15:13:12.193945,"(13.0, 17.5, 17.076923076923077)","(81.0, 180.0, 153.0)","(51.0, 70.0, 65.16666666666667)","(4.4, 5.2, 5.123913043478261)","(8.5, 10.5, 10.277777777777779)","(20.0, 27.0, 26.866666666666667)","(101.0, 220.0, 213.33333333333334)","(3.5, 4.0, 4.000793650793651)","(2.7, 3.15, 3.1200564971751414)","(41.0, 60.0, 53.333333333333336)"
08-12-2022 15:13:13.737177,"(13.0, 17.5, 17.101063829787233)","(81.0, 180.0, 156.66666666666666)","(51.0, 70.0, 65.16666666666667)","(4.4, 5.2, 5.13)","(8.5, 10.5, 10.292372881355933)","(20.0, 27.0, 26.868852459016395)","(101.0, 220.0, 213.33333333333334)","(3.5, 4.1, 4.004651162790697)","(2.7, 3.15, 3.1163189269746647)","(41.0, 60.0, 53.47826086956522)"
08-12-2022 15:13:15.337473,"(13.0, 17.5, 17.101063829787233)","(81.0, 170.0, 165.0)","(51.0, 70.0, 65.16666666666667)","(4.4, 5.2, 5.159302325581395)","(8.5, 10.5, 10.170103092783505)","(20.0, 27.0, 26.88235294117647)","(101.0, 220.0, 217.77777777777777)","(3.5, 4.1, 4.018811881188118)","(2.7, 3.15, 3.1170553935860057)","(41.0, 60.0, 54.0)"
08-12-2022 15:13:16.932451,"(13.0, 17.5, 17.139423076923077)","(81.0, 170.0, 156.66666666666666)","(51.0, 70.0, 65.96153846153847)","(4.4, 5.2, 5.151388888888889)","(8.5, 10.5, 10.235294117647058)","(20.0, 27.0, 26.88235294117647)","(101.0, 220.0, 217.77777777777777)","(3.5, 4.1, 4.024307692307692)","(2.7, 3.15, 3.0952755905511813)","(41.0, 60.0, 54.0)"
