,Blackwood Johnny,Dewana Natural,Nitro Harvey,Disco Dance,Nitro Cannon,Dewana Boogie,Blitz Danger,Find Doh
20,"[datetime.datetime(2022, 11, 28, 18, 42, 44, 45707), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 44, 45707), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 44, 45707), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 44, 45707), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 44, 45707), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 44, 45707), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 44, 45707), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 44, 45707), 21.0, 70.0]"
21,"[datetime.datetime(2022, 11, 28, 18, 42, 45, 183585), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 45, 183585), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 45, 183585), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 45, 183585), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 45, 183585), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 45, 183585), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 45, 183585), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 45, 183585), 21.0, 70.0]"
22,"[datetime.datetime(2022, 11, 28, 18, 42, 46, 318697), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 46, 318697), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 46, 318697), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 46, 318697), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 46, 318697), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 46, 318697), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 46, 318697), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 46, 318697), 21.0, 70.0]"
23,"[datetime.datetime(2022, 11, 28, 18, 42, 47, 453355), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 47, 453355), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 47, 453355), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 47, 453355), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 47, 453355), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 47, 453355), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 47, 453355), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 47, 453355), 21.0, 70.0]"
24,"[datetime.datetime(2022, 11, 28, 18, 42, 48, 581542), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 48, 581542), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 48, 581542), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 48, 581542), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 48, 581542), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 48, 581542), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 48, 581542), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 48, 581542), 21.0, 70.0]"
25,"[datetime.datetime(2022, 11, 28, 18, 42, 49, 712482), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 49, 712482), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 49, 712482), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 49, 712482), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 49, 712482), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 49, 712482), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 49, 712482), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 49, 712482), 21.0, 70.0]"
26,"[datetime.datetime(2022, 11, 28, 18, 42, 50, 840952), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 50, 840952), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 50, 840952), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 50, 840952), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 50, 840952), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 50, 840952), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 50, 840952), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 50, 840952), 21.0, 70.0]"
27,"[datetime.datetime(2022, 11, 28, 18, 42, 51, 971699), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 51, 971699), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 51, 971699), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 51, 971699), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 51, 971699), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 51, 971699), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 51, 971699), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 51, 971699), 21.0, 70.0]"
28,"[datetime.datetime(2022, 11, 28, 18, 42, 53, 107820), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 53, 107820), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 53, 107820), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 53, 107820), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 53, 107820), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 53, 107820), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 53, 107820), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 53, 107820), 21.0, 70.0]"
29,"[datetime.datetime(2022, 11, 28, 18, 42, 54, 235591), 7.0, 12.5]","[datetime.datetime(2022, 11, 28, 18, 42, 54, 235591), 6.5, 11.0]","[datetime.datetime(2022, 11, 28, 18, 42, 54, 235591), 2.5, 3.9]","[datetime.datetime(2022, 11, 28, 18, 42, 54, 235591), 5.5, 11.5]","[datetime.datetime(2022, 11, 28, 18, 42, 54, 235591), 4.8, 7.6]","[datetime.datetime(2022, 11, 28, 18, 42, 54, 235591), 12.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 54, 235591), 11.0, 25.0]","[datetime.datetime(2022, 11, 28, 18, 42, 54, 235591), 21.0, 70.0]"
