,Stay Safe,Hes A Lucky Lad,Strike Now,Stylax,Pray Again,Dads Bigheaded,Ripon Falls,Melarab,Jarman,Losing Ticket,Tell Nothin,Time Stands Still
07-12-2022 19:00:13.172610,"(5.0, 7.0, 6.41747572815534)","(8.5, 13.0, 13.222222222222221)","(6.0, 7.0, 6.699999999999999)","(4.0, 4.8, 4.6)","(5.5, 7.0, 6.8)","(9.0, 15.5, 14.538461538461538)","(81.0, 95.0, 89.0)","(8.0, 11.0, 10.606060606060606)","(26.0, 40.0, 38.0)","(91.0, 150.0, 132.85714285714286)","(21.0, 26.0, 25.714285714285715)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:15.083067,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.222222222222221)","(6.0, 7.0, 6.76)","(4.0, 4.8, 4.6)","(5.5, 7.0, 6.8)","(9.0, 15.5, 14.764705882352942)","(81.0, 110.0, 85.0)","(8.0, 11.0, 10.620689655172415)","(26.0, 40.0, 38.0)","(91.0, 150.0, 132.85714285714286)","(21.0, 26.0, 25.714285714285715)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:16.744098,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.0, 6.76)","(4.0, 4.8, 4.5280000000000005)","(5.5, 7.0, 6.36)","(9.0, 15.5, 14.904761904761905)","(81.0, 100.0, 85.0)","(8.0, 11.0, 10.620689655172415)","(26.0, 40.0, 38.0)","(91.0, 150.0, 132.85714285714286)","(21.0, 26.0, 25.714285714285715)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:18.402301,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.0, 6.76)","(4.0, 4.8, 4.5280000000000005)","(5.5, 6.6, 6.36)","(9.0, 15.5, 14.904761904761905)","(81.0, 100.0, 85.0)","(8.0, 11.0, 10.620689655172415)","(26.0, 40.0, 38.0)","(91.0, 150.0, 132.85714285714286)","(21.0, 26.0, 25.714285714285715)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:20.022245,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.0, 6.76)","(4.0, 4.8, 4.5280000000000005)","(5.5, 6.6, 6.36)","(9.0, 15.5, 14.428571428571429)","(81.0, 100.0, 85.0)","(8.0, 11.0, 10.620689655172415)","(26.0, 40.0, 34.72727272727273)","(91.0, 150.0, 132.85714285714286)","(21.0, 26.0, 25.714285714285715)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:21.696280,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.0, 6.885714285714285)","(4.0, 4.8, 4.5280000000000005)","(5.5, 6.6, 6.36)","(9.0, 15.5, 14.428571428571429)","(81.0, 100.0, 85.0)","(8.0, 11.0, 10.620689655172415)","(26.0, 42.0, 34.82051282051282)","(91.0, 150.0, 132.85714285714286)","(21.0, 26.0, 25.714285714285715)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:23.323017,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.2, 6.936)","(4.0, 4.8, 4.5280000000000005)","(5.5, 6.6, 6.36)","(9.0, 15.5, 14.428571428571429)","(81.0, 100.0, 85.0)","(8.0, 11.0, 10.620689655172415)","(26.0, 42.0, 32.27777777777778)","(91.0, 150.0, 132.85714285714286)","(21.0, 26.0, 26.428571428571427)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:24.969660,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.2, 6.936)","(4.0, 4.8, 4.5280000000000005)","(5.5, 6.6, 6.36)","(9.0, 15.5, 14.428571428571429)","(81.0, 100.0, 98.33333333333333)","(8.0, 11.0, 10.620689655172415)","(26.0, 42.0, 34.666666666666664)","(91.0, 150.0, 132.85714285714286)","(21.0, 28.0, 27.0)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:26.520260,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.2, 6.936)","(4.0, 4.8, 4.5280000000000005)","(5.5, 6.6, 6.36)","(9.0, 15.5, 14.764705882352942)","(81.0, 110.0, 98.33333333333333)","(8.0, 11.0, 10.620689655172415)","(26.0, 40.0, 34.666666666666664)","(91.0, 150.0, 132.85714285714286)","(21.0, 28.0, 27.0)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:28.153998,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.2, 6.936)","(4.0, 4.8, 4.5280000000000005)","(5.5, 6.6, 6.36)","(9.0, 15.5, 14.764705882352942)","(81.0, 110.0, 98.33333333333333)","(8.0, 11.0, 10.620689655172415)","(26.0, 40.0, 34.666666666666664)","(91.0, 150.0, 132.85714285714286)","(21.0, 28.0, 27.0)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:29.774014,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.2, 6.936)","(4.0, 4.8, 4.5280000000000005)","(5.5, 6.6, 6.36)","(9.0, 15.5, 14.764705882352942)","(81.0, 110.0, 98.33333333333333)","(8.0, 11.0, 10.620689655172415)","(26.0, 40.0, 34.666666666666664)","(91.0, 150.0, 132.85714285714286)","(21.0, 28.0, 27.0)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:31.337257,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.2, 6.936)","(4.0, 4.8, 4.5280000000000005)","(5.5, 6.6, 6.345454545454546)","(9.0, 15.5, 14.071428571428571)","(81.0, 110.0, 98.33333333333333)","(8.0, 11.0, 10.620689655172415)","(26.0, 40.0, 32.27777777777778)","(91.0, 150.0, 132.85714285714286)","(21.0, 28.0, 27.0)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:32.808717,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.2, 6.946153846153846)","(4.0, 4.8, 4.477777777777778)","(5.5, 6.6, 6.345454545454546)","(9.0, 15.5, 14.428571428571429)","(81.0, 110.0, 98.33333333333333)","(8.0, 11.0, 10.620689655172415)","(26.0, 42.0, 32.27777777777778)","(91.0, 150.0, 132.85714285714286)","(21.0, 29.0, 26.857142857142858)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:34.350049,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.2, 6.936)","(4.0, 4.6, 4.477777777777778)","(5.5, 6.6, 6.345454545454546)","(9.0, 15.5, 14.428571428571429)","(81.0, 110.0, 98.33333333333333)","(8.0, 11.0, 10.620689655172415)","(26.0, 42.0, 33.25)","(91.0, 150.0, 132.85714285714286)","(21.0, 29.0, 27.636363636363637)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:35.786328,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.2, 6.936)","(4.0, 4.6, 4.477777777777778)","(5.5, 6.6, 6.345454545454546)","(9.0, 15.5, 14.428571428571429)","(81.0, 110.0, 95.0)","(8.0, 11.0, 10.620689655172415)","(26.0, 42.0, 33.25)","(91.0, 150.0, 132.85714285714286)","(21.0, 29.0, 27.636363636363637)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:37.215579,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.2, 6.936)","(4.0, 4.6, 4.477777777777778)","(5.5, 6.6, 6.345454545454546)","(9.0, 15.5, 14.428571428571429)","(81.0, 110.0, 95.0)","(8.0, 11.0, 10.620689655172415)","(26.0, 42.0, 36.0)","(91.0, 150.0, 132.85714285714286)","(21.0, 29.0, 27.636363636363637)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:38.666607,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.2, 6.936)","(4.0, 4.6, 4.477777777777778)","(5.5, 6.6, 6.345454545454546)","(9.0, 15.5, 14.38888888888889)","(81.0, 110.0, 95.0)","(8.0, 11.0, 10.620689655172415)","(26.0, 40.0, 36.0)","(91.0, 150.0, 132.85714285714286)","(21.0, 29.0, 27.333333333333332)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:40.220288,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.2, 6.936)","(4.0, 4.6, 4.477777777777778)","(5.5, 6.6, 6.345454545454546)","(9.0, 15.5, 14.38888888888889)","(81.0, 110.0, 95.0)","(8.0, 11.0, 10.620689655172415)","(26.0, 40.0, 36.0)","(91.0, 150.0, 132.85714285714286)","(21.0, 29.0, 27.333333333333332)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:41.665011,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.2, 6.936)","(4.0, 4.6, 4.477777777777778)","(5.5, 6.6, 6.345454545454546)","(9.0, 15.5, 14.38888888888889)","(81.0, 110.0, 95.0)","(8.0, 11.0, 10.620689655172415)","(26.0, 40.0, 36.0)","(91.0, 150.0, 132.85714285714286)","(21.0, 29.0, 27.333333333333332)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:43.086219,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.2, 6.936)","(4.0, 4.6, 4.477777777777778)","(5.5, 6.6, 6.345454545454546)","(9.0, 15.5, 14.38888888888889)","(81.0, 110.0, 95.0)","(8.0, 11.0, 10.620689655172415)","(26.0, 40.0, 36.0)","(91.0, 150.0, 132.85714285714286)","(21.0, 29.0, 27.333333333333332)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:44.502536,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.2, 6.936)","(4.0, 4.6, 4.477777777777778)","(5.5, 6.6, 6.345454545454546)","(9.0, 15.5, 14.428571428571429)","(81.0, 110.0, 95.0)","(8.0, 11.0, 10.620689655172415)","(26.0, 40.0, 36.0)","(91.0, 150.0, 132.85714285714286)","(21.0, 29.0, 27.333333333333332)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:45.973560,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.2, 6.936)","(4.0, 4.6, 4.477777777777778)","(5.5, 6.6, 6.345454545454546)","(9.0, 15.5, 14.428571428571429)","(81.0, 110.0, 95.0)","(8.0, 11.0, 10.620689655172415)","(26.0, 40.0, 36.0)","(91.0, 150.0, 132.85714285714286)","(21.0, 29.0, 27.333333333333332)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:47.433957,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.2, 6.936)","(4.0, 4.6, 4.477777777777778)","(5.5, 6.6, 6.064)","(9.0, 15.5, 14.428571428571429)","(81.0, 110.0, 95.0)","(8.0, 11.0, 10.620689655172415)","(26.0, 40.0, 36.0)","(91.0, 150.0, 132.85714285714286)","(21.0, 29.0, 27.333333333333332)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:48.857076,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.2, 6.936)","(4.0, 4.6, 4.477777777777778)","(5.5, 6.4, 6.064)","(9.0, 15.5, 14.428571428571429)","(81.0, 110.0, 95.0)","(8.0, 11.0, 10.620689655172415)","(26.0, 40.0, 36.0)","(91.0, 150.0, 127.5)","(21.0, 29.0, 27.333333333333332)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:50.291038,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.2, 6.946153846153846)","(4.0, 4.6, 4.477777777777778)","(5.5, 6.4, 6.064)","(10.0, 15.5, 14.428571428571429)","(71.0, 110.0, 95.0)","(8.5, 11.0, 10.620689655172415)","(31.0, 40.0, 36.0)","(101.0, 150.0, 127.5)","(21.0, 29.0, 27.333333333333332)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:51.727312,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.2, 6.946153846153846)","(4.0, 4.6, 4.477777777777778)","(5.5, 6.4, 6.064)","(10.0, 15.5, 14.428571428571429)","(71.0, 110.0, 95.0)","(8.5, 11.0, 10.620689655172415)","(31.0, 40.0, 36.0)","(101.0, 150.0, 127.5)","(21.0, 29.0, 27.333333333333332)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:53.180562,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.2, 6.946153846153846)","(4.0, 4.6, 4.477777777777778)","(5.5, 6.4, 6.064)","(10.0, 15.5, 14.428571428571429)","(71.0, 110.0, 95.0)","(8.5, 11.0, 10.620689655172415)","(31.0, 40.0, 36.0)","(101.0, 150.0, 127.5)","(21.0, 29.0, 27.333333333333332)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:54.555083,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.2, 6.946153846153846)","(4.0, 4.6, 4.477777777777778)","(5.5, 6.4, 6.064)","(10.0, 15.5, 14.428571428571429)","(71.0, 110.0, 89.0)","(8.5, 11.0, 10.620689655172415)","(31.0, 40.0, 36.0)","(101.0, 150.0, 127.5)","(21.0, 29.0, 27.333333333333332)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:55.859435,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.2, 6.946153846153846)","(4.0, 4.6, 4.477777777777778)","(5.5, 6.4, 6.064)","(10.0, 15.5, 14.428571428571429)","(71.0, 110.0, 89.0)","(8.5, 11.0, 10.620689655172415)","(31.0, 40.0, 36.0)","(101.0, 150.0, 127.5)","(21.0, 29.0, 27.333333333333332)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:57.173507,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.2, 6.946153846153846)","(4.0, 4.6, 4.477777777777778)","(5.5, 6.4, 6.064)","(10.0, 15.5, 14.38888888888889)","(71.0, 110.0, 89.0)","(8.5, 11.0, 10.620689655172415)","(31.0, 40.0, 36.0)","(101.0, 150.0, 127.5)","(21.0, 29.0, 27.333333333333332)","(51.0, 70.0, 62.5)"
07-12-2022 19:00:58.674242,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.2, 6.946153846153846)","(4.0, 4.6, 4.477777777777778)","(5.5, 6.4, 6.064)","(10.0, 15.5, 14.38888888888889)","(71.0, 110.0, 89.0)","(8.5, 11.0, 10.620689655172415)","(31.0, 40.0, 36.0)","(101.0, 150.0, 127.5)","(21.0, 29.0, 27.333333333333332)","(51.0, 70.0, 62.5)"
07-12-2022 19:01:00.096149,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.25)","(6.0, 7.2, 6.946153846153846)","(4.0, 4.6, 4.477777777777778)","(5.5, 6.4, 6.064)","(10.0, 15.5, 15.12962962962963)","(71.0, 110.0, 89.0)","(8.5, 11.0, 10.620689655172415)","(31.0, 40.0, 36.0)","(101.0, 150.0, 127.5)","(21.0, 29.0, 27.333333333333332)","(51.0, 70.0, 62.5)"
07-12-2022 19:01:01.467085,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 12.944444444444445)","(6.0, 7.2, 6.946153846153846)","(4.0, 4.6, 4.477777777777778)","(5.5, 6.4, 5.915384615384616)","(10.0, 15.5, 15.12962962962963)","(71.0, 110.0, 89.0)","(8.5, 11.0, 10.620689655172415)","(31.0, 40.0, 36.0)","(101.0, 150.0, 127.5)","(21.0, 29.0, 27.333333333333332)","(51.0, 70.0, 62.5)"
07-12-2022 19:01:02.796212,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 12.944444444444445)","(6.0, 7.2, 6.946153846153846)","(4.0, 4.6, 4.477777777777778)","(5.5, 6.4, 5.8225)","(10.0, 15.5, 14.818181818181818)","(71.0, 110.0, 89.0)","(8.5, 11.0, 10.620689655172415)","(31.0, 40.0, 36.0)","(101.0, 150.0, 127.5)","(21.0, 29.0, 27.333333333333332)","(51.0, 70.0, 62.5)"
07-12-2022 19:01:04.372191,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.125)","(6.0, 7.2, 6.910344827586207)","(4.0, 4.6, 4.477777777777778)","(5.5, 6.2, 5.8103225806451615)","(10.0, 15.5, 14.818181818181818)","(71.0, 110.0, 89.0)","(8.5, 11.0, 10.620689655172415)","(31.0, 40.0, 36.0)","(101.0, 150.0, 127.5)","(21.0, 29.0, 27.333333333333332)","(51.0, 70.0, 62.5)"
07-12-2022 19:01:05.809536,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.5, 13.055555555555555)","(6.0, 7.2, 6.68235294117647)","(4.0, 4.6, 4.607692307692308)","(5.5, 6.2, 5.936627906976745)","(10.0, 15.5, 14.818181818181818)","(71.0, 110.0, 89.0)","(8.5, 11.0, 11.142857142857142)","(31.0, 40.0, 38.333333333333336)","(101.0, 150.0, 127.5)","(21.0, 29.0, 27.0)","(51.0, 70.0, 62.5)"
07-12-2022 19:01:07.285853,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.0, 12.75)","(6.0, 7.0, 6.6625)","(4.0, 4.7, 4.614285714285715)","(5.5, 6.2, 5.936627906976745)","(10.0, 15.5, 14.818181818181818)","(71.0, 110.0, 89.0)","(8.5, 12.0, 11.15)","(31.0, 40.0, 38.333333333333336)","(101.0, 150.0, 127.5)","(21.0, 28.0, 27.0)","(51.0, 70.0, 62.5)"
07-12-2022 19:01:08.808085,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.0, 12.75)","(6.0, 7.0, 6.6625)","(4.0, 4.7, 4.614285714285715)","(5.5, 6.2, 5.936627906976745)","(10.0, 15.5, 14.666666666666666)","(71.0, 110.0, 89.0)","(8.5, 12.0, 11.15)","(31.0, 40.0, 38.333333333333336)","(101.0, 150.0, 127.5)","(21.0, 28.0, 27.0)","(51.0, 70.0, 62.5)"
07-12-2022 19:01:10.362919,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.0, 12.75)","(6.0, 7.0, 6.6625)","(4.0, 4.7, 4.614285714285715)","(5.5, 6.2, 5.948837209302326)","(10.0, 15.5, 14.666666666666666)","(71.0, 110.0, 89.0)","(8.5, 12.0, 11.15)","(31.0, 40.0, 38.333333333333336)","(101.0, 150.0, 127.5)","(21.0, 28.0, 27.0)","(51.0, 70.0, 62.5)"
07-12-2022 19:01:11.761628,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.0, 12.75)","(6.0, 7.0, 6.6625)","(4.0, 4.7, 4.614285714285715)","(5.5, 6.2, 5.948837209302326)","(10.0, 15.5, 14.666666666666666)","(71.0, 110.0, 89.0)","(8.5, 12.0, 11.15)","(31.0, 40.0, 38.333333333333336)","(101.0, 150.0, 127.5)","(21.0, 28.0, 27.0)","(51.0, 70.0, 62.5)"
07-12-2022 19:01:13.171964,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.0, 12.75)","(6.0, 7.0, 6.6625)","(4.0, 4.7, 4.614285714285715)","(5.5, 6.2, 5.948837209302326)","(10.0, 15.5, 14.666666666666666)","(71.0, 110.0, 89.0)","(8.5, 12.0, 11.15)","(31.0, 40.0, 38.333333333333336)","(101.0, 150.0, 127.5)","(21.0, 28.0, 27.0)","(51.0, 70.0, 62.5)"
07-12-2022 19:01:14.752840,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.0, 12.75)","(6.0, 7.0, 6.6625)","(4.0, 4.7, 4.614285714285715)","(5.5, 6.2, 5.948837209302326)","(10.0, 15.5, 14.666666666666666)","(71.0, 110.0, 89.0)","(8.5, 12.0, 11.15)","(31.0, 40.0, 38.333333333333336)","(101.0, 150.0, 127.5)","(21.0, 28.0, 27.0)","(51.0, 70.0, 62.5)"
07-12-2022 19:01:16.302026,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.0, 12.75)","(6.0, 7.0, 6.6625)","(4.0, 4.7, 4.614285714285715)","(5.5, 6.2, 5.948837209302326)","(10.0, 15.5, 14.666666666666666)","(71.0, 110.0, 89.0)","(8.5, 12.0, 11.15)","(31.0, 40.0, 38.333333333333336)","(101.0, 150.0, 127.5)","(21.0, 28.0, 27.0)","(51.0, 70.0, 62.5)"
07-12-2022 19:01:17.857926,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.0, 12.75)","(6.0, 7.0, 6.6625)","(4.0, 4.7, 4.614285714285715)","(5.5, 6.2, 5.948837209302326)","(10.0, 15.5, 15.0)","(71.0, 110.0, 89.0)","(8.5, 12.0, 11.15)","(31.0, 40.0, 38.333333333333336)","(101.0, 150.0, 127.5)","(21.0, 28.0, 27.0)","(51.0, 70.0, 62.5)"
07-12-2022 19:01:19.440108,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.0, 12.75)","(6.0, 7.0, 6.6625)","(4.0, 4.7, 4.614285714285715)","(5.5, 6.2, 5.948837209302326)","(10.0, 15.5, 15.0)","(71.0, 110.0, 89.0)","(8.5, 12.0, 11.32)","(31.0, 40.0, 38.333333333333336)","(101.0, 150.0, 127.5)","(21.0, 28.0, 27.0)","(51.0, 70.0, 62.5)"
07-12-2022 19:01:20.929988,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.0, 12.75)","(6.0, 7.0, 6.6869565217391305)","(4.0, 4.7, 4.614285714285715)","(5.5, 6.2, 5.948837209302326)","(10.0, 15.5, 15.0)","(71.0, 110.0, 89.0)","(8.5, 12.0, 11.32)","(31.0, 40.0, 38.333333333333336)","(101.0, 150.0, 127.5)","(21.0, 28.0, 27.0)","(51.0, 70.0, 62.5)"
07-12-2022 19:01:22.462466,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.0, 12.75)","(6.0, 7.0, 6.8)","(4.0, 4.7, 4.614285714285715)","(5.5, 6.2, 5.948837209302326)","(10.0, 15.5, 15.0)","(71.0, 110.0, 89.0)","(8.5, 12.0, 11.32)","(31.0, 40.0, 38.333333333333336)","(101.0, 150.0, 127.5)","(21.0, 28.0, 27.0)","(51.0, 70.0, 62.5)"
07-12-2022 19:01:24.047504,"(5.0, 7.0, 6.441860465116279)","(8.5, 13.0, 12.75)","(6.0, 7.0, 6.8)","(4.0, 4.7, 4.614285714285715)","(5.5, 6.2, 5.948837209302326)","(10.0, 15.5, 15.0)","(71.0, 110.0, 89.0)","(8.5, 12.0, 11.32)","(31.0, 40.0, 38.333333333333336)","(101.0, 150.0, 127.5)","(21.0, 28.0, 27.0)","(51.0, 70.0, 62.5)"
