,Coalville Flyer,Black Eyed Peas,Charizard,Poppy To Burn,Stengle,Chers Hand,Boot A Dream
05-01-2023 16:15:31.816340,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:32.798310,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:33.833832,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:34.808552,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:35.796934,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:36.859912,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:37.925311,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:38.996153,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:40.104892,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:41.144210,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:42.111787,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:43.059254,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:43.990070,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:44.969676,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:45.970910,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:46.999457,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:47.957135,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:48.903066,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 5.407446808510638)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:49.914983,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 4.480769230769231)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:50.888592,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 4.480769230769231)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:51.816803,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 4.480769230769231)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:52.752652,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 4.480769230769231)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:53.702220,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 4.480769230769231)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:54.703554,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 4.480769230769231)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:55.721963,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 4.480769230769231)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:56.675371,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 4.480769230769231)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:57.700243,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 4.480769230769231)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:58.699358,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 4.480769230769231)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:15:59.692908,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 4.480769230769231)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:16:00.709122,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 4.480769230769231)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:16:01.667076,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 4.480769230769231)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:16:02.624999,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 4.480769230769231)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
05-01-2023 16:16:03.593111,"(3.2, 4.4, 3.3545454545454545)","(6.5, 12.5, 10.82)","(3.3, 6.2, 3.533333333333333)","(13.0, 29.0, 27.5)","(3.8, 6.6, 4.480769230769231)","(8.5, 16.5, 9.385714285714284)","(14.0, 32.0, 28.75)"
