,Fly For Yulong,Demurral,Kings County,Tower Road,Age Of Innocence,Marndarra
16-12-2022 12:41:13.516614,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:14.416547,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:15.357708,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:16.305976,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:17.207428,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:18.092666,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:18.982848,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:19.856190,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:20.736980,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:21.759548,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:22.713819,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:23.665499,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:24.621817,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:25.643890,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:26.582100,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:27.563268,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:28.477861,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:29.333260,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:30.265688,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:31.157436,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:32.111543,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:33.036226,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:34.020155,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:34.882765,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:35.764221,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:36.612511,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:37.501206,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:38.466687,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:39.397518,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:40.317343,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:41.265657,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:42.179043,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:43.071395,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:43.982114,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:44.848513,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:45.739421,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:46.747072,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:47.704060,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:48.542270,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:49.420896,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:50.305265,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:51.251969,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:52.195077,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:53.157056,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:54.069223,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:55.066429,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:56.062874,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:56.918967,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:57.825610,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:58.750259,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:41:59.691913,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:42:00.585255,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 16.666666666666668)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 163.33333333333334)"
16-12-2022 12:42:01.519315,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 19.0)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 163.33333333333334)"
16-12-2022 12:42:02.408528,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 19.0)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 163.33333333333334)"
16-12-2022 12:42:03.371782,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 19.0)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 163.33333333333334)"
16-12-2022 12:42:04.263796,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 19.0)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 163.33333333333334)"
16-12-2022 12:42:05.306112,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 19.0)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 163.33333333333334)"
16-12-2022 12:42:06.422726,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.125)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 19.0)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 163.33333333333334)"
16-12-2022 12:42:07.495181,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.5)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 19.0)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:42:08.565390,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.416666666666668)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 19.0)","(1.3, 1.42, 1.3932142857142855)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:42:09.568546,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.416666666666668)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 19.0)","(1.3, 1.42, 1.4041269841269841)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:42:10.546313,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.416666666666668)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 19.0)","(1.3, 1.42, 1.401132075471698)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:42:11.493292,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.416666666666668)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 19.0)","(1.3, 1.42, 1.401132075471698)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:42:12.523959,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.416666666666668)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 19.0)","(1.3, 1.42, 1.401132075471698)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:42:13.412081,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.416666666666668)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 19.0)","(1.3, 1.42, 1.401132075471698)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:42:14.449349,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.416666666666668)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 19.0)","(1.3, 1.42, 1.401132075471698)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:42:15.510667,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.416666666666668)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 19.0)","(1.3, 1.42, 1.401132075471698)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:42:16.467016,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.416666666666668)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 19.0)","(1.3, 1.42, 1.401132075471698)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:42:17.445508,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.416666666666668)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 19.0)","(1.3, 1.42, 1.401132075471698)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:42:18.384483,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.416666666666668)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 19.0)","(1.3, 1.42, 1.401132075471698)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:42:19.391794,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.416666666666668)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 19.0)","(1.3, 1.42, 1.401132075471698)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:42:20.447348,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.416666666666668)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 19.0)","(1.3, 1.42, 1.401132075471698)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:42:21.469383,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.416666666666668)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 19.0)","(1.3, 1.42, 1.401132075471698)","(101.0, 230.0, 211.66666666666666)"
16-12-2022 12:42:22.583977,"(4.6, 6.8, 6.328571428571428)","(12.0, 18.0, 17.416666666666668)","(15.0, 24.0, 21.666666666666668)","(10.0, 22.0, 19.0)","(1.3, 1.42, 1.401132075471698)","(101.0, 230.0, 211.66666666666666)"
