,Gospel Musketeer,Just A Irish Lad,Kwontro,Mister Wayside,Frigerator,Yankee Indian
16-12-2022 15:01:25.041190,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.36, 2.3401785714285714)","(13.0, 22.0, 17.4)","(2.9, 3.65, 3.2021739130434783)"
16-12-2022 15:01:26.043962,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.36, 2.3401785714285714)","(13.0, 22.0, 17.4)","(2.9, 3.65, 3.2021739130434783)"
16-12-2022 15:01:26.941178,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.36, 2.3401785714285714)","(13.0, 22.0, 17.4)","(2.9, 3.65, 3.2021739130434783)"
16-12-2022 15:01:27.861378,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.36, 2.3401785714285714)","(13.0, 22.0, 17.4)","(2.9, 3.65, 3.2021739130434783)"
16-12-2022 15:01:28.878332,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.36, 2.3401785714285714)","(13.0, 22.0, 17.4)","(2.9, 3.65, 3.2021739130434783)"
16-12-2022 15:01:29.941160,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.34, 2.2279999999999998)","(13.0, 22.0, 17.4)","(2.9, 3.7, 3.556)"
16-12-2022 15:01:30.970378,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.32, 2.215238095238095)","(13.0, 22.0, 17.4)","(2.9, 3.65, 3.135)"
16-12-2022 15:01:31.948195,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.32, 2.215238095238095)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.2800000000000002)"
16-12-2022 15:01:32.874748,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.8776470588235297)"
16-12-2022 15:01:33.889430,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.2800000000000002)"
16-12-2022 15:01:34.886807,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.7, 3.46)"
16-12-2022 15:01:35.848782,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.9863157894736845)"
16-12-2022 15:01:36.762889,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.9863157894736845)"
16-12-2022 15:01:37.716856,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.9863157894736845)"
16-12-2022 15:01:38.715935,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.9863157894736845)"
16-12-2022 15:01:39.708242,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.9863157894736845)"
16-12-2022 15:01:40.770643,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.9863157894736845)"
16-12-2022 15:01:41.737455,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.5)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.9863157894736845)"
16-12-2022 15:01:42.739076,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.75)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.9863157894736845)"
16-12-2022 15:01:43.657435,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.75)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.9863157894736845)"
16-12-2022 15:01:44.587748,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.75)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.9863157894736845)"
16-12-2022 15:01:45.501388,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.75)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.9863157894736845)"
16-12-2022 15:01:46.485469,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.75)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.085714285714286)"
16-12-2022 15:01:47.422899,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.75)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.272727272727273)"
16-12-2022 15:01:48.560944,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 318.7142857142857)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.272727272727273)"
16-12-2022 15:01:49.551857,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 318.7142857142857)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.272727272727273)"
16-12-2022 15:01:50.608988,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 318.7142857142857)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.482666666666667)"
16-12-2022 15:01:51.720768,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 318.7142857142857)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.482666666666667)"
16-12-2022 15:01:52.794715,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 318.7142857142857)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.482666666666667)"
16-12-2022 15:01:53.785477,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 318.7142857142857)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.482666666666667)"
16-12-2022 15:01:54.680542,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 318.7142857142857)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.482666666666667)"
16-12-2022 15:01:55.595606,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 318.7142857142857)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.482666666666667)"
16-12-2022 15:01:56.614447,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 318.7142857142857)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.482666666666667)"
16-12-2022 15:01:57.563513,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 318.7142857142857)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.482666666666667)"
16-12-2022 15:01:58.457957,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 318.7142857142857)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.482666666666667)"
16-12-2022 15:01:59.420755,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 318.7142857142857)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.482666666666667)"
16-12-2022 15:02:00.389814,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 318.7142857142857)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.34)"
16-12-2022 15:02:01.325300,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 318.7142857142857)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.482666666666667)"
16-12-2022 15:02:02.285213,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 318.7142857142857)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.17)"
16-12-2022 15:02:03.310937,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 318.7142857142857)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.17)"
16-12-2022 15:02:04.342071,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 318.7142857142857)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.17)"
16-12-2022 15:02:05.391331,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 318.7142857142857)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.17)"
16-12-2022 15:02:06.299289,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 227.75)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.17)"
16-12-2022 15:02:07.234394,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.17)"
16-12-2022 15:02:08.249866,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.17)"
16-12-2022 15:02:09.263080,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.17)"
16-12-2022 15:02:10.162214,"(9.0, 29.0, 18.700000000000003)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.17)"
16-12-2022 15:02:11.192093,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.17)"
16-12-2022 15:02:12.166427,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.17)"
16-12-2022 15:02:13.149737,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.17)"
16-12-2022 15:02:14.028081,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.17)"
16-12-2022 15:02:15.022817,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 2.9541176470588235)"
16-12-2022 15:02:16.033150,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.9541176470588235)"
16-12-2022 15:02:17.087646,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.65, 3.041052631578947)"
16-12-2022 15:02:18.079929,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.65, 3.041052631578947)"
16-12-2022 15:02:19.137538,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.984705882352941)"
16-12-2022 15:02:20.194595,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.984705882352941)"
16-12-2022 15:02:21.245047,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.984705882352941)"
16-12-2022 15:02:22.193441,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.984705882352941)"
16-12-2022 15:02:23.143762,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.984705882352941)"
16-12-2022 15:02:24.098527,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.984705882352941)"
16-12-2022 15:02:25.122797,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.984705882352941)"
16-12-2022 15:02:26.081305,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.984705882352941)"
16-12-2022 15:02:26.963466,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.984705882352941)"
16-12-2022 15:02:27.999291,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.984705882352941)"
16-12-2022 15:02:29.032590,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.984705882352941)"
16-12-2022 15:02:29.999956,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.65, 2.984705882352941)"
16-12-2022 15:02:30.897376,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.65, 3.19)"
16-12-2022 15:02:31.935815,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.453333333333333)"
16-12-2022 15:02:33.033170,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.453333333333333)"
16-12-2022 15:02:34.138345,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.17)"
16-12-2022 15:02:35.071956,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.3542857142857145)"
16-12-2022 15:02:36.068309,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.3542857142857145)"
16-12-2022 15:02:37.096369,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.3542857142857145)"
16-12-2022 15:02:38.059620,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.3542857142857145)"
16-12-2022 15:02:39.006223,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.3542857142857145)"
16-12-2022 15:02:40.051841,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.3542857142857145)"
16-12-2022 15:02:41.075138,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.3542857142857145)"
16-12-2022 15:02:42.086909,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.3542857142857145)"
16-12-2022 15:02:43.123780,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.3542857142857145)"
16-12-2022 15:02:44.235641,"(9.0, 29.0, 22.066666666666666)","(5.5, 9.6, 8.428571428571427)","(19.0, 440.0, 228.0)","(2.35, 2.32, 2.18962962962963)","(13.0, 22.0, 17.4)","(2.9, 3.6, 3.3542857142857145)"
