,Rothwell Whinny,Federal Flash,Pennys Jade,Trending Xara,Call Waiting,Caesars Palace,Stopped Short
11-01-2023 11:11:48.795889,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.9166666666666667)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:11:49.738751,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.9166666666666667)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:11:50.685268,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.9166666666666667)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:11:51.652424,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.9166666666666667)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:11:52.643021,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.9166666666666667)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:11:53.716284,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.9166666666666667)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:11:54.688175,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.9166666666666667)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:11:55.726145,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.9166666666666667)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:11:56.740816,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.9166666666666667)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:11:57.730604,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.9166666666666667)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:11:58.674961,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:11:59.628995,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:00.601803,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:01.579724,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:02.543783,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:03.495008,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:04.499165,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:05.458477,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:06.479059,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:07.477389,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:08.452437,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:09.414700,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:10.422531,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:11.355134,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:12.406340,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:13.351309,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:14.367352,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:15.424875,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:16.449899,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:17.487954,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:18.590228,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:19.657202,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:20.706222,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:21.680906,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:22.642506,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:23.627023,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:24.572986,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:25.521204,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:26.527501,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:27.579424,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:28.615482,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:29.708217,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:30.785011,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:31.851845,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:32.926580,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:34.017903,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:35.051371,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:36.068886,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:37.138401,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:38.204852,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:39.220281,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:40.250191,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:41.203007,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:42.181950,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:43.135738,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:44.111737,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:45.077664,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:46.134879,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.2807999999999997)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:47.139974,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.925)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:48.160719,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.925)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:49.204521,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.925)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:50.223678,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.925)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:51.184006,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.925)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:52.189017,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.925)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:53.145224,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.925)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:54.110139,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.925)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:55.074663,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.925)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:56.039424,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.925)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:57.050716,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 1.925)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:58.083913,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.05)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:12:59.095597,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:13:00.172135,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:13:01.207816,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:13:02.269879,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:13:03.290906,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:13:04.313064,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:13:05.311649,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:13:06.237812,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:13:07.185259,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:13:08.166464,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:13:09.132110,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:13:10.088502,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
11-01-2023 11:13:11.108944,"(20.0, 60.0, 36.94444444444444)","(2.7, 4.5, 3.2199999999999998)","(26.0, 270.0, 95.0)","(6.0, 10.5, 6.27)","(1.8, 2.3, 2.033333333333333)","(17.0, 48.0, 27.375)","(17.0, 46.0, 31.681818181818183)"
