,Poorans Ganguly,Harley John,Hurunui Ice,Sweet Junior,Homebush Lovely,Cosmic Teddy,Princely Asset,Roanne
06-01-2023 09:08:28.968346,"(11.0, 23.0, 18.833333333333336)","(11.0, 25.0, 13.45)","(5.0, 11.0, 10.7375)","(18.0, 160.0, 88.5)","(31.0, 320.0, 223.33333333333334)","(7.0, 14.5, 8.690909090909091)","(11.0, 26.0, 18.25)","(1.6, 1.64, 1.6179999999999999)"
06-01-2023 09:08:30.086836,"(11.0, 23.0, 18.833333333333336)","(11.0, 25.0, 13.45)","(5.0, 11.0, 10.7375)","(18.0, 160.0, 88.5)","(31.0, 320.0, 223.33333333333334)","(7.0, 14.5, 8.690909090909091)","(11.0, 26.0, 18.25)","(1.6, 1.64, 1.6179999999999999)"
06-01-2023 09:08:31.202663,"(11.0, 24.0, 15.9)","(11.0, 25.0, 13.45)","(5.0, 11.0, 10.7375)","(18.0, 160.0, 88.5)","(31.0, 320.0, 223.33333333333334)","(7.0, 14.5, 8.977777777777778)","(11.0, 26.0, 18.25)","(1.6, 1.64, 1.6068292682926828)"
06-01-2023 09:08:32.281993,"(11.0, 24.0, 15.9)","(11.0, 25.0, 13.45)","(5.0, 11.0, 10.7375)","(18.0, 160.0, 139.57142857142856)","(31.0, 320.0, 223.33333333333334)","(7.0, 14.5, 8.977777777777778)","(11.0, 26.0, 18.25)","(1.6, 1.64, 1.6068292682926828)"
06-01-2023 09:08:33.308829,"(11.0, 24.0, 15.9)","(11.0, 25.0, 13.45)","(5.0, 11.0, 10.7375)","(18.0, 160.0, 139.57142857142856)","(31.0, 320.0, 223.33333333333334)","(7.0, 14.5, 8.977777777777778)","(11.0, 26.0, 18.25)","(1.6, 1.64, 1.6068292682926828)"
06-01-2023 09:08:34.350765,"(11.0, 24.0, 15.9)","(11.0, 25.0, 13.45)","(5.0, 11.0, 10.7375)","(18.0, 160.0, 139.57142857142856)","(31.0, 320.0, 223.33333333333334)","(7.0, 14.5, 8.977777777777778)","(11.0, 26.0, 18.25)","(1.6, 1.64, 1.6068292682926828)"
06-01-2023 09:08:35.364488,"(11.0, 24.0, 15.9)","(11.0, 25.0, 13.45)","(5.0, 11.0, 10.7375)","(18.0, 160.0, 139.57142857142856)","(31.0, 320.0, 223.33333333333334)","(7.0, 14.5, 8.977777777777778)","(11.0, 26.0, 18.25)","(1.6, 1.64, 1.6068292682926828)"
06-01-2023 09:08:36.452378,"(11.0, 24.0, 15.9)","(11.0, 25.0, 13.45)","(5.0, 11.0, 10.7375)","(18.0, 160.0, 139.57142857142856)","(31.0, 320.0, 272.0)","(7.0, 14.5, 8.977777777777778)","(11.0, 26.0, 18.25)","(1.6, 1.64, 1.6068292682926828)"
06-01-2023 09:08:37.468914,"(11.0, 24.0, 15.9)","(11.0, 25.0, 13.45)","(5.0, 11.0, 10.7375)","(18.0, 160.0, 139.57142857142856)","(31.0, 320.0, 288.0)","(7.0, 14.5, 8.977777777777778)","(11.0, 26.0, 18.25)","(1.6, 1.64, 1.6068292682926828)"
06-01-2023 09:08:38.519044,"(11.0, 23.0, 18.833333333333336)","(11.0, 25.0, 13.45)","(5.0, 11.0, 10.7375)","(18.0, 160.0, 139.57142857142856)","(31.0, 320.0, 288.0)","(7.0, 15.5, 10.64)","(11.0, 26.0, 18.25)","(1.6, 1.64, 1.6068292682926828)"
06-01-2023 09:08:39.519328,"(11.0, 23.0, 18.833333333333336)","(11.0, 25.0, 13.45)","(5.0, 11.0, 10.7375)","(18.0, 160.0, 139.57142857142856)","(31.0, 320.0, 288.0)","(7.0, 15.5, 10.64)","(11.0, 26.0, 18.25)","(1.6, 1.64, 1.6068292682926828)"
06-01-2023 09:08:40.538645,"(11.0, 23.0, 18.833333333333336)","(11.0, 25.0, 13.45)","(5.0, 11.0, 10.7375)","(18.0, 160.0, 139.57142857142856)","(31.0, 320.0, 288.0)","(7.0, 15.5, 10.64)","(11.0, 26.0, 18.25)","(1.6, 1.64, 1.6068292682926828)"
06-01-2023 09:08:41.527335,"(11.0, 24.0, 17.25)","(11.0, 25.0, 14.733333333333334)","(5.0, 11.0, 10.7375)","(18.0, 170.0, 78.19999999999999)","(31.0, 410.0, 334.4)","(7.0, 15.5, 11.2)","(11.0, 26.0, 18.25)","(1.6, 1.64, 1.6168421052631579)"
06-01-2023 09:08:42.523145,"(11.0, 23.0, 18.833333333333336)","(11.0, 25.0, 14.733333333333334)","(5.0, 11.0, 10.7375)","(18.0, 170.0, 78.19999999999999)","(31.0, 410.0, 334.4)","(7.0, 15.0, 11.2)","(11.0, 26.0, 18.25)","(1.6, 1.64, 1.6168421052631579)"
06-01-2023 09:08:43.508787,"(11.0, 23.0, 18.833333333333336)","(11.0, 25.0, 14.733333333333334)","(5.0, 11.0, 10.7375)","(18.0, 170.0, 78.19999999999999)","(31.0, 410.0, 334.4)","(7.0, 15.0, 11.2)","(11.0, 26.0, 18.25)","(1.6, 1.64, 1.6168421052631579)"
06-01-2023 09:08:44.564609,"(11.0, 23.0, 18.833333333333336)","(11.0, 25.0, 14.733333333333334)","(5.0, 11.0, 10.7375)","(18.0, 170.0, 78.19999999999999)","(31.0, 410.0, 334.4)","(7.0, 15.0, 11.2)","(11.0, 26.0, 18.25)","(1.6, 1.64, 1.6168421052631579)"
06-01-2023 09:08:45.588203,"(11.0, 23.0, 18.833333333333336)","(11.0, 25.0, 14.733333333333334)","(5.0, 11.0, 10.7375)","(18.0, 170.0, 78.19999999999999)","(31.0, 410.0, 334.4)","(7.0, 15.0, 11.2)","(11.0, 26.0, 18.25)","(1.6, 1.64, 1.6168421052631579)"
06-01-2023 09:08:46.622629,"(11.0, 23.0, 18.833333333333336)","(11.0, 25.0, 14.733333333333334)","(5.0, 11.0, 10.7375)","(18.0, 170.0, 78.19999999999999)","(31.0, 410.0, 334.4)","(7.0, 15.0, 11.2)","(11.0, 26.0, 18.25)","(1.6, 1.64, 1.6168421052631579)"
06-01-2023 09:08:47.696781,"(11.0, 23.0, 18.833333333333336)","(11.0, 25.0, 14.733333333333334)","(5.0, 11.0, 10.7375)","(18.0, 170.0, 93.5)","(31.0, 410.0, 334.4)","(7.0, 15.0, 11.2)","(11.0, 26.0, 18.25)","(1.6, 1.64, 1.6168421052631579)"
06-01-2023 09:08:48.726494,"(11.0, 23.0, 19.875)","(11.0, 25.0, 13.45)","(5.0, 11.0, 10.7375)","(18.0, 160.0, 131.5)","(31.0, 410.0, 184.4)","(7.0, 15.0, 12.466666666666667)","(11.0, 26.0, 19.8)","(1.6, 1.64, 1.6168421052631579)"
06-01-2023 09:08:49.776545,"(11.0, 23.0, 19.875)","(11.0, 25.0, 13.45)","(5.0, 11.0, 10.7375)","(18.0, 160.0, 142.1875)","(31.0, 410.0, 184.4)","(7.0, 15.0, 12.466666666666667)","(11.0, 26.0, 19.8)","(1.6, 1.64, 1.6168421052631579)"
06-01-2023 09:08:50.857286,"(11.0, 23.0, 19.875)","(11.0, 25.0, 13.45)","(5.0, 11.0, 10.7375)","(18.0, 160.0, 142.1875)","(31.0, 410.0, 184.4)","(7.0, 15.0, 12.466666666666667)","(11.0, 26.0, 19.8)","(1.6, 1.64, 1.6168421052631579)"
06-01-2023 09:08:51.974623,"(11.0, 23.0, 19.875)","(11.0, 25.0, 13.45)","(5.0, 11.0, 10.7375)","(18.0, 160.0, 142.1875)","(31.0, 410.0, 184.4)","(7.0, 15.0, 12.466666666666667)","(11.0, 26.0, 19.8)","(1.6, 1.64, 1.6168421052631579)"
06-01-2023 09:08:53.066723,"(11.0, 23.0, 19.875)","(11.0, 25.0, 13.45)","(5.0, 9.2, 6.477777777777778)","(18.0, 160.0, 142.1875)","(31.0, 410.0, 184.4)","(7.0, 15.0, 12.466666666666667)","(11.0, 26.0, 21.0)","(1.6, 1.64, 1.6168421052631579)"
06-01-2023 09:08:54.101530,"(11.0, 23.0, 19.875)","(11.0, 25.0, 13.45)","(5.0, 9.2, 6.477777777777778)","(18.0, 160.0, 142.1875)","(31.0, 410.0, 184.4)","(7.0, 15.0, 12.466666666666667)","(11.0, 26.0, 21.0)","(1.6, 1.64, 1.6168421052631579)"
06-01-2023 09:08:55.191128,"(11.0, 23.0, 19.875)","(11.0, 25.0, 13.45)","(5.0, 9.2, 7.473333333333333)","(18.0, 160.0, 142.1875)","(31.0, 410.0, 184.4)","(7.0, 15.0, 12.466666666666667)","(11.0, 26.0, 21.0)","(1.6, 1.64, 1.6168421052631579)"
06-01-2023 09:08:56.195277,"(11.0, 23.0, 19.875)","(11.0, 25.0, 13.45)","(5.0, 9.2, 6.3999999999999995)","(18.0, 160.0, 89.0)","(31.0, 410.0, 184.4)","(7.0, 15.0, 12.466666666666667)","(11.0, 26.0, 22.666666666666668)","(1.6, 1.64, 1.6168421052631579)"
06-01-2023 09:08:57.237899,"(11.0, 23.0, 18.833333333333336)","(11.0, 25.0, 13.149999999999999)","(5.0, 9.2, 5.875)","(18.0, 160.0, 89.0)","(31.0, 410.0, 184.4)","(7.0, 15.0, 12.466666666666667)","(11.0, 26.0, 22.666666666666668)","(1.6, 1.64, 1.6168421052631579)"
06-01-2023 09:08:58.317114,"(11.0, 23.0, 18.833333333333336)","(11.0, 25.0, 13.149999999999999)","(5.5, 9.2, 5.875)","(18.0, 160.0, 124.625)","(31.0, 410.0, 269.75)","(7.5, 15.0, 12.466666666666667)","(12.0, 26.0, 22.666666666666668)","(1.55, 1.64, 1.6168421052631579)"
06-01-2023 09:08:59.364159,"(11.0, 23.0, 18.833333333333336)","(11.0, 25.0, 13.149999999999999)","(5.5, 9.2, 5.875)","(18.0, 160.0, 149.0769230769231)","(31.0, 410.0, 269.75)","(7.5, 15.0, 12.466666666666667)","(12.0, 26.0, 22.666666666666668)","(1.55, 1.64, 1.6168421052631579)"
06-01-2023 09:09:00.453454,"(11.0, 23.0, 18.833333333333336)","(11.0, 25.0, 13.149999999999999)","(5.5, 9.2, 5.875)","(18.0, 160.0, 149.0769230769231)","(31.0, 410.0, 269.75)","(7.5, 15.0, 12.466666666666667)","(12.0, 26.0, 22.666666666666668)","(1.55, 1.64, 1.5864102564102565)"
06-01-2023 09:09:01.506706,"(11.0, 23.0, 18.833333333333336)","(11.0, 25.0, 13.149999999999999)","(5.5, 9.2, 5.875)","(18.0, 160.0, 149.0769230769231)","(31.0, 410.0, 269.75)","(7.5, 15.0, 12.466666666666667)","(12.0, 26.0, 22.666666666666668)","(1.55, 1.65, 1.6105454545454545)"
06-01-2023 09:09:02.587819,"(11.0, 24.0, 17.25)","(11.0, 25.0, 11.833333333333332)","(5.5, 9.2, 5.875)","(18.0, 160.0, 149.0769230769231)","(31.0, 410.0, 269.75)","(7.5, 15.0, 12.466666666666667)","(12.0, 26.0, 22.666666666666668)","(1.55, 1.65, 1.6105454545454545)"
06-01-2023 09:09:03.632081,"(11.0, 24.0, 17.25)","(11.0, 25.0, 12.36)","(5.5, 9.2, 5.875)","(18.0, 160.0, 149.0769230769231)","(31.0, 410.0, 269.75)","(7.5, 15.0, 12.466666666666667)","(12.0, 26.0, 22.666666666666668)","(1.55, 1.65, 1.6105454545454545)"
06-01-2023 09:09:04.681733,"(11.0, 24.0, 17.25)","(11.0, 25.0, 12.36)","(5.5, 9.2, 5.875)","(18.0, 170.0, 104.85714285714286)","(31.0, 410.0, 303.14285714285717)","(7.5, 15.0, 12.466666666666667)","(12.0, 26.0, 22.666666666666668)","(1.55, 1.65, 1.6105454545454545)"
06-01-2023 09:09:05.729542,"(11.0, 24.0, 17.25)","(11.0, 25.0, 12.36)","(5.5, 9.2, 5.875)","(18.0, 170.0, 104.85714285714286)","(31.0, 410.0, 303.14285714285717)","(7.5, 15.0, 12.466666666666667)","(12.0, 26.0, 22.666666666666668)","(1.55, 1.65, 1.6105454545454545)"
06-01-2023 09:09:06.804843,"(11.0, 24.0, 17.25)","(11.0, 25.0, 12.36)","(5.5, 9.2, 5.875)","(18.0, 170.0, 104.85714285714286)","(31.0, 410.0, 303.14285714285717)","(7.5, 15.0, 12.466666666666667)","(12.0, 26.0, 22.666666666666668)","(1.55, 1.65, 1.6105454545454545)"
06-01-2023 09:09:07.877740,"(11.0, 24.0, 17.25)","(11.0, 25.0, 12.36)","(5.5, 9.2, 5.875)","(18.0, 170.0, 104.85714285714286)","(31.0, 410.0, 303.14285714285717)","(7.5, 15.0, 12.466666666666667)","(12.0, 26.0, 22.666666666666668)","(1.55, 1.65, 1.6105454545454545)"
06-01-2023 09:09:08.887146,"(11.0, 24.0, 17.25)","(11.0, 25.0, 12.36)","(5.5, 9.2, 5.942857142857143)","(18.0, 170.0, 104.85714285714286)","(31.0, 410.0, 303.14285714285717)","(7.5, 15.0, 12.466666666666667)","(12.0, 26.0, 22.666666666666668)","(1.55, 1.65, 1.6105454545454545)"
06-01-2023 09:09:09.885055,"(11.0, 24.0, 17.25)","(11.0, 25.0, 12.36)","(5.5, 9.2, 5.942857142857143)","(18.0, 170.0, 79.1)","(31.0, 410.0, 303.14285714285717)","(7.5, 15.0, 12.466666666666667)","(12.0, 26.0, 22.666666666666668)","(1.55, 1.65, 1.6105454545454545)"
06-01-2023 09:09:10.916782,"(11.0, 24.0, 17.25)","(11.0, 25.0, 12.36)","(5.5, 9.2, 5.942857142857143)","(18.0, 170.0, 94.25)","(31.0, 410.0, 303.14285714285717)","(7.5, 15.0, 12.466666666666667)","(12.0, 26.0, 22.666666666666668)","(1.55, 1.65, 1.633)"
06-01-2023 09:09:11.940735,"(11.0, 24.0, 17.25)","(11.0, 25.0, 12.36)","(5.5, 9.2, 5.942857142857143)","(18.0, 170.0, 94.25)","(31.0, 410.0, 303.14285714285717)","(7.5, 15.0, 12.466666666666667)","(12.0, 26.0, 22.666666666666668)","(1.55, 1.65, 1.633)"
06-01-2023 09:09:12.957714,"(11.0, 24.0, 17.25)","(11.0, 25.0, 12.36)","(5.5, 9.2, 5.942857142857143)","(18.0, 170.0, 94.25)","(31.0, 410.0, 303.14285714285717)","(7.5, 15.0, 12.466666666666667)","(12.0, 26.0, 22.666666666666668)","(1.55, 1.65, 1.6345454545454545)"
06-01-2023 09:09:13.998139,"(11.0, 24.0, 17.25)","(11.0, 25.0, 12.36)","(5.5, 9.2, 5.942857142857143)","(18.0, 170.0, 94.25)","(31.0, 410.0, 303.14285714285717)","(7.5, 15.0, 12.466666666666667)","(12.0, 26.0, 22.666666666666668)","(1.55, 1.65, 1.6345454545454545)"
06-01-2023 09:09:15.053218,"(11.0, 24.0, 17.25)","(11.0, 25.0, 12.36)","(5.5, 9.2, 5.942857142857143)","(18.0, 170.0, 79.1)","(31.0, 390.0, 232.66666666666669)","(7.5, 15.0, 12.466666666666667)","(12.0, 26.0, 22.666666666666668)","(1.55, 1.65, 1.63725)"
06-01-2023 09:09:16.069754,"(11.0, 24.0, 17.25)","(11.0, 25.0, 12.36)","(5.5, 9.2, 5.942857142857143)","(18.0, 170.0, 98.23684210526316)","(31.0, 390.0, 232.66666666666669)","(7.5, 15.0, 12.466666666666667)","(12.0, 26.0, 22.666666666666668)","(1.55, 1.65, 1.63725)"
06-01-2023 09:09:17.090740,"(11.0, 24.0, 16.0)","(11.0, 25.0, 12.52)","(5.5, 9.2, 5.942857142857143)","(18.0, 170.0, 98.47368421052632)","(31.0, 390.0, 232.66666666666669)","(7.5, 15.0, 12.466666666666667)","(12.0, 26.0, 22.666666666666668)","(1.55, 1.65, 1.63725)"
06-01-2023 09:09:18.130749,"(11.0, 24.0, 16.0)","(11.0, 25.0, 12.52)","(5.5, 9.2, 5.942857142857143)","(18.0, 170.0, 46.86363636363636)","(31.0, 390.0, 232.66666666666669)","(7.5, 15.0, 12.466666666666667)","(12.0, 26.0, 19.25)","(1.55, 1.65, 1.6401923076923077)"
06-01-2023 09:09:19.166400,"(11.0, 24.0, 16.0)","(11.0, 25.0, 12.0)","(5.5, 9.2, 5.875)","(18.0, 160.0, 131.9)","(31.0, 380.0, 266.0)","(7.5, 15.0, 11.3)","(12.0, 26.0, 19.25)","(1.55, 1.65, 1.6401923076923077)"
06-01-2023 09:09:20.230635,"(11.0, 24.0, 16.0)","(11.0, 25.0, 12.0)","(5.5, 9.2, 5.875)","(18.0, 160.0, 131.9)","(31.0, 380.0, 266.0)","(7.5, 15.0, 11.3)","(12.0, 26.0, 19.25)","(1.55, 1.65, 1.6401923076923077)"
06-01-2023 09:09:21.270705,"(11.0, 24.0, 16.0)","(11.0, 25.0, 12.0)","(5.5, 9.2, 5.875)","(18.0, 160.0, 113.16666666666667)","(31.0, 380.0, 266.0)","(7.5, 15.0, 11.3)","(12.0, 26.0, 19.25)","(1.55, 1.65, 1.6401923076923077)"
06-01-2023 09:09:22.252132,"(11.0, 24.0, 16.0)","(11.0, 25.0, 12.0)","(5.5, 9.2, 5.875)","(18.0, 160.0, 113.16666666666667)","(31.0, 380.0, 266.0)","(7.5, 15.0, 11.3)","(12.0, 26.0, 19.25)","(1.55, 1.65, 1.6401923076923077)"
06-01-2023 09:09:23.230578,"(11.0, 24.0, 16.0)","(11.0, 25.0, 12.0)","(5.5, 9.2, 5.875)","(18.0, 160.0, 113.16666666666667)","(31.0, 380.0, 266.0)","(7.5, 15.0, 11.3)","(12.0, 26.0, 19.25)","(1.55, 1.65, 1.6401923076923077)"
06-01-2023 09:09:24.219294,"(11.0, 24.0, 16.0)","(11.0, 25.0, 12.0)","(5.5, 9.2, 5.7)","(18.0, 160.0, 113.16666666666667)","(31.0, 380.0, 266.0)","(7.5, 15.0, 11.3)","(12.0, 26.0, 19.25)","(1.55, 1.65, 1.6401923076923077)"
06-01-2023 09:09:25.262832,"(11.0, 24.0, 16.0)","(11.0, 25.0, 12.0)","(5.5, 9.2, 5.7)","(18.0, 160.0, 113.16666666666667)","(31.0, 380.0, 266.0)","(7.5, 15.0, 11.3)","(12.0, 26.0, 19.25)","(1.55, 1.65, 1.6401923076923077)"
06-01-2023 09:09:26.245787,"(11.0, 24.0, 16.0)","(11.0, 25.0, 12.0)","(5.5, 9.2, 5.7)","(18.0, 160.0, 113.16666666666667)","(31.0, 380.0, 266.0)","(7.5, 15.0, 11.3)","(12.0, 26.0, 19.25)","(1.55, 1.65, 1.6401923076923077)"
06-01-2023 09:09:27.234797,"(11.0, 24.0, 16.0)","(11.0, 25.0, 12.0)","(5.5, 9.2, 5.7)","(18.0, 160.0, 113.16666666666667)","(31.0, 380.0, 266.0)","(7.5, 15.0, 11.3)","(12.0, 26.0, 19.25)","(1.55, 1.65, 1.6401923076923077)"
06-01-2023 09:09:28.245499,"(11.0, 24.0, 16.0)","(11.0, 25.0, 12.0)","(5.5, 9.2, 5.7)","(18.0, 160.0, 113.16666666666667)","(31.0, 380.0, 266.0)","(7.5, 15.0, 11.3)","(12.0, 26.0, 19.25)","(1.55, 1.65, 1.6401923076923077)"
06-01-2023 09:09:29.274238,"(11.0, 24.0, 16.0)","(11.0, 25.0, 12.0)","(5.5, 9.2, 5.7)","(18.0, 160.0, 113.16666666666667)","(31.0, 380.0, 266.0)","(7.5, 15.0, 11.3)","(12.0, 26.0, 19.25)","(1.55, 1.65, 1.6401923076923077)"
06-01-2023 09:09:30.341310,"(11.0, 24.0, 16.0)","(11.0, 25.0, 12.0)","(5.5, 9.2, 5.7)","(18.0, 160.0, 113.16666666666667)","(31.0, 380.0, 266.0)","(7.5, 15.0, 11.3)","(12.0, 26.0, 19.25)","(1.55, 1.65, 1.6401923076923077)"
06-01-2023 09:09:31.390590,"(11.0, 24.0, 16.0)","(11.0, 25.0, 12.0)","(5.5, 9.2, 5.7)","(18.0, 160.0, 113.16666666666667)","(31.0, 380.0, 266.0)","(7.5, 15.0, 11.3)","(12.0, 26.0, 19.25)","(1.55, 1.65, 1.6401923076923077)"
06-01-2023 09:09:32.454539,"(11.0, 24.0, 16.0)","(11.0, 25.0, 12.0)","(5.5, 9.2, 5.7)","(18.0, 160.0, 113.16666666666667)","(31.0, 380.0, 266.0)","(7.5, 15.0, 11.3)","(12.0, 26.0, 19.25)","(1.55, 1.65, 1.6401923076923077)"
06-01-2023 09:09:33.510508,"(11.0, 24.0, 16.0)","(11.0, 25.0, 12.52)","(5.5, 9.2, 7.485714285714286)","(18.0, 170.0, 84.21875)","(31.0, 390.0, 279.84615384615387)","(7.5, 15.0, 11.2)","(12.0, 26.0, 19.25)","(1.55, 1.65, 1.6401923076923077)"
06-01-2023 09:09:34.589129,"(11.0, 24.0, 16.0)","(11.0, 25.0, 12.52)","(5.5, 9.2, 7.485714285714286)","(18.0, 170.0, 84.21875)","(31.0, 390.0, 279.84615384615387)","(7.5, 15.0, 11.2)","(12.0, 26.0, 19.25)","(1.55, 1.65, 1.6401923076923077)"
06-01-2023 09:09:35.655635,"(11.0, 24.0, 16.0)","(11.0, 25.0, 12.52)","(5.5, 9.2, 7.485714285714286)","(18.0, 170.0, 84.21875)","(31.0, 390.0, 279.84615384615387)","(7.5, 15.0, 11.2)","(12.0, 26.0, 19.25)","(1.55, 1.65, 1.6438636363636363)"
06-01-2023 09:09:36.713616,"(11.0, 24.0, 16.0)","(11.0, 25.0, 12.52)","(5.5, 9.2, 7.485714285714286)","(18.0, 170.0, 45.22727272727273)","(31.0, 390.0, 185.42857142857144)","(7.5, 15.0, 11.2)","(12.0, 26.0, 19.25)","(1.55, 1.65, 1.6438636363636363)"
06-01-2023 09:09:37.829930,"(11.0, 24.0, 16.0)","(11.0, 25.0, 12.52)","(5.5, 9.2, 7.485714285714286)","(18.0, 170.0, 45.22727272727273)","(31.0, 390.0, 151.33333333333331)","(7.5, 15.0, 11.2)","(12.0, 26.0, 19.25)","(1.55, 1.65, 1.6438636363636363)"
06-01-2023 09:09:38.941342,"(11.0, 24.0, 16.0)","(11.0, 25.0, 17.2)","(5.5, 9.2, 7.963636363636364)","(18.0, 170.0, 45.22727272727273)","(31.0, 390.0, 151.33333333333331)","(7.5, 15.0, 11.2)","(12.0, 26.0, 19.25)","(1.55, 1.65, 1.6438636363636363)"
06-01-2023 09:09:40.044042,"(11.0, 24.0, 16.0)","(11.0, 25.0, 17.2)","(5.5, 9.0, 7.963636363636364)","(18.0, 170.0, 45.22727272727273)","(31.0, 390.0, 151.33333333333331)","(7.5, 15.0, 11.2)","(12.0, 26.0, 19.25)","(1.55, 1.65, 1.6438636363636363)"
06-01-2023 09:09:41.154458,"(11.0, 24.0, 16.0)","(11.0, 25.0, 17.2)","(5.5, 9.0, 8.64375)","(18.0, 170.0, 45.22727272727273)","(31.0, 390.0, 151.33333333333331)","(7.5, 15.0, 11.2)","(12.0, 26.0, 19.25)","(1.55, 1.65, 1.6438636363636363)"
06-01-2023 09:09:42.264130,"(11.0, 24.0, 16.0)","(11.0, 25.0, 17.2)","(5.5, 9.0, 8.018181818181818)","(18.0, 170.0, 78.8)","(31.0, 390.0, 231.77777777777777)","(7.5, 15.0, 11.2)","(12.0, 26.0, 17.333333333333332)","(1.55, 1.65, 1.6438636363636363)"
06-01-2023 09:09:43.324338,"(11.0, 25.0, 16.333333333333332)","(11.0, 25.0, 17.2)","(5.5, 9.0, 6.9)","(18.0, 170.0, 78.8)","(31.0, 390.0, 231.77777777777777)","(7.5, 15.0, 11.2)","(12.0, 27.0, 17.333333333333332)","(1.55, 1.65, 1.6438636363636363)"
06-01-2023 09:09:44.468329,"(11.0, 25.0, 16.333333333333332)","(11.0, 25.0, 17.2)","(5.5, 9.0, 6.9)","(18.0, 170.0, 78.8)","(31.0, 390.0, 231.77777777777777)","(7.5, 15.0, 11.2)","(12.0, 27.0, 17.333333333333332)","(1.55, 1.65, 1.6438636363636363)"
06-01-2023 09:09:45.499610,"(11.0, 25.0, 16.333333333333332)","(11.0, 25.0, 17.2)","(5.5, 9.0, 6.9)","(18.0, 170.0, 78.8)","(31.0, 390.0, 231.77777777777777)","(7.5, 15.0, 10.333333333333334)","(12.0, 27.0, 17.333333333333332)","(1.55, 1.65, 1.6438636363636363)"
06-01-2023 09:09:46.546128,"(11.0, 25.0, 16.333333333333332)","(11.0, 25.0, 17.2)","(5.5, 9.0, 6.96)","(18.0, 170.0, 78.8)","(31.0, 390.0, 231.77777777777777)","(7.5, 15.0, 11.1)","(12.0, 27.0, 17.333333333333332)","(1.55, 1.65, 1.6438636363636363)"
