,Coppola Bale,Gas Man,Treloar Bale,French Wood,Rainbow Storm,Prue Excess
14-12-2022 13:52:17.126006,"(4.2, 7.6, 5.333333333333333)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 7.08)"
14-12-2022 13:52:18.197888,"(4.2, 7.6, 5.333333333333333)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 7.08)"
14-12-2022 13:52:19.310788,"(4.2, 7.6, 5.333333333333333)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 7.08)"
14-12-2022 13:52:20.333602,"(4.2, 7.6, 5.333333333333333)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 7.08)"
14-12-2022 13:52:21.383977,"(4.2, 7.6, 5.333333333333333)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 23.444444444444443)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 7.08)"
14-12-2022 13:52:22.520379,"(4.2, 7.6, 5.333333333333333)","(2.1, 2.94, 2.542909090909091)","(16.0, 32.0, 24.714285714285715)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:52:23.507603,"(4.2, 7.6, 5.333333333333333)","(2.1, 2.94, 2.542909090909091)","(16.0, 32.0, 24.714285714285715)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.190909090909091)"
14-12-2022 13:52:24.561561,"(4.2, 7.6, 5.333333333333333)","(2.1, 2.94, 2.542909090909091)","(16.0, 32.0, 24.714285714285715)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.190909090909091)"
14-12-2022 13:52:25.629423,"(4.2, 7.6, 5.333333333333333)","(2.1, 2.94, 2.542909090909091)","(16.0, 32.0, 24.714285714285715)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.190909090909091)"
14-12-2022 13:52:26.680420,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 32.0, 24.714285714285715)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.190909090909091)"
14-12-2022 13:52:27.757376,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 32.0, 24.714285714285715)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.190909090909091)"
14-12-2022 13:52:28.881737,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 32.0, 24.714285714285715)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.190909090909091)"
14-12-2022 13:52:29.979305,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 32.0, 24.714285714285715)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 7.08)"
14-12-2022 13:52:31.036448,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 32.0, 24.714285714285715)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 7.08)"
14-12-2022 13:52:32.034335,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 32.0, 24.714285714285715)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 7.08)"
14-12-2022 13:52:33.023368,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 21.333333333333332)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 7.08)"
14-12-2022 13:52:34.014424,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 21.333333333333332)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:52:35.060077,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 21.333333333333332)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 7.750000000000001)"
14-12-2022 13:52:36.186291,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 21.333333333333332)","(10.0, 30.0, 19.444444444444443)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.066666666666667)"
14-12-2022 13:52:37.317941,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 24.583333333333332)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.066666666666667)"
14-12-2022 13:52:38.453062,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 24.583333333333332)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.066666666666667)"
14-12-2022 13:52:39.476772,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 24.583333333333332)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.066666666666667)"
14-12-2022 13:52:40.516124,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 24.583333333333332)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.066666666666667)"
14-12-2022 13:52:41.548359,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 24.583333333333332)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.066666666666667)"
14-12-2022 13:52:42.581157,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 24.583333333333332)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 7.08)"
14-12-2022 13:52:43.715004,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 7.08)"
14-12-2022 13:52:45.031106,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 7.08)"
14-12-2022 13:52:46.220107,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 7.08)"
14-12-2022 13:52:47.408752,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.190909090909091)"
14-12-2022 13:52:48.575603,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.190909090909091)"
14-12-2022 13:52:49.711589,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.190909090909091)"
14-12-2022 13:52:50.771835,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.190909090909091)"
14-12-2022 13:52:51.817659,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.190909090909091)"
14-12-2022 13:52:52.836754,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.190909090909091)"
14-12-2022 13:52:54.073211,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.190909090909091)"
14-12-2022 13:52:55.155934,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.190909090909091)"
14-12-2022 13:52:56.203405,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 7.08)"
14-12-2022 13:52:57.281873,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 7.08)"
14-12-2022 13:52:58.406984,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 7.08)"
14-12-2022 13:52:59.482680,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 7.08)"
14-12-2022 13:53:00.689931,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.933333333333334)"
14-12-2022 13:53:02.091575,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.933333333333334)"
14-12-2022 13:53:03.288353,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.933333333333334)"
14-12-2022 13:53:04.495250,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.933333333333334)"
14-12-2022 13:53:05.533903,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.933333333333334)"
14-12-2022 13:53:06.651238,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.933333333333334)"
14-12-2022 13:53:07.710626,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.933333333333334)"
14-12-2022 13:53:08.723787,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.933333333333334)"
14-12-2022 13:53:09.751308,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.933333333333334)"
14-12-2022 13:53:10.828296,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.933333333333334)"
14-12-2022 13:53:11.923276,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.933333333333334)"
14-12-2022 13:53:12.890590,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.933333333333334)"
14-12-2022 13:53:14.050728,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.933333333333334)"
14-12-2022 13:53:15.171782,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.933333333333334)"
14-12-2022 13:53:16.435916,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.933333333333334)"
14-12-2022 13:53:17.688733,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.933333333333334)"
14-12-2022 13:53:18.982078,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.933333333333334)"
14-12-2022 13:53:20.167315,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 26.607142857142858)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.933333333333334)"
14-12-2022 13:53:21.326172,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 24.558823529411764)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.933333333333334)"
14-12-2022 13:53:22.397132,"(4.2, 7.6, 5.949999999999999)","(2.1, 2.94, 2.542909090909091)","(16.0, 34.0, 25.136363636363637)","(10.0, 30.0, 24.558823529411764)","(4.8, 7.0, 6.115384615384615)","(4.8, 8.8, 6.933333333333334)"
