,Police,Auron,Edification,Annakuri,Ciao Bicky,Native Bee,Nasa,Golden Athena,Flying Shamus,Ixelles,Cat In The Raine,Persaga,Bold Zip
06-01-2023 17:22:58.542043,"(2.5, 2.9, 2.7843636363636364)","(19.0, 55.0, 34.166666666666664)","(4.6, 6.8, 6.375)","(8.0, 10.5, 10.381578947368421)","(14.0, 22.0, 17.416666666666668)","(51.0, 210.0, 158.0)","(10.0, 16.5, 15.461538461538462)","(20.0, 32.0, 31.066666666666666)","(11.0, 11.5, 11.04)","(31.0, 150.0, 125.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 61.53846153846154)"
06-01-2023 17:23:00.089289,"(2.5, 2.9, 2.7843636363636364)","(19.0, 55.0, 38.333333333333336)","(4.6, 6.8, 6.375)","(8.0, 10.5, 10.346153846153847)","(14.0, 22.0, 17.416666666666668)","(51.0, 210.0, 158.0)","(10.0, 16.5, 15.461538461538462)","(20.0, 32.0, 31.066666666666666)","(11.0, 11.5, 11.04)","(31.0, 150.0, 125.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 61.53846153846154)"
06-01-2023 17:23:01.618347,"(2.5, 2.9, 2.7842105263157895)","(19.0, 55.0, 38.333333333333336)","(4.6, 6.8, 6.375)","(8.0, 10.5, 10.346153846153847)","(14.0, 22.0, 17.416666666666668)","(51.0, 210.0, 158.0)","(10.0, 16.5, 15.461538461538462)","(20.0, 32.0, 31.066666666666666)","(11.0, 11.5, 12.28125)","(31.0, 150.0, 125.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 61.53846153846154)"
06-01-2023 17:23:03.096227,"(2.5, 2.9, 2.7842105263157895)","(19.0, 55.0, 38.333333333333336)","(4.6, 6.8, 6.375)","(8.0, 10.5, 10.346153846153847)","(14.0, 22.0, 17.416666666666668)","(51.0, 210.0, 158.0)","(10.0, 16.5, 15.461538461538462)","(20.0, 32.0, 31.066666666666666)","(11.0, 14.0, 12.28125)","(31.0, 150.0, 125.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 61.53846153846154)"
06-01-2023 17:23:04.557086,"(2.5, 2.9, 2.7842105263157895)","(19.0, 55.0, 38.333333333333336)","(4.6, 6.8, 6.375)","(8.0, 10.5, 10.346153846153847)","(14.0, 22.0, 17.625)","(51.0, 210.0, 158.0)","(10.0, 16.5, 15.15)","(20.0, 32.0, 31.066666666666666)","(11.0, 14.0, 12.61111111111111)","(31.0, 150.0, 125.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 61.53846153846154)"
06-01-2023 17:23:06.096843,"(2.5, 2.9, 2.7842105263157895)","(19.0, 55.0, 38.333333333333336)","(4.6, 6.8, 6.375)","(8.0, 10.5, 10.346153846153847)","(14.0, 21.0, 16.1875)","(51.0, 210.0, 158.0)","(10.0, 16.5, 14.642857142857142)","(20.0, 32.0, 28.4)","(11.0, 13.5, 12.26923076923077)","(31.0, 150.0, 125.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 61.53846153846154)"
06-01-2023 17:23:07.645157,"(2.5, 2.9, 2.7842105263157895)","(19.0, 55.0, 36.25)","(4.6, 6.8, 6.375)","(8.0, 10.5, 10.346153846153847)","(14.0, 21.0, 16.1875)","(51.0, 210.0, 158.0)","(10.0, 16.5, 14.642857142857142)","(20.0, 32.0, 28.4)","(11.0, 13.5, 12.26923076923077)","(31.0, 150.0, 125.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 61.53846153846154)"
06-01-2023 17:23:09.234087,"(2.5, 2.9, 2.7842105263157895)","(19.0, 55.0, 36.25)","(4.6, 6.8, 6.375)","(8.0, 10.5, 10.346153846153847)","(14.0, 21.0, 16.1875)","(51.0, 210.0, 158.0)","(10.0, 16.5, 14.642857142857142)","(20.0, 32.0, 28.4)","(11.0, 13.5, 12.26923076923077)","(31.0, 150.0, 125.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 61.53846153846154)"
06-01-2023 17:23:10.813185,"(2.5, 2.9, 2.7842105263157895)","(19.0, 55.0, 36.25)","(4.6, 6.8, 6.375)","(8.0, 10.5, 10.346153846153847)","(14.0, 21.0, 16.1875)","(51.0, 210.0, 158.0)","(10.0, 16.5, 14.642857142857142)","(20.0, 32.0, 28.4)","(11.0, 13.5, 12.26923076923077)","(31.0, 150.0, 125.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 61.53846153846154)"
06-01-2023 17:23:12.291713,"(2.5, 2.9, 2.7842105263157895)","(19.0, 55.0, 36.25)","(4.6, 6.8, 6.375)","(8.0, 10.5, 10.346153846153847)","(14.0, 21.0, 16.1875)","(51.0, 210.0, 158.0)","(10.0, 16.5, 14.642857142857142)","(20.0, 32.0, 28.4)","(11.0, 13.5, 12.26923076923077)","(31.0, 150.0, 125.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 61.53846153846154)"
06-01-2023 17:23:13.887601,"(2.5, 2.9, 2.7842105263157895)","(19.0, 55.0, 36.25)","(4.6, 6.8, 6.375)","(8.0, 10.5, 10.346153846153847)","(14.0, 21.0, 16.1875)","(51.0, 210.0, 158.0)","(10.0, 16.5, 14.642857142857142)","(20.0, 32.0, 28.4)","(11.0, 13.5, 12.26923076923077)","(31.0, 150.0, 125.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 61.53846153846154)"
06-01-2023 17:23:15.448597,"(2.5, 2.9, 2.7842105263157895)","(19.0, 55.0, 36.25)","(4.6, 6.8, 6.375)","(8.0, 10.5, 10.346153846153847)","(14.0, 21.0, 16.1875)","(51.0, 210.0, 158.0)","(10.0, 16.5, 14.642857142857142)","(20.0, 32.0, 28.4)","(11.0, 13.5, 12.26923076923077)","(31.0, 150.0, 125.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 61.53846153846154)"
06-01-2023 17:23:16.919653,"(2.5, 2.9, 2.7842105263157895)","(19.0, 55.0, 36.25)","(4.6, 6.8, 6.375)","(8.0, 10.5, 10.346153846153847)","(14.0, 21.0, 16.1875)","(51.0, 210.0, 158.0)","(10.0, 16.5, 14.642857142857142)","(20.0, 32.0, 28.4)","(11.0, 13.5, 12.26923076923077)","(31.0, 150.0, 125.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 61.53846153846154)"
06-01-2023 17:23:18.480262,"(2.5, 2.9, 2.7842105263157895)","(19.0, 55.0, 36.25)","(4.6, 6.8, 6.375)","(8.0, 10.5, 10.346153846153847)","(14.0, 21.0, 16.1875)","(51.0, 210.0, 158.0)","(10.0, 16.5, 14.642857142857142)","(20.0, 32.0, 28.4)","(11.0, 13.5, 12.26923076923077)","(31.0, 150.0, 125.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 61.53846153846154)"
06-01-2023 17:23:20.033851,"(2.5, 2.9, 2.7842105263157895)","(19.0, 55.0, 36.25)","(4.6, 6.8, 6.375)","(8.0, 10.5, 10.346153846153847)","(14.0, 21.0, 16.1875)","(51.0, 210.0, 158.0)","(10.0, 16.5, 14.642857142857142)","(20.0, 32.0, 28.4)","(11.0, 13.5, 12.26923076923077)","(31.0, 150.0, 125.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 61.53846153846154)"
06-01-2023 17:23:21.657891,"(2.5, 2.9, 2.7842105263157895)","(19.0, 55.0, 36.25)","(4.6, 6.8, 6.375)","(8.0, 10.5, 10.346153846153847)","(14.0, 21.0, 16.1875)","(51.0, 210.0, 158.0)","(10.0, 16.5, 14.642857142857142)","(20.0, 32.0, 28.4)","(11.0, 13.5, 12.26923076923077)","(31.0, 150.0, 125.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 61.53846153846154)"
06-01-2023 17:23:23.347811,"(2.5, 2.9, 2.7842105263157895)","(19.0, 55.0, 36.25)","(4.6, 6.8, 6.375)","(8.0, 10.5, 10.346153846153847)","(14.0, 21.0, 16.1875)","(51.0, 210.0, 158.0)","(10.0, 16.5, 14.642857142857142)","(20.0, 32.0, 28.4)","(11.0, 13.5, 12.055555555555555)","(31.0, 150.0, 125.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 61.53846153846154)"
06-01-2023 17:23:25.071482,"(2.5, 2.9, 2.7842105263157895)","(19.0, 55.0, 36.25)","(4.6, 6.8, 6.375)","(8.0, 10.5, 10.346153846153847)","(14.0, 21.0, 16.1875)","(51.0, 210.0, 158.0)","(10.0, 16.5, 14.642857142857142)","(20.0, 32.0, 28.4)","(11.0, 13.5, 11.642857142857142)","(31.0, 150.0, 125.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 61.53846153846154)"
06-01-2023 17:23:26.699430,"(2.5, 2.9, 2.7842105263157895)","(19.0, 55.0, 36.25)","(4.6, 6.8, 6.375)","(8.0, 10.5, 10.346153846153847)","(14.0, 21.0, 16.1875)","(51.0, 210.0, 158.0)","(10.0, 16.5, 14.642857142857142)","(20.0, 32.0, 28.4)","(11.0, 13.5, 11.642857142857142)","(31.0, 150.0, 125.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 61.53846153846154)"
06-01-2023 17:23:28.320534,"(2.5, 2.9, 2.7842105263157895)","(19.0, 55.0, 36.25)","(4.6, 6.8, 6.375)","(8.0, 10.5, 10.346153846153847)","(14.0, 21.0, 16.1875)","(51.0, 210.0, 158.0)","(10.0, 16.5, 14.642857142857142)","(20.0, 32.0, 28.4)","(11.0, 13.5, 11.642857142857142)","(31.0, 150.0, 125.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 61.53846153846154)"
06-01-2023 17:23:29.893448,"(2.5, 2.9, 2.7842105263157895)","(19.0, 55.0, 36.25)","(4.6, 6.8, 6.375)","(8.0, 10.5, 10.346153846153847)","(14.0, 21.0, 16.1875)","(51.0, 210.0, 158.0)","(10.0, 16.5, 14.642857142857142)","(20.0, 32.0, 30.0)","(11.0, 13.5, 11.642857142857142)","(31.0, 150.0, 125.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 61.53846153846154)"
06-01-2023 17:23:31.551743,"(2.5, 2.9, 2.7842105263157895)","(19.0, 55.0, 33.57142857142857)","(4.6, 6.8, 6.375)","(8.0, 10.5, 11.916666666666666)","(14.0, 21.0, 16.1875)","(51.0, 210.0, 158.0)","(10.0, 16.5, 14.642857142857142)","(20.0, 32.0, 30.0)","(11.0, 13.5, 11.642857142857142)","(31.0, 150.0, 125.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 61.53846153846154)"
06-01-2023 17:23:33.196557,"(2.5, 2.9, 2.7842105263157895)","(19.0, 55.0, 33.57142857142857)","(4.6, 6.8, 6.375)","(8.0, 12.5, 11.916666666666666)","(14.0, 21.0, 16.1875)","(51.0, 210.0, 158.0)","(10.0, 16.5, 14.642857142857142)","(20.0, 32.0, 30.0)","(11.0, 13.5, 11.642857142857142)","(31.0, 150.0, 125.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 111.77777777777777)","(26.0, 75.0, 61.53846153846154)"
06-01-2023 17:23:34.847861,"(2.5, 2.9, 2.828)","(19.0, 55.0, 33.57142857142857)","(4.6, 6.8, 6.375)","(8.0, 12.5, 9.4375)","(14.0, 21.0, 16.1875)","(51.0, 210.0, 167.14285714285714)","(10.0, 16.5, 15.142857142857142)","(20.0, 32.0, 30.0)","(11.0, 13.5, 11.642857142857142)","(31.0, 150.0, 78.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 68.66666666666667)","(26.0, 75.0, 39.166666666666664)"
06-01-2023 17:23:36.519328,"(2.5, 2.9, 2.828)","(19.0, 55.0, 33.57142857142857)","(4.6, 6.8, 6.375)","(8.0, 12.5, 9.4375)","(14.0, 21.0, 16.1875)","(51.0, 210.0, 167.14285714285714)","(10.0, 19.0, 15.25)","(20.0, 32.0, 30.0)","(11.0, 13.5, 11.642857142857142)","(31.0, 150.0, 78.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 68.66666666666667)","(26.0, 75.0, 39.166666666666664)"
06-01-2023 17:23:38.195142,"(2.5, 2.9, 2.828)","(19.0, 55.0, 33.57142857142857)","(4.6, 6.8, 6.375)","(8.0, 12.5, 9.4375)","(14.0, 21.0, 16.1875)","(51.0, 210.0, 167.14285714285714)","(10.0, 19.0, 15.25)","(20.0, 32.0, 30.0)","(11.0, 13.5, 11.642857142857142)","(31.0, 150.0, 78.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 68.66666666666667)","(26.0, 75.0, 39.166666666666664)"
06-01-2023 17:23:39.915297,"(2.5, 2.9, 2.828)","(19.0, 55.0, 33.57142857142857)","(4.6, 6.8, 6.375)","(8.0, 12.5, 9.4375)","(14.0, 21.0, 16.1875)","(51.0, 210.0, 167.14285714285714)","(10.0, 19.0, 15.25)","(20.0, 32.0, 30.0)","(11.0, 13.5, 11.642857142857142)","(31.0, 150.0, 78.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 68.66666666666667)","(26.0, 75.0, 39.166666666666664)"
06-01-2023 17:23:41.587214,"(2.5, 2.9, 2.828)","(19.0, 55.0, 33.57142857142857)","(4.6, 6.8, 6.375)","(8.0, 12.5, 9.4375)","(14.0, 21.0, 16.1875)","(51.0, 210.0, 167.14285714285714)","(10.0, 19.0, 15.25)","(20.0, 32.0, 30.0)","(11.0, 13.5, 11.642857142857142)","(31.0, 150.0, 78.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 68.66666666666667)","(26.0, 75.0, 39.166666666666664)"
06-01-2023 17:23:43.243750,"(2.5, 2.9, 2.828)","(19.0, 55.0, 33.57142857142857)","(4.6, 6.8, 6.375)","(8.0, 12.5, 9.4375)","(14.0, 21.0, 16.1875)","(51.0, 210.0, 167.14285714285714)","(10.0, 19.0, 15.25)","(20.0, 32.0, 30.0)","(11.0, 13.5, 11.642857142857142)","(31.0, 150.0, 78.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 68.66666666666667)","(26.0, 75.0, 39.166666666666664)"
06-01-2023 17:23:44.831791,"(2.5, 2.9, 2.828)","(19.0, 55.0, 33.57142857142857)","(4.6, 6.8, 6.375)","(8.0, 12.5, 9.4375)","(14.0, 21.0, 16.1875)","(51.0, 210.0, 167.14285714285714)","(10.0, 19.0, 15.25)","(20.0, 32.0, 30.0)","(11.0, 13.5, 11.642857142857142)","(31.0, 150.0, 78.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 68.66666666666667)","(26.0, 75.0, 39.166666666666664)"
06-01-2023 17:23:46.445365,"(2.5, 2.9, 2.828)","(19.0, 55.0, 33.57142857142857)","(4.6, 6.8, 6.375)","(8.0, 12.5, 9.4375)","(14.0, 21.0, 16.1875)","(51.0, 210.0, 167.14285714285714)","(10.0, 19.0, 15.25)","(20.0, 32.0, 30.0)","(11.0, 13.5, 11.642857142857142)","(31.0, 150.0, 78.0)","(21.0, 55.0, 32.6)","(31.0, 130.0, 68.66666666666667)","(26.0, 75.0, 39.166666666666664)"
06-01-2023 17:23:48.033576,"(2.5, 2.9, 2.828)","(19.0, 55.0, 41.75)","(4.6, 6.8, 5.742857142857142)","(8.0, 12.5, 9.4375)","(14.0, 21.0, 16.875)","(51.0, 210.0, 167.14285714285714)","(10.0, 19.0, 15.25)","(20.0, 32.0, 30.0)","(11.0, 13.5, 11.833333333333334)","(31.0, 150.0, 78.0)","(21.0, 55.0, 38.0)","(31.0, 130.0, 68.66666666666667)","(26.0, 75.0, 48.5)"
06-01-2023 17:23:49.633259,"(2.5, 2.9, 2.828)","(19.0, 48.0, 41.75)","(4.6, 6.6, 5.742857142857142)","(8.0, 12.5, 9.4375)","(14.0, 21.0, 16.875)","(51.0, 210.0, 167.14285714285714)","(10.0, 19.0, 15.25)","(20.0, 32.0, 30.0)","(11.0, 13.0, 11.833333333333334)","(31.0, 150.0, 78.0)","(21.0, 60.0, 38.0)","(31.0, 130.0, 68.66666666666667)","(26.0, 65.0, 48.5)"
06-01-2023 17:23:51.275760,"(2.5, 2.9, 2.828)","(19.0, 48.0, 41.75)","(4.6, 6.6, 5.742857142857142)","(8.0, 12.5, 9.4375)","(14.0, 21.0, 16.875)","(51.0, 210.0, 167.14285714285714)","(10.0, 19.0, 15.25)","(20.0, 32.0, 30.0)","(11.0, 13.0, 11.833333333333334)","(31.0, 150.0, 78.0)","(21.0, 60.0, 38.0)","(31.0, 130.0, 68.66666666666667)","(26.0, 65.0, 48.5)"
06-01-2023 17:23:52.930798,"(2.5, 2.9, 2.828)","(19.0, 48.0, 41.75)","(4.6, 6.6, 5.742857142857142)","(8.0, 12.5, 9.4375)","(14.0, 21.0, 16.875)","(51.0, 210.0, 167.14285714285714)","(10.0, 19.0, 15.25)","(20.0, 32.0, 30.0)","(11.0, 13.0, 11.714285714285714)","(31.0, 150.0, 78.0)","(21.0, 60.0, 38.0)","(31.0, 130.0, 68.66666666666667)","(26.0, 65.0, 48.5)"
06-01-2023 17:23:54.680736,"(2.5, 2.9, 2.828)","(19.0, 48.0, 41.75)","(4.6, 6.6, 5.742857142857142)","(8.0, 12.5, 9.4375)","(14.0, 21.0, 16.875)","(51.0, 210.0, 167.14285714285714)","(10.0, 19.0, 15.25)","(20.0, 32.0, 30.0)","(11.0, 13.0, 11.714285714285714)","(31.0, 150.0, 78.0)","(21.0, 60.0, 38.0)","(31.0, 130.0, 68.66666666666667)","(26.0, 65.0, 48.5)"
06-01-2023 17:23:56.326456,"(2.5, 2.9, 2.828)","(19.0, 48.0, 32.375)","(4.6, 6.6, 5.742857142857142)","(8.0, 12.5, 9.4375)","(14.0, 21.0, 16.875)","(51.0, 210.0, 167.14285714285714)","(10.0, 19.0, 15.25)","(20.0, 32.0, 30.0)","(11.0, 13.0, 11.714285714285714)","(31.0, 150.0, 78.0)","(21.0, 60.0, 38.0)","(31.0, 130.0, 68.66666666666667)","(26.0, 65.0, 48.5)"
06-01-2023 17:23:57.989778,"(2.5, 2.9, 2.828)","(19.0, 48.0, 32.375)","(4.6, 6.6, 5.742857142857142)","(8.0, 12.5, 9.4375)","(14.0, 21.0, 16.875)","(51.0, 210.0, 167.14285714285714)","(10.0, 19.0, 15.25)","(20.0, 32.0, 30.0)","(11.0, 13.0, 11.714285714285714)","(31.0, 150.0, 78.0)","(21.0, 60.0, 38.0)","(31.0, 130.0, 68.66666666666667)","(26.0, 65.0, 48.5)"
06-01-2023 17:23:59.613819,"(2.5, 2.9, 2.828)","(19.0, 48.0, 32.375)","(4.6, 6.6, 5.742857142857142)","(8.0, 12.5, 9.4375)","(14.0, 21.0, 16.875)","(51.0, 210.0, 167.14285714285714)","(10.0, 19.0, 15.25)","(20.0, 32.0, 30.0)","(11.0, 13.0, 11.714285714285714)","(31.0, 150.0, 78.0)","(21.0, 60.0, 38.0)","(31.0, 130.0, 68.66666666666667)","(26.0, 65.0, 48.5)"
06-01-2023 17:24:01.254113,"(2.5, 2.9, 2.828)","(19.0, 48.0, 32.375)","(4.6, 6.6, 5.742857142857142)","(8.0, 12.5, 9.4375)","(14.0, 21.0, 16.875)","(51.0, 210.0, 167.14285714285714)","(10.0, 19.0, 15.25)","(20.0, 32.0, 30.0)","(11.0, 13.0, 11.714285714285714)","(31.0, 150.0, 78.0)","(21.0, 60.0, 38.0)","(31.0, 130.0, 68.66666666666667)","(26.0, 65.0, 48.5)"
06-01-2023 17:24:02.835729,"(2.5, 2.9, 2.828)","(19.0, 48.0, 41.75)","(4.6, 6.6, 5.742857142857142)","(8.0, 12.5, 9.214285714285714)","(14.0, 21.0, 16.875)","(51.0, 210.0, 167.14285714285714)","(10.0, 19.0, 15.25)","(20.0, 32.0, 30.0)","(11.0, 13.0, 11.714285714285714)","(31.0, 150.0, 78.0)","(21.0, 60.0, 38.0)","(31.0, 130.0, 68.66666666666667)","(26.0, 65.0, 48.5)"
06-01-2023 17:24:04.466184,"(2.5, 2.9, 2.8485714285714283)","(19.0, 48.0, 38.0)","(4.6, 6.6, 5.742857142857142)","(8.0, 10.5, 9.214285714285714)","(14.0, 21.0, 16.875)","(51.0, 210.0, 167.14285714285714)","(10.0, 19.0, 17.0)","(20.0, 32.0, 30.0)","(11.0, 13.0, 11.333333333333334)","(31.0, 150.0, 78.0)","(21.0, 60.0, 38.0)","(31.0, 130.0, 68.66666666666667)","(26.0, 65.0, 48.5)"
06-01-2023 17:24:06.055351,"(2.5, 2.9, 2.8485714285714283)","(19.0, 48.0, 38.0)","(4.6, 6.6, 5.742857142857142)","(8.0, 10.5, 9.214285714285714)","(14.0, 21.0, 16.875)","(51.0, 210.0, 167.14285714285714)","(10.0, 19.5, 15.333333333333334)","(20.0, 32.0, 30.0)","(11.0, 11.5, 11.333333333333334)","(31.0, 150.0, 78.0)","(21.0, 60.0, 38.0)","(31.0, 130.0, 68.66666666666667)","(26.0, 65.0, 48.5)"
06-01-2023 17:24:07.715001,"(2.5, 2.9, 2.8485714285714283)","(19.0, 48.0, 38.0)","(4.6, 6.6, 5.666666666666667)","(8.0, 10.5, 9.375)","(14.0, 21.0, 16.875)","(51.0, 210.0, 113.33333333333334)","(10.0, 19.5, 15.75)","(20.0, 32.0, 30.5)","(11.0, 11.5, 11.346153846153847)","(31.0, 150.0, 78.0)","(21.0, 60.0, 38.0)","(31.0, 130.0, 68.66666666666667)","(26.0, 65.0, 48.5)"
06-01-2023 17:24:09.460481,"(2.5, 2.9, 2.864)","(19.0, 48.0, 38.0)","(4.6, 6.6, 5.666666666666667)","(8.0, 10.5, 9.375)","(14.0, 21.0, 16.875)","(51.0, 210.0, 113.33333333333334)","(10.0, 19.5, 15.75)","(20.0, 32.0, 30.5)","(11.0, 11.5, 11.346153846153847)","(31.0, 150.0, 78.0)","(21.0, 60.0, 38.0)","(31.0, 130.0, 68.66666666666667)","(26.0, 65.0, 48.5)"
