,Cornish Smuggler,Rambunctious,Illawong Danny,Wichita Kansas,Good Feelings,River Patrol Nz,Layden,Spicey Major,Starzzz Destiny
11-01-2023 20:14:27.870274,"(15.0, 23.0, 18.333333333333332)","(18.0, 28.0, 21.666666666666668)","(21.0, 34.0, 29.5)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.266666666666667)","(3.5, 4.9, 4.364285714285715)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:29.305568,"(15.0, 23.0, 18.333333333333332)","(18.0, 28.0, 21.666666666666668)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.266666666666667)","(3.5, 4.9, 4.364285714285715)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:30.749381,"(15.0, 23.0, 18.333333333333332)","(18.0, 28.0, 21.666666666666668)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.266666666666667)","(3.5, 4.9, 4.364285714285715)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:32.228818,"(15.0, 23.0, 18.333333333333332)","(18.0, 28.0, 21.666666666666668)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.266666666666667)","(3.5, 4.9, 4.364285714285715)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:33.654013,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.266666666666667)","(3.5, 4.9, 4.364285714285715)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:35.106403,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.266666666666667)","(3.5, 4.9, 4.364285714285715)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:36.460002,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.266666666666667)","(3.5, 4.9, 4.364285714285715)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:37.809685,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.266666666666667)","(3.5, 4.9, 4.364285714285715)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:39.153919,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.266666666666667)","(3.5, 4.9, 4.364285714285715)","(2.8, 3.95, 3.8)"
11-01-2023 20:14:40.444011,"(15.0, 23.0, 16.875)","(18.0, 28.0, 19.6875)","(21.0, 34.0, 30.4)","(14.0, 15.0, 13.5)","(12.0, 16.5, 14.166666666666666)","(5.5, 99999, 99990)","(6.5, 8.6, 7.266666666666667)","(3.5, 4.9, 4.364285714285715)","(2.8, 3.95, 3.8)"
