,San Lorenzo,All Show,Sweet Vibes,Kingsville Flyer,Flora Colossus,Velocity Zaylia,Gondola
12-01-2023 18:27:23.480889,"(1.5, 1.9, 1.78125)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 28.5)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:24.639142,"(1.5, 1.9, 1.78125)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 28.5)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:25.789198,"(1.5, 1.9, 1.78125)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 28.5)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:26.857346,"(1.5, 1.9, 1.78125)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 28.5)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:28.060059,"(1.5, 1.9, 1.78125)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 28.5)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:29.272175,"(1.5, 1.9, 1.78125)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 28.5)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:30.407096,"(1.5, 1.9, 1.78125)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 39.75)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:31.813725,"(1.5, 1.9, 1.78125)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 40.0)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:32.902426,"(1.5, 1.9, 1.78125)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 40.0)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:34.001432,"(1.5, 1.95, 1.8423076923076922)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 35.0)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:35.196394,"(1.5, 1.94, 1.8025)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 35.0)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:36.406949,"(1.5, 1.94, 1.8025)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 34.0625)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:37.479921,"(1.5, 1.94, 1.8025)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 30.950000000000003)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:38.550770,"(1.5, 1.94, 1.8025)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 33.90909090909091)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:39.669807,"(1.5, 1.93, 1.805)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 33.90909090909091)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:40.788652,"(1.5, 1.93, 1.805)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 33.90909090909091)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:41.842626,"(1.5, 1.93, 1.805)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 33.90909090909091)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:42.856561,"(1.5, 1.93, 1.805)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 33.90909090909091)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:43.951969,"(1.5, 1.93, 1.805)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 33.90909090909091)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:45.026416,"(1.5, 1.93, 1.805)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 33.90909090909091)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:46.090378,"(1.5, 1.93, 1.805)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 33.90909090909091)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:47.257078,"(1.5, 1.93, 1.805)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 33.90909090909091)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.6000000000000005)"
12-01-2023 18:27:48.438786,"(1.5, 1.93, 1.805)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 33.90909090909091)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.8, 6.533333333333333)"
12-01-2023 18:27:49.526078,"(1.5, 1.93, 1.805)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 33.90909090909091)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:27:50.589562,"(1.5, 1.93, 1.805)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 33.90909090909091)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:27:51.778664,"(1.5, 1.93, 1.805)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 33.90909090909091)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:27:52.981270,"(1.5, 1.93, 1.805)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 33.90909090909091)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:27:54.048917,"(1.5, 1.93, 1.805)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 33.90909090909091)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:27:55.106086,"(1.5, 1.93, 1.805)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 33.90909090909091)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:27:56.096856,"(1.5, 1.93, 1.805)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 33.90909090909091)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:27:57.057786,"(1.5, 1.93, 1.805)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 33.90909090909091)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:27:58.121498,"(1.5, 1.93, 1.78)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 36.375)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:27:59.157483,"(1.5, 1.92, 1.8176923076923077)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 36.375)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:00.146057,"(1.5, 1.92, 1.8176923076923077)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.857142857142858)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 31.65)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:01.264245,"(1.5, 1.92, 1.8176923076923077)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.7)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 31.65)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:02.371460,"(1.5, 1.92, 1.8176923076923077)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.9)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:03.410916,"(1.5, 1.92, 1.8176923076923077)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.9)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:04.465895,"(1.5, 1.92, 1.8176923076923077)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.9)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:05.535773,"(1.5, 1.92, 1.8176923076923077)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.9)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:06.550145,"(1.5, 1.92, 1.8176923076923077)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.9)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:07.570647,"(1.5, 1.92, 1.8176923076923077)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.2)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:08.597969,"(1.5, 1.92, 1.8176923076923077)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.4)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:09.622337,"(1.5, 1.92, 1.8686666666666665)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.333333333333334)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:10.608421,"(1.5, 1.92, 1.8686666666666665)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.75)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:11.615865,"(1.5, 1.92, 1.8686666666666665)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.75)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:12.744463,"(1.5, 1.91, 1.785)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.466666666666667)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:13.845787,"(1.5, 1.91, 1.785)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.745454545454546)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:14.861045,"(1.5, 1.91, 1.785)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.745454545454546)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:15.863252,"(1.5, 1.91, 1.785)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.8)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:16.954525,"(1.5, 1.91, 1.785)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.6)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:18.040275,"(1.5, 1.91, 1.785)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.6)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:19.144070,"(1.5, 1.91, 1.785)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.285714285714285)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:20.251546,"(1.5, 1.91, 1.785)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.285714285714285)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:21.297912,"(1.5, 1.91, 1.785)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.285714285714285)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:22.319555,"(1.5, 1.91, 1.785)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.285714285714285)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:23.319566,"(1.5, 1.91, 1.785)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.285714285714285)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:24.368738,"(1.5, 1.91, 1.785)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.285714285714285)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:25.414325,"(1.5, 1.91, 1.785)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.285714285714285)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:26.399313,"(1.5, 1.91, 1.785)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.285714285714285)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:27.417023,"(1.5, 1.91, 1.785)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.285714285714285)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:28.532905,"(1.5, 1.91, 1.785)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.285714285714285)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:29.641457,"(1.5, 1.91, 1.785)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.285714285714285)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:30.735891,"(1.5, 1.91, 1.785)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.1)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:31.900989,"(1.5, 1.91, 1.7638461538461538)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.65)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:33.025579,"(1.5, 1.91, 1.7638461538461538)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.3)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:34.086242,"(1.5, 1.91, 1.7638461538461538)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.3)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:35.099356,"(1.5, 1.91, 1.7638461538461538)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.620000000000001)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:36.227676,"(1.5, 1.91, 1.7638461538461538)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.753846153846155)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:37.336374,"(1.5, 1.91, 1.7638461538461538)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.2)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:38.273715,"(1.5, 1.91, 1.7638461538461538)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.4)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:39.280542,"(1.5, 1.91, 1.7638461538461538)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.24)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:40.347143,"(1.5, 1.91, 1.7638461538461538)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.8)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:41.398730,"(1.5, 1.91, 1.7638461538461538)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.2)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:42.692840,"(1.5, 1.93, 1.7772727272727273)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.846153846153847)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:44.037694,"(1.5, 1.93, 1.77)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.846153846153847)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 37.77777777777778)","(8.5, 25.0, 18.06666666666667)","(5.0, 9.6, 5.92)"
12-01-2023 18:28:45.272139,"(1.5, 1.93, 1.77)","(15.0, 55.0, 40.2)","(6.5, 12.0, 10.846153846153847)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 33.333333333333336)","(8.5, 25.0, 17.610526315789475)","(5.0, 9.6, 7.933333333333334)"
12-01-2023 18:28:46.505729,"(1.5, 1.93, 1.7607692307692306)","(15.0, 55.0, 40.2)","(6.5, 12.0, 9.36)","(12.0, 27.0, 22.166666666666664)","(20.0, 60.0, 33.333333333333336)","(8.5, 25.0, 17.610526315789475)","(5.0, 9.4, 7.933333333333334)"
