,Boomsong,Flora,No Statement,Bedtime Stories,Meod,Tsarina Sophia,Upside,Dual Escape,Mr Polar
08-12-2022 15:36:23.471696,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.995)","(3.0, 3.65, 3.5879310344827586)","(31.0, 40.0, 36.57142857142857)","(31.0, 110.0, 99.42857142857143)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:24.741240,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.995)","(3.0, 3.65, 3.4571428571428573)","(31.0, 40.0, 36.57142857142857)","(31.0, 110.0, 99.42857142857143)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:25.949886,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.995)","(3.0, 3.65, 3.4571428571428573)","(31.0, 40.0, 36.57142857142857)","(31.0, 110.0, 99.42857142857143)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:27.156252,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.995)","(3.0, 3.65, 3.4571428571428573)","(31.0, 40.0, 36.57142857142857)","(31.0, 110.0, 99.42857142857143)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:28.363842,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.995)","(3.0, 3.65, 3.4571428571428573)","(31.0, 40.0, 36.57142857142857)","(31.0, 110.0, 99.42857142857143)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:29.558831,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.995)","(3.0, 3.65, 3.4571428571428573)","(31.0, 40.0, 36.57142857142857)","(31.0, 110.0, 99.42857142857143)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:30.719689,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.995)","(3.0, 3.65, 3.4571428571428573)","(31.0, 40.0, 36.57142857142857)","(31.0, 110.0, 99.42857142857143)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:31.926290,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.995)","(3.0, 3.65, 3.4571428571428573)","(31.0, 40.0, 36.57142857142857)","(31.0, 110.0, 99.42857142857143)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:33.154041,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.995)","(3.0, 3.65, 3.4571428571428573)","(31.0, 40.0, 36.57142857142857)","(31.0, 110.0, 68.0)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:34.317433,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.995)","(3.0, 3.65, 3.4571428571428573)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 68.0)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:35.568494,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.995)","(3.0, 3.65, 3.5879310344827586)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 68.0)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:36.849987,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.995)","(3.0, 3.65, 3.5879310344827586)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 68.0)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:38.134372,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.995)","(3.0, 3.65, 3.5879310344827586)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 68.0)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:39.328004,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.995)","(3.0, 3.65, 3.5879310344827586)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 68.0)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:40.450458,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.995)","(3.0, 3.65, 3.5879310344827586)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 68.0)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:41.588735,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.995)","(3.0, 3.65, 3.5879310344827586)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 68.0)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:42.745391,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.995)","(3.0, 3.65, 3.5879310344827586)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 68.0)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:43.971885,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.995)","(3.0, 3.65, 3.5879310344827586)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 68.0)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:45.134465,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.995)","(3.0, 3.65, 3.5879310344827586)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 68.0)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:46.283396,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.995)","(3.0, 3.65, 3.5879310344827586)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 68.0)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:47.377296,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.4571428571428573)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 68.0)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:48.455816,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.7)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.4571428571428573)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 68.0)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:49.565954,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.7)","(41.0, 290.0, 105.5)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.4571428571428573)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 68.0)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:50.741040,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.7)","(41.0, 290.0, 95.2)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.4571428571428573)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 68.0)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:51.946952,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.7)","(41.0, 300.0, 95.2)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.4571428571428573)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 68.0)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:53.139439,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.7)","(41.0, 300.0, 95.2)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.4571428571428573)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 68.0)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:54.333968,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.7)","(41.0, 300.0, 95.2)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.4571428571428573)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 68.0)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:55.531355,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.7)","(41.0, 300.0, 95.2)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.4571428571428573)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 68.0)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:56.741847,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.7)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.4571428571428573)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 74.4)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:57.941974,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.7)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.5879310344827586)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 74.4)","(26.0, 30.0, 27.5)"
08-12-2022 15:36:59.126354,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.7)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.5879310344827586)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 74.4)","(26.0, 30.0, 27.5)"
08-12-2022 15:37:00.475325,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.7)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.5879310344827586)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 74.4)","(26.0, 30.0, 27.5)"
08-12-2022 15:37:01.802676,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.7)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.5879310344827586)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 74.4)","(26.0, 30.0, 27.5)"
08-12-2022 15:37:03.171697,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.7)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.5879310344827586)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 74.4)","(26.0, 30.0, 27.5)"
08-12-2022 15:37:04.499079,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.7)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.5879310344827586)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 74.4)","(26.0, 30.0, 27.5)"
08-12-2022 15:37:05.758620,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.7)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.5879310344827586)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 74.4)","(26.0, 30.0, 27.580645161290324)"
08-12-2022 15:37:06.947166,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.7)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.607894736842105)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 74.4)","(26.0, 30.0, 27.580645161290324)"
08-12-2022 15:37:08.141566,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.7)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.607894736842105)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 74.4)","(26.0, 30.0, 27.580645161290324)"
08-12-2022 15:37:09.344759,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 11.852941176470589)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.461764705882353)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 74.4)","(26.0, 30.0, 27.580645161290324)"
08-12-2022 15:37:10.658536,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 11.852941176470589)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.461764705882353)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 74.4)","(26.0, 30.0, 27.580645161290324)"
08-12-2022 15:37:11.937779,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 11.852941176470589)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.461764705882353)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 70.9090909090909)","(26.0, 30.0, 27.580645161290324)"
08-12-2022 15:37:13.203924,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 11.852941176470589)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.461764705882353)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 70.9090909090909)","(26.0, 30.0, 27.580645161290324)"
08-12-2022 15:37:14.445015,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 11.852941176470589)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.461764705882353)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 70.9090909090909)","(26.0, 30.0, 27.580645161290324)"
08-12-2022 15:37:15.690195,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 11.852941176470589)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.461764705882353)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 70.9090909090909)","(26.0, 30.0, 27.580645161290324)"
08-12-2022 15:37:16.961405,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 11.852941176470589)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.461764705882353)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 70.9090909090909)","(26.0, 30.0, 27.580645161290324)"
08-12-2022 15:37:18.232648,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 11.852941176470589)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.461764705882353)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 70.9090909090909)","(26.0, 30.0, 27.580645161290324)"
08-12-2022 15:37:19.597151,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 11.852941176470589)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.461764705882353)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 70.9090909090909)","(26.0, 30.0, 27.580645161290324)"
08-12-2022 15:37:20.871276,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 11.852941176470589)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.607894736842105)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 70.9090909090909)","(26.0, 30.0, 27.580645161290324)"
08-12-2022 15:37:22.026582,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.1)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.607894736842105)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 70.9090909090909)","(26.0, 30.0, 27.580645161290324)"
08-12-2022 15:37:23.284747,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.1)","(41.0, 300.0, 172.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.607894736842105)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 70.9090909090909)","(26.0, 30.0, 27.580645161290324)"
08-12-2022 15:37:24.613907,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.1)","(41.0, 300.0, 85.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.607894736842105)","(31.0, 40.0, 36.57142857142857)","(31.0, 100.0, 80.25)","(26.0, 30.0, 27.580645161290324)"
08-12-2022 15:37:26.000025,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.1)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.607894736842105)","(31.0, 40.0, 36.57142857142857)","(31.0, 95.0, 80.25)","(26.0, 30.0, 27.580645161290324)"
08-12-2022 15:37:27.219365,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.1)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.607894736842105)","(31.0, 40.0, 36.57142857142857)","(31.0, 95.0, 80.25)","(26.0, 30.0, 27.580645161290324)"
08-12-2022 15:37:28.395910,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.1)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.607894736842105)","(31.0, 40.0, 36.57142857142857)","(31.0, 95.0, 80.25)","(26.0, 30.0, 27.580645161290324)"
08-12-2022 15:37:29.704835,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.1)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.607894736842105)","(31.0, 40.0, 36.57142857142857)","(31.0, 95.0, 78.14285714285714)","(26.0, 30.0, 27.580645161290324)"
08-12-2022 15:37:31.018056,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.1)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.461764705882353)","(31.0, 40.0, 36.57142857142857)","(31.0, 95.0, 78.14285714285714)","(26.0, 30.0, 27.580645161290324)"
08-12-2022 15:37:32.390106,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.7)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.461764705882353)","(31.0, 40.0, 36.57142857142857)","(31.0, 95.0, 78.14285714285714)","(26.0, 30.0, 27.580645161290324)"
08-12-2022 15:37:33.651089,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.7)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.461764705882353)","(31.0, 40.0, 36.57142857142857)","(31.0, 95.0, 78.14285714285714)","(26.0, 30.0, 27.580645161290324)"
08-12-2022 15:37:34.839836,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.7)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.461764705882353)","(31.0, 40.0, 36.57142857142857)","(31.0, 95.0, 78.14285714285714)","(26.0, 30.0, 27.580645161290324)"
08-12-2022 15:37:36.028497,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 12.7)","(41.0, 290.0, 85.0)","(3.4, 4.0, 3.9970588235294118)","(3.0, 3.65, 3.461764705882353)","(31.0, 40.0, 36.57142857142857)","(31.0, 95.0, 78.14285714285714)","(26.0, 30.0, 27.580645161290324)"
08-12-2022 15:37:37.290596,"(2.7, 3.5, 3.447674418604651)","(31.0, 42.0, 38.5)","(8.0, 13.5, 13.326086956521738)","(41.0, 290.0, 85.0)","(3.4, 4.0, 4.206976744186046)","(3.0, 3.65, 3.425)","(31.0, 40.0, 36.57142857142857)","(31.0, 95.0, 78.14285714285714)","(26.0, 30.0, 27.666666666666668)"
08-12-2022 15:37:38.600597,"(2.7, 3.5, 3.45)","(31.0, 42.0, 38.5)","(8.0, 13.0, 12.142857142857142)","(41.0, 290.0, 86.66666666666666)","(3.4, 4.3, 4.030769230769231)","(3.0, 3.65, 3.4289473684210527)","(31.0, 40.0, 36.57142857142857)","(31.0, 95.0, 80.25)","(26.0, 30.0, 26.266666666666666)"
08-12-2022 15:37:39.972859,"(2.7, 3.5, 3.4363636363636365)","(31.0, 42.0, 38.5)","(8.0, 13.0, 11.384615384615385)","(41.0, 290.0, 86.66666666666666)","(3.4, 4.3, 4.086111111111111)","(3.0, 3.65, 3.4166666666666665)","(31.0, 40.0, 36.57142857142857)","(31.0, 95.0, 60.85714285714286)","(26.0, 30.0, 26.266666666666666)"
