,Daves Deal,Nighthawk Swift,Maxima,Homebush Bentley,Lucas Jewel,Diamond Georgio,Ginger Shaw,Its Better
08-12-2022 13:53:20.580894,"(1.9, 3.8, 3.216551724137931)","(14.0, 34.0, 32.09090909090909)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.78333333333333)","(9.0, 19.0, 17.266666666666666)","(12.0, 26.0, 24.636363636363633)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:21.829601,"(1.9, 3.8, 3.216551724137931)","(14.0, 34.0, 32.09090909090909)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:22.911809,"(1.9, 3.8, 3.142307692307692)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:24.018691,"(1.9, 3.8, 3.142307692307692)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:25.331656,"(1.9, 3.8, 3.142307692307692)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:26.482521,"(1.9, 3.8, 3.142307692307692)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:27.646744,"(1.9, 3.75, 2.598888888888889)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:28.867074,"(1.9, 3.75, 2.598888888888889)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:30.061862,"(1.9, 3.75, 2.598888888888889)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:31.351270,"(1.9, 3.75, 2.598888888888889)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:32.638319,"(1.9, 3.75, 2.598888888888889)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:33.841677,"(1.9, 3.75, 2.598888888888889)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:35.028567,"(1.9, 3.7, 3.0769230769230766)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:36.235835,"(1.9, 3.7, 3.0769230769230766)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:37.452731,"(1.9, 3.7, 3.0769230769230766)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:38.653811,"(1.9, 3.7, 3.0769230769230766)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:39.879754,"(1.9, 3.7, 3.0769230769230766)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:41.037806,"(1.9, 4.1, 2.731111111111111)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:42.255198,"(1.9, 4.1, 2.731111111111111)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:43.371396,"(1.9, 4.1, 2.731111111111111)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:44.485249,"(1.9, 4.1, 2.731111111111111)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:45.531481,"(1.9, 4.1, 2.731111111111111)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:47.038846,"(1.9, 4.0, 3.3280000000000003)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:48.319674,"(1.9, 4.0, 3.3280000000000003)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:49.480050,"(1.9, 4.0, 3.3280000000000003)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:50.595582,"(1.9, 4.0, 3.3280000000000003)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:51.865350,"(1.9, 4.0, 2.1125000000000003)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:53.189619,"(1.9, 2.2, 2.126666666666667)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:54.414047,"(1.9, 2.22, 2.126666666666667)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:55.563245,"(1.9, 4.0, 3.3280000000000003)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:56.738773,"(1.9, 2.26, 2.155)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:57.967970,"(1.9, 2.26, 2.155)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.875)"
08-12-2022 13:53:59.129518,"(1.9, 4.1, 2.731111111111111)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.4, 4.775)"
08-12-2022 13:54:00.206130,"(1.9, 4.0, 3.22375)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.2, 4.775)"
08-12-2022 13:54:01.245663,"(1.9, 4.0, 3.2275)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.2, 4.775)"
08-12-2022 13:54:02.376559,"(1.9, 2.14, 2.0704347826086957)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.2, 4.775)"
08-12-2022 13:54:03.508225,"(1.9, 2.16, 2.0834782608695654)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.2, 4.775)"
08-12-2022 13:54:04.552093,"(1.9, 2.18, 2.1036363636363635)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.2, 4.775)"
08-12-2022 13:54:05.800599,"(1.9, 2.2, 2.117272727272727)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.2, 4.775)"
08-12-2022 13:54:07.223213,"(1.9, 4.0, 2.693488372093023)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.2, 4.775)"
08-12-2022 13:54:08.584133,"(1.9, 4.1, 2.693488372093023)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.2, 4.775)"
08-12-2022 13:54:09.852955,"(1.9, 4.0, 3.0844444444444443)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.2, 4.775)"
08-12-2022 13:54:11.269893,"(1.9, 4.0, 3.0844444444444443)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.2, 4.775)"
08-12-2022 13:54:12.761287,"(1.9, 2.56, 2.3)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.2, 4.775)"
08-12-2022 13:54:14.174309,"(1.9, 2.54, 2.212727272727273)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.2, 4.775)"
08-12-2022 13:54:15.650360,"(1.9, 2.52, 2.1854545454545455)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.2, 4.775)"
08-12-2022 13:54:16.935333,"(1.9, 2.3, 2.1854545454545455)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.2, 4.775)"
08-12-2022 13:54:18.214045,"(1.9, 2.26, 2.158181818181818)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.2, 4.775)"
08-12-2022 13:54:19.423008,"(1.9, 2.24, 2.1445454545454545)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.2, 4.775)"
08-12-2022 13:54:20.808599,"(1.9, 2.22, 2.117272727272727)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.75)","(9.0, 19.0, 17.233333333333334)","(12.0, 26.0, 24.0625)","(3.4, 6.2, 4.775)"
08-12-2022 13:54:22.147675,"(1.9, 2.2, 2.117272727272727)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.78333333333333)","(9.0, 19.0, 17.266666666666666)","(12.0, 26.0, 24.636363636363633)","(3.4, 6.2, 4.775)"
08-12-2022 13:54:23.489113,"(1.9, 2.18, 2.1036363636363635)","(14.0, 34.0, 30.92857142857143)","(9.0, 20.0, 18.945454545454545)","(61.0, 440.0, 200.0)","(9.0, 18.5, 16.78333333333333)","(9.0, 19.0, 17.266666666666666)","(12.0, 26.0, 24.636363636363633)","(3.4, 6.2, 4.775)"
