,Nerrina Lolita,Highground,Sethlans,Dollar Dollar,Thunder Knob,Imagine That,Under Par,Heroic Angel,Boomko,Motherlode
16-12-2022 13:51:13.328513,"(7.5, 8.0, 7.927272727272727)","(2.45, 3.35, 3.0936363636363637)","(17.0, 24.0, 23.032258064516128)","(3.9, 5.2, 4.952941176470588)","(16.0, 21.0, 19.666666666666668)","(15.0, 23.0, 22.125)","(11.0, 13.5, 13.0)","(10.0, 14.0, 13.083333333333334)","(41.0, 120.0, 111.66666666666667)","(10.0, 22.0, 19.6)"
16-12-2022 13:51:14.526038,"(7.5, 8.0, 7.927272727272727)","(2.45, 3.35, 3.0936363636363637)","(17.0, 24.0, 23.032258064516128)","(3.9, 5.2, 4.952941176470588)","(16.0, 21.0, 19.666666666666668)","(15.0, 23.0, 22.125)","(11.0, 13.5, 13.0)","(10.0, 14.0, 13.083333333333334)","(41.0, 120.0, 111.66666666666667)","(10.0, 22.0, 19.6)"
16-12-2022 13:51:15.772267,"(7.5, 8.0, 7.927272727272727)","(2.45, 3.35, 3.0936363636363637)","(17.0, 24.0, 23.032258064516128)","(3.9, 5.2, 4.952941176470588)","(16.0, 21.0, 19.666666666666668)","(15.0, 23.0, 22.125)","(11.0, 13.5, 13.0)","(10.0, 14.0, 13.083333333333334)","(41.0, 120.0, 111.66666666666667)","(10.0, 22.0, 19.6)"
16-12-2022 13:51:17.031824,"(7.5, 8.0, 7.927272727272727)","(2.5, 3.35, 3.0936363636363637)","(17.0, 24.0, 23.032258064516128)","(3.9, 5.2, 4.952941176470588)","(16.0, 21.0, 19.666666666666668)","(15.0, 23.0, 22.125)","(11.0, 13.5, 13.0)","(10.0, 14.0, 13.083333333333334)","(41.0, 120.0, 111.66666666666667)","(10.0, 22.0, 19.6)"
16-12-2022 13:51:18.224102,"(7.5, 8.0, 7.927272727272727)","(2.5, 3.35, 3.201578947368421)","(17.0, 24.0, 23.032258064516128)","(3.9, 5.2, 4.952941176470588)","(16.0, 21.0, 19.666666666666668)","(15.0, 23.0, 22.125)","(11.0, 13.5, 13.0)","(10.0, 14.0, 13.083333333333334)","(41.0, 120.0, 111.66666666666667)","(10.0, 22.0, 19.6)"
16-12-2022 13:51:19.410047,"(7.5, 8.0, 7.927272727272727)","(2.5, 3.35, 3.0125)","(17.0, 24.0, 23.032258064516128)","(3.9, 5.2, 4.952941176470588)","(16.0, 21.0, 19.666666666666668)","(15.0, 23.0, 22.125)","(11.0, 13.5, 13.0)","(10.0, 14.0, 13.083333333333334)","(41.0, 120.0, 111.66666666666667)","(10.0, 22.0, 19.6)"
16-12-2022 13:51:20.617314,"(7.5, 8.0, 7.8933333333333335)","(2.5, 3.35, 3.1330769230769233)","(17.0, 24.0, 23.032258064516128)","(3.9, 5.2, 4.952941176470588)","(16.0, 21.0, 19.666666666666668)","(15.0, 23.0, 22.125)","(11.0, 13.5, 13.0)","(10.0, 14.0, 13.083333333333334)","(41.0, 120.0, 111.66666666666667)","(10.0, 22.0, 19.6)"
16-12-2022 13:51:21.927086,"(7.5, 8.0, 7.8933333333333335)","(2.5, 3.35, 3.1841176470588235)","(17.0, 24.0, 23.032258064516128)","(3.9, 5.2, 5.275)","(16.0, 21.0, 19.666666666666668)","(15.0, 23.0, 22.125)","(11.0, 13.5, 13.0)","(10.0, 14.0, 13.181818181818182)","(41.0, 120.0, 107.5)","(10.0, 22.0, 18.32)"
16-12-2022 13:51:23.279903,"(7.5, 8.0, 7.8933333333333335)","(2.5, 3.35, 2.9642857142857144)","(17.0, 24.0, 23.032258064516128)","(3.9, 5.4, 5.275)","(16.0, 21.0, 19.666666666666668)","(15.0, 23.0, 22.125)","(11.0, 13.5, 13.0)","(10.0, 15.0, 13.181818181818182)","(41.0, 120.0, 107.5)","(10.0, 26.0, 18.32)"
16-12-2022 13:51:24.572575,"(7.5, 8.0, 7.8933333333333335)","(2.5, 3.35, 2.9642857142857144)","(17.0, 24.0, 23.032258064516128)","(3.9, 5.4, 5.275)","(16.0, 21.0, 19.666666666666668)","(15.0, 23.0, 22.125)","(11.0, 13.5, 13.0)","(10.0, 15.0, 13.181818181818182)","(41.0, 120.0, 107.5)","(10.0, 26.0, 18.32)"
16-12-2022 13:51:25.901284,"(7.5, 8.0, 7.8933333333333335)","(2.5, 3.35, 2.9642857142857144)","(17.0, 24.0, 23.032258064516128)","(3.9, 5.4, 5.275)","(16.0, 21.0, 19.666666666666668)","(15.0, 23.0, 22.125)","(11.0, 13.5, 13.0)","(10.0, 15.0, 13.181818181818182)","(41.0, 120.0, 107.5)","(10.0, 26.0, 18.32)"
16-12-2022 13:51:27.180556,"(7.5, 8.0, 7.8933333333333335)","(2.5, 3.35, 2.9642857142857144)","(17.0, 24.0, 23.032258064516128)","(3.9, 5.4, 5.275)","(16.0, 21.0, 19.666666666666668)","(15.0, 23.0, 20.5)","(11.0, 13.5, 12.666666666666666)","(10.0, 15.0, 13.181818181818182)","(41.0, 120.0, 101.66666666666666)","(10.0, 26.0, 18.38095238095238)"
16-12-2022 13:51:28.488538,"(7.5, 8.0, 7.927272727272727)","(2.5, 3.35, 2.9642857142857144)","(17.0, 24.0, 23.032258064516128)","(3.9, 5.4, 5.275)","(16.0, 21.0, 19.666666666666668)","(15.0, 22.0, 17.875)","(11.0, 13.0, 12.666666666666666)","(10.0, 15.0, 13.181818181818182)","(41.0, 120.0, 101.66666666666666)","(10.0, 26.0, 18.38095238095238)"
16-12-2022 13:51:29.808312,"(7.5, 8.0, 7.927272727272727)","(2.5, 3.35, 2.9642857142857144)","(17.0, 24.0, 23.032258064516128)","(3.9, 5.4, 5.275)","(16.0, 21.0, 19.666666666666668)","(15.0, 22.0, 17.875)","(11.0, 13.0, 12.722222222222221)","(10.0, 15.0, 13.181818181818182)","(41.0, 120.0, 101.66666666666666)","(10.0, 26.0, 19.333333333333332)"
16-12-2022 13:51:31.151957,"(7.5, 8.0, 7.8933333333333335)","(2.5, 3.35, 2.9642857142857144)","(17.0, 24.0, 23.032258064516128)","(3.9, 5.4, 5.275)","(16.0, 21.0, 19.666666666666668)","(15.0, 22.0, 17.875)","(11.0, 13.5, 12.722222222222221)","(10.0, 15.0, 13.181818181818182)","(41.0, 120.0, 101.66666666666666)","(10.0, 26.0, 22.666666666666668)"
16-12-2022 13:51:32.461473,"(7.5, 8.0, 7.8933333333333335)","(2.5, 3.35, 2.9642857142857144)","(17.0, 24.0, 23.032258064516128)","(3.9, 5.4, 5.275)","(16.0, 21.0, 19.666666666666668)","(15.0, 22.0, 17.875)","(11.0, 13.5, 12.722222222222221)","(10.0, 15.0, 13.181818181818182)","(41.0, 120.0, 101.66666666666666)","(10.0, 25.0, 22.666666666666668)"
16-12-2022 13:51:33.785241,"(7.5, 8.0, 7.8933333333333335)","(2.5, 3.35, 3.075)","(17.0, 24.0, 23.032258064516128)","(3.9, 5.4, 5.275)","(16.0, 21.0, 19.666666666666668)","(15.0, 22.0, 17.875)","(11.0, 13.5, 12.722222222222221)","(10.0, 15.0, 13.181818181818182)","(41.0, 120.0, 101.66666666666666)","(10.0, 25.0, 22.666666666666668)"
16-12-2022 13:51:35.109111,"(7.5, 8.0, 7.927272727272727)","(2.5, 3.35, 3.075)","(17.0, 24.0, 23.032258064516128)","(3.9, 5.4, 5.275)","(16.0, 21.0, 19.0)","(15.0, 22.0, 17.875)","(11.0, 13.5, 12.722222222222221)","(10.0, 15.0, 13.181818181818182)","(41.0, 120.0, 101.66666666666666)","(10.0, 25.0, 22.666666666666668)"
16-12-2022 13:51:36.449844,"(7.5, 8.0, 7.927272727272727)","(2.5, 3.0, 2.933333333333333)","(17.0, 24.0, 23.032258064516128)","(3.9, 5.4, 5.275)","(16.0, 23.0, 18.333333333333332)","(15.0, 22.0, 17.875)","(11.0, 13.5, 12.722222222222221)","(10.0, 15.0, 13.181818181818182)","(41.0, 120.0, 101.66666666666666)","(10.0, 25.0, 22.666666666666668)"
16-12-2022 13:51:37.749576,"(7.5, 8.0, 7.927272727272727)","(2.5, 3.0, 2.933333333333333)","(17.0, 24.0, 23.032258064516128)","(3.9, 5.4, 5.275)","(16.0, 23.0, 17.555555555555557)","(15.0, 22.0, 19.5)","(11.0, 13.5, 13.142857142857142)","(10.0, 15.0, 13.181818181818182)","(41.0, 120.0, 101.66666666666666)","(10.0, 25.0, 20.125)"
16-12-2022 13:51:39.034054,"(7.5, 8.0, 7.927272727272727)","(2.5, 3.0, 2.933333333333333)","(17.0, 24.0, 23.032258064516128)","(3.9, 5.4, 5.275)","(16.0, 23.0, 19.0)","(15.0, 22.0, 22.6)","(11.0, 13.5, 13.142857142857142)","(10.0, 15.0, 13.181818181818182)","(41.0, 120.0, 106.25)","(10.0, 25.0, 21.1)"
16-12-2022 13:51:40.322149,"(7.5, 8.0, 7.938461538461539)","(2.5, 3.0, 2.933333333333333)","(17.0, 24.0, 22.181818181818183)","(3.9, 5.4, 5.275)","(16.0, 22.0, 18.0)","(15.0, 24.0, 21.0)","(11.0, 13.5, 12.666666666666666)","(10.0, 15.0, 13.181818181818182)","(41.0, 120.0, 106.25)","(10.0, 25.0, 21.1)"
16-12-2022 13:51:41.665998,"(7.5, 8.0, 7.938461538461539)","(2.5, 3.0, 2.933333333333333)","(17.0, 24.0, 22.181818181818183)","(3.9, 5.4, 5.275)","(16.0, 22.0, 18.0)","(15.0, 24.0, 21.0)","(11.0, 13.5, 12.75)","(10.0, 15.0, 13.181818181818182)","(41.0, 120.0, 106.25)","(10.0, 25.0, 21.1)"
16-12-2022 13:51:43.005031,"(7.5, 8.0, 7.938461538461539)","(2.5, 3.0, 2.933333333333333)","(17.0, 24.0, 22.181818181818183)","(3.9, 5.4, 5.275)","(16.0, 22.0, 18.0)","(15.0, 24.0, 21.0)","(11.0, 14.0, 12.75)","(10.0, 15.0, 13.181818181818182)","(41.0, 120.0, 106.25)","(10.0, 25.0, 21.1)"
16-12-2022 13:51:44.330886,"(7.5, 8.0, 7.938461538461539)","(2.5, 3.0, 2.933333333333333)","(17.0, 24.0, 22.181818181818183)","(3.9, 5.4, 5.275)","(16.0, 22.0, 18.0)","(15.0, 24.0, 21.0)","(11.0, 14.0, 12.75)","(10.0, 15.0, 13.181818181818182)","(41.0, 120.0, 106.25)","(10.0, 25.0, 21.1)"
16-12-2022 13:51:45.576519,"(7.5, 8.0, 7.938461538461539)","(2.5, 3.0, 2.933333333333333)","(17.0, 24.0, 22.181818181818183)","(3.9, 5.4, 5.275)","(16.0, 22.0, 18.7)","(15.0, 24.0, 21.0)","(11.0, 14.0, 12.75)","(10.0, 15.0, 13.5)","(41.0, 120.0, 106.25)","(10.0, 25.0, 22.166666666666668)"
16-12-2022 13:51:46.825721,"(7.5, 8.0, 7.938461538461539)","(2.5, 3.0, 2.933333333333333)","(17.0, 24.0, 22.181818181818183)","(3.9, 5.4, 5.275)","(16.0, 22.0, 20.166666666666668)","(15.0, 24.0, 22.764705882352942)","(11.0, 14.0, 12.75)","(10.0, 14.5, 13.5)","(41.0, 120.0, 110.83333333333333)","(10.0, 24.0, 23.576923076923077)"
16-12-2022 13:51:48.360418,"(7.5, 8.0, 7.938461538461539)","(2.5, 3.0, 2.9525)","(17.0, 24.0, 22.181818181818183)","(3.9, 5.4, 5.275)","(16.0, 22.0, 20.166666666666668)","(15.0, 24.0, 22.764705882352942)","(11.0, 14.0, 12.75)","(10.0, 14.5, 13.5)","(41.0, 120.0, 110.83333333333333)","(10.0, 24.0, 23.576923076923077)"
16-12-2022 13:51:50.051150,"(7.5, 8.0, 7.938461538461539)","(2.5, 3.0, 2.9525)","(17.0, 24.0, 22.181818181818183)","(3.9, 5.4, 5.275)","(16.0, 22.0, 20.166666666666668)","(15.0, 24.0, 22.764705882352942)","(11.0, 14.0, 12.75)","(10.0, 14.5, 13.5)","(41.0, 120.0, 110.83333333333333)","(10.0, 24.0, 23.576923076923077)"
16-12-2022 13:51:51.363987,"(7.5, 8.0, 7.938461538461539)","(2.5, 3.0, 2.9525)","(17.0, 24.0, 22.181818181818183)","(3.9, 5.4, 5.275)","(16.0, 22.0, 20.166666666666668)","(15.0, 24.0, 22.764705882352942)","(11.0, 14.0, 12.75)","(10.0, 14.5, 13.5)","(41.0, 120.0, 110.83333333333333)","(10.0, 24.0, 23.576923076923077)"
16-12-2022 13:51:52.727785,"(7.5, 8.0, 7.938461538461539)","(2.5, 3.0, 2.9525)","(17.0, 24.0, 22.181818181818183)","(3.9, 5.4, 5.275)","(16.0, 22.0, 20.166666666666668)","(15.0, 24.0, 22.764705882352942)","(11.0, 14.0, 12.75)","(10.0, 14.5, 13.5)","(41.0, 120.0, 109.0)","(10.0, 24.0, 23.576923076923077)"
16-12-2022 13:51:54.154495,"(7.5, 8.0, 7.938461538461539)","(2.5, 3.0, 2.9415384615384617)","(17.0, 24.0, 22.181818181818183)","(3.9, 5.4, 5.3375)","(16.0, 22.0, 18.7)","(15.0, 24.0, 22.764705882352942)","(11.0, 14.0, 12.75)","(10.0, 14.5, 13.5)","(41.0, 120.0, 92.5)","(10.0, 24.0, 23.352941176470587)"
16-12-2022 13:51:55.667275,"(7.5, 8.0, 7.938461538461539)","(2.5, 3.0, 2.9905)","(17.0, 24.0, 22.181818181818183)","(3.9, 5.4, 5.3375)","(16.0, 22.0, 20.166666666666668)","(15.0, 24.0, 23.0)","(11.0, 14.0, 12.75)","(10.0, 14.5, 13.5)","(41.0, 120.0, 109.0)","(10.0, 24.0, 23.166666666666668)"
16-12-2022 13:51:57.111051,"(7.5, 8.2, 7.819565217391304)","(2.5, 3.0, 2.9925)","(17.0, 24.0, 22.181818181818183)","(3.9, 5.4, 5.233333333333333)","(16.0, 22.0, 18.7)","(15.0, 24.0, 22.764705882352942)","(11.0, 14.0, 12.75)","(10.0, 14.5, 13.5)","(41.0, 120.0, 92.5)","(10.0, 24.0, 23.166666666666668)"
16-12-2022 13:51:58.573153,"(7.5, 8.2, 7.819565217391304)","(2.5, 3.0, 2.9704225352112674)","(17.0, 24.0, 22.181818181818183)","(3.9, 5.4, 5.166666666666667)","(16.0, 22.0, 20.166666666666668)","(15.0, 24.0, 22.764705882352942)","(11.0, 14.0, 12.75)","(10.0, 14.5, 13.5)","(41.0, 120.0, 92.5)","(10.0, 24.0, 23.166666666666668)"
16-12-2022 13:52:00.116982,"(7.5, 8.2, 7.819148936170213)","(2.5, 2.98, 2.92)","(17.0, 24.0, 22.181818181818183)","(3.9, 5.4, 5.383720930232559)","(16.0, 22.0, 20.73076923076923)","(15.0, 24.0, 23.0)","(11.0, 14.0, 12.75)","(10.0, 14.5, 13.5)","(41.0, 120.0, 92.5)","(10.0, 24.0, 20.666666666666668)"
16-12-2022 13:52:01.576368,"(7.5, 8.2, 7.819148936170213)","(2.5, 2.98, 2.86)","(17.0, 24.0, 22.181818181818183)","(3.9, 5.4, 5.15)","(16.0, 22.0, 19.0)","(15.0, 24.0, 20.1)","(11.0, 14.0, 12.75)","(10.0, 14.5, 13.5)","(41.0, 120.0, 106.25)","(10.0, 24.0, 22.333333333333332)"
16-12-2022 13:52:03.057579,"(7.5, 8.2, 7.819148936170213)","(2.5, 2.98, 2.92)","(17.0, 24.0, 22.181818181818183)","(3.9, 5.4, 5.388372093023256)","(16.0, 22.0, 19.0)","(15.0, 24.0, 20.1)","(11.0, 14.0, 12.75)","(10.0, 14.5, 13.5)","(41.0, 120.0, 110.83333333333333)","(10.0, 24.0, 23.166666666666668)"
16-12-2022 13:52:04.601395,"(7.5, 8.2, 8.044339622641509)","(2.5, 2.98, 2.904)","(17.0, 24.0, 41.173913043478265)","(3.9, 5.4, 4.98)","(16.0, 23.0, 18.0)","(15.0, 24.0, 23.15625)","(11.0, 14.0, 12.75)","(10.0, 14.5, 13.5)","(41.0, 120.0, 110.83333333333333)","(10.0, 24.0, 20.333333333333332)"
16-12-2022 13:52:06.137406,"(7.5, 8.2, 8.045192307692307)","(2.5, 2.96, 2.888)","(17.0, 42.0, 35.55555555555556)","(3.9, 5.3, 4.930769230769231)","(16.0, 21.0, 18.0)","(15.0, 24.0, 22.53333333333333)","(11.0, 14.0, 12.75)","(10.0, 14.5, 13.5)","(41.0, 120.0, 110.83333333333333)","(10.0, 23.0, 20.333333333333332)"
16-12-2022 13:52:07.533083,"(7.5, 8.2, 8.045192307692307)","(2.5, 2.94, 2.81)","(17.0, 40.0, 35.55555555555556)","(3.9, 5.3, 4.944444444444445)","(16.0, 21.0, 18.0)","(15.0, 23.0, 22.5625)","(11.0, 14.0, 12.928571428571429)","(10.0, 14.5, 13.5)","(41.0, 120.0, 95.0)","(10.0, 23.0, 21.76923076923077)"
16-12-2022 13:52:08.981819,"(7.5, 8.2, 8.045192307692307)","(2.5, 2.94, 2.88)","(17.0, 40.0, 34.666666666666664)","(3.9, 5.3, 4.94)","(16.0, 21.0, 18.0)","(15.0, 23.0, 22.5625)","(11.0, 14.0, 12.928571428571429)","(10.0, 14.5, 13.5)","(41.0, 120.0, 95.0)","(10.0, 22.0, 21.76923076923077)"
16-12-2022 13:52:10.379433,"(7.5, 8.2, 8.045192307692307)","(2.5, 2.94, 2.88)","(17.0, 40.0, 34.666666666666664)","(3.9, 5.3, 4.94)","(16.0, 21.0, 18.0)","(15.0, 23.0, 22.5625)","(11.0, 14.0, 12.928571428571429)","(10.0, 14.5, 13.5)","(41.0, 120.0, 95.0)","(10.0, 22.0, 21.76923076923077)"
16-12-2022 13:52:11.840350,"(7.5, 8.2, 8.045192307692307)","(2.5, 2.94, 2.9155555555555557)","(17.0, 40.0, 34.666666666666664)","(3.9, 5.3, 4.94)","(16.0, 21.0, 18.0)","(15.0, 23.0, 22.5625)","(11.0, 14.0, 12.928571428571429)","(10.0, 14.5, 13.5)","(41.0, 120.0, 95.0)","(10.0, 22.0, 21.76923076923077)"
16-12-2022 13:52:13.267244,"(7.5, 8.2, 8.045192307692307)","(2.5, 2.94, 2.934823529411765)","(17.0, 40.0, 34.666666666666664)","(3.9, 5.3, 4.94)","(16.0, 21.0, 18.0)","(15.0, 23.0, 22.5625)","(11.0, 14.0, 12.928571428571429)","(10.0, 14.5, 13.5)","(41.0, 120.0, 95.0)","(10.0, 22.0, 21.76923076923077)"
16-12-2022 13:52:14.741203,"(7.5, 8.2, 8.045192307692307)","(2.5, 2.94, 2.88)","(17.0, 40.0, 34.666666666666664)","(3.9, 5.3, 4.935294117647059)","(16.0, 21.0, 18.0)","(15.0, 23.0, 22.5625)","(11.0, 14.0, 12.928571428571429)","(10.0, 14.5, 13.5)","(41.0, 120.0, 95.0)","(10.0, 22.0, 21.76923076923077)"
16-12-2022 13:52:16.224047,"(7.5, 8.2, 8.045192307692307)","(2.5, 2.94, 2.8200000000000003)","(17.0, 40.0, 34.666666666666664)","(3.9, 5.3, 4.935294117647059)","(16.0, 21.0, 18.0)","(15.0, 23.0, 22.5625)","(11.0, 14.0, 12.928571428571429)","(10.0, 14.5, 13.5)","(41.0, 120.0, 95.0)","(10.0, 22.0, 21.76923076923077)"
16-12-2022 13:52:17.893510,"(7.5, 8.2, 8.045192307692307)","(2.5, 2.94, 2.9155555555555557)","(17.0, 40.0, 34.666666666666664)","(3.9, 5.3, 4.935294117647059)","(16.0, 21.0, 18.0)","(15.0, 23.0, 22.5625)","(11.0, 14.0, 12.928571428571429)","(10.0, 14.5, 13.5)","(41.0, 120.0, 89.44444444444444)","(10.0, 22.0, 20.5)"
16-12-2022 13:52:19.754625,"(7.5, 8.2, 8.045192307692307)","(2.5, 2.94, 2.9334426229508197)","(17.0, 40.0, 34.666666666666664)","(3.9, 5.3, 4.935294117647059)","(16.0, 21.0, 18.0)","(15.0, 23.0, 22.5625)","(11.0, 14.0, 12.928571428571429)","(10.0, 14.5, 13.5)","(41.0, 120.0, 80.71428571428571)","(10.0, 22.0, 20.5)"
16-12-2022 13:52:21.183644,"(7.5, 8.2, 8.045192307692307)","(2.5, 2.94, 2.904)","(17.0, 40.0, 34.666666666666664)","(3.9, 5.3, 4.935294117647059)","(16.0, 21.0, 18.0)","(15.0, 23.0, 22.5625)","(11.0, 14.0, 12.928571428571429)","(10.0, 14.5, 13.5)","(41.0, 120.0, 89.44444444444444)","(10.0, 22.0, 20.5)"
16-12-2022 13:52:22.621608,"(7.5, 8.2, 8.045192307692307)","(2.5, 2.94, 2.8200000000000003)","(17.0, 40.0, 29.285714285714285)","(3.9, 5.3, 4.935294117647059)","(16.0, 21.0, 18.0)","(15.0, 23.0, 22.5625)","(11.0, 14.0, 12.928571428571429)","(10.0, 14.5, 13.5)","(41.0, 120.0, 89.44444444444444)","(10.0, 22.0, 20.5)"
16-12-2022 13:52:24.078392,"(7.5, 8.2, 8.045192307692307)","(2.5, 2.94, 2.8443478260869566)","(17.0, 40.0, 29.285714285714285)","(3.9, 5.3, 4.981818181818182)","(16.0, 21.0, 18.0)","(15.0, 23.0, 22.5625)","(11.0, 14.0, 12.928571428571429)","(10.0, 14.5, 13.5)","(41.0, 120.0, 89.44444444444444)","(10.0, 22.0, 20.5)"
16-12-2022 13:52:25.585509,"(7.5, 8.2, 8.045192307692307)","(2.5, 2.94, 2.770769230769231)","(17.0, 40.0, 35.588235294117645)","(3.9, 5.2, 4.981818181818182)","(16.0, 21.0, 18.0)","(15.0, 23.0, 22.142857142857142)","(11.0, 14.0, 12.928571428571429)","(10.0, 14.5, 13.5)","(41.0, 120.0, 89.44444444444444)","(10.0, 22.0, 20.5)"
16-12-2022 13:52:27.035785,"(7.5, 8.2, 8.094949494949494)","(2.5, 2.94, 2.8991836734693877)","(17.0, 40.0, 35.588235294117645)","(3.9, 5.2, 4.981818181818182)","(16.0, 21.0, 18.0)","(15.0, 23.0, 22.142857142857142)","(11.0, 14.0, 12.928571428571429)","(10.0, 14.5, 13.5)","(41.0, 120.0, 89.44444444444444)","(10.0, 22.0, 21.727272727272727)"
16-12-2022 13:52:28.459175,"(7.5, 8.0, 7.807407407407407)","(2.5, 2.94, 2.8257142857142856)","(17.0, 40.0, 35.588235294117645)","(3.9, 5.2, 4.981818181818182)","(16.0, 21.0, 18.0)","(15.0, 23.0, 22.142857142857142)","(11.0, 14.0, 12.928571428571429)","(10.0, 14.5, 13.5)","(41.0, 120.0, 89.44444444444444)","(10.0, 22.0, 20.5)"
16-12-2022 13:52:30.025124,"(7.5, 8.0, 7.85)","(2.5, 2.94, 2.8257142857142856)","(17.0, 40.0, 30.0)","(3.9, 5.2, 4.981818181818182)","(16.0, 21.0, 18.0)","(15.0, 23.0, 22.142857142857142)","(11.0, 14.0, 12.928571428571429)","(10.0, 14.5, 13.5)","(41.0, 120.0, 89.44444444444444)","(10.0, 22.0, 20.5)"
16-12-2022 13:52:31.532362,"(7.5, 8.0, 7.85)","(2.5, 2.94, 2.8257142857142856)","(17.0, 40.0, 35.0)","(3.9, 5.2, 4.933333333333334)","(16.0, 21.0, 18.923076923076923)","(15.0, 23.0, 22.142857142857142)","(11.0, 14.0, 12.928571428571429)","(10.0, 14.5, 13.5)","(41.0, 120.0, 85.625)","(10.0, 22.0, 20.5)"
16-12-2022 13:52:32.985004,"(7.5, 8.0, 7.85)","(2.5, 2.94, 2.8257142857142856)","(17.0, 40.0, 35.0)","(3.9, 5.2, 4.933333333333334)","(16.0, 21.0, 18.0)","(15.0, 23.0, 22.142857142857142)","(11.0, 14.0, 12.928571428571429)","(10.0, 14.5, 13.5)","(41.0, 120.0, 84.0)","(10.0, 22.0, 23.166666666666668)"
