,Nortie Nortie Nz,Natty Pagger Nz,Eyre I Go Nz,Kar Manor Nz,Cochy Malc Nz,Aladdin Sane Nz,Stress Factor Nz
10-01-2023 11:58:05.288363,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:06.633840,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:07.856143,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:08.957995,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:09.967385,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:10.973514,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:11.929991,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:12.913285,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:13.900626,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:14.937412,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:15.973248,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:16.920284,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:17.959257,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:19.077874,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:20.202827,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:21.281106,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:22.351452,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:23.414672,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:24.515774,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:25.754431,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:26.676376,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:27.615532,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:28.577319,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:29.552975,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:30.548586,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:31.519179,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:32.545776,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:33.557659,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:34.551280,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:35.679674,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:36.641854,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:37.644505,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:38.648947,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:39.693674,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:40.752246,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:41.817653,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:42.860463,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:43.896980,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:44.855553,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:45.805435,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:46.786040,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:47.757637,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:48.796323,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:49.821682,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:50.878265,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:51.877212,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:52.922899,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:53.908729,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:54.947154,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:55.965935,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:57.009136,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:58.028947,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:58:59.031155,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:00.065922,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:01.074302,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:02.278173,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:03.378875,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:04.451384,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:05.570511,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:06.687344,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:07.706849,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:08.731729,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:09.784133,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:10.863885,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:11.855752,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:12.808746,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:13.809449,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:14.855173,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:15.945015,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:17.016760,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:18.115124,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:19.166507,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:20.206769,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:21.246260,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:22.239421,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:23.306785,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:24.365861,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:25.422554,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:26.386499,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:27.377558,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:28.384139,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:29.398973,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:30.395858,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:31.444657,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:32.428908,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:33.402253,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:34.517565,"(2.5, 99999, 99990)","(14.0, 99999, 99990)","(8.0, 99999, 99990)","(4.6, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:35.554638,"(2.5, 99999, 99990)","(15.0, 99999, 99990)","(8.0, 99999, 99990)","(4.8, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:36.610411,"(2.5, 99999, 99990)","(15.0, 99999, 99990)","(8.0, 99999, 99990)","(4.8, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:37.570453,"(2.5, 99999, 99990)","(15.0, 99999, 99990)","(8.0, 99999, 99990)","(4.8, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:38.567590,"(2.5, 99999, 99990)","(15.0, 99999, 99990)","(8.0, 99999, 99990)","(4.8, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:39.486861,"(2.5, 99999, 99990)","(15.0, 99999, 99990)","(8.0, 99999, 99990)","(4.8, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:40.425649,"(2.5, 99999, 99990)","(15.0, 99999, 99990)","(8.0, 99999, 99990)","(4.8, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:41.444051,"(2.5, 99999, 99990)","(15.0, 99999, 99990)","(8.0, 99999, 99990)","(4.8, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:42.411369,"(2.5, 99999, 99990)","(15.0, 99999, 99990)","(8.0, 99999, 99990)","(4.8, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:43.538891,"(2.5, 99999, 99990)","(15.0, 99999, 99990)","(8.0, 99999, 99990)","(4.8, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:44.636186,"(2.5, 99999, 99990)","(15.0, 99999, 99990)","(8.0, 99999, 99990)","(4.8, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:45.676022,"(2.5, 99999, 99990)","(15.0, 99999, 99990)","(8.0, 99999, 99990)","(4.8, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:46.709874,"(2.5, 99999, 99990)","(15.0, 99999, 99990)","(8.0, 99999, 99990)","(4.8, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:47.703232,"(2.5, 99999, 99990)","(15.0, 99999, 99990)","(8.0, 99999, 99990)","(4.8, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:48.704016,"(2.5, 99999, 99990)","(15.0, 99999, 99990)","(8.0, 99999, 99990)","(4.8, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:49.827234,"(2.5, 99999, 99990)","(15.0, 99999, 99990)","(8.0, 99999, 99990)","(4.8, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:50.874957,"(2.5, 99999, 99990)","(15.0, 99999, 99990)","(8.0, 99999, 99990)","(4.8, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
10-01-2023 11:59:51.871788,"(2.5, 99999, 99990)","(15.0, 99999, 99990)","(8.0, 99999, 99990)","(4.8, 99999, 99990)","(4.0, 99999, 99990)","(16.0, 99999, 99990)","(5.5, 99999, 99990)"
