,Anguilla,Skip On Home,No Bribes Thanks,Bodacious Brew,Ernesto,Lord Percy,Sheza Daydreama,Yankee Rockette
06-01-2023 12:44:58.424815,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.184444444444445)","(4.0, 6.2, 5.4)"
06-01-2023 12:44:59.456469,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.184444444444445)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:00.610606,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.184444444444445)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:01.781109,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.184444444444445)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:02.893612,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.255698924731183)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:04.014543,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.255698924731183)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:05.165228,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.255698924731183)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:06.282333,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.255698924731183)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:07.341385,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.255698924731183)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:08.551881,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.255698924731183)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:09.751488,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.255698924731183)","(4.0, 6.2, 5.4)"
06-01-2023 12:45:10.855614,"(16.0, 99999, 99990)","(21.0, 75.0, 64.54545454545455)","(2.3, 4.8, 4.21)","(101.0, 220.0, 194.16666666666666)","(18.0, 50.0, 43.2)","(81.0, 220.0, 174.28571428571428)","(2.3, 4.3, 4.255698924731183)","(4.0, 6.2, 5.4)"
