,Handsome Alert,What A Nose,Haras Rusty,Downpipe,Summer Holiday,Aerobic System,Betty Jo,Frostbite Hux
04-01-2023 14:07:13.733799,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:14.733107,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:15.797766,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:16.969278,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:18.113606,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:19.423962,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:20.792697,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:21.907434,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:23.017355,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:24.084630,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:25.161333,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:26.217061,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:27.280432,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:28.378015,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:29.493915,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:30.632412,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:31.778050,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:32.831406,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:33.856870,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:34.806427,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:35.834009,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:36.859842,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:37.927606,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:38.995421,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:40.019714,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:41.044787,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:42.081587,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:43.171254,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:44.253932,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:45.374914,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:46.583134,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:47.774388,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:48.834137,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:49.903011,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:50.994382,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:52.165566,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:53.255386,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:54.412790,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:55.646828,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:56.815939,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:58.061838,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:07:59.334471,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:08:00.521721,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:08:01.661497,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:08:02.744027,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:08:03.790175,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:08:04.924466,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:08:06.142617,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:08:07.300684,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:08:08.454135,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:08:09.587026,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:08:10.744384,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:08:11.898061,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:08:13.071757,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:08:14.214039,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:08:15.335203,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:08:16.468748,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:08:17.553022,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:08:18.674993,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:08:19.781081,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:08:20.809986,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:08:21.797140,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:08:22.798565,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:08:23.775838,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:08:25.071701,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
04-01-2023 14:08:26.083365,"(3.2, 5.9, 3.817857142857143)","(81.0, 570.0, 486.66666666666663)","(1.85, 2.44, 1.8464864864864865)","(3.8, 6.2, 4.176086956521739)","(61.0, 500.0, 424.33333333333337)","(14.0, 46.0, 37.625)","(91.0, 650.0, 554.1666666666666)","(14.0, 55.0, 32.5)"
