,See Me Balt,Daisy Moments,Savage Victor,What A Bomber,Miss Priddle,Showtime Holly,Fancy Kelly,Malis Gonzales
10-01-2023 20:29:11.281248,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:12.523887,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:13.726512,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:14.827289,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:15.931736,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:17.129585,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:18.363792,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:19.549184,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:20.787227,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:22.185101,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:23.382206,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:24.580021,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:25.802519,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:27.008743,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:28.082036,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:29.244851,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:30.322125,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:31.501683,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:32.605315,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:33.780983,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:35.030420,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:36.298530,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:37.520312,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:38.658696,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:39.805730,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:40.978356,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:42.164590,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:43.228619,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:44.340857,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:45.516467,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:46.717617,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:47.846249,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:48.894812,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:49.951503,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:51.083618,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:52.183084,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:53.249883,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:54.280190,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:55.294515,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:56.326152,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:57.362200,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:58.466094,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:29:59.625761,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:30:00.786136,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:30:01.856936,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:30:02.907854,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:30:04.026859,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:30:05.131362,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:30:06.247332,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:30:07.364667,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 3.999206349206349)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:30:08.516200,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.2, 4.098387096774193)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:30:09.651038,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.3, 4.098387096774193)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:30:10.829772,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.3, 4.098387096774193)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:30:11.939748,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.3, 4.098387096774193)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:30:13.030246,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.3, 4.098387096774193)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:30:14.105931,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.3, 4.098387096774193)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:30:15.253266,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.3, 4.098387096774193)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
10-01-2023 20:30:16.445441,"(8.5, 23.0, 10.833333333333334)","(10.0, 25.0, 19.42857142857143)","(17.0, 48.0, 45.60714285714286)","(2.9, 4.1, 4.030588235294117)","(3.0, 4.3, 4.098387096774193)","(4.8, 11.5, 5.13076923076923)","(8.0, 15.5, 10.366666666666667)","(31.0, 110.0, 76.53846153846155)"
