,Prawn Topper,Gin And Vodka,Betty Boop,Deputy Mayor,Poor Wally
08-01-2023 18:52:02.160887,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:52:03.149093,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:52:04.013242,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:52:04.944838,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:52:05.869766,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:52:06.867900,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:52:07.821711,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:52:08.741540,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:52:09.714033,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:10.651573,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:11.561130,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:12.432395,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:13.460737,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:14.386129,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:15.303112,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:16.254786,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:17.117831,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:18.064966,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:19.072402,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:19.928070,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:20.796662,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:21.714816,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:22.538686,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:23.506045,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:24.457876,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:25.288984,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:26.126349,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:26.979402,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:27.900989,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:28.786142,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:29.663760,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:30.573215,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:31.449602,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:32.356905,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:33.285339,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:34.192409,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:35.040304,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:35.933885,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:36.874641,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:37.730500,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:38.640969,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:39.541651,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:40.371595,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:41.345228,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:42.234308,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:43.023400,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:43.986139,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:44.910316,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:45.785815,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:46.668305,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:47.528966,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:48.396082,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:52:49.331614,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:52:50.294212,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:52:51.136373,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:52:52.063083,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:52:52.996447,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:52:53.882805,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.903148148148148)"
08-01-2023 18:52:54.785576,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7926829268292683)"
08-01-2023 18:52:55.694095,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7926829268292683)"
08-01-2023 18:52:56.592487,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7926829268292683)"
08-01-2023 18:52:57.450546,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7926829268292683)"
08-01-2023 18:52:58.309654,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7926829268292683)"
08-01-2023 18:52:59.172747,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7926829268292683)"
08-01-2023 18:53:00.108837,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7926829268292683)"
08-01-2023 18:53:00.999264,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7926829268292683)"
08-01-2023 18:53:01.868820,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7926829268292683)"
08-01-2023 18:53:02.765800,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7926829268292683)"
08-01-2023 18:53:03.670296,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7926829268292683)"
08-01-2023 18:53:04.538254,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7926829268292683)"
08-01-2023 18:53:05.527416,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7926829268292683)"
08-01-2023 18:53:06.338038,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7926829268292683)"
08-01-2023 18:53:07.194204,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7926829268292683)"
08-01-2023 18:53:08.113139,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7926829268292683)"
08-01-2023 18:53:08.927531,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7926829268292683)"
08-01-2023 18:53:09.785374,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7926829268292683)"
08-01-2023 18:53:10.695516,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7926829268292683)"
08-01-2023 18:53:11.509319,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7926829268292683)"
08-01-2023 18:53:12.365635,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7926829268292683)"
08-01-2023 18:53:13.319468,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7926829268292683)"
08-01-2023 18:53:14.133590,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7926829268292683)"
08-01-2023 18:53:14.968530,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.91)"
08-01-2023 18:53:15.871589,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.783421052631579)"
08-01-2023 18:53:16.812123,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.783421052631579)"
08-01-2023 18:53:17.678947,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.783421052631579)"
08-01-2023 18:53:18.470712,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.783421052631579)"
08-01-2023 18:53:19.278289,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.783421052631579)"
08-01-2023 18:53:20.142999,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.783421052631579)"
08-01-2023 18:53:21.058604,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.783421052631579)"
08-01-2023 18:53:21.908426,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.783421052631579)"
08-01-2023 18:53:22.742627,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.783421052631579)"
08-01-2023 18:53:23.636078,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.783421052631579)"
08-01-2023 18:53:24.510997,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.783421052631579)"
08-01-2023 18:53:25.391550,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.783421052631579)"
08-01-2023 18:53:26.363407,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.783421052631579)"
08-01-2023 18:53:27.258370,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.783421052631579)"
08-01-2023 18:53:28.028634,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.783421052631579)"
08-01-2023 18:53:28.917962,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:53:29.865018,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:53:30.697425,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:53:31.517210,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:53:32.322665,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:53:33.133261,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:53:34.080603,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:53:35.001887,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:53:35.793884,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:53:36.620463,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:53:37.564370,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:53:38.494157,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:53:39.375496,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:53:40.236594,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
08-01-2023 18:53:41.057739,"(101.0, 650.0, 557.5)","(2.6, 3.85, 2.9425)","(41.0, 320.0, 179.0)","(4.4, 7.0, 5.6)","(1.7, 2.28, 1.7444736842105264)"
