,Star Sparks,Momack,Estadio Mestalla,Born With Wings,High Court,Tip Of The Spear,Bend The Knee,Bazooka,Chateaux Park,Estreet
07-01-2023 15:24:11.848387,"(6.0, 7.0, 6.8783216783216785)","(8.5, 11.0, 10.197530864197532)","(2.45, 2.86, 2.844)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.5, 16.545454545454547)","(21.0, 32.0, 30.5)","(10.0, 14.0, 12.591603053435115)","(9.0, 13.0, 12.583333333333334)","(16.0, 24.0, 20.833333333333332)","(21.0, 36.0, 34.6)"
07-01-2023 15:24:13.149186,"(6.0, 7.0, 6.8783216783216785)","(8.5, 11.0, 10.197530864197532)","(2.45, 2.86, 2.787142857142857)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.5, 16.545454545454547)","(21.0, 32.0, 29.0)","(10.0, 14.0, 12.592307692307692)","(9.0, 13.0, 12.545454545454545)","(16.0, 24.0, 20.851063829787233)","(21.0, 36.0, 31.571428571428573)"
07-01-2023 15:24:14.496650,"(6.0, 7.0, 6.8783216783216785)","(8.5, 11.0, 10.20253164556962)","(2.45, 2.8, 2.787142857142857)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.5, 17.305555555555557)","(21.0, 34.0, 29.0)","(10.0, 14.0, 12.592307692307692)","(9.0, 13.0, 12.545454545454545)","(16.0, 24.0, 20.851063829787233)","(21.0, 38.0, 31.571428571428573)"
07-01-2023 15:24:16.016617,"(6.0, 7.0, 6.8783216783216785)","(8.5, 11.0, 10.20253164556962)","(2.45, 2.8, 2.787142857142857)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.5, 17.305555555555557)","(21.0, 34.0, 29.0)","(10.0, 14.0, 12.592307692307692)","(9.0, 13.0, 12.545454545454545)","(16.0, 24.0, 20.851063829787233)","(21.0, 38.0, 31.571428571428573)"
07-01-2023 15:24:17.393211,"(6.0, 7.0, 6.8783216783216785)","(8.5, 11.0, 10.20253164556962)","(2.45, 2.8, 2.786153846153846)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.5, 17.305555555555557)","(21.0, 34.0, 29.0)","(10.0, 14.0, 13.115384615384615)","(9.0, 13.0, 12.545454545454545)","(16.0, 24.0, 20.851063829787233)","(21.0, 38.0, 31.571428571428573)"
07-01-2023 15:24:18.793854,"(6.0, 7.0, 6.858031088082901)","(8.5, 11.0, 9.835643564356436)","(2.45, 2.8, 2.7803636363636364)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.5, 17.3)","(21.0, 34.0, 29.0)","(10.0, 13.5, 13.115384615384615)","(9.0, 13.0, 12.545454545454545)","(16.0, 24.0, 20.851063829787233)","(21.0, 38.0, 31.571428571428573)"
07-01-2023 15:24:20.284856,"(6.0, 7.0, 6.858031088082901)","(8.5, 10.0, 10.20253164556962)","(2.45, 2.8, 2.7803636363636364)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.5, 17.3)","(21.0, 34.0, 29.0)","(10.0, 13.5, 13.115384615384615)","(9.0, 13.0, 12.545454545454545)","(16.0, 24.0, 20.851063829787233)","(21.0, 38.0, 31.571428571428573)"
07-01-2023 15:24:21.620391,"(6.0, 7.0, 6.858031088082901)","(8.5, 11.0, 10.20253164556962)","(2.45, 2.8, 2.7803636363636364)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.5, 17.3)","(21.0, 34.0, 29.0)","(10.0, 13.5, 13.115384615384615)","(9.0, 13.0, 12.545454545454545)","(16.0, 24.0, 20.851063829787233)","(21.0, 38.0, 31.571428571428573)"
07-01-2023 15:24:22.959802,"(6.0, 7.0, 6.858031088082901)","(8.5, 11.0, 10.20253164556962)","(2.45, 2.8, 2.7803636363636364)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.5, 17.3)","(21.0, 34.0, 29.0)","(10.0, 13.5, 13.115384615384615)","(9.0, 13.0, 12.545454545454545)","(16.0, 24.0, 20.851063829787233)","(21.0, 38.0, 31.571428571428573)"
07-01-2023 15:24:24.337933,"(6.0, 7.0, 6.858031088082901)","(8.5, 11.0, 10.20253164556962)","(2.45, 2.8, 2.7803636363636364)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.5, 17.3)","(21.0, 34.0, 29.0)","(10.0, 13.5, 13.115384615384615)","(9.0, 13.0, 12.545454545454545)","(16.0, 24.0, 20.851063829787233)","(21.0, 38.0, 31.571428571428573)"
07-01-2023 15:24:25.681147,"(6.0, 7.0, 6.869565217391305)","(8.5, 11.0, 10.20253164556962)","(2.45, 2.8, 2.7803636363636364)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.5, 17.3)","(21.0, 34.0, 29.0)","(10.0, 13.5, 12.72027972027972)","(9.0, 13.0, 12.545454545454545)","(16.0, 24.0, 20.851063829787233)","(21.0, 38.0, 31.571428571428573)"
07-01-2023 15:24:27.035677,"(6.0, 7.0, 6.869565217391305)","(8.5, 11.0, 10.089385474860336)","(2.45, 2.8, 2.7803636363636364)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.5, 17.3)","(21.0, 34.0, 29.0)","(10.0, 14.0, 12.72027972027972)","(9.0, 13.0, 12.545454545454545)","(16.0, 24.0, 20.851063829787233)","(21.0, 38.0, 31.571428571428573)"
07-01-2023 15:24:28.516306,"(6.0, 7.0, 6.869565217391305)","(8.5, 11.0, 10.089385474860336)","(2.45, 2.8, 2.775774647887324)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.5, 17.3)","(21.0, 34.0, 29.0)","(10.0, 14.0, 12.746575342465754)","(9.0, 13.0, 12.565217391304348)","(16.0, 24.0, 20.851063829787233)","(21.0, 38.0, 31.571428571428573)"
07-01-2023 15:24:30.028494,"(6.0, 7.0, 6.869565217391305)","(8.5, 11.0, 10.089385474860336)","(2.45, 2.78, 2.7721052631578944)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.5, 17.3)","(21.0, 34.0, 29.0)","(10.0, 14.0, 12.746575342465754)","(9.0, 13.0, 12.565217391304348)","(16.0, 24.0, 20.851063829787233)","(21.0, 38.0, 31.571428571428573)"
07-01-2023 15:24:31.417898,"(6.0, 7.0, 6.869565217391305)","(8.5, 11.0, 10.089385474860336)","(2.45, 2.78, 2.7721052631578944)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.5, 17.3)","(21.0, 34.0, 29.0)","(10.0, 14.0, 12.746575342465754)","(9.0, 13.0, 12.565217391304348)","(16.0, 24.0, 20.851063829787233)","(21.0, 38.0, 31.571428571428573)"
07-01-2023 15:24:32.736698,"(6.0, 7.0, 6.869565217391305)","(8.5, 11.0, 10.089385474860336)","(2.45, 2.78, 2.83)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.5, 16.72222222222222)","(21.0, 34.0, 26.692307692307693)","(10.0, 14.0, 12.746575342465754)","(9.0, 13.0, 12.913793103448276)","(16.0, 24.0, 20.4)","(21.0, 38.0, 31.571428571428573)"
07-01-2023 15:24:34.059743,"(6.0, 7.0, 6.885245901639344)","(8.5, 11.0, 10.089385474860336)","(2.45, 2.84, 2.7559183673469385)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.675925925925927)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.746575342465754)","(9.0, 13.0, 12.921875)","(16.0, 22.0, 20.4)","(21.0, 38.0, 31.571428571428573)"
07-01-2023 15:24:35.395242,"(6.0, 7.0, 6.880681818181818)","(8.5, 11.0, 10.089385474860336)","(2.45, 2.76, 2.7559183673469385)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.675925925925927)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.746575342465754)","(9.0, 13.0, 12.880281690140846)","(16.0, 22.0, 20.4)","(21.0, 38.0, 31.571428571428573)"
07-01-2023 15:24:36.583076,"(6.0, 7.0, 6.880681818181818)","(8.5, 11.0, 10.089385474860336)","(2.45, 2.76, 2.7559183673469385)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.675925925925927)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.746575342465754)","(9.0, 13.0, 12.880281690140846)","(16.0, 22.0, 20.4)","(21.0, 38.0, 31.571428571428573)"
07-01-2023 15:24:37.761196,"(6.0, 7.0, 6.880681818181818)","(8.5, 11.0, 10.089385474860336)","(2.45, 2.76, 2.7559183673469385)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.675925925925927)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.746575342465754)","(9.0, 13.0, 12.880281690140846)","(16.0, 22.0, 20.4)","(21.0, 38.0, 32.0)"
07-01-2023 15:24:38.899872,"(6.0, 7.0, 6.880681818181818)","(8.5, 11.0, 10.089385474860336)","(2.45, 2.76, 2.7559183673469385)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.746575342465754)","(9.0, 13.0, 12.880281690140846)","(16.0, 22.0, 20.4)","(21.0, 38.0, 32.0)"
07-01-2023 15:24:40.108167,"(6.0, 7.0, 6.880681818181818)","(8.5, 11.0, 10.089385474860336)","(2.45, 2.76, 2.7559183673469385)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.746575342465754)","(9.0, 13.0, 12.880281690140846)","(16.0, 22.0, 20.4)","(21.0, 38.0, 32.0)"
07-01-2023 15:24:41.316182,"(6.0, 7.0, 6.880681818181818)","(8.5, 11.0, 10.089385474860336)","(2.45, 2.76, 2.7559183673469385)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.746575342465754)","(9.0, 13.0, 12.880281690140846)","(16.0, 22.0, 20.4)","(21.0, 38.0, 32.0)"
07-01-2023 15:24:42.801938,"(6.0, 7.0, 6.880681818181818)","(8.5, 11.0, 10.089385474860336)","(2.45, 2.76, 2.7545945945945944)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.746575342465754)","(9.0, 13.0, 12.413793103448276)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:24:44.179159,"(6.0, 7.0, 6.880681818181818)","(8.5, 11.0, 10.089385474860336)","(2.45, 2.76, 2.7545945945945944)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.746575342465754)","(9.0, 13.0, 12.413793103448276)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:24:45.505747,"(6.0, 7.0, 6.880681818181818)","(8.5, 11.0, 10.089385474860336)","(2.45, 2.76, 2.7545945945945944)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.746575342465754)","(9.0, 13.0, 12.413793103448276)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:24:46.786226,"(6.0, 7.0, 6.880681818181818)","(8.5, 11.0, 10.089385474860336)","(2.45, 2.76, 2.7545945945945944)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.746575342465754)","(9.0, 13.0, 12.151898734177216)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:24:48.137734,"(6.0, 7.0, 6.880681818181818)","(8.5, 11.0, 10.089385474860336)","(2.45, 2.76, 2.7525925925925923)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.746575342465754)","(9.0, 13.0, 12.151898734177216)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:24:49.464297,"(6.0, 7.0, 6.880681818181818)","(8.5, 11.0, 10.089385474860336)","(2.45, 2.76, 2.7525925925925923)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.746575342465754)","(9.0, 13.0, 12.151898734177216)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:24:50.748034,"(6.0, 7.0, 6.880681818181818)","(8.5, 10.0, 9.834000000000001)","(2.45, 2.76, 2.7525925925925923)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.746575342465754)","(9.0, 13.0, 12.151898734177216)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:24:52.045813,"(6.0, 7.0, 6.880681818181818)","(8.5, 10.0, 9.828865979381444)","(2.45, 2.76, 2.7525925925925923)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.746575342465754)","(9.0, 13.0, 12.151898734177216)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:24:53.299894,"(6.0, 7.0, 6.880681818181818)","(8.5, 10.0, 9.84909090909091)","(2.45, 2.76, 2.7525925925925923)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.746575342465754)","(9.0, 13.0, 12.151898734177216)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:24:54.611763,"(6.0, 7.0, 6.880681818181818)","(8.5, 10.0, 9.84909090909091)","(2.45, 2.76, 2.7525925925925923)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.746575342465754)","(9.0, 13.0, 12.151898734177216)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:24:55.790049,"(6.0, 7.0, 6.880681818181818)","(8.5, 10.0, 9.84909090909091)","(2.45, 2.76, 2.782857142857143)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.746575342465754)","(9.0, 13.0, 12.151898734177216)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:24:56.966289,"(6.0, 7.0, 6.880681818181818)","(8.5, 10.0, 9.84909090909091)","(2.45, 2.84, 2.782857142857143)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.746575342465754)","(9.0, 13.0, 12.151898734177216)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:24:58.178202,"(6.0, 7.0, 6.880681818181818)","(8.5, 10.0, 9.84909090909091)","(2.45, 2.84, 2.809811320754717)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.803921568627452)","(9.0, 13.0, 12.151898734177216)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:24:59.447941,"(6.0, 7.0, 6.880681818181818)","(8.5, 10.0, 9.84909090909091)","(2.45, 2.84, 2.809811320754717)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.803921568627452)","(9.0, 13.0, 12.151898734177216)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:25:00.706573,"(6.0, 7.0, 6.880681818181818)","(8.5, 10.0, 9.84909090909091)","(2.45, 2.84, 2.793846153846154)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.803921568627452)","(9.0, 13.0, 12.151898734177216)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:25:01.968145,"(6.0, 7.0, 6.880681818181818)","(8.5, 10.0, 9.84909090909091)","(2.45, 2.84, 2.781172638436482)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.803921568627452)","(9.0, 13.0, 12.151898734177216)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:25:03.254470,"(6.0, 7.0, 6.886486486486486)","(8.5, 10.0, 9.827083333333334)","(2.45, 2.88, 2.7440645161290327)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.803921568627452)","(9.0, 13.0, 12.151898734177216)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:25:04.523408,"(6.0, 7.0, 6.886486486486486)","(8.5, 10.0, 9.827083333333334)","(2.45, 2.88, 2.7440645161290327)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.803921568627452)","(9.0, 13.0, 12.151898734177216)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:25:05.738123,"(6.0, 7.0, 6.886486486486486)","(8.5, 10.0, 9.827083333333334)","(2.45, 2.88, 2.7440645161290327)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.803921568627452)","(9.0, 13.0, 12.151898734177216)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:25:06.929680,"(6.0, 7.0, 6.886486486486486)","(8.5, 10.0, 9.85689655172414)","(2.45, 2.88, 2.7440645161290327)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.803921568627452)","(9.0, 13.0, 12.151898734177216)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:25:08.161063,"(6.0, 7.0, 6.886486486486486)","(8.5, 10.0, 9.85689655172414)","(2.45, 2.88, 2.7440645161290327)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.803921568627452)","(9.0, 13.0, 12.151898734177216)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:25:09.395442,"(6.0, 7.0, 6.886486486486486)","(8.5, 10.0, 9.85689655172414)","(2.4, 2.88, 2.7440645161290327)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.803921568627452)","(9.0, 13.0, 12.151898734177216)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:25:10.929960,"(6.0, 7.0, 6.886486486486486)","(8.5, 10.0, 9.85689655172414)","(2.4, 2.88, 2.7440645161290327)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.803921568627452)","(9.0, 13.0, 12.151898734177216)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:25:12.344707,"(6.0, 7.0, 6.886486486486486)","(8.5, 10.0, 9.85689655172414)","(2.4, 2.88, 2.7868111455108355)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.803921568627452)","(9.0, 13.0, 12.151898734177216)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:25:13.737374,"(6.0, 7.0, 6.886486486486486)","(8.5, 10.0, 10.00204081632653)","(2.4, 2.88, 2.8504)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.803921568627452)","(9.0, 13.0, 12.151898734177216)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:25:15.159111,"(6.0, 7.0, 6.886486486486486)","(8.5, 11.0, 10.449324324324325)","(2.4, 2.86, 2.8504)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.803921568627452)","(9.0, 13.0, 12.151898734177216)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:25:16.435202,"(6.0, 7.0, 6.886486486486486)","(8.5, 11.0, 10.449324324324325)","(2.4, 2.86, 2.8257142857142856)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.803921568627452)","(9.0, 13.0, 12.151898734177216)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:25:17.826508,"(6.0, 7.0, 6.886486486486486)","(8.5, 11.0, 10.449324324324325)","(2.4, 2.86, 2.8257142857142856)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.746575342465754)","(9.0, 13.0, 12.056338028169014)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:25:19.271596,"(6.0, 7.0, 6.923076923076923)","(8.5, 11.0, 10.449324324324325)","(2.4, 2.86, 2.8257142857142856)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.746575342465754)","(9.0, 13.0, 12.056338028169014)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:25:20.554888,"(6.0, 7.0, 6.923076923076923)","(8.5, 11.0, 10.420886075949367)","(2.4, 2.86, 2.781324503311258)","(12.0, 18.0, 16.928571428571427)","(14.0, 17.0, 16.66346153846154)","(21.0, 29.0, 26.692307692307693)","(10.0, 14.0, 12.746575342465754)","(9.0, 13.0, 11.75925925925926)","(16.0, 22.0, 20.4)","(20.0, 38.0, 32.0)"
07-01-2023 15:25:21.832397,"(6.0, 7.0, 6.923076923076923)","(8.5, 11.0, 10.420886075949367)","(2.4, 2.88, 2.82)","(12.0, 18.0, 17.0)","(14.0, 17.0, 16.821428571428573)","(21.0, 29.0, 26.46153846153846)","(10.0, 14.0, 12.746575342465754)","(9.0, 13.0, 11.75925925925926)","(16.0, 22.0, 20.851063829787233)","(20.0, 38.0, 32.0)"
07-01-2023 15:25:23.010970,"(6.0, 7.0, 6.907407407407407)","(8.5, 11.0, 10.420886075949367)","(2.4, 2.86, 2.82)","(12.0, 18.0, 17.25)","(14.0, 17.5, 16.821428571428573)","(21.0, 28.0, 26.46153846153846)","(10.0, 14.0, 12.746575342465754)","(9.0, 13.0, 11.75925925925926)","(16.0, 24.0, 22.5)","(20.0, 38.0, 33.666666666666664)"
