,Goldstar Gigi,Laredo Jewel,Epic Blossom,Homebush Thaw,Rosehip,Mighty Mccook,Mustang Megan,Sugar Time
12-01-2023 17:34:14.322315,"(2.3, 3.7, 3.203448275862069)","(5.0, 14.0, 9.55)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 17.0)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:15.600069,"(2.3, 3.7, 3.203448275862069)","(5.0, 14.0, 9.55)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 17.0)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:16.786399,"(2.3, 3.7, 3.203448275862069)","(5.0, 14.0, 9.55)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 17.0)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:18.210780,"(2.3, 3.7, 3.203448275862069)","(5.0, 14.0, 9.55)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 17.0)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:19.420712,"(2.3, 3.7, 3.203448275862069)","(5.0, 14.0, 9.55)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 17.0)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:20.576615,"(2.3, 3.7, 3.476)","(5.0, 14.0, 9.55)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 17.0)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:21.703591,"(2.3, 3.7, 3.1399999999999997)","(5.0, 14.0, 9.55)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 17.0)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:22.689762,"(2.3, 3.7, 3.1399999999999997)","(5.0, 14.0, 9.55)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 17.0)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:23.768443,"(2.3, 3.7, 3.1399999999999997)","(5.0, 14.0, 9.55)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 17.0)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:24.917793,"(2.3, 3.7, 3.1399999999999997)","(5.0, 14.0, 9.55)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 17.0)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:26.040422,"(2.3, 3.7, 3.1399999999999997)","(5.0, 14.0, 9.55)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 17.0)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:27.166079,"(2.3, 3.7, 3.1399999999999997)","(5.0, 14.0, 9.55)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 17.0)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:28.287508,"(2.3, 3.7, 3.33)","(5.0, 14.0, 12.894117647058824)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 17.0)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:29.442517,"(2.3, 3.7, 3.33)","(5.0, 14.0, 9.55)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 17.0)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:30.532025,"(2.3, 3.7, 3.33)","(5.0, 14.0, 9.55)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 17.0)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:31.529402,"(2.3, 3.7, 3.33)","(5.0, 14.0, 9.55)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 17.0)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:32.680429,"(2.3, 3.7, 3.33)","(5.0, 14.0, 9.55)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 21.96)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 17.0)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:33.808259,"(2.3, 3.7, 3.2133333333333334)","(5.0, 14.0, 9.55)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 21.96)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 17.0)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:34.998490,"(2.3, 3.7, 3.2133333333333334)","(5.0, 14.0, 9.55)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.333333333333332)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 17.0)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:36.189696,"(2.3, 3.7, 3.2133333333333334)","(5.0, 14.0, 9.55)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.333333333333332)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 17.0)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:37.371361,"(2.3, 3.7, 3.2133333333333334)","(5.0, 14.0, 9.55)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.333333333333332)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 17.0)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:38.505993,"(2.3, 3.7, 3.2133333333333334)","(5.0, 14.0, 9.55)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.333333333333332)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 17.0)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:39.692761,"(2.3, 3.7, 3.2133333333333334)","(5.0, 14.0, 9.55)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.333333333333332)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 17.0)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:40.950753,"(2.3, 3.7, 3.2133333333333334)","(5.0, 14.0, 12.894117647058824)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.333333333333332)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 17.0)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:42.122891,"(2.3, 3.7, 3.2133333333333334)","(5.0, 14.0, 12.894117647058824)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.333333333333332)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 23.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:43.323069,"(2.3, 3.7, 3.2133333333333334)","(5.0, 14.0, 11.033333333333333)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 21.96)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:44.677564,"(2.3, 3.7, 3.2133333333333334)","(5.0, 13.5, 10.7)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.666666666666668)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:46.033001,"(2.3, 3.7, 3.2133333333333334)","(5.0, 13.5, 10.7)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.666666666666668)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:47.188411,"(2.3, 3.7, 3.42)","(5.0, 13.5, 10.7)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.666666666666668)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:48.414395,"(2.3, 3.7, 3.42)","(5.0, 13.5, 10.7)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.666666666666668)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:49.601114,"(2.3, 3.7, 3.42)","(5.0, 13.5, 10.7)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.666666666666668)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:50.803118,"(2.3, 3.7, 3.42)","(5.0, 13.5, 13.161538461538463)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.666666666666668)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:52.047697,"(2.3, 3.7, 3.42)","(5.0, 13.5, 10.6)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.666666666666668)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:53.201362,"(2.3, 3.7, 3.112244897959184)","(5.0, 13.5, 10.6)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.666666666666668)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:54.425244,"(2.3, 3.7, 3.42)","(5.0, 13.5, 10.6)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.666666666666668)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:55.615757,"(2.3, 3.7, 3.42)","(5.0, 13.5, 10.6)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.666666666666668)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:56.784453,"(2.3, 3.7, 3.42)","(5.0, 13.5, 10.6)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.666666666666668)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:57.889731,"(2.3, 3.7, 3.42)","(5.0, 13.5, 12.066666666666666)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.666666666666668)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:34:58.953369,"(2.3, 3.7, 3.42)","(5.0, 13.5, 10.666666666666668)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.666666666666668)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:00.025790,"(2.3, 3.7, 3.33)","(5.0, 13.5, 10.666666666666668)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.666666666666668)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:01.094408,"(2.3, 3.7, 3.33)","(5.0, 13.5, 10.666666666666668)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.666666666666668)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:02.177775,"(2.3, 3.7, 3.33)","(5.0, 13.5, 10.666666666666668)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.666666666666668)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:03.286631,"(2.3, 3.7, 3.33)","(5.0, 13.5, 10.666666666666668)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.666666666666668)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:04.400051,"(2.3, 3.7, 3.33)","(5.0, 13.5, 10.6)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.666666666666668)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:05.527160,"(2.3, 3.7, 3.33)","(5.0, 13.5, 10.6)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.666666666666668)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:06.540410,"(2.3, 3.7, 3.33)","(5.0, 13.5, 10.6)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.666666666666668)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:07.654859,"(2.3, 3.7, 3.537777777777778)","(5.0, 13.5, 10.6)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.666666666666668)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:08.739516,"(2.3, 3.7, 3.537777777777778)","(5.0, 13.5, 10.6)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.666666666666668)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:09.853068,"(2.3, 3.7, 3.537777777777778)","(5.0, 13.5, 10.6)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.666666666666668)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:10.890839,"(2.3, 3.7, 3.537777777777778)","(5.0, 13.5, 12.066666666666666)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.666666666666668)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:12.008425,"(2.3, 3.7, 3.537777777777778)","(5.0, 13.5, 10.666666666666668)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 21.96)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:13.168045,"(2.3, 3.7, 3.537777777777778)","(5.0, 13.5, 10.666666666666668)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:14.234076,"(2.3, 3.7, 3.537777777777778)","(5.0, 13.5, 10.666666666666668)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:15.248500,"(2.3, 3.7, 3.537777777777778)","(5.0, 13.5, 10.666666666666668)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:16.274876,"(2.3, 3.7, 3.3157894736842106)","(5.0, 13.5, 10.666666666666668)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:17.376743,"(2.3, 3.7, 3.537777777777778)","(5.0, 13.5, 12.033333333333335)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:18.499443,"(2.3, 3.7, 3.537777777777778)","(5.0, 13.5, 10.7)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:19.606543,"(2.3, 3.7, 3.537777777777778)","(5.0, 13.5, 10.7)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:20.693216,"(2.3, 3.7, 3.537777777777778)","(5.0, 13.5, 10.7)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:21.774967,"(2.3, 3.7, 3.537777777777778)","(5.0, 13.5, 10.7)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:22.955345,"(2.3, 3.7, 3.537777777777778)","(5.0, 13.5, 10.7)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:24.138577,"(2.3, 3.7, 3.537777777777778)","(5.0, 13.5, 10.7)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:25.209434,"(2.3, 3.7, 3.3157894736842106)","(5.0, 13.5, 10.7)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:26.327817,"(2.3, 3.7, 3.537777777777778)","(5.0, 13.5, 10.7)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:27.432314,"(2.3, 3.7, 3.537777777777778)","(5.0, 13.5, 10.7)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:28.535273,"(2.3, 3.7, 3.537777777777778)","(5.0, 13.5, 12.22857142857143)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:29.626382,"(2.3, 3.7, 3.537777777777778)","(5.0, 13.5, 10.7)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:30.685623,"(2.3, 3.7, 3.537777777777778)","(5.0, 13.5, 10.7)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:31.676199,"(2.3, 3.7, 3.537777777777778)","(5.0, 13.5, 10.7)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.0825)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
12-01-2023 17:35:32.651282,"(2.3, 3.7, 3.3157894736842106)","(5.0, 13.5, 10.7)","(14.0, 30.0, 18.666666666666668)","(12.0, 25.0, 15.0)","(3.8, 5.8, 5.4111111111111105)","(13.0, 27.0, 16.333333333333332)","(16.0, 120.0, 72.95454545454545)","(8.5, 19.0, 11.799999999999999)"
