,Aikhal,Keyless Go,Tango And Cash,White Hart Express,Cape Wrath,Kentucky Nick,Prickley Prince,Splendid Chap,Princess Alakhai,Sassolino,Missedthedeel,Poetic Whisper
08-12-2022 13:31:12.882710,"(8.5, 10.5, 10.148910411622277)","(41.0, 50.0, 49.72222222222222)","(4.8, 5.5, 5.470196671709531)","(71.0, 130.0, 120.22727272727273)","(101.0, 610.0, 590.0)","(5.0, 5.9, 5.836842105263158)","(51.0, 50.0, 49.44347826086957)","(3.6, 4.2, 4.086303630363036)","(101.0, 350.0, 324.2857142857143)","(4.2, 5.1, 5.0910386965376775)","(101.0, 170.0, 169.5)","(18.0, 24.0, 23.47457627118644)"
08-12-2022 13:31:14.570214,"(8.5, 10.5, 9.988826815642458)","(41.0, 50.0, 49.72222222222222)","(4.8, 5.5, 5.47040971168437)","(71.0, 130.0, 120.22727272727273)","(101.0, 610.0, 590.0)","(5.0, 5.9, 5.763565891472868)","(51.0, 50.0, 49.57843137254902)","(3.6, 4.1, 4.086050420168067)","(101.0, 350.0, 324.2857142857143)","(4.2, 5.1, 5.192571428571429)","(101.0, 170.0, 169.5)","(18.0, 24.0, 23.47457627118644)"
08-12-2022 13:31:16.185500,"(8.5, 10.0, 9.862809917355372)","(41.0, 50.0, 49.72222222222222)","(4.8, 5.5, 5.472386895475819)","(71.0, 130.0, 120.25)","(101.0, 610.0, 583.3333333333334)","(5.0, 5.8, 5.763565891472868)","(51.0, 50.0, 49.78666666666667)","(3.6, 4.1, 4.0861204013377925)","(101.0, 350.0, 324.2857142857143)","(4.2, 5.2, 5.170955882352941)","(101.0, 170.0, 169.5)","(18.0, 24.0, 23.47457627118644)"
08-12-2022 13:31:17.934516,"(8.5, 10.0, 9.748416289592761)","(41.0, 50.0, 49.72222222222222)","(4.8, 5.5, 5.38428093645485)","(71.0, 130.0, 120.22727272727273)","(101.0, 620.0, 583.3333333333334)","(5.5, 5.8, 5.781188118811881)","(41.0, 50.0, 49.78666666666667)","(3.6, 4.1, 4.080629921259842)","(101.0, 350.0, 324.2857142857143)","(4.2, 5.2, 5.3015625)","(101.0, 170.0, 169.5)","(18.0, 24.0, 22.85576923076923)"
08-12-2022 13:31:19.653979,"(8.5, 9.8, 9.748416289592761)","(41.0, 50.0, 49.72222222222222)","(4.8, 5.4, 5.385267034990792)","(71.0, 130.0, 120.22727272727273)","(101.0, 620.0, 583.3333333333334)","(5.5, 5.8, 5.781125827814569)","(41.0, 50.0, 49.77142857142857)","(3.6, 4.1, 4.07029702970297)","(101.0, 350.0, 324.2857142857143)","(4.2, 5.4, 5.353608247422681)","(101.0, 170.0, 169.5)","(18.0, 24.0, 23.3125)"
08-12-2022 13:31:21.415970,"(8.5, 9.8, 9.748416289592761)","(41.0, 50.0, 51.875)","(4.8, 5.4, 5.362919463087248)","(71.0, 130.0, 120.22727272727273)","(101.0, 620.0, 590.0)","(5.0, 5.8, 5.7722713864306785)","(41.0, 50.0, 49.77142857142857)","(3.6, 4.1, 4.0699570815450645)","(101.0, 350.0, 324.2857142857143)","(4.2, 5.4, 5.395817490494297)","(101.0, 170.0, 169.5)","(18.0, 24.0, 23.134831460674157)"
08-12-2022 13:31:23.176522,"(8.5, 9.8, 9.71297709923664)","(41.0, 55.0, 51.875)","(4.8, 5.4, 5.372845528455285)","(71.0, 130.0, 121.04166666666667)","(101.0, 610.0, 590.0)","(5.0, 5.8, 5.7611570247933885)","(41.0, 50.0, 49.689922480620154)","(3.6, 4.1, 4.069914040114613)","(101.0, 350.0, 324.2857142857143)","(4.2, 5.5, 5.374375000000001)","(101.0, 170.0, 169.5)","(18.0, 24.0, 23.134831460674157)"
08-12-2022 13:31:25.057880,"(8.5, 9.8, 9.717460317460318)","(41.0, 55.0, 51.909909909909906)","(4.8, 5.4, 5.372845528455285)","(71.0, 130.0, 121.13636363636364)","(101.0, 610.0, 592.0)","(5.0, 5.8, 5.76)","(41.0, 50.0, 49.744)","(3.6, 4.1, 4.082571912013536)","(101.0, 350.0, 324.2857142857143)","(4.2, 5.3, 5.289783889980353)","(101.0, 170.0, 169.0)","(18.0, 24.0, 23.134831460674157)"
08-12-2022 13:31:26.952547,"(8.5, 9.8, 9.837383177570095)","(41.0, 55.0, 50.205479452054796)","(4.8, 5.4, 5.417249417249417)","(71.0, 130.0, 121.13636363636364)","(101.0, 610.0, 595.0)","(5.0, 5.8, 5.835735735735736)","(41.0, 50.0, 49.827586206896555)","(3.6, 4.1, 4.06469387755102)","(101.0, 350.0, 327.5)","(4.2, 5.3, 5.283060109289617)","(101.0, 170.0, 169.23076923076923)","(18.0, 24.0, 23.224489795918366)"
08-12-2022 13:31:29.003727,"(8.5, 10.0, 9.968421052631578)","(41.0, 55.0, 50.205479452054796)","(4.8, 5.5, 5.405710491367862)","(71.0, 130.0, 121.13636363636364)","(101.0, 610.0, 595.0)","(5.0, 5.9, 5.9505050505050505)","(41.0, 50.0, 45.88429752066116)","(3.6, 4.1, 4.028621908127208)","(101.0, 350.0, 327.5)","(4.2, 5.3, 5.126141078838175)","(101.0, 170.0, 168.88888888888889)","(18.0, 24.0, 23.428571428571427)"
08-12-2022 13:31:31.004821,"(8.5, 10.0, 10.124137931034483)","(41.0, 55.0, 50.205479452054796)","(4.8, 5.5, 5.4174528301886795)","(81.0, 130.0, 121.13636363636364)","(101.0, 610.0, 591.4285714285714)","(5.0, 6.0, 5.93968253968254)","(41.0, 48.0, 45.44897959183673)","(3.6, 4.1, 4.027598566308243)","(101.0, 350.0, 327.5)","(4.2, 5.2, 5.032934131736527)","(101.0, 170.0, 168.88888888888889)","(18.0, 24.0, 23.428571428571427)"
08-12-2022 13:31:32.823886,"(8.5, 10.5, 10.124137931034483)","(41.0, 55.0, 50.205479452054796)","(4.8, 5.5, 5.418004866180049)","(81.0, 130.0, 121.13636363636364)","(101.0, 620.0, 591.4285714285714)","(5.0, 6.0, 5.950617283950617)","(41.0, 46.0, 45.29090909090909)","(3.6, 4.1, 4.025735294117647)","(101.0, 350.0, 328.8235294117647)","(4.2, 5.1, 4.994827586206896)","(101.0, 170.0, 168.88888888888889)","(18.0, 24.0, 23.4390243902439)"
08-12-2022 13:31:34.553255,"(8.0, 10.5, 10.16969696969697)","(41.0, 55.0, 50.205479452054796)","(4.8, 5.5, 5.412694300518135)","(81.0, 130.0, 121.13636363636364)","(101.0, 620.0, 595.0)","(5.0, 6.0, 5.950920245398773)","(41.0, 46.0, 45.25714285714286)","(3.6, 4.1, 4.0288065843621395)","(101.0, 350.0, 328.8235294117647)","(4.2, 5.0, 4.994339622641509)","(101.0, 170.0, 169.23076923076923)","(18.0, 24.0, 23.50588235294118)"
08-12-2022 13:31:36.390889,"(8.0, 10.5, 10.125)","(41.0, 55.0, 50.205479452054796)","(4.8, 5.4, 5.419024390243902)","(81.0, 130.0, 121.13636363636364)","(101.0, 610.0, 595.0)","(5.0, 6.0, 5.950920245398773)","(41.0, 46.0, 45.306930693069305)","(3.6, 4.1, 4.0288065843621395)","(101.0, 350.0, 328.8235294117647)","(4.2, 5.0, 5.009803921568627)","(101.0, 170.0, 169.23076923076923)","(18.0, 24.0, 23.50588235294118)"
08-12-2022 13:31:38.140726,"(8.0, 10.5, 10.144736842105264)","(41.0, 55.0, 50.205479452054796)","(4.8, 5.5, 5.407909604519775)","(81.0, 130.0, 121.13636363636364)","(101.0, 610.0, 595.0)","(5.0, 6.0, 5.949044585987261)","(41.0, 46.0, 45.35064935064935)","(3.6, 4.1, 4.037539432176656)","(101.0, 350.0, 328.8235294117647)","(4.2, 5.1, 4.961935483870968)","(101.0, 170.0, 169.23076923076923)","(18.0, 24.0, 23.50588235294118)"
08-12-2022 13:31:39.857399,"(8.0, 10.5, 10.192307692307692)","(41.0, 55.0, 50.22727272727273)","(4.8, 5.5, 5.281798245614035)","(81.0, 130.0, 121.15384615384616)","(101.0, 610.0, 595.0)","(5.0, 6.0, 5.954022988505748)","(41.0, 46.0, 45.44736842105263)","(3.6, 4.1, 4.0710691823899365)","(101.0, 350.0, 328.8235294117647)","(4.2, 5.1, 5.071186440677966)","(101.0, 170.0, 169.28571428571428)","(18.0, 24.0, 23.338461538461537)"
08-12-2022 13:31:41.591334,"(8.0, 10.5, 10.1878612716763)","(41.0, 55.0, 50.22727272727273)","(4.8, 5.3, 5.284)","(81.0, 130.0, 121.15384615384616)","(101.0, 610.0, 603.0769230769231)","(5.0, 6.0, 5.962207357859532)","(41.0, 46.0, 45.78947368421053)","(3.6, 4.1, 4.0740983606557375)","(101.0, 350.0, 328.8235294117647)","(4.2, 5.1, 5.077027027027027)","(101.0, 170.0, 169.23076923076923)","(18.0, 24.0, 23.36764705882353)"
08-12-2022 13:31:43.307681,"(8.0, 10.5, 10.147058823529411)","(41.0, 55.0, 50.22727272727273)","(4.8, 5.3, 5.287046632124352)","(81.0, 130.0, 121.15384615384616)","(101.0, 610.0, 603.0769230769231)","(5.0, 6.0, 5.955522388059702)","(41.0, 46.0, 45.733333333333334)","(3.6, 4.1, 4.0792982456140345)","(101.0, 350.0, 328.8235294117647)","(4.2, 5.1, 5.1375)","(101.0, 170.0, 169.23076923076923)","(18.0, 24.0, 23.36764705882353)"
08-12-2022 13:31:45.069669,"(8.0, 10.5, 10.147058823529411)","(41.0, 55.0, 52.35849056603774)","(4.8, 5.3, 5.28876404494382)","(81.0, 130.0, 120.8)","(101.0, 610.0, 580.0)","(5.0, 6.0, 5.955389221556886)","(41.0, 46.0, 45.733333333333334)","(3.6, 4.1, 4.081588447653429)","(101.0, 350.0, 328.8235294117647)","(4.2, 5.2, 5.126829268292683)","(101.0, 170.0, 169.23076923076923)","(18.0, 24.0, 23.43103448275862)"
08-12-2022 13:31:46.880418,"(8.5, 10.5, 10.05)","(41.0, 55.0, 53.943661971830984)","(4.8, 5.3, 5.287012987012987)","(71.0, 130.0, 120.8)","(101.0, 620.0, 603.0769230769231)","(5.0, 6.0, 5.953291536050157)","(41.0, 46.0, 44.8479262672811)","(3.6, 4.1, 4.067638483965014)","(101.0, 350.0, 328.8235294117647)","(4.4, 5.2, 5.193333333333333)","(101.0, 170.0, 169.23076923076923)","(18.0, 24.0, 23.43103448275862)"
08-12-2022 13:31:48.594085,"(8.5, 10.5, 10.142424242424243)","(41.0, 55.0, 54.014084507042256)","(4.8, 5.3, 5.338863287250384)","(71.0, 130.0, 121.48148148148148)","(101.0, 610.0, 603.0769230769231)","(5.0, 6.0, 5.952996845425868)","(41.0, 48.0, 45.609756097560975)","(3.6, 4.1, 4.02020905923345)","(101.0, 350.0, 328.8235294117647)","(4.4, 5.2, 5.193275862068965)","(101.0, 170.0, 166.0)","(18.0, 24.0, 23.43103448275862)"
08-12-2022 13:31:50.236525,"(8.0, 10.5, 10.142424242424243)","(41.0, 55.0, 54.014084507042256)","(4.8, 5.4, 5.338863287250384)","(71.0, 130.0, 121.48148148148148)","(101.0, 610.0, 603.0769230769231)","(5.0, 6.0, 5.952996845425868)","(41.0, 46.0, 45.609756097560975)","(3.6, 4.1, 4.02020905923345)","(101.0, 350.0, 328.8235294117647)","(4.4, 5.2, 5.193275862068965)","(101.0, 170.0, 166.0)","(18.0, 24.0, 23.43103448275862)"
08-12-2022 13:31:51.931596,"(8.0, 10.5, 10.142424242424243)","(41.0, 55.0, 53.92605633802817)","(4.8, 5.4, 5.33452380952381)","(71.0, 130.0, 114.92307692307692)","(101.0, 610.0, 603.0769230769231)","(5.0, 6.0, 5.939430894308943)","(41.0, 48.0, 46.09090909090909)","(3.6, 4.1, 4.01993006993007)","(101.0, 350.0, 328.8235294117647)","(4.4, 5.3, 5.212631578947368)","(101.0, 170.0, 166.0)","(18.0, 24.0, 23.43103448275862)"
08-12-2022 13:31:53.644935,"(8.5, 10.5, 10.110429447852761)","(41.0, 55.0, 53.83587786259542)","(4.8, 5.4, 5.302542372881356)","(71.0, 130.0, 114.92307692307692)","(101.0, 610.0, 603.0769230769231)","(5.0, 5.9, 5.88238341968912)","(41.0, 48.0, 47.717948717948715)","(3.6, 4.1, 4.036740331491712)","(101.0, 350.0, 328.8235294117647)","(4.2, 5.3, 5.205494505494506)","(101.0, 180.0, 169.16666666666666)","(18.0, 24.0, 23.43103448275862)"
08-12-2022 13:31:55.401257,"(8.5, 10.5, 10.110429447852761)","(41.0, 55.0, 53.83587786259542)","(4.8, 5.4, 5.302542372881356)","(71.0, 130.0, 114.92307692307692)","(101.0, 610.0, 603.0769230769231)","(5.0, 5.9, 5.885026737967915)","(41.0, 48.0, 47.734939759036145)","(3.6, 4.1, 4.036740331491712)","(101.0, 350.0, 298.57142857142856)","(4.2, 5.3, 5.2717569786535305)","(101.0, 180.0, 169.16666666666666)","(18.0, 24.0, 23.38235294117647)"
08-12-2022 13:31:57.093392,"(8.5, 10.5, 10.110429447852761)","(41.0, 55.0, 53.68131868131868)","(4.8, 5.4, 5.328348909657321)","(71.0, 130.0, 121.69491525423729)","(101.0, 610.0, 580.0)","(5.0, 5.9, 5.896951219512196)","(41.0, 48.0, 47.76086956521739)","(3.6, 4.1, 4.040399002493765)","(101.0, 350.0, 298.57142857142856)","(4.4, 5.3, 5.172413793103448)","(101.0, 180.0, 169.16666666666666)","(18.0, 24.0, 23.366666666666667)"
08-12-2022 13:31:58.857461,"(8.5, 10.5, 10.14857142857143)","(41.0, 55.0, 58.3739837398374)","(4.8, 5.4, 5.317562724014337)","(71.0, 130.0, 121.78571428571429)","(101.0, 620.0, 580.0)","(5.0, 5.9, 5.896913580246914)","(41.0, 48.0, 47.747126436781606)","(3.6, 4.1, 4.040399002493765)","(101.0, 350.0, 298.57142857142856)","(4.4, 5.2, 5.169144981412639)","(101.0, 180.0, 169.6)","(18.0, 24.0, 23.432835820895523)"
08-12-2022 13:32:00.606591,"(8.5, 10.5, 10.16042780748663)","(41.0, 60.0, 58.513513513513516)","(4.8, 5.4, 5.324449877750611)","(71.0, 130.0, 121.78571428571429)","(101.0, 620.0, 603.0769230769231)","(5.0, 5.9, 5.8987096774193555)","(41.0, 48.0, 47.65079365079365)","(3.6, 4.1, 4.037869822485207)","(101.0, 350.0, 298.57142857142856)","(4.4, 5.2, 4.971724137931035)","(101.0, 180.0, 161.8181818181818)","(18.0, 24.0, 23.432835820895523)"
08-12-2022 13:32:02.465993,"(8.5, 10.5, 10.322314049586776)","(41.0, 60.0, 59.34782608695652)","(4.8, 5.4, 5.287453183520599)","(71.0, 130.0, 122.2)","(101.0, 610.0, 595.0)","(5.0, 5.9, 5.965714285714285)","(41.0, 48.0, 47.6)","(3.6, 4.1, 4.033521126760563)","(101.0, 350.0, 298.57142857142856)","(4.4, 5.0, 5.037853107344633)","(101.0, 180.0, 162.22222222222223)","(18.0, 24.0, 23.396825396825395)"
08-12-2022 13:32:04.303850,"(8.5, 10.5, 10.364341085271318)","(41.0, 60.0, 59.60674157303371)","(4.8, 5.3, 5.28342644320298)","(71.0, 130.0, 122.3529411764706)","(101.0, 610.0, 597.1428571428571)","(5.0, 6.0, 6.009944751381216)","(41.0, 48.0, 47.67857142857143)","(3.6, 4.1, 4.046524064171122)","(101.0, 350.0, 305.0)","(4.4, 5.1, 4.954794520547946)","(101.0, 170.0, 152.5)","(18.0, 24.0, 23.432835820895523)"
08-12-2022 13:32:06.287153,"(8.5, 10.5, 10.364341085271318)","(41.0, 60.0, 59.65909090909091)","(4.8, 5.3, 5.273927392739274)","(71.0, 130.0, 122.3529411764706)","(101.0, 610.0, 597.1428571428571)","(5.0, 6.2, 5.955357142857143)","(41.0, 48.0, 47.67857142857143)","(3.6, 4.1, 4.046524064171122)","(101.0, 350.0, 305.0)","(4.4, 5.0, 5.020952380952381)","(101.0, 170.0, 152.22222222222223)","(18.0, 24.0, 23.44927536231884)"
08-12-2022 13:32:08.166221,"(8.5, 10.5, 10.358778625954198)","(41.0, 60.0, 59.65909090909091)","(4.8, 5.3, 5.169649122807018)","(71.0, 130.0, 122.3529411764706)","(101.0, 610.0, 597.1428571428571)","(5.0, 6.0, 5.960159362549801)","(41.0, 48.0, 47.67857142857143)","(3.6, 4.1, 4.146698113207547)","(101.0, 340.0, 310.0)","(4.4, 5.1, 5.0429906542056075)","(101.0, 160.0, 150.0)","(18.0, 24.0, 23.359375)"
08-12-2022 13:32:09.854084,"(8.5, 10.5, 10.398601398601398)","(41.0, 60.0, 59.67391304347826)","(4.8, 5.2, 4.97351598173516)","(71.0, 130.0, 122.5)","(101.0, 610.0, 580.0)","(5.0, 6.0, 6.054794520547945)","(41.0, 48.0, 47.65384615384615)","(3.6, 4.2, 4.16027397260274)","(101.0, 340.0, 302.5)","(4.4, 5.1, 4.974675324675324)","(101.0, 160.0, 146.0)","(18.0, 24.0, 23.541666666666668)"
08-12-2022 13:32:11.581178,"(8.5, 10.5, 10.398601398601398)","(41.0, 60.0, 63.78787878787879)","(4.8, 5.0, 4.994246575342466)","(71.0, 130.0, 121.52173913043478)","(101.0, 620.0, 590.0)","(5.0, 6.2, 6.054794520547945)","(41.0, 48.0, 47.65384615384615)","(3.6, 4.2, 4.162239583333333)","(101.0, 340.0, 300.0)","(4.4, 5.0, 5.028491620111732)","(101.0, 160.0, 146.0)","(18.0, 24.0, 23.541666666666668)"
08-12-2022 13:32:13.425825,"(8.5, 10.5, 10.398601398601398)","(41.0, 65.0, 59.88505747126437)","(4.8, 5.1, 5.0159817351598175)","(71.0, 130.0, 121.52173913043478)","(101.0, 620.0, 594.0)","(5.0, 6.2, 6.0271739130434785)","(41.0, 48.0, 47.65384615384615)","(3.6, 4.2, 4.160164835164835)","(101.0, 340.0, 310.0)","(4.4, 5.1, 4.942357274401473)","(101.0, 160.0, 148.57142857142858)","(18.0, 24.0, 23.535211267605632)"
08-12-2022 13:32:15.182746,"(8.5, 10.5, 9.907874015748032)","(41.0, 60.0, 62.857142857142854)","(4.6, 5.1, 5.029253112033195)","(71.0, 130.0, 122.04081632653062)","(101.0, 610.0, 590.0)","(5.0, 6.2, 5.977707006369426)","(41.0, 48.0, 49.2972972972973)","(3.6, 4.2, 4.159859154929578)","(101.0, 340.0, 310.0)","(4.4, 5.1, 5.023097826086956)","(101.0, 160.0, 153.33333333333334)","(18.0, 24.0, 23.61627906976744)"
08-12-2022 13:32:16.874038,"(8.5, 10.0, 9.890972222222222)","(41.0, 65.0, 64.34782608695652)","(4.6, 5.1, 5.0325153374233125)","(71.0, 130.0, 122.04081632653062)","(101.0, 620.0, 590.0)","(5.0, 6.0, 5.977707006369426)","(41.0, 50.0, 49.411764705882355)","(3.6, 4.2, 4.159859154929578)","(101.0, 340.0, 298.46153846153845)","(4.4, 5.1, 5.053157894736842)","(101.0, 160.0, 153.33333333333334)","(18.0, 24.0, 23.61627906976744)"
08-12-2022 13:32:18.636027,"(8.0, 10.0, 9.894276094276094)","(41.0, 65.0, 64.36170212765957)","(4.6, 5.1, 5.041743119266055)","(71.0, 130.0, 122.2)","(101.0, 620.0, 590.0)","(5.0, 6.0, 6.036893203883495)","(41.0, 50.0, 48.96296296296296)","(3.6, 4.2, 4.161382113821138)","(101.0, 360.0, 333.3333333333333)","(4.4, 5.1, 5.084247787610619)","(101.0, 180.0, 152.72727272727272)","(18.0, 24.0, 22.79646017699115)"
08-12-2022 13:32:20.386226,"(8.0, 10.0, 9.893559322033898)","(41.0, 65.0, 64.36170212765957)","(4.6, 5.1, 5.044662309368191)","(71.0, 130.0, 122.2)","(101.0, 620.0, 590.0)","(5.0, 6.2, 6.036893203883495)","(41.0, 50.0, 48.58064516129032)","(3.6, 4.2, 4.161382113821138)","(101.0, 400.0, 312.72727272727275)","(4.4, 5.1, 5.0841071428571425)","(101.0, 180.0, 152.72727272727272)","(18.0, 23.0, 22.78095238095238)"
