,Disputed River,Mr Im A Believer,Winds Of March,Go Woody,Italian Award,Kokonotsu,Jenni Of Avalon,La Sarthe,Ocherous
04-01-2023 12:17:45.969375,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2531525423728813)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:47.065840,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2531525423728813)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:48.161692,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2531525423728813)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:49.273861,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2531525423728813)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:50.337559,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2531525423728813)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:51.491380,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2531525423728813)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:52.635970,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.246297872340426)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:53.786216,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2486046511627906)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:54.993391,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2486046511627906)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:56.140722,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2486046511627906)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:57.286494,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2486046511627906)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:58.484256,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2486046511627906)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:17:59.558752,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2486046511627906)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:00.746459,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2486046511627906)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:01.821497,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2478571428571428)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:03.048748,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2478571428571428)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:04.162470,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2478571428571428)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:05.216639,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2478571428571428)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:06.379659,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2478571428571428)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:07.499239,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2478571428571428)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:08.649068,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2478571428571428)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:09.729702,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2478571428571428)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:10.870909,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2478571428571428)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:11.985531,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2478571428571428)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:13.050396,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2478571428571428)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:14.114346,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2478571428571428)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:15.350128,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2478571428571428)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:16.470145,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2478571428571428)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:17.622792,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2478571428571428)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:18.751165,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2478571428571428)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.5)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:19.862967,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2478571428571428)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 27.625)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:20.880044,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2478571428571428)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 27.625)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:21.926801,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2478571428571428)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 27.625)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:23.036316,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2478571428571428)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 27.625)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:24.072245,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2478571428571428)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 27.625)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:25.203352,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2402941176470588)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 27.625)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:26.287356,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2402941176470588)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 27.625)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:27.392991,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2402941176470588)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 27.625)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:28.484494,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2402941176470588)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 27.625)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:29.604276,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2402941176470588)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 27.625)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:30.679815,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2402941176470588)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.25)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:31.723959,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2402941176470588)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.25)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:32.952674,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2402941176470588)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.25)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:34.008257,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2402941176470588)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.25)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:35.073504,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2402941176470588)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.25)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:36.132078,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2402941176470588)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.25)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:37.181268,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2402941176470588)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.25)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:38.271773,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2402941176470588)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.25)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:39.690890,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2402941176470588)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.25)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:40.875314,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2402941176470588)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.25)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:42.105095,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2402941176470588)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.25)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:43.362362,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2402941176470588)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.25)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:44.574001,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2402941176470588)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.25)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:45.850788,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2402941176470588)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.25)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
04-01-2023 12:18:47.027555,"(3.9, 4.9, 4.880645161290323)","(1.9, 2.28, 2.2402941176470588)","(19.0, 32.0, 24.38095238095238)","(7.5, 9.8, 9.187234042553191)","(51.0, 380.0, 158.75)","(6.5, 9.0, 8.660869565217391)","(26.0, 32.0, 28.25)","(26.0, 48.0, 40.5)","(101.0, 550.0, 276.66666666666663)"
