,Gee Gee True Story,Square Donut,Laylow Pluck,Wanes Quest,Lady Joker,Hot Wired,The Master Speed,Belmista,Zeva Royale
14-12-2022 19:12:16.569708,"(8.5, 20.0, 16.666666666666668)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.5, 2.4805882352941175)","(8.5, 13.5, 12.25)","(7.0, 8.2, 7.8)","(9.0, 16.0, 15.3)","(14.0, 18.0, 17.166666666666668)","(10.0, 18.0, 15.25)","(12.0, 21.0, 20.333333333333332)"
14-12-2022 19:12:17.747928,"(8.5, 20.0, 16.666666666666668)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.5, 2.4805882352941175)","(8.5, 13.5, 12.25)","(7.0, 8.2, 7.8)","(9.0, 16.0, 15.3)","(14.0, 18.0, 17.166666666666668)","(10.0, 18.0, 15.25)","(12.0, 21.0, 20.333333333333332)"
14-12-2022 19:12:18.900200,"(8.5, 20.0, 16.666666666666668)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.5, 2.4805882352941175)","(8.5, 13.5, 12.25)","(7.0, 8.2, 7.8)","(9.0, 16.0, 15.3)","(14.0, 18.0, 17.166666666666668)","(10.0, 18.0, 15.25)","(12.0, 21.0, 20.333333333333332)"
14-12-2022 19:12:20.090548,"(8.5, 20.0, 16.666666666666668)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.5, 2.4805882352941175)","(8.5, 13.5, 12.25)","(7.0, 8.2, 7.8)","(9.0, 16.0, 15.3)","(14.0, 18.0, 17.166666666666668)","(10.0, 18.0, 15.25)","(12.0, 21.0, 20.333333333333332)"
14-12-2022 19:12:21.269908,"(8.5, 20.0, 16.666666666666668)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.5, 2.4805882352941175)","(8.5, 13.5, 12.25)","(7.0, 8.2, 7.8)","(9.0, 16.0, 15.3)","(14.0, 18.0, 17.166666666666668)","(10.0, 18.0, 15.25)","(12.0, 21.0, 20.333333333333332)"
14-12-2022 19:12:22.445362,"(8.5, 20.0, 16.666666666666668)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.5, 2.4805882352941175)","(8.5, 13.5, 12.25)","(7.0, 8.2, 7.8)","(9.0, 16.0, 15.3)","(14.0, 18.0, 17.166666666666668)","(10.0, 18.0, 15.25)","(12.0, 21.0, 20.333333333333332)"
14-12-2022 19:12:23.555717,"(8.5, 20.0, 16.666666666666668)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.48, 2.46875)","(8.5, 13.5, 12.25)","(7.0, 8.2, 7.8)","(9.0, 16.0, 15.3)","(14.0, 18.0, 17.166666666666668)","(10.0, 18.0, 15.25)","(12.0, 21.0, 20.333333333333332)"
14-12-2022 19:12:24.727152,"(8.5, 20.0, 16.666666666666668)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.48, 2.46875)","(8.5, 13.5, 12.25)","(7.0, 8.2, 7.8)","(9.0, 16.0, 15.3)","(14.0, 18.0, 17.166666666666668)","(10.0, 18.0, 15.25)","(12.0, 21.0, 20.333333333333332)"
14-12-2022 19:12:25.951972,"(8.5, 20.0, 16.666666666666668)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.48, 2.46875)","(8.5, 13.5, 12.25)","(7.0, 8.2, 7.8)","(9.0, 16.0, 15.3)","(14.0, 18.0, 17.416666666666668)","(10.0, 18.0, 15.25)","(12.0, 21.0, 20.333333333333332)"
14-12-2022 19:12:27.370899,"(8.5, 20.0, 16.666666666666668)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.48, 2.46875)","(8.5, 13.5, 12.25)","(7.0, 8.2, 7.8)","(9.0, 16.0, 15.4)","(14.0, 18.0, 17.416666666666668)","(10.0, 18.0, 15.25)","(12.0, 21.0, 20.333333333333332)"
14-12-2022 19:12:28.785245,"(8.5, 20.0, 16.666666666666668)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.48, 2.46875)","(8.5, 13.5, 12.25)","(7.0, 8.2, 7.8)","(9.0, 16.0, 15.4)","(14.0, 18.0, 17.25)","(10.0, 18.0, 15.25)","(12.0, 21.0, 20.333333333333332)"
14-12-2022 19:12:30.095257,"(8.5, 20.0, 16.666666666666668)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.48, 2.46875)","(8.5, 13.5, 12.25)","(7.0, 8.2, 7.8)","(9.0, 16.0, 15.4)","(14.0, 18.0, 17.25)","(10.0, 18.0, 15.25)","(12.0, 21.0, 20.333333333333332)"
14-12-2022 19:12:31.324638,"(8.5, 20.0, 16.666666666666668)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.48, 2.46875)","(8.5, 13.5, 12.25)","(7.0, 8.2, 8.2)","(9.0, 16.0, 15.4)","(14.0, 18.0, 17.25)","(10.0, 18.0, 15.25)","(12.0, 21.0, 20.333333333333332)"
14-12-2022 19:12:32.538734,"(8.5, 20.0, 16.666666666666668)","(6.5, 9.8, 9.4)","(2.45, 2.5, 2.4952)","(8.5, 13.5, 12.25)","(7.0, 8.8, 8.44)","(9.0, 16.0, 15.4)","(14.0, 18.0, 17.166666666666668)","(10.0, 18.0, 15.25)","(12.0, 21.0, 20.333333333333332)"
14-12-2022 19:12:33.720668,"(8.5, 20.0, 16.666666666666668)","(6.5, 10.0, 9.3)","(2.45, 2.5, 2.4952)","(8.5, 13.5, 12.25)","(7.0, 9.0, 8.44)","(9.0, 16.0, 15.4)","(14.0, 18.0, 17.166666666666668)","(10.0, 18.0, 15.25)","(12.0, 21.0, 20.333333333333332)"
14-12-2022 19:12:34.906054,"(8.5, 20.0, 16.666666666666668)","(6.5, 10.0, 9.3)","(2.45, 2.5, 2.4952)","(8.5, 13.5, 12.25)","(7.0, 9.0, 7.8769230769230765)","(9.0, 16.0, 15.4)","(14.0, 18.0, 17.166666666666668)","(10.0, 18.0, 14.0)","(12.0, 21.0, 19.4)"
14-12-2022 19:12:36.068339,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.84)","(2.45, 2.5, 2.4952)","(8.5, 13.5, 12.25)","(7.0, 8.8, 7.8769230769230765)","(9.0, 16.0, 15.4)","(14.0, 18.0, 17.166666666666668)","(10.0, 15.5, 14.0)","(12.0, 20.0, 19.4)"
14-12-2022 19:12:37.327155,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.84)","(2.45, 2.5, 2.4952)","(8.5, 13.5, 12.25)","(7.0, 8.8, 7.8769230769230765)","(9.0, 16.0, 15.4)","(14.0, 18.0, 17.166666666666668)","(10.0, 15.5, 14.0)","(12.0, 20.0, 19.4)"
14-12-2022 19:12:38.568678,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.84)","(2.45, 2.5, 2.4952)","(8.5, 13.5, 12.25)","(7.0, 8.8, 7.8769230769230765)","(9.0, 16.0, 15.4)","(14.0, 18.0, 17.25)","(10.0, 15.5, 14.0)","(12.0, 20.0, 19.4)"
14-12-2022 19:12:39.884006,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.84)","(2.45, 2.5, 2.4952)","(8.5, 13.5, 12.25)","(7.0, 8.8, 8.1)","(9.0, 16.0, 15.4)","(14.0, 18.0, 17.25)","(10.0, 15.5, 14.0)","(12.0, 20.0, 19.4375)"
14-12-2022 19:12:41.138098,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.84)","(2.45, 2.5, 2.4952)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 16.0, 15.4)","(14.0, 18.0, 17.25)","(10.0, 15.5, 14.0)","(12.0, 20.0, 19.4375)"
14-12-2022 19:12:42.334536,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.84)","(2.45, 2.5, 2.4952)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 16.0, 15.4)","(14.0, 18.0, 17.25)","(10.0, 15.5, 14.0)","(12.0, 20.0, 19.4375)"
14-12-2022 19:12:43.527282,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.84)","(2.45, 2.86, 2.548888888888889)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 16.0, 15.4)","(14.0, 18.0, 17.166666666666668)","(10.0, 15.5, 14.0)","(12.0, 20.0, 19.4375)"
14-12-2022 19:12:44.764018,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.84)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 16.0, 15.4)","(14.0, 18.0, 17.166666666666668)","(10.0, 15.5, 14.0)","(12.0, 20.0, 19.4375)"
14-12-2022 19:12:45.903171,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.84)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 16.0, 15.4)","(14.0, 18.0, 17.166666666666668)","(10.0, 15.5, 14.0)","(12.0, 20.0, 19.4375)"
14-12-2022 19:12:47.083406,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.84)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 16.0, 15.4)","(14.0, 18.0, 17.166666666666668)","(10.0, 15.5, 14.0)","(12.0, 20.0, 19.4375)"
14-12-2022 19:12:48.291508,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.84)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 16.0, 15.5)","(14.0, 18.0, 17.166666666666668)","(10.0, 15.5, 14.0)","(12.0, 20.0, 19.4375)"
14-12-2022 19:12:49.510689,"(8.5, 20.0, 19.0)","(6.5, 10.5, 9.85)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.81578947368421)","(10.0, 15.5, 14.0)","(12.0, 20.0, 19.4375)"
14-12-2022 19:12:50.836680,"(8.5, 20.0, 19.0)","(6.5, 10.5, 9.85)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.25)","(10.0, 15.5, 14.0)","(12.0, 20.0, 19.4375)"
14-12-2022 19:12:52.071673,"(8.5, 20.0, 19.0)","(6.5, 10.5, 9.85)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.25)","(10.0, 15.5, 14.0)","(12.0, 20.0, 19.4375)"
14-12-2022 19:12:53.229153,"(8.5, 20.0, 19.0)","(6.5, 10.5, 9.85)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.25)","(10.0, 15.5, 14.0)","(12.0, 20.0, 19.4375)"
14-12-2022 19:12:54.382495,"(8.5, 20.0, 19.0)","(6.5, 10.5, 9.85)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.25)","(10.0, 15.5, 14.0)","(12.0, 20.0, 19.4375)"
14-12-2022 19:12:55.574901,"(8.5, 20.0, 19.0)","(6.5, 10.5, 9.85)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.166666666666668)","(10.0, 15.5, 14.0)","(12.0, 20.0, 19.4375)"
14-12-2022 19:12:56.747328,"(8.5, 20.0, 19.0)","(6.5, 10.5, 9.85)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.166666666666668)","(10.0, 15.5, 14.0)","(12.0, 20.0, 19.4375)"
14-12-2022 19:12:57.953427,"(8.5, 20.0, 19.0)","(6.5, 10.5, 9.85)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.166666666666668)","(10.0, 15.5, 14.0)","(12.0, 20.0, 19.4375)"
14-12-2022 19:12:59.191074,"(8.5, 20.0, 19.0)","(6.5, 10.5, 9.85)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.166666666666668)","(10.0, 15.5, 14.0)","(12.0, 20.0, 19.4375)"
14-12-2022 19:13:00.474421,"(8.5, 20.0, 19.0)","(6.5, 10.5, 9.85)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.166666666666668)","(10.0, 15.5, 14.0)","(12.0, 20.0, 19.4375)"
14-12-2022 19:13:01.673647,"(8.5, 20.0, 19.0)","(6.5, 10.5, 9.85)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.166666666666668)","(10.0, 15.5, 14.0)","(12.0, 20.0, 19.4375)"
14-12-2022 19:13:02.870528,"(8.5, 20.0, 19.0)","(6.5, 10.5, 9.85)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.4)","(10.0, 15.5, 14.0)","(12.0, 20.0, 19.4375)"
14-12-2022 19:13:04.085068,"(8.5, 20.0, 19.0)","(6.5, 10.5, 9.85)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.4)","(10.0, 15.5, 14.0)","(12.0, 20.0, 19.4375)"
14-12-2022 19:13:05.260811,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.4)","(10.0, 15.5, 14.0)","(12.0, 20.0, 19.4375)"
14-12-2022 19:13:06.386205,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.4)","(10.0, 15.5, 14.0)","(12.0, 20.0, 19.4375)"
14-12-2022 19:13:07.540255,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.4)","(10.0, 15.5, 14.0)","(12.0, 20.0, 19.4375)"
14-12-2022 19:13:08.677283,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.166666666666668)","(10.0, 15.5, 14.25)","(12.0, 20.0, 19.4375)"
14-12-2022 19:13:09.769307,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.166666666666668)","(10.0, 15.5, 14.25)","(12.0, 20.0, 19.4375)"
14-12-2022 19:13:10.859194,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.166666666666668)","(10.0, 15.5, 14.25)","(12.0, 20.0, 19.4375)"
14-12-2022 19:13:11.954851,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.166666666666668)","(10.0, 15.5, 14.25)","(12.0, 20.0, 19.4375)"
14-12-2022 19:13:13.094721,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.166666666666668)","(10.0, 15.5, 14.25)","(12.0, 20.0, 19.4375)"
14-12-2022 19:13:14.273343,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.1)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.4)","(10.0, 15.5, 14.25)","(12.0, 20.0, 19.4375)"
14-12-2022 19:13:15.436780,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.6, 8.7672131147541)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.4)","(10.0, 15.5, 14.25)","(12.0, 20.0, 19.4375)"
14-12-2022 19:13:16.724805,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.8, 8.7672131147541)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.4)","(10.0, 15.5, 14.25)","(12.0, 20.0, 19.4375)"
14-12-2022 19:13:17.872955,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.82, 2.685)","(8.5, 13.5, 12.25)","(7.0, 8.8, 8.7672131147541)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.4)","(10.0, 15.5, 14.25)","(12.0, 20.0, 19.4375)"
14-12-2022 19:13:18.977821,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.82, 2.801111111111111)","(8.5, 13.5, 12.25)","(7.0, 8.8, 8.7672131147541)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.4)","(10.0, 15.5, 14.25)","(12.0, 20.0, 19.4375)"
14-12-2022 19:13:20.086336,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.82, 2.801111111111111)","(8.5, 13.5, 12.25)","(7.0, 8.8, 8.7672131147541)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.166666666666668)","(10.0, 15.5, 14.25)","(12.0, 20.0, 19.4375)"
14-12-2022 19:13:21.245989,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.82, 2.801111111111111)","(8.5, 13.5, 12.25)","(7.0, 8.8, 8.7672131147541)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.166666666666668)","(10.0, 15.5, 14.25)","(12.0, 20.0, 19.4375)"
14-12-2022 19:13:22.397331,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.82, 2.801111111111111)","(8.5, 13.5, 12.25)","(7.0, 8.8, 8.7672131147541)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.166666666666668)","(10.0, 15.5, 14.25)","(12.0, 20.0, 19.4375)"
14-12-2022 19:13:23.564258,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.82, 2.788)","(8.5, 13.5, 12.25)","(7.0, 8.8, 8.7672131147541)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.166666666666668)","(10.0, 15.5, 14.25)","(12.0, 20.0, 19.4375)"
14-12-2022 19:13:24.696724,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.82, 2.788)","(8.5, 13.5, 12.25)","(7.0, 8.8, 8.7672131147541)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.166666666666668)","(10.0, 15.5, 14.25)","(12.0, 20.0, 19.4375)"
14-12-2022 19:13:25.854750,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.82, 2.788)","(8.5, 13.5, 12.25)","(7.0, 8.8, 8.7672131147541)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.166666666666668)","(10.0, 15.5, 14.25)","(12.0, 20.0, 19.4375)"
14-12-2022 19:13:27.078565,"(8.5, 20.0, 19.0)","(6.5, 10.0, 9.733333333333333)","(2.45, 2.82, 2.788)","(8.5, 13.5, 12.25)","(7.0, 8.8, 8.7672131147541)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.166666666666668)","(10.0, 15.5, 14.25)","(12.0, 20.0, 19.4375)"
14-12-2022 19:13:28.363692,"(8.5, 20.0, 19.0)","(6.5, 9.4, 8.866666666666667)","(2.45, 2.82, 2.788)","(8.5, 13.5, 12.25)","(7.0, 8.8, 8.764285714285714)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.125)","(10.0, 15.5, 14.25)","(12.0, 20.0, 19.4375)"
14-12-2022 19:13:29.613252,"(8.5, 20.0, 19.0)","(6.5, 9.4, 8.866666666666667)","(2.45, 2.82, 2.788)","(8.5, 13.5, 12.25)","(7.0, 8.8, 8.764285714285714)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.125)","(10.0, 15.5, 14.25)","(12.0, 20.0, 19.4375)"
14-12-2022 19:13:30.697596,"(8.5, 20.0, 19.0)","(6.5, 8.6, 8.2)","(2.45, 2.82, 2.788)","(8.5, 13.5, 12.25)","(7.0, 8.8, 8.764285714285714)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.125)","(10.0, 15.5, 14.25)","(12.0, 20.0, 19.4375)"
14-12-2022 19:13:31.886249,"(8.5, 20.0, 19.0)","(6.5, 8.6, 8.2)","(2.45, 2.82, 2.7075)","(8.5, 13.5, 12.25)","(7.0, 8.8, 8.764285714285714)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.0)","(10.0, 15.5, 15.25)","(12.0, 20.0, 20.0)"
14-12-2022 19:13:33.161020,"(8.5, 20.0, 18.285714285714285)","(6.5, 8.6, 8.2)","(2.45, 2.82, 2.7075)","(8.5, 13.5, 12.25)","(7.0, 9.0, 8.4)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.0)","(10.0, 17.5, 15.25)","(12.0, 22.0, 21.0)"
14-12-2022 19:13:34.448212,"(8.5, 20.0, 16.666666666666668)","(6.5, 8.6, 8.2)","(2.45, 2.82, 2.7075)","(8.5, 13.5, 12.25)","(7.0, 9.0, 8.4)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.0)","(10.0, 17.5, 16.75)","(12.0, 24.0, 21.0)"
14-12-2022 19:13:35.756439,"(8.5, 20.0, 16.666666666666668)","(6.5, 8.6, 8.2)","(2.45, 2.82, 2.7075)","(8.5, 13.5, 12.25)","(7.0, 9.0, 8.4)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.0)","(10.0, 17.5, 16.75)","(12.0, 24.0, 21.0)"
14-12-2022 19:13:36.966960,"(8.5, 20.0, 16.666666666666668)","(6.5, 8.6, 8.2)","(2.45, 2.82, 2.7075)","(8.5, 13.5, 12.25)","(7.0, 9.0, 8.4)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.125)","(10.0, 17.5, 16.75)","(12.0, 24.0, 21.0)"
14-12-2022 19:13:38.086536,"(8.5, 20.0, 16.666666666666668)","(6.5, 8.6, 8.2)","(2.45, 2.82, 2.7075)","(8.5, 13.5, 12.25)","(7.0, 9.0, 8.4)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.125)","(10.0, 17.5, 16.75)","(12.0, 24.0, 21.0)"
14-12-2022 19:13:39.202077,"(8.5, 20.0, 16.666666666666668)","(6.5, 8.6, 8.2)","(2.45, 2.82, 2.7075)","(8.5, 13.5, 12.25)","(7.0, 9.0, 8.4)","(9.0, 18.0, 15.5)","(14.0, 18.0, 17.125)","(10.0, 17.5, 16.75)","(12.0, 24.0, 21.0)"
