,Mega Banjo,Tricky Kelvin,Be A Character,Fine Wee Lass,Into The Coffee,Rio Ripley,Donald Lane
07-12-2022 18:20:01.075169,"(6.0, 7.4, 6.264864864864865)","(4.0, 4.5, 4.36)","(5.0, 11.0, 10.876470588235295)","(5.0, 7.2, 7.062857142857143)","(26.0, 65.0, 61.6)","(3.9, 4.5, 4.355555555555555)","(5.0, 7.4, 6.483333333333333)"
07-12-2022 18:20:02.086180,"(6.0, 7.4, 6.275)","(4.0, 4.5, 4.36)","(5.0, 11.0, 10.876470588235295)","(5.0, 7.2, 7.062857142857143)","(26.0, 65.0, 63.62162162162162)","(3.9, 4.5, 4.355555555555555)","(5.0, 7.4, 6.883333333333333)"
07-12-2022 18:20:03.101133,"(6.0, 7.4, 6.275)","(4.0, 4.6, 4.49090909090909)","(5.0, 11.0, 10.876470588235295)","(5.0, 7.2, 7.062857142857143)","(26.0, 65.0, 63.62162162162162)","(3.9, 4.5, 4.335714285714285)","(5.0, 7.4, 6.883333333333333)"
07-12-2022 18:20:04.241705,"(6.0, 7.4, 6.275)","(4.0, 4.6, 4.49090909090909)","(5.0, 11.0, 10.876470588235295)","(5.0, 7.2, 7.062857142857143)","(26.0, 65.0, 63.62162162162162)","(3.9, 4.5, 4.335714285714285)","(5.0, 7.4, 6.8652173913043475)"
07-12-2022 18:20:05.288525,"(6.0, 7.4, 6.275)","(4.0, 4.6, 4.49090909090909)","(5.0, 11.0, 10.876470588235295)","(5.0, 7.2, 7.062857142857143)","(26.0, 65.0, 63.62162162162162)","(3.9, 4.5, 4.335714285714285)","(5.0, 7.4, 6.8652173913043475)"
07-12-2022 18:20:06.304310,"(6.0, 7.4, 6.264864864864865)","(4.0, 4.6, 4.49090909090909)","(5.0, 11.0, 10.876470588235295)","(5.0, 7.2, 6.7)","(26.0, 65.0, 63.62162162162162)","(3.9, 4.5, 4.335714285714285)","(5.0, 7.4, 6.423809523809524)"
07-12-2022 18:20:07.586107,"(6.0, 7.4, 6.264864864864865)","(4.0, 4.6, 4.36)","(5.0, 11.0, 10.876470588235295)","(5.0, 7.2, 7.072)","(26.0, 65.0, 63.62162162162162)","(3.9, 4.5, 4.335714285714285)","(5.0, 7.4, 6.423809523809524)"
07-12-2022 18:20:08.617142,"(6.0, 7.4, 6.264864864864865)","(4.0, 4.5, 4.36)","(5.0, 11.0, 10.876470588235295)","(5.0, 7.2, 7.072)","(26.0, 65.0, 63.62162162162162)","(3.9, 4.5, 4.320833333333333)","(5.0, 7.4, 6.423809523809524)"
07-12-2022 18:20:09.604359,"(6.0, 7.2, 6.271428571428571)","(4.0, 4.6, 4.366666666666666)","(5.0, 11.0, 10.876470588235295)","(5.0, 7.2, 7.072)","(26.0, 65.0, 63.62162162162162)","(3.9, 4.5, 4.320833333333333)","(5.0, 7.4, 6.423809523809524)"
07-12-2022 18:20:10.665324,"(6.0, 7.2, 6.271428571428571)","(4.0, 4.6, 4.366666666666666)","(5.0, 11.0, 10.876470588235295)","(5.0, 7.2, 7.1085714285714285)","(26.0, 65.0, 63.62162162162162)","(3.9, 4.5, 4.320833333333333)","(5.0, 7.4, 6.423809523809524)"
07-12-2022 18:20:11.831040,"(6.0, 7.2, 6.271428571428571)","(4.0, 4.6, 4.366666666666666)","(5.0, 11.0, 10.876470588235295)","(5.0, 7.2, 7.1085714285714285)","(26.0, 65.0, 62.45)","(3.9, 4.5, 4.320833333333333)","(5.0, 7.4, 6.423809523809524)"
07-12-2022 18:20:12.937900,"(6.0, 7.2, 6.271428571428571)","(4.0, 4.5, 4.325)","(5.0, 11.0, 10.876470588235295)","(5.0, 7.2, 7.150769230769231)","(26.0, 65.0, 62.45)","(3.9, 4.5, 4.320833333333333)","(5.0, 7.4, 6.423809523809524)"
07-12-2022 18:20:14.078791,"(6.0, 7.2, 6.271428571428571)","(4.0, 4.5, 4.325)","(5.0, 11.0, 10.934375)","(5.0, 7.2, 7.402739726027397)","(26.0, 65.0, 63.542857142857144)","(3.9, 4.5, 4.312820512820513)","(5.0, 7.4, 6.423809523809524)"
07-12-2022 18:20:15.097999,"(6.0, 7.2, 6.271428571428571)","(4.0, 4.5, 4.325)","(5.0, 11.0, 10.934375)","(5.0, 7.6, 7.402739726027397)","(26.0, 65.0, 63.563380281690144)","(3.9, 4.5, 4.312820512820513)","(5.0, 7.4, 6.41388888888889)"
07-12-2022 18:20:16.190425,"(6.0, 7.2, 6.271428571428571)","(4.0, 4.6, 4.366666666666666)","(5.0, 11.0, 10.934375)","(5.0, 7.6, 7.402739726027397)","(26.0, 65.0, 63.563380281690144)","(3.9, 4.5, 4.312820512820513)","(5.0, 7.4, 6.41388888888889)"
07-12-2022 18:20:17.248451,"(6.0, 7.2, 6.271428571428571)","(4.0, 4.6, 4.45)","(5.0, 11.0, 10.934375)","(5.0, 7.6, 7.402739726027397)","(26.0, 65.0, 63.563380281690144)","(3.9, 4.5, 4.312820512820513)","(5.0, 7.4, 6.533333333333333)"
07-12-2022 18:20:18.252189,"(6.0, 7.2, 6.271428571428571)","(4.0, 4.5, 4.325)","(5.0, 12.5, 12.321538461538461)","(5.0, 7.6, 7.0285714285714285)","(26.0, 65.0, 63.563380281690144)","(3.9, 4.5, 4.312820512820513)","(5.0, 7.2, 6.533333333333333)"
07-12-2022 18:20:19.221004,"(6.0, 7.2, 6.271428571428571)","(4.0, 4.5, 4.325)","(5.0, 12.5, 12.201470588235294)","(5.0, 7.6, 6.914285714285714)","(26.0, 65.0, 63.563380281690144)","(3.9, 4.5, 4.312820512820513)","(5.0, 7.2, 6.533333333333333)"
07-12-2022 18:20:20.314129,"(6.0, 7.2, 6.271428571428571)","(4.0, 4.5, 4.325)","(5.0, 12.5, 12.201470588235294)","(5.0, 7.6, 7.422222222222222)","(26.0, 65.0, 63.563380281690144)","(3.9, 4.5, 4.312820512820513)","(5.0, 7.2, 6.41388888888889)"
07-12-2022 18:20:21.399129,"(6.0, 7.2, 6.271428571428571)","(4.0, 4.6, 4.425)","(5.5, 12.5, 12.3640625)","(5.0, 7.6, 7.422222222222222)","(26.0, 65.0, 58.07692307692308)","(3.9, 4.5, 4.312820512820513)","(5.0, 7.4, 6.430769230769231)"
07-12-2022 18:20:22.471437,"(6.0, 7.2, 6.271428571428571)","(4.0, 4.6, 4.366666666666666)","(5.5, 12.5, 12.3640625)","(5.0, 7.6, 7.528358208955224)","(26.0, 65.0, 62.631578947368425)","(3.9, 4.5, 4.312820512820513)","(5.0, 7.2, 6.417391304347826)"
07-12-2022 18:20:23.508432,"(6.0, 7.2, 6.271428571428571)","(4.0, 4.6, 4.366666666666666)","(5.5, 12.5, 12.201470588235294)","(5.0, 7.6, 7.528358208955224)","(26.0, 65.0, 62.631578947368425)","(3.9, 4.5, 4.312820512820513)","(5.0, 7.2, 6.412121212121212)"
07-12-2022 18:20:24.527899,"(6.0, 7.2, 6.271428571428571)","(3.8, 4.5, 4.325)","(5.5, 12.5, 12.201470588235294)","(5.0, 7.6, 7.528358208955224)","(31.0, 65.0, 62.27272727272727)","(3.9, 4.5, 4.312820512820513)","(5.0, 7.2, 6.412121212121212)"
07-12-2022 18:20:25.756356,"(6.0, 7.2, 6.271428571428571)","(3.8, 4.5, 4.359999999999999)","(5.5, 12.5, 12.201470588235294)","(5.0, 7.6, 7.528358208955224)","(31.0, 65.0, 62.27272727272727)","(3.9, 4.5, 4.312820512820513)","(5.0, 7.2, 6.413114754098361)"
07-12-2022 18:20:26.766775,"(6.0, 7.2, 6.271428571428571)","(3.8, 4.5, 4.359999999999999)","(5.5, 12.5, 12.3640625)","(5.0, 7.6, 7.528358208955224)","(31.0, 65.0, 62.27272727272727)","(3.9, 4.5, 4.312820512820513)","(5.0, 7.2, 6.413114754098361)"
07-12-2022 18:20:27.987016,"(6.0, 7.2, 6.271428571428571)","(3.8, 4.6, 4.366666666666666)","(5.5, 12.5, 12.163768115942029)","(5.0, 7.6, 7.528358208955224)","(31.0, 65.0, 63.69565217391305)","(3.9, 4.5, 4.312820512820513)","(5.0, 7.0, 6.446153846153846)"
07-12-2022 18:20:29.123050,"(6.0, 7.2, 6.271428571428571)","(3.8, 4.6, 4.366666666666666)","(5.5, 12.5, 12.163768115942029)","(5.0, 7.6, 7.528358208955224)","(31.0, 65.0, 64.36170212765957)","(3.9, 4.5, 4.312820512820513)","(5.0, 7.0, 6.446153846153846)"
07-12-2022 18:20:30.223266,"(6.0, 7.2, 6.271428571428571)","(3.8, 4.6, 4.366666666666666)","(5.5, 12.5, 12.163768115942029)","(5.0, 7.6, 7.528358208955224)","(31.0, 70.0, 66.40845070422534)","(3.9, 4.5, 4.312820512820513)","(5.0, 7.0, 6.411320754716981)"
07-12-2022 18:20:31.379111,"(6.0, 7.2, 6.271428571428571)","(3.8, 4.6, 4.359999999999999)","(5.5, 12.5, 12.3640625)","(5.0, 7.6, 7.528358208955224)","(31.0, 70.0, 66.85185185185185)","(3.9, 4.4, 4.2250000000000005)","(5.0, 7.0, 6.40952380952381)"
07-12-2022 18:20:32.454307,"(6.0, 7.2, 6.271428571428571)","(3.8, 4.5, 4.325)","(5.5, 12.5, 12.163768115942029)","(5.0, 7.6, 7.528358208955224)","(31.0, 70.0, 67.46753246753246)","(3.9, 4.4, 4.1899999999999995)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:20:33.540048,"(6.0, 7.2, 6.271428571428571)","(3.8, 4.5, 4.366666666666666)","(5.5, 12.5, 12.163768115942029)","(5.0, 7.6, 7.528358208955224)","(31.0, 70.0, 67.46753246753246)","(3.9, 4.4, 4.1899999999999995)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:20:34.570995,"(6.0, 7.2, 6.271428571428571)","(3.8, 4.6, 4.45)","(5.5, 12.5, 12.163768115942029)","(5.0, 7.6, 7.528358208955224)","(31.0, 70.0, 66.85185185185185)","(3.9, 4.4, 4.117999999999999)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:20:35.600803,"(6.0, 7.2, 6.271428571428571)","(3.8, 4.6, 4.50625)","(5.5, 12.5, 12.163768115942029)","(5.0, 7.6, 7.528358208955224)","(31.0, 70.0, 67.46753246753246)","(3.9, 4.4, 4.117999999999999)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:20:36.730715,"(6.0, 7.2, 6.271428571428571)","(3.8, 4.5, 4.425)","(5.5, 12.5, 12.3640625)","(5.0, 7.6, 7.528358208955224)","(31.0, 70.0, 67.46753246753246)","(3.9, 4.4, 4.114999999999999)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:20:37.859722,"(6.0, 7.2, 6.271428571428571)","(3.8, 4.5, 4.3875)","(5.5, 12.5, 11.825)","(5.0, 7.6, 7.528358208955224)","(31.0, 70.0, 67.32876712328768)","(3.9, 4.4, 4.114999999999999)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:20:38.983966,"(6.0, 7.2, 6.271428571428571)","(3.8, 4.5, 4.3875)","(5.5, 12.5, 11.527777777777779)","(5.0, 7.6, 7.528358208955224)","(31.0, 70.0, 67.32876712328768)","(3.9, 4.4, 4.112857142857142)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:20:40.202560,"(6.0, 7.2, 6.271428571428571)","(3.8, 4.6, 4.45)","(5.5, 12.5, 12.173913043478262)","(5.0, 7.6, 7.528358208955224)","(31.0, 70.0, 67.32876712328768)","(3.9, 4.4, 4.112857142857142)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:20:41.440783,"(6.0, 7.2, 6.271428571428571)","(3.8, 4.6, 4.50625)","(5.5, 12.5, 12.173913043478262)","(5.0, 7.6, 7.528358208955224)","(31.0, 70.0, 67.32876712328768)","(3.9, 4.4, 4.112857142857142)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:20:42.608669,"(6.0, 7.2, 6.271428571428571)","(3.8, 4.5, 4.3875)","(5.5, 12.5, 12.071428571428571)","(5.0, 7.6, 7.2)","(31.0, 70.0, 67.32876712328768)","(3.9, 4.4, 4.112857142857142)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:20:43.753976,"(6.0, 7.2, 6.271428571428571)","(3.8, 4.5, 4.3875)","(5.5, 12.5, 11.107142857142858)","(5.0, 7.6, 7.257142857142857)","(31.0, 70.0, 67.32876712328768)","(3.9, 4.4, 4.112857142857142)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:20:44.874043,"(6.0, 7.2, 6.271428571428571)","(3.8, 4.5, 4.325)","(5.5, 12.5, 11.15)","(5.0, 7.6, 7.257142857142857)","(31.0, 70.0, 67.32876712328768)","(3.9, 4.4, 4.112857142857142)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:20:46.043681,"(6.0, 7.2, 6.271428571428571)","(3.8, 4.6, 4.105882352941176)","(5.5, 12.5, 11.15)","(5.0, 7.6, 7.257142857142857)","(31.0, 70.0, 67.32876712328768)","(3.9, 4.4, 4.112857142857142)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:20:47.026845,"(6.0, 7.2, 6.2555555555555555)","(3.8, 4.5, 4.322222222222222)","(5.5, 12.5, 11.98076923076923)","(5.0, 7.6, 7.257142857142857)","(31.0, 70.0, 67.32876712328768)","(3.9, 4.4, 4.112857142857142)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:20:48.184530,"(6.0, 7.2, 6.460869565217392)","(3.8, 4.5, 4.35)","(5.5, 12.5, 11.98076923076923)","(5.0, 7.6, 7.458823529411765)","(31.0, 70.0, 67.32876712328768)","(3.9, 4.3, 4.13157894736842)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:20:49.356996,"(6.0, 7.2, 6.460869565217392)","(3.8, 4.5, 4.266666666666667)","(5.5, 12.5, 12.295454545454545)","(5.0, 7.6, 7.458823529411765)","(31.0, 70.0, 67.32876712328768)","(3.9, 4.3, 4.0576923076923075)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:20:50.335410,"(6.0, 7.2, 6.460869565217392)","(3.8, 4.5, 4.266666666666667)","(5.5, 12.5, 12.322368421052632)","(5.0, 7.6, 7.557894736842105)","(31.0, 70.0, 67.32876712328768)","(3.9, 4.3, 4.034883720930233)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:20:51.381494,"(6.0, 7.2, 6.460869565217392)","(3.8, 4.5, 4.214285714285714)","(5.5, 12.5, 12.322368421052632)","(5.0, 7.6, 7.5935483870967735)","(31.0, 70.0, 67.32876712328768)","(3.9, 4.3, 4.029411764705882)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:20:52.592452,"(6.0, 7.2, 6.460869565217392)","(3.8, 4.5, 4.231578947368421)","(5.5, 12.5, 12.322368421052632)","(5.0, 7.6, 7.5935483870967735)","(31.0, 70.0, 67.32876712328768)","(3.9, 4.1, 4.0181818181818185)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:20:53.651788,"(6.0, 7.2, 6.460869565217392)","(3.8, 4.6, 4.231578947368421)","(5.5, 12.5, 12.322368421052632)","(5.0, 7.6, 7.5935483870967735)","(31.0, 70.0, 67.32876712328768)","(3.9, 4.1, 3.996875)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:20:54.875355,"(6.0, 7.2, 6.491666666666667)","(3.8, 4.5, 4.328571428571428)","(5.5, 12.5, 12.322368421052632)","(5.0, 7.6, 7.5935483870967735)","(31.0, 70.0, 67.32876712328768)","(3.9, 4.1, 3.978846153846154)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:20:56.194446,"(6.0, 7.2, 6.491666666666667)","(3.8, 4.5, 4.245454545454545)","(5.5, 12.5, 12.322368421052632)","(5.0, 7.6, 7.5935483870967735)","(31.0, 70.0, 67.32876712328768)","(3.9, 4.1, 3.966304347826087)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:20:57.579930,"(6.0, 7.2, 6.491666666666667)","(3.8, 4.5, 4.245454545454545)","(5.5, 12.5, 12.322368421052632)","(5.0, 7.6, 7.5935483870967735)","(31.0, 70.0, 67.32876712328768)","(3.9, 4.1, 3.9348837209302325)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:20:58.922178,"(6.0, 7.2, 6.491666666666667)","(3.8, 4.5, 4.3875)","(5.5, 12.5, 12.322368421052632)","(5.0, 7.6, 7.594117647058823)","(31.0, 70.0, 67.32876712328768)","(3.9, 4.1, 4.0017543859649125)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:21:00.065685,"(6.0, 7.2, 6.48)","(3.7, 4.5, 4.3875)","(6.0, 12.5, 12.322368421052632)","(5.0, 7.6, 7.594117647058823)","(31.0, 70.0, 67.32876712328768)","(3.9, 4.1, 4.0017543859649125)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:21:01.337957,"(6.0, 7.2, 6.661538461538462)","(3.7, 4.4, 4.152380952380953)","(6.0, 12.5, 12.322368421052632)","(5.0, 7.6, 7.594117647058823)","(31.0, 70.0, 67.32876712328768)","(3.9, 4.1, 4.0017543859649125)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:21:02.421853,"(6.0, 7.2, 6.661538461538462)","(3.7, 4.4, 4.152380952380953)","(6.0, 12.5, 12.322368421052632)","(5.0, 7.6, 7.594117647058823)","(31.0, 70.0, 67.32876712328768)","(3.9, 4.1, 4.0017543859649125)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:21:03.664486,"(6.0, 7.2, 6.587096774193548)","(3.7, 4.4, 4.25)","(6.0, 12.5, 12.322368421052632)","(5.0, 7.6, 7.594117647058823)","(31.0, 70.0, 67.32876712328768)","(3.9, 4.1, 4.26)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:21:04.771194,"(6.0, 7.2, 6.544827586206897)","(3.7, 4.4, 4.314285714285714)","(6.0, 12.5, 12.322368421052632)","(5.0, 7.6, 7.594117647058823)","(31.0, 70.0, 67.32876712328768)","(3.9, 4.3, 4.26)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:21:05.941510,"(6.0, 7.2, 6.503030303030303)","(3.7, 4.4, 4.314285714285714)","(6.0, 12.5, 12.322368421052632)","(5.0, 7.6, 7.594117647058823)","(31.0, 70.0, 67.32876712328768)","(3.9, 4.3, 4.266037735849056)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:21:07.043773,"(6.0, 7.2, 6.408333333333333)","(3.7, 4.4, 4.16)","(6.0, 12.5, 12.322368421052632)","(5.0, 7.8, 8.942857142857143)","(31.0, 70.0, 66.68831168831169)","(3.9, 4.3, 4.283333333333333)","(5.0, 7.0, 6.408219178082192)"
07-12-2022 18:21:08.220020,"(6.0, 6.8, 6.68)","(3.7, 4.4, 4.300000000000001)","(6.0, 12.5, 12.358108108108109)","(5.0, 9.2, 8.971428571428572)","(31.0, 70.0, 66.68831168831169)","(3.9, 4.3, 4.34)","(5.0, 7.0, 5.892307692307692)"
07-12-2022 18:21:09.401808,"(6.0, 6.8, 6.7555555555555555)","(3.7, 4.4, 4.342857142857143)","(6.0, 12.5, 12.358108108108109)","(5.0, 9.2, 8.971428571428572)","(31.0, 70.0, 66.68831168831169)","(3.9, 4.4, 4.307692307692308)","(5.0, 7.0, 5.9679012345679014)"
07-12-2022 18:21:10.548930,"(6.0, 6.8, 6.746666666666666)","(3.7, 4.4, 4.342857142857143)","(6.0, 12.5, 12.358108108108109)","(5.0, 9.2, 8.995744680851063)","(31.0, 70.0, 66.68831168831169)","(3.9, 4.4, 4.307692307692308)","(5.0, 7.0, 6.2375)"
07-12-2022 18:21:11.665874,"(6.0, 6.8, 6.746666666666666)","(3.7, 4.4, 4.16)","(6.0, 12.5, 12.358108108108109)","(5.0, 8.8, 8.709090909090909)","(31.0, 70.0, 66.68831168831169)","(3.9, 4.4, 4.329411764705883)","(5.0, 6.8, 6.125)"
07-12-2022 18:21:12.773619,"(6.0, 6.8, 6.746666666666666)","(3.6, 4.4, 4.290909090909091)","(7.0, 12.5, 12.358108108108109)","(5.0, 8.8, 8.709090909090909)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.329411764705883)","(5.0, 6.8, 6.285714285714286)"
07-12-2022 18:21:13.935323,"(6.0, 6.8, 6.746666666666666)","(3.6, 4.4, 4.290909090909091)","(7.0, 13.5, 13.464788732394366)","(5.0, 8.8, 8.711111111111112)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.329411764705883)","(5.0, 6.8, 6.177777777777778)"
07-12-2022 18:21:15.117567,"(6.0, 6.8, 6.746666666666666)","(3.6, 4.4, 4.342857142857143)","(7.0, 13.5, 13.464788732394366)","(5.0, 8.8, 8.735135135135137)","(31.0, 70.0, 66.68831168831169)","(3.7, 4.4, 4.329411764705883)","(5.0, 6.8, 6.416666666666666)"
