,Virage Volante,Wilcott,Tommy Throttle,Boundin Blue,Steel Harbour,Magic Burner,All About,Tyrion Lannister
07-01-2023 09:39:47.429367,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:39:48.599963,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:39:49.749643,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:39:51.044018,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:39:52.319601,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:39:53.577702,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:39:54.833879,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:39:56.070472,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:39:57.311488,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:39:58.469030,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:39:59.692974,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:00.911322,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:02.092410,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:03.349843,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:04.510986,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:05.614353,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:06.853206,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:08.081587,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:09.277078,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:10.702389,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:11.989817,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:13.302372,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:14.655597,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:15.975908,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:17.337472,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:18.642915,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:19.769994,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:21.012889,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:22.315039,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:23.575040,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:24.876711,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:26.111569,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:27.265806,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:28.354469,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:29.560788,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:30.817786,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:31.967252,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:33.203644,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:34.355794,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:35.586034,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:36.912755,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:38.225666,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:39.471430,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:40.766894,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:42.043335,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:43.252200,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:44.481363,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:45.908850,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:47.184544,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:48.501313,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:50.019570,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:51.364930,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:52.677175,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:53.920298,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:55.133403,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:56.362538,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:57.583577,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:58.658435,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:40:59.900224,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:41:01.181089,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:41:02.434388,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:41:03.725762,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:41:05.014370,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
07-01-2023 09:41:06.193511,"(3.5, 6.6, 4.638709677419355)","(7.5, 16.0, 13.536000000000001)","(5.5, 10.5, 8.417857142857143)","(12.0, 34.0, 26.666666666666664)","(12.0, 32.0, 28.379310344827587)","(10.0, 27.0, 22.0)","(7.5, 15.5, 7.887499999999999)","(3.1, 5.1, 3.652941176470588)"
