,Blushed,Gee Gees Jennia,Silver Persuasion,Twee,Need A Flutter,Zeva Royale,Further North,Piiink Beauty
06-01-2023 14:54:03.015505,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.066666666666666)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.8, 4.233333333333333)","(8.5, 14.0, 11.6)","(41.0, 140.0, 76.25)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:04.259723,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.066666666666666)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.8, 4.233333333333333)","(8.5, 14.0, 11.6)","(41.0, 140.0, 76.25)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:05.531069,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.066666666666666)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.8, 4.233333333333333)","(8.5, 14.0, 11.6)","(41.0, 140.0, 76.25)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:06.924007,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.066666666666666)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.8, 4.233333333333333)","(8.5, 14.0, 11.6)","(41.0, 140.0, 76.25)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:08.302090,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.8, 4.233333333333333)","(8.5, 14.0, 11.6)","(41.0, 140.0, 76.25)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:09.568305,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.8, 4.233333333333333)","(8.5, 14.0, 11.6)","(41.0, 140.0, 76.25)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:11.043509,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.8, 4.233333333333333)","(8.5, 14.0, 11.6)","(41.0, 140.0, 76.25)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:12.402149,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.8, 4.233333333333333)","(8.5, 14.0, 11.6)","(41.0, 140.0, 76.25)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:13.552577,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.8, 4.1499999999999995)","(8.5, 14.0, 11.6)","(41.0, 140.0, 76.25)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:14.803206,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.6, 4.1499999999999995)","(8.5, 14.0, 11.6)","(41.0, 140.0, 76.25)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:16.021260,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.6, 4.1499999999999995)","(8.5, 14.0, 11.6)","(41.0, 140.0, 76.25)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:17.088558,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.6, 4.1499999999999995)","(8.5, 14.0, 11.6)","(41.0, 140.0, 76.25)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:18.180328,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.6, 4.1499999999999995)","(8.5, 14.0, 11.6)","(41.0, 140.0, 76.25)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:19.472193,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.6, 4.1499999999999995)","(8.5, 14.0, 11.6)","(41.0, 140.0, 76.25)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:20.623310,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.6, 4.1499999999999995)","(8.5, 14.0, 11.6)","(41.0, 140.0, 76.25)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:21.754251,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.6, 4.1499999999999995)","(8.5, 14.0, 11.6)","(41.0, 140.0, 76.25)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:22.977109,"(7.0, 99999, 99990)","(4.6, 5.8, 5.3)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.6, 4.15)","(8.5, 14.0, 10.524999999999999)","(41.0, 140.0, 105.19999999999999)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:24.265781,"(7.0, 99999, 99990)","(4.6, 5.8, 5.3)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.7, 4.19375)","(8.5, 14.5, 10.524999999999999)","(41.0, 150.0, 105.19999999999999)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:25.460678,"(7.0, 99999, 99990)","(4.6, 5.8, 5.3)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.7, 4.19375)","(8.5, 14.5, 10.524999999999999)","(41.0, 150.0, 105.19999999999999)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:26.665334,"(7.0, 99999, 99990)","(4.6, 5.8, 5.3)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.7, 4.19375)","(8.5, 14.5, 10.524999999999999)","(41.0, 150.0, 105.19999999999999)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:27.845021,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.7, 4.309090909090909)","(8.5, 14.5, 10.524999999999999)","(41.0, 150.0, 105.19999999999999)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:29.036033,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.6, 4.309090909090909)","(8.5, 14.5, 10.524999999999999)","(41.0, 150.0, 105.19999999999999)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:30.150449,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.6, 4.309090909090909)","(8.5, 14.5, 10.524999999999999)","(41.0, 150.0, 122.0)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:31.208056,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.6, 4.309090909090909)","(8.5, 15.0, 11.133333333333333)","(41.0, 150.0, 122.0)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:32.302343,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.6, 4.309090909090909)","(8.5, 15.0, 11.133333333333333)","(41.0, 150.0, 122.0)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:33.481769,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.6, 4.309090909090909)","(8.5, 15.0, 11.133333333333333)","(41.0, 150.0, 122.0)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:34.517569,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.6, 4.309090909090909)","(8.5, 15.0, 11.133333333333333)","(41.0, 150.0, 122.0)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:35.537040,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.6, 4.309090909090909)","(8.5, 15.0, 11.133333333333333)","(41.0, 150.0, 122.0)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:36.619397,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.6, 4.309090909090909)","(8.5, 15.0, 11.133333333333333)","(41.0, 150.0, 122.0)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:37.681822,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.6, 4.309090909090909)","(8.5, 15.0, 11.133333333333333)","(41.0, 150.0, 122.0)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:38.726223,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.6, 4.309090909090909)","(8.5, 15.0, 11.133333333333333)","(41.0, 150.0, 122.0)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:40.078451,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.6, 4.309090909090909)","(8.5, 15.0, 11.133333333333333)","(41.0, 150.0, 122.0)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:41.292299,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.6, 4.309090909090909)","(8.5, 15.0, 11.133333333333333)","(41.0, 150.0, 122.0)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:42.507436,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.6, 4.309090909090909)","(8.5, 15.0, 11.133333333333333)","(41.0, 150.0, 122.0)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:43.645912,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.6, 4.309090909090909)","(8.5, 15.0, 11.133333333333333)","(41.0, 150.0, 122.0)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:44.746416,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.6, 4.309090909090909)","(8.5, 15.0, 11.133333333333333)","(41.0, 150.0, 122.0)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:45.826711,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.6, 4.309090909090909)","(8.5, 15.0, 11.133333333333333)","(41.0, 150.0, 122.0)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:46.984955,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.6, 4.309090909090909)","(8.5, 15.0, 11.133333333333333)","(41.0, 150.0, 122.0)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:48.149890,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.6, 4.309090909090909)","(8.5, 15.0, 11.133333333333333)","(41.0, 150.0, 122.0)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:49.250143,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.6, 4.309090909090909)","(8.5, 15.0, 11.133333333333333)","(41.0, 150.0, 122.0)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:50.298366,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 8.9)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.6, 4.45)","(8.5, 15.0, 12.1)","(41.0, 150.0, 122.0)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:51.434467,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.9, 4.138461538461539)","(8.5, 15.0, 12.1)","(41.0, 150.0, 122.0)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:52.559069,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.9, 4.15)","(8.5, 15.0, 12.1)","(41.0, 150.0, 122.0)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:53.693643,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.9, 4.15)","(8.5, 15.0, 12.1)","(41.0, 150.0, 122.0)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:54.838050,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.9, 4.45)","(8.5, 15.0, 12.1)","(41.0, 150.0, 122.0)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:55.986392,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.9, 4.45)","(8.5, 15.0, 12.1)","(41.0, 150.0, 122.0)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:57.195678,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.9, 4.45)","(8.5, 15.0, 12.1)","(41.0, 150.0, 122.0)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:58.437853,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.9, 4.45)","(8.5, 15.0, 12.1)","(41.0, 150.0, 122.0)","(7.5, 11.0, 9.8)"
06-01-2023 14:54:59.583698,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.9, 4.45)","(8.5, 15.0, 11.85)","(41.0, 150.0, 99.19999999999999)","(7.5, 11.0, 9.728571428571428)"
06-01-2023 14:55:00.808109,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.9, 4.45)","(8.5, 14.5, 11.85)","(41.0, 140.0, 99.19999999999999)","(7.5, 10.5, 9.728571428571428)"
06-01-2023 14:55:02.039514,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.9, 4.45)","(8.5, 14.5, 11.85)","(41.0, 140.0, 99.19999999999999)","(7.5, 10.5, 9.728571428571428)"
06-01-2023 14:55:03.186598,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.9, 4.45)","(8.5, 14.5, 11.85)","(41.0, 140.0, 99.19999999999999)","(7.5, 10.5, 9.728571428571428)"
06-01-2023 14:55:04.234964,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.9, 4.45)","(8.5, 14.5, 11.85)","(41.0, 140.0, 99.19999999999999)","(7.5, 10.5, 9.728571428571428)"
06-01-2023 14:55:05.310172,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.9, 4.45)","(8.5, 14.5, 11.85)","(41.0, 140.0, 99.19999999999999)","(7.5, 10.5, 9.728571428571428)"
06-01-2023 14:55:06.504570,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.9, 4.207692307692308)","(8.5, 14.5, 11.85)","(41.0, 140.0, 99.19999999999999)","(7.5, 10.5, 9.728571428571428)"
06-01-2023 14:55:07.613319,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.9, 4.207692307692308)","(8.5, 14.5, 11.85)","(41.0, 140.0, 99.19999999999999)","(7.5, 10.5, 9.728571428571428)"
06-01-2023 14:55:08.678069,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.9, 4.207692307692308)","(8.5, 14.5, 11.85)","(41.0, 140.0, 99.19999999999999)","(7.5, 10.5, 9.728571428571428)"
06-01-2023 14:55:09.785626,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.9, 4.207692307692308)","(8.5, 14.5, 11.85)","(41.0, 140.0, 111.42857142857143)","(7.5, 10.5, 9.728571428571428)"
06-01-2023 14:55:10.806523,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.9, 4.207692307692308)","(8.5, 14.5, 11.85)","(41.0, 140.0, 111.42857142857143)","(7.5, 10.5, 9.728571428571428)"
06-01-2023 14:55:12.155096,"(7.0, 99999, 99990)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.9, 4.207692307692308)","(8.5, 14.5, 11.85)","(41.0, 140.0, 111.42857142857143)","(7.5, 10.5, 9.728571428571428)"
06-01-2023 14:55:13.233160,"(7.0, 13.5, 10.8)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.9, 4.207692307692308)","(8.5, 14.5, 11.85)","(41.0, 140.0, 111.42857142857143)","(7.5, 10.5, 9.728571428571428)"
06-01-2023 14:55:14.332340,"(7.0, 13.5, 10.8)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.9, 4.207692307692308)","(8.5, 14.5, 11.85)","(41.0, 140.0, 111.42857142857143)","(7.5, 10.5, 9.728571428571428)"
06-01-2023 14:55:15.457454,"(7.0, 13.5, 10.8)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.9, 4.207692307692308)","(8.5, 14.5, 11.85)","(41.0, 140.0, 111.42857142857143)","(7.5, 10.5, 9.728571428571428)"
06-01-2023 14:55:16.592494,"(7.0, 13.5, 10.8)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.9, 4.207692307692308)","(8.5, 14.5, 11.85)","(41.0, 140.0, 111.42857142857143)","(7.5, 10.5, 9.728571428571428)"
06-01-2023 14:55:17.739554,"(7.0, 13.5, 10.8)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.9, 4.207692307692308)","(8.5, 14.5, 11.85)","(41.0, 140.0, 111.42857142857143)","(7.5, 10.5, 9.728571428571428)"
06-01-2023 14:55:18.910796,"(7.0, 13.5, 10.8)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.9, 4.414285714285715)","(8.5, 14.5, 11.85)","(41.0, 140.0, 111.42857142857143)","(7.5, 10.5, 9.728571428571428)"
06-01-2023 14:55:20.053634,"(7.0, 13.5, 10.8)","(4.6, 5.8, 5.390909090909091)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.8, 4.414285714285715)","(8.5, 14.5, 11.85)","(41.0, 140.0, 111.42857142857143)","(7.5, 10.5, 9.728571428571428)"
06-01-2023 14:55:21.240656,"(7.0, 13.5, 10.8)","(4.6, 5.7, 5.442857142857143)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.8, 4.414285714285715)","(8.5, 14.5, 11.85)","(41.0, 140.0, 111.42857142857143)","(7.5, 10.5, 9.728571428571428)"
06-01-2023 14:55:22.444962,"(7.0, 13.5, 10.8)","(4.6, 5.7, 5.442857142857143)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.8, 4.414285714285715)","(8.5, 14.5, 11.85)","(41.0, 140.0, 111.42857142857143)","(7.5, 10.5, 9.728571428571428)"
06-01-2023 14:55:23.484105,"(7.0, 13.5, 10.8)","(4.6, 5.7, 5.442857142857143)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.8, 4.414285714285715)","(8.5, 14.5, 11.85)","(41.0, 140.0, 111.42857142857143)","(7.5, 10.5, 9.728571428571428)"
06-01-2023 14:55:24.492840,"(7.0, 13.5, 10.8)","(4.6, 5.7, 5.442857142857143)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.8, 4.414285714285715)","(8.5, 14.5, 11.85)","(41.0, 140.0, 111.42857142857143)","(7.5, 10.5, 9.728571428571428)"
06-01-2023 14:55:25.594281,"(7.0, 13.5, 10.8)","(4.6, 5.7, 5.442857142857143)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.8, 4.414285714285715)","(8.5, 14.5, 11.85)","(41.0, 140.0, 111.42857142857143)","(7.5, 10.5, 9.728571428571428)"
06-01-2023 14:55:26.629847,"(7.0, 13.5, 10.8)","(4.6, 5.7, 5.442857142857143)","(8.5, 9.2, 9.028571428571428)","(4.2, 5.5, 5.241176470588235)","(3.4, 4.8, 4.414285714285715)","(8.5, 14.5, 11.85)","(41.0, 140.0, 111.42857142857143)","(7.5, 10.5, 9.728571428571428)"
