,Dandelion,Tarzan Gunn,Starlight Nelly,Full Of Cheek,Shian Silva,Mandela,My Ninja,Sirius Lizzie
06-01-2023 14:20:27.501887,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 13.5)"
06-01-2023 14:20:28.582059,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 13.5)"
06-01-2023 14:20:29.759449,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 13.5)"
06-01-2023 14:20:30.901761,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 13.5)"
06-01-2023 14:20:32.043929,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 13.5)"
06-01-2023 14:20:33.206701,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 38.958333333333336)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 13.5)"
06-01-2023 14:20:34.392010,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.72727272727273)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 13.5)"
06-01-2023 14:20:35.501091,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.72727272727273)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 13.5)"
06-01-2023 14:20:36.508600,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.72727272727273)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 13.5)"
06-01-2023 14:20:37.573877,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 51.42857142857143)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.72727272727273)","(19.0, 70.0, 46.36363636363637)","(7.0, 16.5, 13.5)"
06-01-2023 14:20:38.661842,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 114.5)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 27.727272727272727)","(19.0, 70.0, 32.54545454545455)","(7.0, 16.5, 14.772727272727273)"
06-01-2023 14:20:39.769783,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 27.727272727272727)","(19.0, 70.0, 32.54545454545455)","(7.0, 16.0, 14.772727272727273)"
06-01-2023 14:20:40.782082,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 27.727272727272727)","(19.0, 70.0, 32.54545454545455)","(7.0, 16.0, 14.772727272727273)"
06-01-2023 14:20:41.895958,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 27.727272727272727)","(19.0, 70.0, 32.54545454545455)","(7.0, 16.0, 14.772727272727273)"
06-01-2023 14:20:43.047694,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 27.727272727272727)","(19.0, 70.0, 32.54545454545455)","(7.0, 16.0, 14.772727272727273)"
06-01-2023 14:20:44.203998,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 32.54545454545455)","(7.0, 16.0, 11.7)"
06-01-2023 14:20:45.279130,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 32.54545454545455)","(7.0, 16.0, 11.7)"
06-01-2023 14:20:46.408801,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 32.54545454545455)","(7.0, 16.0, 11.7)"
06-01-2023 14:20:47.547458,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 32.54545454545455)","(7.0, 16.0, 11.7)"
06-01-2023 14:20:48.837074,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 32.54545454545455)","(7.0, 16.0, 11.7)"
06-01-2023 14:20:49.938926,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 32.54545454545455)","(7.0, 16.0, 11.7)"
06-01-2023 14:20:50.986310,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 32.54545454545455)","(7.0, 16.0, 11.7)"
06-01-2023 14:20:52.080063,"(4.6, 8.2, 6.8)","(2.25, 3.5, 2.3292682926829267)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 32.54545454545455)","(7.0, 16.0, 11.7)"
06-01-2023 14:20:53.253979,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 47.111111111111114)","(7.0, 16.0, 11.7)"
06-01-2023 14:20:54.360508,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 47.111111111111114)","(7.0, 16.0, 14.685714285714283)"
06-01-2023 14:20:55.501958,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 47.111111111111114)","(7.0, 16.0, 14.685714285714283)"
06-01-2023 14:20:56.624705,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 47.111111111111114)","(7.0, 16.0, 14.685714285714283)"
06-01-2023 14:20:57.811681,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 52.83333333333333)","(7.0, 16.0, 14.685714285714283)"
06-01-2023 14:20:59.034843,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 52.83333333333333)","(7.0, 16.0, 11.5)"
06-01-2023 14:21:00.220593,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 52.83333333333333)","(7.0, 16.0, 11.5)"
06-01-2023 14:21:01.454099,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 52.83333333333333)","(7.0, 16.0, 11.5)"
06-01-2023 14:21:02.620089,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 52.83333333333333)","(7.0, 16.0, 11.5)"
06-01-2023 14:21:03.798710,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 37.8125)","(7.0, 16.0, 11.5)"
06-01-2023 14:21:05.030305,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 37.8125)","(7.0, 16.0, 11.5)"
06-01-2023 14:21:06.102503,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 37.8125)","(7.0, 16.0, 11.5)"
06-01-2023 14:21:07.123413,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 37.8125)","(7.0, 16.0, 14.826086956521738)"
06-01-2023 14:21:08.314444,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 37.8125)","(7.0, 16.0, 14.826086956521738)"
06-01-2023 14:21:09.481781,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 37.8125)","(7.0, 16.0, 14.826086956521738)"
06-01-2023 14:21:10.642470,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 37.8125)","(7.0, 16.0, 14.826086956521738)"
06-01-2023 14:21:11.786865,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 37.8125)","(7.0, 16.0, 14.826086956521738)"
06-01-2023 14:21:12.956975,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 63.14285714285714)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 37.8125)","(7.0, 16.0, 14.826086956521738)"
06-01-2023 14:21:14.158159,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 51.81818181818181)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 37.8125)","(7.0, 16.0, 14.826086956521738)"
06-01-2023 14:21:15.212365,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 51.81818181818181)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 37.8125)","(7.0, 16.0, 14.826086956521738)"
06-01-2023 14:21:16.255558,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 51.81818181818181)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 37.8125)","(7.0, 16.0, 14.826086956521738)"
06-01-2023 14:21:17.317841,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 51.81818181818181)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 37.8125)","(7.0, 16.0, 14.826086956521738)"
06-01-2023 14:21:18.489873,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 51.81818181818181)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 37.8125)","(7.0, 16.0, 14.826086956521738)"
06-01-2023 14:21:19.668952,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 51.81818181818181)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 37.8125)","(7.0, 16.0, 14.826086956521738)"
06-01-2023 14:21:20.883821,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 51.81818181818181)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 37.8125)","(7.0, 16.0, 14.826086956521738)"
06-01-2023 14:21:22.091587,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 51.81818181818181)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 37.8125)","(7.0, 16.0, 14.826086956521738)"
06-01-2023 14:21:23.255908,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 51.81818181818181)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 37.8125)","(7.0, 16.0, 14.826086956521738)"
06-01-2023 14:21:24.419716,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 51.81818181818181)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 37.8125)","(7.0, 16.0, 14.826086956521738)"
06-01-2023 14:21:25.564425,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 51.81818181818181)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 37.8125)","(7.0, 16.0, 14.826086956521738)"
06-01-2023 14:21:26.625355,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 51.81818181818181)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 37.8125)","(7.0, 16.0, 14.826086956521738)"
06-01-2023 14:21:27.711624,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 51.81818181818181)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 37.8125)","(7.0, 16.0, 14.826086956521738)"
06-01-2023 14:21:28.871367,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 51.81818181818181)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 37.8125)","(7.0, 16.0, 14.826086956521738)"
06-01-2023 14:21:30.054548,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 51.81818181818181)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 37.8125)","(7.0, 16.0, 14.826086956521738)"
06-01-2023 14:21:31.177888,"(4.6, 8.2, 6.8)","(2.25, 3.45, 2.415)","(31.0, 200.0, 90.07142857142857)","(31.0, 110.0, 51.81818181818181)","(2.9, 5.2, 4.5120000000000005)","(17.0, 55.0, 37.666666666666664)","(19.0, 70.0, 37.8125)","(7.0, 16.0, 14.826086956521738)"
