,Potato Cake,Eyes On Meg,Ryans Pick,Dennis Denuto,Londonderry Lady,Jax The Hunter,Malligan Bale,Blazing Infrared
16-12-2022 12:13:51.090474,"(7.5, 34.0, 20.86153846153846)","(1.9, 2.68, 2.1610526315789476)","(5.5, 10.5, 6.969230769230769)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 14.0, 7.34)","(9.0, 19.5, 14.25)","(7.5, 13.5, 7.9875)"
16-12-2022 12:13:52.107224,"(7.5, 34.0, 20.86153846153846)","(1.9, 2.68, 2.1610526315789476)","(5.5, 10.5, 6.969230769230769)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 14.0, 7.34)","(9.0, 19.5, 14.25)","(7.5, 13.5, 7.9875)"
16-12-2022 12:13:53.207414,"(7.5, 34.0, 20.86153846153846)","(1.9, 2.68, 2.1610526315789476)","(5.5, 10.5, 6.969230769230769)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 14.0, 7.34)","(9.0, 19.5, 14.25)","(7.5, 13.5, 7.9875)"
16-12-2022 12:13:54.254834,"(7.5, 34.0, 20.86153846153846)","(1.9, 2.68, 2.1610526315789476)","(5.5, 10.5, 6.969230769230769)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 14.0, 7.34)","(9.0, 19.5, 14.25)","(7.5, 13.5, 7.9875)"
16-12-2022 12:13:55.216308,"(7.5, 34.0, 20.86153846153846)","(1.9, 2.68, 2.1610526315789476)","(5.5, 10.5, 6.969230769230769)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 14.0, 7.34)","(9.0, 19.5, 14.25)","(7.5, 13.5, 7.9875)"
16-12-2022 12:13:56.276605,"(7.5, 34.0, 20.86153846153846)","(1.9, 2.68, 2.1610526315789476)","(5.5, 10.5, 6.969230769230769)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 14.0, 7.34)","(9.0, 19.5, 14.25)","(7.5, 13.5, 7.9875)"
16-12-2022 12:13:57.351993,"(7.5, 34.0, 20.86153846153846)","(1.9, 2.68, 2.1610526315789476)","(5.5, 10.5, 6.969230769230769)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 14.0, 7.34)","(9.0, 19.5, 14.25)","(7.5, 13.5, 7.9875)"
16-12-2022 12:13:58.367955,"(7.5, 34.0, 20.86153846153846)","(1.9, 2.68, 2.1610526315789476)","(5.5, 10.5, 6.969230769230769)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 14.0, 7.34)","(9.0, 19.5, 14.25)","(7.5, 13.5, 7.9875)"
16-12-2022 12:13:59.367590,"(7.5, 34.0, 20.86153846153846)","(1.9, 2.68, 2.1610526315789476)","(5.5, 10.5, 6.969230769230769)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 14.0, 7.34)","(9.0, 19.5, 14.25)","(7.5, 13.5, 7.9875)"
16-12-2022 12:14:00.366115,"(7.5, 34.0, 20.86153846153846)","(1.9, 2.68, 2.1610526315789476)","(5.5, 10.5, 6.969230769230769)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 14.0, 7.34)","(9.0, 19.5, 14.25)","(7.5, 13.5, 7.9875)"
16-12-2022 12:14:01.408218,"(7.5, 30.0, 25.96)","(1.9, 2.68, 2.1610526315789476)","(5.5, 10.5, 6.969230769230769)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 14.0, 7.34)","(9.0, 19.5, 14.25)","(7.5, 13.5, 7.9875)"
16-12-2022 12:14:02.405051,"(7.5, 30.0, 25.96)","(1.9, 2.68, 2.1610526315789476)","(5.5, 10.5, 6.969230769230769)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 14.0, 7.34)","(9.0, 19.5, 14.25)","(7.5, 13.5, 7.9875)"
16-12-2022 12:14:03.380574,"(7.5, 30.0, 25.96)","(1.9, 2.68, 2.1610526315789476)","(5.5, 10.5, 6.969230769230769)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 14.0, 7.34)","(9.0, 19.5, 14.25)","(7.5, 13.5, 7.9875)"
16-12-2022 12:14:04.402206,"(7.5, 30.0, 25.96)","(1.9, 2.68, 2.1610526315789476)","(5.5, 10.5, 6.969230769230769)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 14.0, 7.34)","(9.0, 19.5, 14.25)","(7.5, 13.5, 7.9875)"
16-12-2022 12:14:05.498344,"(7.5, 30.0, 25.0)","(1.9, 2.68, 2.1610526315789476)","(5.5, 10.5, 6.969230769230769)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 14.0, 7.34)","(9.0, 19.5, 14.25)","(7.5, 13.5, 7.9875)"
16-12-2022 12:14:06.551350,"(7.5, 30.0, 26.2)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.75)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 14.0, 9.242857142857142)","(9.0, 19.5, 17.4)","(7.5, 13.5, 7.9875)"
16-12-2022 12:14:07.583919,"(7.5, 30.0, 26.2)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.75)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 14.0, 9.242857142857142)","(9.0, 19.5, 17.4)","(7.5, 13.5, 7.9875)"
16-12-2022 12:14:08.664673,"(7.5, 30.0, 27.625)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.75)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 11.266666666666666)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:09.635857,"(7.5, 30.0, 27.625)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:10.729640,"(7.5, 30.0, 27.625)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:11.723548,"(7.5, 30.0, 28.642857142857142)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:12.727555,"(7.5, 30.0, 28.642857142857142)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:13.766311,"(7.5, 30.0, 28.642857142857142)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:14.786177,"(7.5, 30.0, 28.642857142857142)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:15.811004,"(7.5, 30.0, 28.642857142857142)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:16.817089,"(7.5, 30.0, 28.642857142857142)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:17.823838,"(7.5, 30.0, 28.642857142857142)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:18.805836,"(7.5, 30.0, 28.642857142857142)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:19.834908,"(7.5, 30.0, 28.642857142857142)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:20.855718,"(7.5, 30.0, 28.642857142857142)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:21.863171,"(7.5, 30.0, 28.642857142857142)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:22.862476,"(7.5, 30.0, 28.642857142857142)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:23.865789,"(7.5, 30.0, 28.642857142857142)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:24.862804,"(7.5, 30.0, 28.642857142857142)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:25.868232,"(7.5, 30.0, 28.642857142857142)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:26.866059,"(7.5, 30.0, 28.642857142857142)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:27.856898,"(7.5, 30.0, 27.75)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:28.854050,"(7.5, 30.0, 27.75)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:29.882620,"(7.5, 30.0, 27.75)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:30.871911,"(7.5, 30.0, 27.75)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:31.881462,"(7.5, 30.0, 27.75)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:32.862354,"(7.5, 30.0, 27.75)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:33.880476,"(7.5, 30.0, 27.75)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:34.897388,"(7.5, 30.0, 27.75)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:35.885310,"(7.5, 30.0, 27.75)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:36.837117,"(7.5, 30.0, 27.75)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:37.812962,"(7.5, 30.0, 27.75)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:38.787257,"(7.5, 30.0, 27.75)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:39.725373,"(7.5, 30.0, 27.75)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:40.718294,"(7.5, 30.0, 27.75)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:41.674265,"(7.5, 30.0, 27.75)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:42.683939,"(7.5, 30.0, 27.75)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:43.707875,"(7.5, 30.0, 27.75)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:44.754695,"(7.5, 30.0, 27.75)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:45.766915,"(7.5, 30.0, 27.75)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:46.774742,"(7.5, 30.0, 27.75)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:47.822664,"(7.5, 30.0, 27.5)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:48.818710,"(7.5, 30.0, 25.75)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:49.893384,"(7.5, 30.0, 25.75)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:50.955371,"(7.5, 30.0, 25.75)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:52.044036,"(7.5, 30.0, 25.75)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:53.108639,"(7.5, 30.0, 25.75)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:54.229573,"(7.5, 30.0, 27.875)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:55.316260,"(7.5, 30.0, 27.875)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:56.439441,"(7.5, 30.0, 27.875)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:14:57.512022,"(7.5, 30.0, 27.875)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:15:02.760553,"(7.5, 30.0, 27.875)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:15:03.809737,"(7.5, 30.0, 27.875)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:15:04.879638,"(7.5, 30.0, 27.875)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:15:05.936204,"(7.5, 30.0, 27.875)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 30.666666666666664)","(20.0, 55.0, 30.666666666666664)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.0, 11.066666666666666)"
16-12-2022 12:15:07.063366,"(7.5, 30.0, 27.875)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 13.5, 8.75)","(9.0, 19.5, 17.4)","(7.5, 13.0, 7.9875)"
16-12-2022 12:15:08.188234,"(7.5, 30.0, 27.642857142857142)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 14.0, 11.49)","(9.0, 19.5, 17.4)","(7.5, 13.5, 7.9875)"
16-12-2022 12:15:09.256935,"(7.5, 30.0, 27.642857142857142)","(1.9, 2.68, 2.081875)","(5.5, 10.5, 6.675000000000001)","(21.0, 55.0, 34.72222222222222)","(20.0, 55.0, 34.72222222222222)","(7.5, 13.5, 10.25)","(9.0, 19.5, 17.4)","(7.5, 13.5, 7.9875)"
