,Zea Jay,Riverdale Peggy,Aston Rozee,Gucci Giblet,Typhoon Missile,Blue Bale,My Mate Martha
10-01-2023 14:36:22.136921,"(3.4, 6.4, 4.53)","(20.0, 170.0, 66.42857142857143)","(10.0, 20.0, 14.0)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:23.197166,"(3.4, 6.4, 4.53)","(20.0, 170.0, 66.42857142857143)","(10.0, 20.0, 14.0)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:24.222684,"(3.4, 6.4, 4.53)","(20.0, 170.0, 66.42857142857143)","(10.0, 20.0, 14.0)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:25.236704,"(3.4, 6.4, 4.53)","(20.0, 170.0, 66.42857142857143)","(10.0, 20.0, 14.0)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:26.377143,"(3.4, 6.4, 4.53)","(20.0, 170.0, 66.42857142857143)","(10.0, 20.0, 14.0)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:28.029667,"(3.4, 6.4, 4.53)","(20.0, 170.0, 66.42857142857143)","(10.0, 20.0, 14.0)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.14)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:29.593497,"(3.4, 6.4, 4.53)","(20.0, 170.0, 66.42857142857143)","(10.0, 20.0, 14.0)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.64, 2.0559090909090907)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:30.818000,"(3.4, 6.4, 4.53)","(20.0, 170.0, 66.42857142857143)","(10.0, 20.0, 14.0)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.62, 2.0559090909090907)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:31.911712,"(3.4, 6.4, 4.53)","(20.0, 170.0, 66.42857142857143)","(10.0, 20.0, 14.0)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.62, 2.0559090909090907)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:32.921868,"(3.4, 6.4, 4.53)","(20.0, 170.0, 66.42857142857143)","(10.0, 20.0, 14.0)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.62, 2.0559090909090907)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:34.043068,"(3.4, 6.4, 4.53)","(20.0, 170.0, 66.42857142857143)","(10.0, 20.0, 14.0)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.62, 2.0559090909090907)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:35.201596,"(3.4, 6.4, 4.53)","(20.0, 170.0, 66.42857142857143)","(10.0, 20.0, 14.0)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.62, 2.0559090909090907)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:36.260089,"(3.4, 6.4, 4.53)","(20.0, 170.0, 66.42857142857143)","(10.0, 20.0, 14.0)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.62, 2.0559090909090907)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:37.313755,"(3.4, 6.4, 4.53)","(20.0, 170.0, 66.42857142857143)","(10.0, 20.0, 14.0)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.62, 2.0559090909090907)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:38.379466,"(3.4, 6.4, 4.53)","(20.0, 170.0, 66.42857142857143)","(10.0, 20.0, 14.0)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.62, 2.0559090909090907)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:39.471698,"(3.4, 6.4, 4.53)","(20.0, 170.0, 66.42857142857143)","(10.0, 20.0, 14.0)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.681818181818182)","(1.9, 2.62, 2.0559090909090907)","(31.0, 110.0, 52.14285714285714)"
10-01-2023 14:36:40.598438,"(3.4, 6.4, 4.53)","(20.0, 170.0, 66.42857142857143)","(10.0, 20.0, 12.523076923076923)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.75)","(1.9, 2.62, 2.0559090909090907)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:36:41.670443,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 12.523076923076923)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 2.037142857142857)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:36:42.660319,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 12.661538461538463)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 2.0164999999999997)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:36:43.734648,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.314285714285713)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 2.0164999999999997)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:36:44.858791,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.314285714285713)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 1.9305555555555554)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:36:46.054491,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.314285714285713)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 1.9305555555555554)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:36:47.220518,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 12.5)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 2.0559090909090907)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:36:48.324067,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 12.5)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 2.0559090909090907)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:36:49.431456,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 2.0559090909090907)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:36:50.496216,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 2.0559090909090907)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:36:51.584858,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 2.0559090909090907)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:36:52.703654,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 2.0559090909090907)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:36:53.827608,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 2.0559090909090907)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:36:54.971763,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 2.0559090909090907)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:36:56.118292,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 2.0559090909090907)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:36:57.193396,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 2.0559090909090907)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:36:58.316446,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 2.0559090909090907)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:36:59.411052,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 2.0559090909090907)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:37:00.562534,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 2.0164999999999997)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:37:01.743431,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 2.0164999999999997)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:37:02.900780,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 1.9305555555555554)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:37:03.928426,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 1.9305555555555554)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:37:04.890744,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 1.9305555555555554)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:37:05.996886,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 2.0559090909090907)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:37:07.211989,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 7.966666666666667)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 2.0559090909090907)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:37:08.441630,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 5.637499999999999)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 2.0164999999999997)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:37:09.574655,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 5.637499999999999)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 2.0164999999999997)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:37:10.767554,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 5.637499999999999)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 1.9305555555555554)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:37:11.888194,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 5.637499999999999)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 1.9305555555555554)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:37:13.111216,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 5.637499999999999)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 1.9305555555555554)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:37:14.308001,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 5.637499999999999)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 1.9305555555555554)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:37:15.528671,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 5.637499999999999)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 1.9305555555555554)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:37:16.662797,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 5.637499999999999)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 1.9305555555555554)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:37:17.831791,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 5.637499999999999)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 1.9305555555555554)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:37:19.029214,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 5.637499999999999)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 1.9305555555555554)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:37:20.266967,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 5.637499999999999)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 1.9305555555555554)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:37:21.408016,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 5.637499999999999)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 1.9305555555555554)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:37:22.454357,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 5.637499999999999)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 1.9305555555555554)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:37:23.445437,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 5.637499999999999)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 1.9305555555555554)","(31.0, 110.0, 73.18181818181819)"
10-01-2023 14:37:24.627404,"(3.4, 6.4, 4.53)","(20.0, 170.0, 104.0909090909091)","(10.0, 20.0, 13.076923076923077)","(5.0, 9.4, 5.637499999999999)","(7.5, 15.0, 14.5625)","(1.9, 2.62, 1.9305555555555554)","(31.0, 110.0, 73.18181818181819)"
