,Fever Lee,Showtime Bobby,Illegal Tender,Isa Belle,Elusive Emma,Pipers Band,Ebby Von,Going To Town
10-01-2023 19:09:16.570427,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:17.609081,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:18.641222,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:19.693178,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 9.85)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:20.827217,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 9.85)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:22.009299,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 9.85)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:23.109044,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 9.85)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:24.176026,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 9.85)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:25.263215,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 9.85)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:26.338166,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 9.85)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:27.395244,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 9.85)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:28.495555,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 9.85)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:29.619446,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.733333333333334)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:30.743306,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:31.834233,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:32.931841,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:33.922664,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:34.951216,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 9.85)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:36.068264,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 9.85)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:37.160543,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 9.85)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:38.245625,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 9.85)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:39.346367,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 9.85)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:40.316366,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 9.85)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:41.344758,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.733333333333334)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:42.523281,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:43.618102,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:44.759977,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:45.933493,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 9.85)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:47.024176,"(6.5, 11.0, 7.16)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:48.045751,"(6.5, 11.0, 8.6)","(7.0, 14.0, 11.72)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:49.052814,"(6.5, 11.0, 8.6)","(7.0, 14.0, 10.3)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:50.126197,"(6.5, 11.0, 8.6)","(7.0, 14.0, 10.3)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:51.172049,"(6.5, 11.0, 8.6)","(7.0, 14.0, 10.3)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:52.378353,"(6.5, 11.0, 8.6)","(7.0, 14.0, 10.3)","(13.0, 32.0, 19.5)","(4.8, 7.4, 6.275)","(7.0, 12.5, 9.85)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:53.466875,"(6.5, 11.0, 8.6)","(7.0, 14.5, 8.969999999999999)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 12.487878787878788)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:54.572425,"(6.5, 11.0, 8.6)","(7.0, 14.5, 8.969999999999999)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 8.60909090909091)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:55.562247,"(6.5, 11.0, 8.6)","(7.0, 14.5, 8.969999999999999)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 8.60909090909091)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:56.570285,"(6.5, 11.0, 8.6)","(7.0, 14.5, 8.969999999999999)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 8.60909090909091)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:57.598348,"(6.5, 11.0, 8.6)","(7.0, 14.5, 8.969999999999999)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 8.60909090909091)","(3.1, 4.0, 3.5588235294117645)","(8.0, 14.0, 9.733333333333333)"
10-01-2023 19:09:58.671177,"(6.5, 11.0, 8.6)","(7.0, 14.5, 8.969999999999999)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 8.60909090909091)","(3.1, 4.0, 3.4615384615384612)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:09:59.689459,"(6.5, 11.0, 8.6)","(7.0, 14.5, 8.969999999999999)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 8.60909090909091)","(3.1, 4.0, 3.4615384615384612)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:00.702926,"(6.5, 11.0, 8.6)","(7.0, 14.5, 8.969999999999999)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 8.60909090909091)","(3.1, 4.0, 3.423076923076923)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:01.777015,"(6.5, 11.0, 8.6)","(7.0, 14.5, 10.45)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 8.60909090909091)","(3.1, 4.0, 3.423076923076923)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:02.879290,"(6.5, 11.0, 8.6)","(7.0, 14.5, 8.969999999999999)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 8.60909090909091)","(3.1, 4.0, 3.423076923076923)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:03.973082,"(6.5, 11.0, 8.6)","(7.0, 14.5, 10.45)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 8.60909090909091)","(3.1, 4.0, 3.423076923076923)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:05.066425,"(6.5, 11.0, 8.6)","(7.0, 14.5, 9.218181818181819)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 8.60909090909091)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:06.161009,"(6.5, 11.0, 8.6)","(7.0, 14.5, 8.969999999999999)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 8.60909090909091)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:07.231906,"(6.5, 11.0, 8.6)","(7.0, 14.5, 10.45)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 8.60909090909091)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:08.219659,"(6.5, 11.0, 8.6)","(7.0, 14.5, 10.45)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 8.60909090909091)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:09.205390,"(6.5, 11.0, 8.6)","(7.0, 14.5, 10.45)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 8.60909090909091)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:10.261783,"(6.5, 11.0, 8.6)","(7.0, 14.5, 10.45)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 8.60909090909091)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:11.312780,"(6.5, 11.0, 8.6)","(7.0, 14.5, 10.45)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 8.60909090909091)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:12.344365,"(6.5, 11.0, 8.6)","(7.0, 14.5, 10.45)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 8.60909090909091)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:13.387827,"(6.5, 11.0, 8.6)","(7.0, 14.5, 8.969999999999999)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 8.60909090909091)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:14.396365,"(6.5, 11.0, 8.6)","(7.0, 14.5, 8.969999999999999)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 8.60909090909091)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:15.405504,"(6.5, 11.0, 8.6)","(7.0, 14.5, 8.969999999999999)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.5, 12.1)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:16.507468,"(6.5, 11.0, 8.6)","(7.0, 14.5, 8.969999999999999)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.0, 12.1)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:17.604421,"(6.5, 11.0, 8.6)","(7.0, 14.5, 8.969999999999999)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.0, 12.1)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:18.699239,"(6.5, 11.0, 8.6)","(7.0, 14.5, 8.969999999999999)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.0, 12.1)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:19.814626,"(6.5, 11.0, 8.6)","(7.0, 14.5, 8.969999999999999)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.0, 12.1)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:20.911685,"(6.5, 11.0, 8.6)","(7.0, 14.5, 8.969999999999999)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.0, 12.1)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:21.975123,"(6.5, 11.0, 8.6)","(7.0, 14.5, 8.969999999999999)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.0, 12.1)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:22.971324,"(6.5, 11.0, 8.6)","(7.0, 14.5, 8.969999999999999)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.0, 12.1)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:24.005391,"(6.5, 11.0, 8.6)","(7.0, 14.5, 9.218181818181819)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.0, 12.1)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:25.038650,"(6.5, 11.0, 8.6)","(7.0, 14.5, 10.45)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.0, 12.1)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:26.107700,"(6.5, 11.0, 8.6)","(7.0, 14.5, 8.969999999999999)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.0, 12.1)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:27.139635,"(6.5, 11.0, 8.6)","(7.0, 14.5, 10.45)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.0, 12.1)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:28.155265,"(6.5, 11.0, 8.6)","(7.0, 14.5, 10.45)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.0, 12.1)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:29.157536,"(6.5, 11.0, 8.6)","(7.0, 14.5, 10.45)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.0, 12.1)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:30.181030,"(6.5, 11.0, 8.6)","(7.0, 14.5, 10.45)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.0, 12.1)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:31.243528,"(6.5, 11.0, 8.6)","(7.0, 14.5, 10.45)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.0, 12.1)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:32.396708,"(6.5, 11.0, 8.6)","(7.0, 14.5, 8.969999999999999)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.0, 12.1)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:33.454176,"(6.5, 11.0, 8.6)","(7.0, 14.5, 10.45)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.0, 12.1)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
10-01-2023 19:10:34.508983,"(6.5, 11.0, 8.6)","(7.0, 14.5, 10.45)","(13.0, 32.0, 23.458333333333332)","(4.8, 7.4, 6.275)","(7.0, 12.5, 10.666666666666668)","(6.0, 14.0, 12.1)","(3.1, 4.0, 3.642857142857143)","(8.0, 14.0, 11.866666666666667)"
