,Big Ram,Piazza Minerva,Tap Out Mickey,Shes Our Cruze,Miss Von Strudel
16-12-2022 11:46:04.054285,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.96, 2.7600000000000002)","(2.35, 2.96, 2.84)","(8.5, 14.0, 13.6)","(4.4, 10.5, 9.275510204081632)"
16-12-2022 11:46:04.864776,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.96, 2.7600000000000002)","(2.35, 2.96, 2.84)","(8.5, 14.0, 13.6)","(4.4, 10.5, 9.275510204081632)"
16-12-2022 11:46:05.711549,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.98, 2.6955555555555555)","(2.35, 2.96, 2.7800000000000002)","(8.5, 14.0, 13.76923076923077)","(4.4, 10.5, 9.275510204081632)"
16-12-2022 11:46:06.663610,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.96, 2.71)","(2.35, 2.96, 2.7800000000000002)","(8.5, 14.0, 13.76923076923077)","(4.4, 10.5, 9.275510204081632)"
16-12-2022 11:46:07.525206,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.66, 2.659148936170213)","(2.35, 2.96, 2.871111111111111)","(8.5, 14.0, 13.482758620689655)","(4.4, 10.5, 9.275510204081632)"
16-12-2022 11:46:08.421403,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.66, 2.659148936170213)","(2.35, 2.96, 2.871111111111111)","(8.5, 14.0, 13.482758620689655)","(4.4, 10.5, 9.275510204081632)"
16-12-2022 11:46:09.258520,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.66, 2.659148936170213)","(2.35, 2.88, 2.8061538461538458)","(8.5, 14.0, 13.482758620689655)","(4.4, 10.5, 9.275510204081632)"
16-12-2022 11:46:10.133994,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.66, 2.659148936170213)","(2.35, 2.88, 2.7927272727272725)","(8.5, 14.0, 13.482758620689655)","(4.4, 10.5, 9.275510204081632)"
16-12-2022 11:46:11.002476,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.94, 2.744)","(2.35, 2.88, 2.8333333333333335)","(8.5, 14.0, 13.482758620689655)","(4.4, 10.5, 9.275510204081632)"
16-12-2022 11:46:11.882615,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.94, 2.73)","(2.35, 2.88, 2.81)","(8.5, 14.0, 13.482758620689655)","(4.4, 10.5, 9.275510204081632)"
16-12-2022 11:46:12.774837,"(9.0, 17.0, 13.85)","(2.7, 2.88, 2.7333333333333334)","(2.35, 2.88, 2.8457142857142856)","(8.5, 14.0, 13.482758620689655)","(4.4, 10.0, 9.6)"
16-12-2022 11:46:13.589420,"(9.0, 17.0, 13.923076923076923)","(2.7, 2.88, 2.7333333333333334)","(2.35, 2.72, 2.6685714285714286)","(8.5, 14.0, 13.482758620689655)","(4.4, 10.0, 9.672727272727274)"
16-12-2022 11:46:14.431926,"(9.0, 17.0, 11.789473684210526)","(2.7, 2.88, 2.7333333333333334)","(2.35, 2.72, 2.6685714285714286)","(8.5, 14.0, 13.482758620689655)","(4.4, 10.0, 9.542857142857143)"
16-12-2022 11:46:15.323126,"(9.0, 17.0, 11.789473684210526)","(2.7, 2.88, 2.7333333333333334)","(2.35, 2.72, 2.6685714285714286)","(8.5, 14.0, 13.482758620689655)","(4.4, 10.0, 9.542857142857143)"
16-12-2022 11:46:16.154149,"(9.0, 17.0, 12.5)","(2.7, 2.84, 2.690566037735849)","(2.35, 2.72, 2.6685714285714286)","(8.5, 14.0, 13.482758620689655)","(4.4, 10.0, 9.542857142857143)"
16-12-2022 11:46:17.023879,"(9.0, 17.0, 12.5)","(2.7, 2.84, 2.690566037735849)","(2.35, 2.72, 2.6685714285714286)","(8.5, 14.0, 13.482758620689655)","(4.4, 10.0, 9.542857142857143)"
16-12-2022 11:46:17.932853,"(9.0, 17.0, 14.0)","(2.7, 2.84, 2.7133333333333334)","(2.35, 2.72, 2.6975000000000002)","(8.5, 14.0, 13.482758620689655)","(4.4, 10.0, 9.866666666666667)"
16-12-2022 11:46:18.929216,"(9.0, 17.0, 13.673913043478262)","(2.7, 2.82, 2.7133333333333334)","(2.35, 2.72, 2.6975000000000002)","(8.5, 14.0, 13.482758620689655)","(4.4, 10.0, 9.866666666666667)"
16-12-2022 11:46:19.871601,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.82, 2.684615384615385)","(2.35, 2.72, 2.6975000000000002)","(8.5, 13.5, 13.4)","(4.4, 10.0, 9.866666666666667)"
16-12-2022 11:46:20.680919,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.78, 2.666666666666667)","(2.35, 2.72, 2.6975000000000002)","(8.5, 13.5, 13.4)","(4.4, 10.0, 9.866666666666667)"
16-12-2022 11:46:21.532399,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.78, 2.666666666666667)","(2.35, 2.72, 2.6685714285714286)","(8.5, 13.5, 13.4)","(4.4, 10.0, 9.866666666666667)"
16-12-2022 11:46:22.406387,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.82, 2.724)","(2.35, 2.72, 2.6685714285714286)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.0, 9.428571428571429)"
16-12-2022 11:46:23.256046,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.66, 2.659148936170213)","(2.35, 2.72, 2.706666666666667)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.661904761904761)"
16-12-2022 11:46:24.160053,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.66, 2.659148936170213)","(2.35, 2.72, 2.6825)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.661904761904761)"
16-12-2022 11:46:25.105999,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.66, 2.659148936170213)","(2.35, 2.88, 2.8057142857142856)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.661904761904761)"
16-12-2022 11:46:25.948474,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.66, 2.659148936170213)","(2.35, 2.88, 2.8057142857142856)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.552777777777779)"
16-12-2022 11:46:26.825789,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.8, 2.699504132231405)","(2.35, 2.88, 2.7866666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.552777777777779)"
16-12-2022 11:46:27.680661,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.78, 2.721395348837209)","(2.35, 2.88, 2.7866666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.552777777777779)"
16-12-2022 11:46:28.580427,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.78, 2.71)","(2.35, 2.88, 2.8057142857142856)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:29.433525,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.76, 2.665714285714286)","(2.35, 2.88, 2.8057142857142856)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:30.247236,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.76, 2.665714285714286)","(2.35, 2.88, 2.8057142857142856)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:31.074499,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.76, 2.665714285714286)","(2.35, 2.88, 2.8057142857142856)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:31.901459,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.76, 2.665714285714286)","(2.35, 2.88, 2.7866666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:32.720805,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.76, 2.665714285714286)","(2.35, 2.72, 2.6436363636363636)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:33.600639,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.76, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:34.459351,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:35.279512,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:36.091425,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:36.906404,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:37.756790,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:38.547109,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:39.332812,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:40.220951,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:41.108885,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:41.931646,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:42.712977,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:43.561286,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:44.448210,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:45.253938,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:46.049096,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:46.884329,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:47.726843,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:48.544251,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:49.327495,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:50.150568,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:51.047447,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:51.844423,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:52.641525,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:53.504141,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:54.399421,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:55.200820,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:55.981126,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:56.824223,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:57.723850,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:58.557771,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:46:59.359971,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:47:00.174824,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:47:01.056257,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:47:01.932785,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:47:02.728728,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:47:03.557655,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:47:04.497142,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:47:05.359953,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:47:06.160119,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:47:07.017350,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:47:07.939518,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:47:08.736591,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:47:09.582309,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:47:10.478239,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:47:11.335319,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:47:12.111046,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:47:12.936748,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:47:13.803009,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:47:14.698500,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:47:15.604265,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:47:16.721531,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:47:17.569847,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:47:18.384680,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:47:19.212912,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:47:20.159111,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
16-12-2022 11:47:21.096970,"(9.0, 17.0, 14.043478260869565)","(2.7, 2.74, 2.681935483870968)","(2.35, 2.72, 2.6616666666666666)","(8.5, 13.5, 13.395833333333334)","(4.4, 10.5, 9.41081081081081)"
