,Context,Play Fling,Wreck It Rio,Canya Bellatrix,Been Framed,Couch King,Esmay Nelly,Magic Spry
08-01-2023 17:56:28.200236,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:29.335876,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:30.373130,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:31.453485,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:32.483594,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:33.631331,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:34.929636,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:36.112189,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:37.467727,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:38.926883,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
