,Urban Girl,Smokey Chet,Ivy Pearl,Boom Boom Harley,Spring Release,Petite Swagger,Energetic Cloud,Absolute Desire
07-01-2023 18:40:44.927407,"(13.0, 32.0, 30.714285714285715)","(7.0, 12.0, 10.226666666666667)","(1.75, 1.83, 1.77)","(15.0, 29.0, 25.5)","(3.9, 9.6, 8.982857142857142)","(21.0, 75.0, 65.6)","(15.0, 38.0, 23.666666666666668)","(11.0, 25.0, 22.7)"
07-01-2023 18:40:46.050315,"(13.0, 32.0, 30.714285714285715)","(7.0, 12.0, 10.226666666666667)","(1.75, 1.83, 1.77)","(15.0, 29.0, 25.5)","(3.9, 9.6, 8.982857142857142)","(21.0, 75.0, 65.6)","(15.0, 38.0, 31.857142857142858)","(11.0, 25.0, 22.7)"
07-01-2023 18:40:47.204852,"(13.0, 32.0, 30.0)","(7.0, 12.0, 10.457142857142857)","(1.75, 1.83, 1.77)","(15.0, 29.0, 25.5)","(3.9, 9.6, 8.982857142857142)","(21.0, 75.0, 65.6)","(15.0, 38.0, 31.857142857142858)","(11.0, 25.0, 22.7)"
07-01-2023 18:40:48.261347,"(13.0, 32.0, 28.266666666666666)","(7.0, 12.0, 10.457142857142857)","(1.75, 1.83, 1.77)","(15.0, 29.0, 25.5)","(3.9, 9.6, 8.982857142857142)","(21.0, 75.0, 65.6)","(15.0, 38.0, 29.6)","(11.0, 25.0, 22.7)"
07-01-2023 18:40:49.373060,"(13.0, 32.0, 28.266666666666666)","(7.0, 12.0, 10.457142857142857)","(1.75, 1.83, 1.77)","(15.0, 29.0, 26.2)","(3.9, 9.6, 8.982857142857142)","(21.0, 75.0, 65.6)","(15.0, 38.0, 34.18181818181819)","(11.0, 25.0, 22.7)"
07-01-2023 18:40:50.467288,"(13.0, 32.0, 28.266666666666666)","(7.0, 12.0, 10.457142857142857)","(1.75, 1.83, 1.77)","(15.0, 29.0, 26.2)","(3.9, 9.6, 8.982857142857142)","(21.0, 75.0, 65.6)","(15.0, 38.0, 34.769230769230774)","(11.0, 25.0, 22.7)"
07-01-2023 18:40:51.462142,"(13.0, 32.0, 28.266666666666666)","(7.0, 12.0, 10.457142857142857)","(1.75, 1.83, 1.77)","(15.0, 29.0, 26.2)","(3.9, 9.6, 8.982857142857142)","(21.0, 75.0, 65.6)","(15.0, 38.0, 34.769230769230774)","(11.0, 25.0, 22.7)"
07-01-2023 18:40:52.488022,"(13.0, 32.0, 28.88888888888889)","(7.0, 12.0, 10.457142857142857)","(1.75, 1.83, 1.77)","(15.0, 29.0, 26.2)","(3.9, 9.6, 8.982857142857142)","(21.0, 75.0, 65.6)","(15.0, 38.0, 34.769230769230774)","(11.0, 25.0, 22.7)"
07-01-2023 18:40:53.457980,"(13.0, 32.0, 28.88888888888889)","(7.0, 12.0, 10.457142857142857)","(1.75, 1.83, 1.77)","(15.0, 29.0, 26.75)","(3.9, 9.6, 8.982857142857142)","(21.0, 75.0, 65.6)","(15.0, 38.0, 34.769230769230774)","(11.0, 25.0, 22.7)"
07-01-2023 18:40:54.484965,"(13.0, 32.0, 28.88888888888889)","(7.0, 12.0, 10.457142857142857)","(1.75, 1.83, 1.77)","(15.0, 29.0, 27.65)","(3.9, 9.6, 8.982857142857142)","(21.0, 75.0, 65.6)","(15.0, 38.0, 34.769230769230774)","(11.0, 25.0, 22.7)"
07-01-2023 18:40:55.439842,"(13.0, 32.0, 28.88888888888889)","(7.0, 12.0, 10.457142857142857)","(1.75, 1.83, 1.77)","(15.0, 29.0, 27.65)","(3.9, 9.6, 8.982857142857142)","(21.0, 75.0, 65.6)","(15.0, 38.0, 34.769230769230774)","(11.0, 25.0, 22.7)"
07-01-2023 18:40:56.393090,"(13.0, 32.0, 28.88888888888889)","(7.0, 12.0, 10.457142857142857)","(1.75, 1.83, 1.77)","(15.0, 29.0, 27.65)","(3.9, 9.6, 8.982857142857142)","(21.0, 75.0, 65.6)","(15.0, 38.0, 34.769230769230774)","(11.0, 25.0, 22.7)"
07-01-2023 18:40:57.366061,"(13.0, 32.0, 28.88888888888889)","(7.0, 12.0, 10.457142857142857)","(1.75, 1.81, 1.7686206896551724)","(15.0, 29.0, 27.65)","(3.9, 9.4, 9.31851851851852)","(21.0, 75.0, 65.6)","(15.0, 38.0, 34.769230769230774)","(11.0, 25.0, 17.666666666666668)"
07-01-2023 18:40:58.323628,"(13.0, 32.0, 28.88888888888889)","(7.0, 12.0, 10.457142857142857)","(1.75, 1.81, 1.7686206896551724)","(15.0, 29.0, 27.65)","(3.9, 9.4, 9.31851851851852)","(21.0, 75.0, 65.6)","(15.0, 38.0, 34.769230769230774)","(11.0, 25.0, 17.666666666666668)"
07-01-2023 18:40:59.552308,"(13.0, 32.0, 28.88888888888889)","(7.0, 12.0, 10.457142857142857)","(1.75, 1.81, 1.763125)","(15.0, 29.0, 27.65)","(3.9, 9.4, 9.321428571428573)","(21.0, 75.0, 65.6)","(15.0, 38.0, 34.769230769230774)","(11.0, 25.0, 17.666666666666668)"
07-01-2023 18:41:00.558930,"(13.0, 32.0, 28.88888888888889)","(7.0, 12.0, 10.457142857142857)","(1.75, 1.81, 1.7385714285714287)","(15.0, 29.0, 27.65)","(3.9, 9.4, 9.321428571428573)","(21.0, 75.0, 65.6)","(15.0, 38.0, 34.769230769230774)","(11.0, 25.0, 17.666666666666668)"
07-01-2023 18:41:01.645836,"(13.0, 32.0, 28.88888888888889)","(7.0, 12.0, 10.457142857142857)","(1.75, 1.81, 1.7385714285714287)","(15.0, 29.0, 27.65)","(3.9, 9.4, 9.321428571428573)","(21.0, 75.0, 65.6)","(15.0, 38.0, 34.769230769230774)","(11.0, 25.0, 17.666666666666668)"
07-01-2023 18:41:02.797184,"(13.0, 32.0, 28.88888888888889)","(7.0, 12.0, 10.457142857142857)","(1.75, 1.81, 1.7385714285714287)","(15.0, 29.0, 27.65)","(3.9, 9.4, 9.321428571428573)","(21.0, 75.0, 65.6)","(15.0, 38.0, 34.769230769230774)","(11.0, 25.0, 17.666666666666668)"
07-01-2023 18:41:03.890783,"(13.0, 32.0, 28.88888888888889)","(7.0, 12.0, 10.56)","(1.75, 1.81, 1.7385714285714287)","(15.0, 29.0, 27.65)","(3.9, 9.4, 9.321428571428573)","(21.0, 75.0, 65.6)","(15.0, 38.0, 34.769230769230774)","(11.0, 25.0, 17.666666666666668)"
07-01-2023 18:41:05.194046,"(13.0, 32.0, 28.88888888888889)","(7.0, 12.0, 10.56)","(1.75, 1.81, 1.7385714285714287)","(15.0, 29.0, 27.65)","(3.9, 9.6, 8.657142857142857)","(21.0, 75.0, 57.6)","(15.0, 38.0, 31.25)","(11.0, 25.0, 17.82608695652174)"
07-01-2023 18:41:06.271090,"(13.0, 32.0, 28.88888888888889)","(7.0, 11.5, 10.445454545454545)","(1.75, 1.81, 1.7385714285714287)","(15.0, 29.0, 28.4375)","(3.9, 9.6, 8.657142857142857)","(21.0, 65.0, 57.6)","(15.0, 34.0, 31.25)","(11.0, 25.0, 16.25)"
07-01-2023 18:41:07.272755,"(13.0, 32.0, 28.88888888888889)","(7.0, 11.5, 10.855555555555554)","(1.75, 1.81, 1.7385714285714287)","(15.0, 29.0, 28.4375)","(3.9, 9.6, 8.657142857142857)","(21.0, 65.0, 49.14285714285714)","(15.0, 34.0, 25.75)","(11.0, 25.0, 16.25)"
07-01-2023 18:41:08.290539,"(13.0, 32.0, 28.88888888888889)","(7.0, 11.5, 9.469999999999999)","(1.75, 1.81, 1.7385714285714287)","(15.0, 29.0, 22.5)","(3.9, 9.6, 8.907692307692308)","(21.0, 65.0, 49.14285714285714)","(15.0, 34.0, 26.727272727272727)","(11.0, 25.0, 16.157894736842106)"
07-01-2023 18:41:09.350795,"(13.0, 32.0, 28.88888888888889)","(7.0, 11.5, 8.934615384615384)","(1.75, 1.81, 1.7385714285714287)","(15.0, 29.0, 22.5)","(3.9, 9.6, 8.907692307692308)","(21.0, 65.0, 40.333333333333336)","(15.0, 34.0, 24.857142857142858)","(11.0, 25.0, 16.57894736842105)"
07-01-2023 18:41:10.390631,"(13.0, 32.0, 28.88888888888889)","(7.0, 11.0, 10.4)","(1.75, 1.81, 1.7385714285714287)","(15.0, 29.0, 22.5)","(3.9, 9.6, 8.933333333333334)","(21.0, 60.0, 53.6)","(15.0, 34.0, 24.857142857142858)","(11.0, 25.0, 16.57894736842105)"
07-01-2023 18:41:11.443545,"(13.0, 32.0, 28.88888888888889)","(7.0, 11.0, 10.4)","(1.75, 1.81, 1.7149999999999999)","(15.0, 29.0, 22.5)","(3.9, 9.6, 8.933333333333334)","(21.0, 55.0, 49.6)","(15.0, 30.0, 27.6)","(11.0, 25.0, 16.57894736842105)"
07-01-2023 18:41:12.454536,"(13.0, 32.0, 28.88888888888889)","(7.0, 11.0, 10.4)","(1.75, 1.81, 1.7149999999999999)","(15.0, 29.0, 22.5)","(3.9, 9.6, 9.1)","(21.0, 55.0, 49.6)","(15.0, 30.0, 27.6)","(11.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:13.601596,"(13.0, 32.0, 28.88888888888889)","(7.0, 11.0, 10.52)","(1.75, 1.8, 1.725)","(15.0, 29.0, 22.5)","(3.9, 9.6, 8.057142857142857)","(21.0, 50.0, 45.6)","(15.0, 30.0, 29.454545454545453)","(11.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:14.780665,"(13.0, 32.0, 28.88888888888889)","(7.0, 11.0, 10.52)","(1.75, 1.8, 1.725)","(15.0, 29.0, 22.5)","(3.9, 9.6, 8.057142857142857)","(21.0, 50.0, 45.6)","(15.0, 30.0, 29.454545454545453)","(11.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:15.915009,"(13.0, 32.0, 28.88888888888889)","(7.0, 11.0, 10.52)","(1.75, 1.8, 1.725)","(15.0, 29.0, 22.5)","(3.9, 9.6, 7.9799999999999995)","(21.0, 50.0, 44.0)","(15.0, 30.0, 30.782608695652176)","(11.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:16.976766,"(13.0, 32.0, 28.88888888888889)","(7.0, 11.0, 10.52)","(1.75, 1.8, 1.725)","(15.0, 29.0, 22.5)","(3.9, 9.6, 7.9799999999999995)","(21.0, 48.0, 44.0)","(15.0, 32.0, 30.782608695652176)","(11.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:18.087337,"(13.0, 32.0, 28.88888888888889)","(7.0, 11.0, 10.52)","(1.75, 1.8, 1.725)","(15.0, 29.0, 22.5)","(3.9, 9.6, 8.057142857142857)","(21.0, 48.0, 44.0)","(15.0, 32.0, 30.782608695652176)","(11.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:19.157267,"(13.0, 32.0, 28.88888888888889)","(7.0, 11.0, 10.52)","(1.75, 1.8, 1.725)","(15.0, 29.0, 22.5)","(3.9, 9.6, 8.057142857142857)","(21.0, 48.0, 35.333333333333336)","(15.0, 32.0, 30.782608695652176)","(11.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:20.236399,"(13.0, 32.0, 28.88888888888889)","(7.0, 11.0, 10.52)","(1.75, 1.8, 1.76875)","(15.0, 29.0, 22.5)","(3.9, 9.6, 8.057142857142857)","(21.0, 48.0, 44.111111111111114)","(15.0, 32.0, 30.782608695652176)","(11.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:21.315643,"(13.0, 32.0, 28.88888888888889)","(7.0, 11.0, 10.52)","(1.75, 1.8, 1.76875)","(15.0, 29.0, 22.5)","(3.9, 9.6, 8.057142857142857)","(21.0, 46.0, 44.111111111111114)","(15.0, 32.0, 27.8)","(11.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:22.354504,"(13.0, 32.0, 28.88888888888889)","(7.0, 11.0, 10.52)","(1.75, 1.8, 1.76875)","(15.0, 29.0, 22.5)","(3.9, 9.6, 8.057142857142857)","(21.0, 46.0, 37.5)","(15.0, 32.0, 27.8)","(11.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:23.407609,"(13.0, 32.0, 28.88888888888889)","(7.0, 11.0, 10.52)","(1.75, 1.8, 1.76875)","(15.0, 29.0, 22.5)","(3.9, 9.6, 8.057142857142857)","(21.0, 46.0, 37.5)","(15.0, 32.0, 27.8)","(11.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:24.434571,"(13.0, 32.0, 31.363636363636363)","(7.0, 11.0, 10.52)","(1.75, 1.8, 1.76875)","(15.0, 29.0, 22.5)","(3.9, 9.6, 8.057142857142857)","(21.0, 46.0, 37.5)","(15.0, 32.0, 27.8)","(11.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:25.466005,"(13.0, 32.0, 29.666666666666668)","(7.0, 11.0, 10.52)","(1.75, 1.8, 1.76875)","(15.0, 29.0, 22.5)","(3.9, 9.6, 8.057142857142857)","(21.0, 46.0, 37.5)","(15.0, 32.0, 27.8)","(11.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:26.505334,"(13.0, 32.0, 29.666666666666668)","(7.0, 11.0, 10.52)","(1.75, 1.8, 1.76875)","(15.0, 29.0, 22.5)","(3.9, 9.6, 8.057142857142857)","(21.0, 46.0, 37.5)","(15.0, 32.0, 27.8)","(11.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:27.522475,"(13.0, 32.0, 31.363636363636363)","(7.0, 11.0, 10.52)","(1.75, 1.8, 1.76875)","(15.0, 29.0, 22.5)","(3.9, 9.6, 8.952)","(21.0, 46.0, 37.5)","(15.0, 32.0, 27.8)","(11.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:28.550608,"(13.0, 32.0, 31.363636363636363)","(7.0, 11.0, 10.52)","(1.75, 1.8, 1.76875)","(15.0, 29.0, 22.5)","(3.9, 9.6, 8.228571428571428)","(21.0, 46.0, 37.5)","(15.0, 32.0, 27.8)","(11.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:29.525711,"(13.0, 32.0, 31.363636363636363)","(7.0, 11.0, 10.52)","(1.75, 1.8, 1.76875)","(15.0, 29.0, 22.5)","(3.9, 9.6, 8.228571428571428)","(21.0, 46.0, 37.5)","(15.0, 32.0, 27.8)","(11.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:30.598531,"(13.0, 32.0, 31.363636363636363)","(7.0, 11.0, 10.52)","(1.75, 1.8, 1.76875)","(15.0, 29.0, 22.5)","(3.9, 9.6, 8.959999999999999)","(21.0, 46.0, 37.5)","(15.0, 32.0, 27.8)","(11.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:31.630231,"(13.0, 32.0, 31.363636363636363)","(7.0, 11.0, 10.52)","(1.75, 1.8, 1.76875)","(15.0, 29.0, 22.5)","(3.9, 9.6, 9.182608695652174)","(21.0, 46.0, 37.5)","(15.0, 32.0, 27.8)","(11.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:32.679640,"(13.0, 32.0, 31.363636363636363)","(7.0, 11.0, 10.52)","(1.75, 1.8, 1.76875)","(15.0, 29.0, 22.5)","(3.9, 9.6, 9.182608695652174)","(21.0, 46.0, 37.5)","(15.0, 32.0, 27.8)","(11.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:33.706715,"(13.0, 32.0, 31.363636363636363)","(7.0, 11.0, 10.52)","(1.75, 1.8, 1.76875)","(15.0, 29.0, 22.5)","(3.9, 9.6, 9.182608695652174)","(21.0, 46.0, 37.5)","(15.0, 32.0, 27.8)","(11.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:34.717922,"(13.0, 32.0, 31.363636363636363)","(7.0, 11.0, 10.52)","(1.75, 1.8, 1.7578947368421052)","(15.0, 29.0, 22.5)","(3.9, 9.6, 9.157894736842104)","(21.0, 46.0, 37.5)","(15.0, 32.0, 27.8)","(11.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:35.733839,"(13.0, 32.0, 31.363636363636363)","(7.0, 11.0, 10.52)","(1.75, 1.8, 1.7578947368421052)","(15.0, 29.0, 22.5)","(3.9, 9.6, 9.18)","(21.0, 46.0, 37.5)","(15.0, 32.0, 27.8)","(11.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:37.101930,"(13.0, 32.0, 31.363636363636363)","(7.0, 11.0, 10.52)","(1.75, 1.8, 1.7578947368421052)","(15.0, 29.0, 22.5)","(3.9, 9.6, 10.346666666666668)","(21.0, 46.0, 37.5)","(15.0, 32.0, 27.8)","(11.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:38.122246,"(13.0, 32.0, 31.363636363636363)","(7.0, 11.0, 10.52)","(1.75, 1.8, 1.7578947368421052)","(15.0, 29.0, 22.5)","(3.9, 10.5, 10.346666666666668)","(21.0, 46.0, 37.5)","(15.0, 32.0, 24.2)","(11.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:39.156911,"(13.0, 32.0, 31.363636363636363)","(7.0, 11.0, 10.52)","(1.7, 1.8, 1.7578947368421052)","(15.0, 29.0, 22.5)","(3.9, 10.5, 10.395)","(21.0, 46.0, 37.5)","(15.0, 32.0, 24.2)","(12.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:40.201857,"(13.0, 32.0, 31.363636363636363)","(7.0, 11.0, 10.52)","(1.7, 1.8, 1.7578947368421052)","(15.0, 29.0, 22.5)","(3.9, 10.5, 10.12)","(21.0, 46.0, 37.5)","(15.0, 32.0, 22.625)","(12.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:41.283023,"(13.0, 32.0, 31.363636363636363)","(7.0, 11.0, 10.52)","(1.7, 1.8, 1.7578947368421052)","(15.0, 29.0, 22.5)","(3.9, 10.5, 10.345454545454546)","(21.0, 46.0, 37.5)","(15.0, 32.0, 28.120689655172413)","(12.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:42.513725,"(13.0, 32.0, 31.363636363636363)","(7.0, 11.0, 10.52)","(1.7, 1.8, 1.7578947368421052)","(15.0, 29.0, 22.5)","(3.9, 10.5, 10.37)","(21.0, 46.0, 37.5)","(15.0, 32.0, 24.5)","(12.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:43.537182,"(13.0, 32.0, 31.363636363636363)","(7.0, 11.0, 10.52)","(1.7, 1.8, 1.72)","(15.0, 29.0, 22.5)","(3.9, 10.5, 10.37)","(21.0, 46.0, 37.5)","(15.0, 32.0, 24.5)","(12.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:44.614774,"(13.0, 32.0, 31.363636363636363)","(7.0, 11.0, 10.52)","(1.7, 1.8, 1.7578947368421052)","(15.0, 29.0, 22.5)","(3.9, 10.5, 10.381818181818183)","(21.0, 46.0, 37.5)","(15.0, 32.0, 29.714285714285715)","(12.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:45.768483,"(13.0, 32.0, 31.363636363636363)","(7.0, 11.0, 10.52)","(1.7, 1.8, 1.7578947368421052)","(15.0, 29.0, 22.5)","(3.9, 10.5, 10.2)","(21.0, 46.0, 37.5)","(15.0, 32.0, 29.714285714285715)","(12.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:46.999842,"(13.0, 32.0, 31.363636363636363)","(7.0, 11.0, 10.52)","(1.7, 1.8, 1.7578947368421052)","(15.0, 29.0, 22.5)","(3.9, 11.0, 10.100000000000001)","(21.0, 46.0, 37.5)","(15.0, 32.0, 29.714285714285715)","(12.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:47.997752,"(13.0, 32.0, 31.363636363636363)","(7.0, 11.0, 10.52)","(1.7, 1.8, 1.7578947368421052)","(15.0, 29.0, 22.5)","(3.9, 11.0, 10.100000000000001)","(21.0, 46.0, 37.5)","(15.0, 32.0, 29.714285714285715)","(12.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:49.003713,"(13.0, 32.0, 31.363636363636363)","(7.0, 11.0, 10.52)","(1.7, 1.8, 1.7578947368421052)","(15.0, 29.0, 22.5)","(3.9, 11.0, 10.100000000000001)","(21.0, 46.0, 37.5)","(15.0, 32.0, 29.714285714285715)","(12.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:50.005687,"(13.0, 32.0, 31.363636363636363)","(7.0, 11.0, 10.52)","(1.7, 1.8, 1.7578947368421052)","(15.0, 29.0, 22.5)","(3.9, 11.0, 10.100000000000001)","(21.0, 46.0, 37.5)","(15.0, 32.0, 29.714285714285715)","(12.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:50.980631,"(13.0, 32.0, 31.363636363636363)","(7.0, 11.0, 10.52)","(1.7, 1.8, 1.7578947368421052)","(15.0, 29.0, 22.5)","(3.9, 11.0, 10.100000000000001)","(21.0, 46.0, 37.5)","(15.0, 32.0, 29.714285714285715)","(12.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:51.930958,"(13.0, 32.0, 31.363636363636363)","(7.0, 11.0, 10.4)","(1.7, 1.8, 1.7578947368421052)","(15.0, 29.0, 22.5)","(3.9, 11.0, 10.625)","(21.0, 46.0, 37.5)","(15.0, 32.0, 29.714285714285715)","(12.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:52.939651,"(13.0, 32.0, 31.125)","(7.0, 11.0, 10.52)","(1.7, 1.8, 1.7578947368421052)","(15.0, 29.0, 22.5)","(3.9, 11.0, 10.625)","(21.0, 46.0, 37.5)","(15.0, 32.0, 26.5)","(12.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:53.958878,"(13.0, 32.0, 31.125)","(7.0, 11.0, 10.52)","(1.7, 1.8, 1.7578947368421052)","(15.0, 29.0, 22.5)","(3.9, 11.0, 10.625)","(21.0, 46.0, 37.5)","(15.0, 32.0, 26.5)","(12.0, 25.0, 19.285714285714285)"
07-01-2023 18:41:54.974490,"(13.0, 32.0, 31.125)","(7.0, 11.0, 10.52)","(1.7, 1.8, 1.7578947368421052)","(15.0, 29.0, 22.5)","(3.9, 11.0, 10.625)","(21.0, 46.0, 37.5)","(15.0, 32.0, 26.5)","(12.0, 25.0, 18.333333333333332)"
07-01-2023 18:41:55.952400,"(13.0, 32.0, 31.125)","(7.0, 11.0, 10.52)","(1.7, 1.8, 1.7578947368421052)","(15.0, 29.0, 22.5)","(3.9, 11.0, 10.625)","(21.0, 46.0, 37.5)","(15.0, 32.0, 26.5)","(12.0, 25.0, 18.333333333333332)"
07-01-2023 18:41:56.972760,"(13.0, 32.0, 31.125)","(7.0, 11.0, 10.52)","(1.7, 1.8, 1.7578947368421052)","(15.0, 29.0, 22.5)","(3.9, 11.0, 10.625)","(21.0, 46.0, 37.5)","(15.0, 32.0, 26.5)","(12.0, 25.0, 18.333333333333332)"
07-01-2023 18:41:57.972290,"(13.0, 32.0, 31.125)","(7.0, 11.0, 10.52)","(1.7, 1.79, 1.738076923076923)","(15.0, 29.0, 22.5)","(3.9, 10.5, 10.11111111111111)","(21.0, 46.0, 37.5)","(15.0, 32.0, 26.5)","(12.0, 25.0, 18.333333333333332)"
07-01-2023 18:41:59.131571,"(13.0, 32.0, 31.125)","(7.0, 11.0, 10.52)","(1.7, 1.78, 1.744)","(15.0, 29.0, 22.5)","(3.9, 10.5, 9.887500000000001)","(21.0, 46.0, 37.5)","(15.0, 32.0, 26.5)","(12.0, 25.0, 17.758620689655174)"
07-01-2023 18:42:00.149688,"(13.0, 32.0, 31.125)","(7.0, 11.0, 10.52)","(1.7, 1.78, 1.744)","(15.0, 29.0, 22.5)","(3.9, 10.5, 9.887500000000001)","(21.0, 46.0, 37.5)","(15.0, 32.0, 26.5)","(12.0, 25.0, 17.02)"
07-01-2023 18:42:01.185377,"(13.0, 32.0, 31.3)","(7.0, 11.0, 10.52)","(1.7, 1.78, 1.708)","(15.0, 29.0, 26.833333333333332)","(3.9, 10.5, 9.955555555555556)","(21.0, 46.0, 37.5)","(15.0, 32.0, 26.5)","(12.0, 25.0, 17.875)"
