,Zounile,Thunder Fox,Gotcha Boy,Nicator,Lady Lucilla,Koobah Squeakett,Order Of Merit,Spirit Of Pluto,Circus Bound,Jade,Sausage Sizzle,Distinctive Glory,Auctioneersbid
12-01-2023 16:09:18.550069,"(8.5, 11.0, 9.2)","(19.0, 100.0, 37.14285714285714)","(17.0, 36.0, 28.5)","(2.6, 3.0, 2.76289156626506)","(7.0, 9.2, 8.399999999999999)","(26.0, 130.0, 77.5)","(7.5, 9.8, 8.48)","(7.0, 10.0, 9.333333333333332)","(101.0, 230.0, 206.66666666666666)","(17.0, 36.0, 29.666666666666664)","(14.0, 28.0, 26.666666666666664)","(12.0, 24.0, 21.0)","(101.0, 230.0, 208.33333333333334)"
12-01-2023 16:09:20.108367,"(8.5, 11.0, 9.2)","(19.0, 100.0, 37.14285714285714)","(17.0, 36.0, 28.5)","(2.6, 3.0, 2.76289156626506)","(7.0, 9.2, 8.399999999999999)","(26.0, 130.0, 77.5)","(7.5, 9.8, 8.48)","(7.0, 10.0, 9.333333333333332)","(101.0, 230.0, 206.66666666666666)","(17.0, 36.0, 29.666666666666664)","(14.0, 28.0, 26.666666666666664)","(12.0, 24.0, 21.0)","(101.0, 230.0, 208.33333333333334)"
12-01-2023 16:09:21.702018,"(8.5, 11.0, 10.28)","(19.0, 100.0, 37.14285714285714)","(17.0, 36.0, 28.5)","(2.6, 3.0, 2.7431325301204823)","(7.0, 9.2, 8.399999999999999)","(26.0, 130.0, 77.5)","(7.5, 9.8, 8.48)","(7.0, 10.0, 9.333333333333332)","(101.0, 230.0, 206.66666666666666)","(17.0, 36.0, 29.666666666666664)","(14.0, 28.0, 26.666666666666664)","(12.0, 24.0, 21.0)","(101.0, 230.0, 208.33333333333334)"
12-01-2023 16:09:23.267854,"(8.5, 11.0, 10.28)","(19.0, 100.0, 37.14285714285714)","(17.0, 36.0, 28.5)","(2.6, 3.0, 2.7647808764940236)","(7.0, 9.2, 8.399999999999999)","(26.0, 130.0, 77.5)","(7.5, 9.8, 8.48)","(7.0, 10.0, 9.333333333333332)","(101.0, 230.0, 206.66666666666666)","(17.0, 36.0, 29.666666666666664)","(14.0, 28.0, 26.666666666666664)","(12.0, 24.0, 21.0)","(101.0, 230.0, 208.33333333333334)"
12-01-2023 16:09:24.827737,"(8.5, 11.0, 10.28)","(19.0, 100.0, 32.631578947368425)","(17.0, 36.0, 28.5)","(2.6, 3.0, 2.7647808764940236)","(7.0, 9.2, 8.399999999999999)","(26.0, 130.0, 77.5)","(7.5, 9.8, 8.48)","(7.0, 10.0, 9.333333333333332)","(101.0, 230.0, 206.66666666666666)","(17.0, 36.0, 29.666666666666664)","(14.0, 28.0, 26.666666666666664)","(12.0, 24.0, 21.0)","(101.0, 230.0, 208.33333333333334)"
12-01-2023 16:09:26.854071,"(8.5, 11.0, 10.28)","(19.0, 100.0, 32.631578947368425)","(17.0, 36.0, 28.5)","(2.6, 3.0, 2.7647808764940236)","(7.0, 9.2, 8.399999999999999)","(26.0, 130.0, 77.5)","(7.5, 9.8, 8.48)","(7.0, 10.0, 9.333333333333332)","(101.0, 230.0, 206.66666666666666)","(17.0, 36.0, 29.666666666666664)","(14.0, 28.0, 26.666666666666664)","(12.0, 24.0, 21.0)","(101.0, 230.0, 208.33333333333334)"
12-01-2023 16:09:28.737196,"(8.5, 11.0, 10.28)","(19.0, 100.0, 32.631578947368425)","(17.0, 36.0, 28.5)","(2.6, 3.0, 2.7647808764940236)","(7.0, 9.2, 8.399999999999999)","(26.0, 130.0, 77.5)","(7.5, 9.8, 8.48)","(7.0, 10.0, 9.333333333333332)","(101.0, 230.0, 206.66666666666666)","(17.0, 36.0, 29.666666666666664)","(14.0, 28.0, 26.666666666666664)","(12.0, 24.0, 21.0)","(101.0, 230.0, 208.33333333333334)"
12-01-2023 16:09:30.294503,"(8.5, 11.0, 10.28)","(19.0, 100.0, 32.631578947368425)","(17.0, 36.0, 28.5)","(2.6, 3.0, 2.76755905511811)","(7.0, 9.2, 8.399999999999999)","(26.0, 130.0, 77.5)","(7.5, 9.8, 8.48)","(7.0, 10.0, 9.333333333333332)","(101.0, 230.0, 206.66666666666666)","(17.0, 36.0, 29.666666666666664)","(14.0, 28.0, 26.666666666666664)","(12.0, 24.0, 21.0)","(101.0, 230.0, 208.33333333333334)"
12-01-2023 16:09:31.835164,"(8.5, 11.0, 10.28)","(19.0, 100.0, 32.631578947368425)","(17.0, 36.0, 28.5)","(2.6, 3.0, 2.76755905511811)","(7.0, 9.2, 8.399999999999999)","(26.0, 130.0, 77.5)","(7.5, 9.8, 8.48)","(7.0, 10.0, 9.333333333333332)","(101.0, 230.0, 206.66666666666666)","(17.0, 36.0, 29.666666666666664)","(14.0, 28.0, 26.666666666666664)","(12.0, 24.0, 21.0)","(101.0, 230.0, 208.33333333333334)"
12-01-2023 16:09:33.367291,"(8.5, 11.0, 10.28)","(19.0, 100.0, 32.631578947368425)","(17.0, 36.0, 28.5)","(2.6, 3.0, 2.76755905511811)","(7.0, 9.2, 8.399999999999999)","(26.0, 130.0, 77.5)","(7.5, 9.8, 8.48)","(7.0, 10.0, 9.333333333333332)","(101.0, 230.0, 206.66666666666666)","(17.0, 36.0, 29.666666666666664)","(14.0, 28.0, 26.666666666666664)","(12.0, 24.0, 21.0)","(101.0, 230.0, 208.33333333333334)"
12-01-2023 16:09:34.958350,"(8.5, 11.0, 10.28)","(19.0, 100.0, 42.5)","(17.0, 36.0, 28.03846153846154)","(2.6, 3.0, 2.76755905511811)","(7.0, 9.2, 8.399999999999999)","(26.0, 130.0, 92.85714285714286)","(7.5, 9.8, 8.48)","(7.0, 10.0, 9.177777777777777)","(101.0, 230.0, 182.85714285714286)","(17.0, 36.0, 28.333333333333336)","(14.0, 28.0, 24.8)","(12.0, 24.0, 21.42857142857143)","(101.0, 230.0, 185.71428571428572)"
12-01-2023 16:09:36.666668,"(8.5, 11.0, 10.28)","(19.0, 95.0, 42.5)","(17.0, 34.0, 26.25)","(2.6, 3.0, 2.76755905511811)","(7.0, 9.2, 8.399999999999999)","(26.0, 120.0, 92.85714285714286)","(7.5, 9.8, 8.15)","(7.0, 9.8, 9.177777777777777)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 28.333333333333336)","(14.0, 27.0, 24.8)","(12.0, 23.0, 19.764705882352942)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:09:38.169438,"(8.5, 11.0, 10.28)","(19.0, 95.0, 42.5)","(17.0, 34.0, 26.25)","(2.6, 3.0, 2.76755905511811)","(7.0, 9.2, 8.2)","(26.0, 120.0, 92.85714285714286)","(7.5, 9.8, 8.48)","(7.0, 9.8, 9.177777777777777)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 28.333333333333336)","(14.0, 27.0, 24.8)","(12.0, 23.0, 19.764705882352942)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:09:39.858927,"(8.5, 11.0, 10.28)","(19.0, 95.0, 42.5)","(17.0, 34.0, 26.25)","(2.6, 3.0, 2.76755905511811)","(7.0, 9.2, 8.914285714285715)","(26.0, 120.0, 92.85714285714286)","(7.5, 9.8, 8.17142857142857)","(7.0, 9.8, 9.177777777777777)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 28.333333333333336)","(14.0, 27.0, 24.8)","(12.0, 23.0, 19.764705882352942)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:09:41.327456,"(8.5, 11.0, 10.28)","(19.0, 95.0, 42.5)","(17.0, 34.0, 26.25)","(2.6, 3.0, 2.76755905511811)","(7.0, 9.2, 8.914285714285715)","(26.0, 120.0, 92.85714285714286)","(7.5, 9.6, 8.17142857142857)","(7.0, 9.8, 9.333333333333334)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 28.333333333333336)","(14.0, 27.0, 24.8)","(12.0, 23.0, 19.764705882352942)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:09:42.824727,"(8.5, 11.0, 10.28)","(19.0, 95.0, 42.5)","(17.0, 34.0, 26.25)","(2.6, 3.0, 2.76755905511811)","(7.0, 9.2, 8.914285714285715)","(26.0, 120.0, 92.85714285714286)","(7.5, 9.6, 8.17142857142857)","(7.0, 9.8, 9.333333333333334)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 28.333333333333336)","(14.0, 27.0, 24.8)","(12.0, 23.0, 19.764705882352942)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:09:44.349321,"(8.5, 11.0, 10.28)","(19.0, 95.0, 42.5)","(17.0, 34.0, 26.25)","(2.6, 3.0, 2.76755905511811)","(7.0, 9.2, 8.914285714285715)","(26.0, 120.0, 92.85714285714286)","(7.5, 9.6, 8.17142857142857)","(7.0, 9.8, 9.333333333333334)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 28.333333333333336)","(14.0, 27.0, 24.8)","(12.0, 23.0, 19.764705882352942)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:09:46.041936,"(8.5, 11.0, 10.28)","(19.0, 95.0, 42.5)","(17.0, 34.0, 26.25)","(2.6, 3.0, 2.76755905511811)","(7.0, 9.2, 8.914285714285715)","(26.0, 120.0, 92.85714285714286)","(7.5, 9.6, 8.17142857142857)","(7.0, 9.8, 9.333333333333334)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 28.333333333333336)","(14.0, 27.0, 24.8)","(12.0, 23.0, 19.764705882352942)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:09:47.523024,"(8.5, 11.0, 10.28)","(19.0, 95.0, 42.5)","(17.0, 34.0, 26.25)","(2.6, 3.0, 2.76755905511811)","(7.0, 9.2, 8.914285714285715)","(26.0, 120.0, 92.85714285714286)","(7.5, 9.6, 9.3)","(7.0, 9.8, 9.333333333333334)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 28.333333333333336)","(14.0, 27.0, 24.8)","(12.0, 23.0, 19.764705882352942)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:09:48.999194,"(8.5, 11.0, 10.28)","(19.0, 95.0, 42.5)","(17.0, 34.0, 26.25)","(2.6, 3.0, 2.76755905511811)","(7.0, 9.2, 8.914285714285715)","(26.0, 120.0, 92.85714285714286)","(7.5, 9.6, 8.225)","(7.0, 9.8, 9.333333333333334)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 28.333333333333336)","(14.0, 27.0, 24.8)","(12.0, 23.0, 19.764705882352942)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:09:50.517379,"(8.5, 11.0, 10.28)","(19.0, 95.0, 42.5)","(17.0, 34.0, 26.25)","(2.6, 3.0, 2.76755905511811)","(7.0, 9.2, 8.914285714285715)","(26.0, 120.0, 92.85714285714286)","(7.5, 9.6, 8.225)","(7.0, 9.8, 9.333333333333334)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 28.333333333333336)","(14.0, 27.0, 24.8)","(12.0, 23.0, 21.230769230769234)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:09:52.088140,"(8.5, 11.0, 10.28)","(19.0, 95.0, 42.5)","(17.0, 34.0, 26.25)","(2.6, 3.0, 2.76755905511811)","(7.0, 9.2, 8.914285714285715)","(26.0, 120.0, 92.85714285714286)","(7.5, 9.6, 8.225)","(7.0, 9.8, 9.333333333333334)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 28.333333333333336)","(14.0, 27.0, 24.8)","(12.0, 22.0, 21.230769230769234)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:09:53.707139,"(8.5, 11.0, 10.28)","(19.0, 95.0, 42.5)","(17.0, 34.0, 26.25)","(2.6, 3.0, 2.76289156626506)","(7.0, 9.2, 8.914285714285715)","(26.0, 120.0, 92.85714285714286)","(7.5, 9.6, 8.225)","(7.0, 9.8, 9.333333333333334)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 28.333333333333336)","(14.0, 27.0, 24.8)","(12.0, 22.0, 21.230769230769234)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:09:55.234301,"(8.5, 11.0, 10.28)","(19.0, 95.0, 42.5)","(17.0, 34.0, 26.25)","(2.6, 3.0, 2.76289156626506)","(7.0, 9.2, 8.914285714285715)","(26.0, 120.0, 92.85714285714286)","(7.5, 9.6, 8.225)","(7.0, 9.8, 9.333333333333334)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 28.333333333333336)","(14.0, 27.0, 24.8)","(12.0, 22.0, 21.230769230769234)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:09:56.868594,"(8.5, 11.0, 10.28)","(19.0, 95.0, 42.5)","(17.0, 34.0, 26.25)","(2.6, 3.0, 2.76289156626506)","(7.0, 9.2, 8.914285714285715)","(26.0, 120.0, 92.85714285714286)","(7.5, 9.6, 8.225)","(7.0, 9.8, 9.333333333333334)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 28.333333333333336)","(14.0, 27.0, 24.8)","(12.0, 22.0, 21.230769230769234)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:09:58.391987,"(8.5, 11.0, 10.28)","(19.0, 95.0, 42.5)","(17.0, 34.0, 26.25)","(2.6, 3.0, 2.76289156626506)","(7.0, 9.2, 8.914285714285715)","(26.0, 120.0, 92.85714285714286)","(7.5, 9.6, 8.225)","(7.0, 9.8, 9.333333333333334)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 28.333333333333336)","(14.0, 27.0, 24.8)","(12.0, 22.0, 21.230769230769234)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:09:59.895763,"(8.5, 11.0, 10.28)","(19.0, 95.0, 42.5)","(17.0, 34.0, 26.25)","(2.6, 3.0, 2.784382470119522)","(7.0, 9.2, 8.914285714285715)","(26.0, 120.0, 92.85714285714286)","(7.5, 9.6, 8.225)","(7.0, 9.8, 9.333333333333334)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 28.333333333333336)","(14.0, 27.0, 24.8)","(12.0, 22.0, 21.230769230769234)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:10:01.420276,"(8.5, 11.0, 10.28)","(19.0, 95.0, 42.5)","(17.0, 34.0, 26.25)","(2.6, 3.0, 2.784382470119522)","(7.0, 9.2, 8.914285714285715)","(26.0, 120.0, 92.85714285714286)","(7.5, 9.6, 8.225)","(7.0, 9.8, 9.333333333333334)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 28.333333333333336)","(14.0, 27.0, 24.8)","(12.0, 22.0, 21.230769230769234)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:10:02.940906,"(8.5, 11.0, 10.28)","(19.0, 95.0, 42.5)","(17.0, 34.0, 22.0)","(2.6, 3.0, 2.7869291338582673)","(7.0, 9.2, 8.914285714285715)","(26.0, 120.0, 92.85714285714286)","(7.5, 9.6, 8.225)","(7.0, 9.8, 9.505263157894738)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 28.333333333333336)","(14.0, 27.0, 24.8)","(12.0, 22.0, 20.307692307692307)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:10:04.491387,"(8.5, 11.0, 10.28)","(19.0, 95.0, 54.61538461538461)","(17.0, 34.0, 25.42857142857143)","(2.6, 3.0, 2.789416342412451)","(7.0, 9.2, 9.018181818181818)","(26.0, 120.0, 101.0)","(7.5, 9.6, 8.683333333333334)","(7.0, 9.8, 9.669767441860465)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 30.22222222222222)","(14.0, 27.0, 25.42857142857143)","(12.0, 21.0, 20.470588235294116)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:10:06.025976,"(8.5, 11.0, 9.533333333333333)","(19.0, 95.0, 54.61538461538461)","(17.0, 34.0, 25.42857142857143)","(2.6, 3.0, 2.789416342412451)","(7.0, 9.2, 9.018181818181818)","(26.0, 120.0, 101.0)","(7.5, 9.6, 8.683333333333334)","(7.0, 9.8, 9.669767441860465)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 30.22222222222222)","(14.0, 27.0, 25.42857142857143)","(12.0, 21.0, 16.75)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:10:07.492499,"(8.5, 11.0, 9.68)","(19.0, 95.0, 54.61538461538461)","(17.0, 34.0, 25.42857142857143)","(2.6, 3.0, 2.789416342412451)","(7.0, 9.2, 9.018181818181818)","(26.0, 120.0, 101.0)","(7.5, 9.6, 8.426666666666666)","(7.0, 9.8, 9.669767441860465)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 30.22222222222222)","(14.0, 27.0, 25.42857142857143)","(12.0, 21.0, 16.75)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:10:09.027603,"(8.5, 11.0, 9.68)","(19.0, 95.0, 54.61538461538461)","(17.0, 34.0, 25.42857142857143)","(2.6, 3.0, 2.789416342412451)","(7.0, 9.2, 9.018181818181818)","(26.0, 120.0, 101.0)","(7.5, 9.6, 8.94)","(7.0, 9.8, 9.669767441860465)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 30.22222222222222)","(14.0, 27.0, 25.42857142857143)","(12.0, 21.0, 16.75)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:10:10.567448,"(8.5, 11.0, 9.68)","(19.0, 95.0, 54.61538461538461)","(17.0, 34.0, 25.42857142857143)","(2.6, 3.0, 2.789416342412451)","(7.0, 9.2, 9.018181818181818)","(26.0, 120.0, 101.0)","(7.5, 9.6, 8.566666666666666)","(7.0, 9.8, 9.669767441860465)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 30.22222222222222)","(14.0, 27.0, 25.42857142857143)","(12.0, 20.0, 15.0)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:10:12.081792,"(8.5, 11.0, 9.68)","(19.0, 95.0, 54.61538461538461)","(17.0, 34.0, 25.42857142857143)","(2.6, 3.0, 2.789416342412451)","(7.0, 9.2, 9.018181818181818)","(26.0, 120.0, 101.0)","(7.5, 9.4, 8.566666666666666)","(7.0, 9.8, 9.556521739130435)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 30.22222222222222)","(14.0, 27.0, 25.42857142857143)","(12.0, 20.0, 15.0)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:10:13.596452,"(8.5, 11.0, 9.68)","(19.0, 95.0, 54.61538461538461)","(17.0, 34.0, 25.42857142857143)","(2.6, 3.0, 2.789416342412451)","(7.0, 9.2, 9.018181818181818)","(26.0, 120.0, 101.0)","(7.5, 9.4, 8.566666666666666)","(7.0, 9.8, 9.556521739130435)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 30.22222222222222)","(14.0, 27.0, 25.42857142857143)","(12.0, 20.0, 15.0)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:10:15.113713,"(8.5, 11.0, 9.68)","(19.0, 95.0, 54.61538461538461)","(17.0, 34.0, 25.42857142857143)","(2.6, 3.0, 2.789416342412451)","(7.0, 9.2, 9.018181818181818)","(26.0, 120.0, 101.0)","(7.5, 9.4, 8.566666666666666)","(7.0, 9.8, 9.556521739130435)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 30.22222222222222)","(14.0, 27.0, 25.42857142857143)","(12.0, 20.0, 15.0)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:10:16.704973,"(8.5, 11.0, 9.68)","(19.0, 95.0, 54.61538461538461)","(17.0, 34.0, 25.42857142857143)","(2.6, 3.0, 2.789416342412451)","(7.0, 9.2, 9.018181818181818)","(26.0, 120.0, 101.0)","(7.5, 9.4, 8.566666666666666)","(7.0, 9.8, 9.556521739130435)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 30.22222222222222)","(14.0, 27.0, 25.42857142857143)","(12.0, 20.0, 15.0)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:10:18.280209,"(8.5, 11.0, 9.68)","(19.0, 95.0, 54.61538461538461)","(17.0, 34.0, 25.42857142857143)","(2.6, 3.0, 2.789416342412451)","(7.0, 9.2, 9.018181818181818)","(26.0, 120.0, 101.0)","(7.5, 9.4, 8.566666666666666)","(7.0, 9.8, 9.556521739130435)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 30.22222222222222)","(14.0, 27.0, 25.42857142857143)","(12.0, 20.0, 15.0)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:10:19.810737,"(8.5, 11.0, 9.68)","(19.0, 95.0, 54.61538461538461)","(17.0, 34.0, 25.42857142857143)","(2.6, 3.0, 2.789416342412451)","(7.0, 9.2, 9.018181818181818)","(26.0, 120.0, 101.0)","(7.5, 9.4, 9.0875)","(7.0, 9.8, 9.556521739130435)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 30.22222222222222)","(14.0, 27.0, 25.42857142857143)","(12.0, 20.0, 15.0)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:10:21.341694,"(8.5, 11.0, 9.68)","(19.0, 95.0, 30.25)","(17.0, 34.0, 26.0)","(2.6, 3.0, 2.789416342412451)","(7.0, 9.2, 9.018181818181818)","(26.0, 120.0, 101.0)","(7.5, 9.4, 9.0875)","(7.0, 9.8, 9.556521739130435)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 30.22222222222222)","(14.0, 27.0, 25.42857142857143)","(12.0, 20.0, 15.0)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 16:10:22.820219,"(8.5, 11.0, 9.68)","(19.0, 95.0, 30.25)","(17.0, 34.0, 26.0)","(2.6, 3.0, 2.789416342412451)","(7.0, 9.2, 9.018181818181818)","(26.0, 120.0, 101.0)","(7.5, 9.4, 9.0875)","(7.0, 9.8, 9.556521739130435)","(101.0, 220.0, 182.85714285714286)","(17.0, 34.0, 30.22222222222222)","(14.0, 27.0, 25.42857142857143)","(12.0, 20.0, 15.0)","(101.0, 220.0, 185.71428571428572)"
