,Sweet Hummer,Blue Cod,Miss Fischer,Sweet Silver,Boudicca,Thrilling Vespa
11-01-2023 12:27:06.246229,"(2.35, 2.98, 2.804242424242424)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:07.238529,"(2.35, 2.98, 2.804242424242424)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:08.286987,"(2.35, 2.98, 2.804242424242424)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:09.347500,"(2.35, 2.98, 2.804242424242424)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:10.415284,"(2.35, 2.98, 2.804242424242424)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:11.437319,"(2.35, 2.98, 2.804242424242424)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:12.438888,"(2.35, 2.98, 2.804242424242424)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:13.361847,"(2.35, 2.98, 2.804242424242424)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:14.356775,"(2.35, 2.98, 2.804242424242424)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:15.368913,"(2.35, 2.98, 2.804242424242424)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:16.324042,"(2.35, 2.98, 2.804242424242424)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:17.399224,"(2.35, 2.98, 2.804242424242424)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:18.387645,"(2.35, 2.98, 2.804242424242424)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:19.402994,"(2.35, 2.98, 2.804242424242424)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:20.343045,"(2.35, 2.98, 2.804242424242424)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:21.306751,"(2.35, 2.98, 2.804242424242424)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:22.296301,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:23.331885,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:24.374263,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:25.317942,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:26.413669,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:27.420049,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:28.373048,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:29.394698,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:30.423944,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:31.447325,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:32.518348,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:33.499663,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:34.404628,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:35.376471,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:36.503542,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:37.552383,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:38.573794,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:39.653459,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:40.698478,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:41.709404,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:42.707457,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:43.729437,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:44.667142,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:45.809722,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:46.962531,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:47.953197,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:48.894043,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:49.862319,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:50.951620,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:52.241723,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:53.372018,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:54.529297,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:55.701231,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:56.889932,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:58.054731,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:27:59.236172,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:28:00.467270,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:28:01.594032,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:28:02.588957,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:28:03.583104,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:28:04.541056,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:28:05.562738,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:28:06.675022,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:28:07.688701,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:28:08.708872,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:28:09.682594,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:28:10.700264,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 80.71428571428571)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:28:11.688514,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 76.66666666666667)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:28:12.640967,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 76.66666666666667)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:28:13.713749,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 76.66666666666667)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:28:14.737398,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 76.66666666666667)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:28:15.798224,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 76.66666666666667)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:28:16.898006,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 76.66666666666667)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:28:17.782301,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 76.66666666666667)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:28:18.793803,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 76.66666666666667)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:28:19.920816,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 76.66666666666667)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:28:21.120568,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 76.66666666666667)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:28:22.261597,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 76.66666666666667)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:28:23.242646,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 76.66666666666667)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:28:24.443753,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 76.66666666666667)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:28:25.551462,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 76.66666666666667)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:28:26.612326,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 76.66666666666667)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
11-01-2023 12:28:27.680463,"(2.35, 2.98, 2.6066666666666665)","(16.0, 140.0, 87.70833333333334)","(20.0, 190.0, 76.66666666666667)","(2.6, 4.2, 3.353)","(11.0, 25.0, 23.266666666666666)","(3.7, 6.6, 4.99090909090909)"
