,Orca,Madalia Zoom,Panama Dash,Django Maskiell,Rapid Voyage,Hill Top Jack,Gypsy Ha Ha,Audacious Stell
11-01-2023 20:11:59.388083,"(9.0, 18.0, 11.866666666666667)","(7.5, 15.0, 14.152941176470588)","(6.5, 12.5, 7.925000000000001)","(21.0, 70.0, 41.388888888888886)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:00.570340,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:01.662417,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:02.730459,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:03.898120,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:05.069998,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:06.253943,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:07.389926,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:08.601448,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:09.733176,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:10.910947,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:11.974259,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:13.045364,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:14.101117,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:15.126233,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:16.195239,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:17.317258,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:18.412618,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:19.502002,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:20.613951,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:21.765867,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:22.816326,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:23.921202,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:24.967496,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:26.098411,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:27.169265,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:28.236793,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:29.301924,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:30.425278,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:31.441122,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:32.459762,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:33.591925,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:34.689709,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 33.27272727272727)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:35.803063,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 33.27272727272727)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:36.921871,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 33.27272727272727)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:38.095410,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 33.27272727272727)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:39.236566,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 33.27272727272727)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:40.350849,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 33.27272727272727)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:41.444298,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 33.27272727272727)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:42.558595,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 33.27272727272727)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:43.640270,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 33.27272727272727)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:44.795839,"(9.0, 18.0, 14.933333333333334)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:46.229320,"(9.0, 18.0, 16.16)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:47.571598,"(9.0, 20.0, 17.759999999999998)","(7.5, 15.0, 12.2)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.008)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:48.921432,"(9.0, 20.0, 12.533333333333333)","(7.5, 15.0, 12.5)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.98, 2.008)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:50.132434,"(9.0, 21.0, 12.866666666666667)","(7.5, 15.5, 12.5)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.98, 2.078181818181818)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:51.270728,"(9.0, 21.0, 12.866666666666667)","(7.5, 15.5, 12.5)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.96, 2.078181818181818)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:52.561230,"(9.0, 21.0, 12.866666666666667)","(7.5, 15.5, 12.5)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.96, 2.078181818181818)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:53.671979,"(9.0, 21.0, 12.866666666666667)","(7.5, 15.5, 12.5)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.96, 2.078181818181818)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:54.785375,"(9.0, 21.0, 12.866666666666667)","(7.5, 15.5, 12.5)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.96, 2.078181818181818)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:55.910799,"(9.0, 22.0, 19.36)","(7.5, 15.5, 12.5)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.96, 2.078181818181818)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:56.965813,"(9.0, 22.0, 19.36)","(7.5, 15.5, 12.5)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.96, 2.078181818181818)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:57.971442,"(9.0, 22.0, 19.36)","(7.5, 15.5, 12.5)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.96, 2.078181818181818)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:12:59.050884,"(9.0, 22.0, 19.36)","(7.5, 15.5, 12.5)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.96, 2.078181818181818)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:13:00.221434,"(9.0, 22.0, 19.36)","(7.5, 15.5, 12.5)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.96, 2.078181818181818)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:13:01.409482,"(9.0, 22.0, 19.36)","(7.5, 15.5, 12.5)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.96, 2.078181818181818)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:13:02.660188,"(9.0, 22.0, 19.36)","(7.5, 15.5, 12.5)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.96, 2.078181818181818)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:13:03.848971,"(9.0, 22.0, 19.36)","(7.5, 15.5, 12.5)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.96, 2.078181818181818)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:13:05.115237,"(9.0, 22.0, 19.36)","(7.5, 15.5, 12.5)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.96, 2.078181818181818)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:13:06.233369,"(9.0, 22.0, 19.36)","(7.5, 15.5, 12.5)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.96, 2.078181818181818)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:13:07.237818,"(9.0, 22.0, 19.36)","(7.5, 15.5, 12.5)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.96, 2.078181818181818)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:13:08.269002,"(9.0, 22.0, 19.36)","(7.5, 15.5, 12.5)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.96, 2.078181818181818)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:13:09.348391,"(9.0, 22.0, 19.36)","(7.5, 15.5, 12.5)","(6.5, 12.5, 9.885714285714286)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.96, 2.078181818181818)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:13:10.561455,"(9.0, 22.0, 19.36)","(7.5, 15.5, 12.5)","(6.5, 12.5, 10.73)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.96, 2.078181818181818)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:13:11.725115,"(9.0, 22.0, 19.36)","(7.5, 15.5, 12.5)","(6.5, 12.5, 10.73)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.96, 2.078181818181818)","(6.0, 10.5, 7.050000000000001)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:13:12.939084,"(9.0, 22.0, 18.75)","(7.5, 15.5, 12.58)","(6.5, 12.5, 10.73)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.96, 2.079)","(6.0, 10.5, 8.775)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:13:14.110508,"(9.0, 22.0, 18.75)","(7.5, 15.5, 12.58)","(6.5, 12.5, 10.73)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 8.775)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:13:15.170857,"(9.0, 22.0, 18.75)","(7.5, 15.5, 12.58)","(6.5, 12.5, 10.73)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 8.775)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:13:16.351515,"(9.0, 22.0, 18.75)","(7.5, 15.5, 12.58)","(6.5, 12.5, 10.73)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 8.775)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:13:17.549832,"(9.0, 22.0, 18.75)","(7.5, 15.5, 12.58)","(6.5, 12.5, 10.73)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 8.775)","(5.5, 9.4, 8.600000000000001)"
11-01-2023 20:13:18.754689,"(9.0, 22.0, 18.75)","(7.5, 15.5, 12.58)","(6.5, 12.5, 10.73)","(21.0, 70.0, 42.53333333333333)","(31.0, 240.0, 105.0)","(1.95, 2.88, 2.079)","(6.0, 10.5, 8.775)","(5.5, 9.4, 8.600000000000001)"
