,Angry Ann,Swiper Taz,Ballina,Misbehaved,Urana Blazer,Coopers Mate,Fabulous Victor,Slingshot Yo Yo
11-01-2023 14:11:47.520889,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.8, 8.748437500000001)","(4.2, 7.6, 6.466666666666667)","(10.0, 22.0, 20.40869565217391)","(31.0, 220.0, 130.0)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.0, 13.05)","(51.0, 440.0, 250.0)"
11-01-2023 14:11:48.545877,"(2.0, 3.25, 2.6550000000000002)","(5.5, 9.2, 9.031818181818181)","(4.2, 7.6, 6.466666666666667)","(10.0, 22.0, 20.40869565217391)","(31.0, 220.0, 130.0)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.0, 13.05)","(51.0, 440.0, 250.0)"
11-01-2023 14:11:49.808670,"(2.0, 3.25, 2.6550000000000002)","(5.5, 9.2, 9.031818181818181)","(4.2, 7.6, 6.466666666666667)","(10.0, 22.0, 20.40869565217391)","(31.0, 220.0, 130.0)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.0, 13.05)","(51.0, 440.0, 250.0)"
11-01-2023 14:11:51.101009,"(2.0, 3.25, 2.6550000000000002)","(5.5, 9.2, 9.031818181818181)","(4.2, 7.6, 6.466666666666667)","(10.0, 22.0, 20.40869565217391)","(31.0, 220.0, 130.0)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.0, 13.05)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:11:52.468429,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.8, 8.65)","(4.2, 7.6, 6.466666666666667)","(10.0, 22.0, 20.40869565217391)","(31.0, 220.0, 130.0)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.0, 13.05)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:11:53.804398,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.8, 8.65)","(4.2, 7.6, 6.466666666666667)","(10.0, 22.0, 20.40869565217391)","(31.0, 220.0, 130.0)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.0, 13.05)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:11:55.387050,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.8, 8.65)","(4.2, 7.6, 6.466666666666667)","(10.0, 22.0, 20.40869565217391)","(31.0, 220.0, 130.0)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.0, 13.05)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:11:56.897306,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.8, 8.65)","(4.2, 7.6, 6.466666666666667)","(10.0, 22.0, 20.40869565217391)","(31.0, 220.0, 130.0)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.0, 13.05)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:11:58.119824,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.8, 8.65)","(4.2, 7.6, 6.466666666666667)","(10.0, 22.0, 20.40869565217391)","(31.0, 220.0, 130.0)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.0, 13.05)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:11:59.328231,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.8, 8.65)","(4.2, 7.6, 6.466666666666667)","(10.0, 22.0, 20.40869565217391)","(31.0, 220.0, 130.0)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.0, 13.05)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:00.429594,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.8, 8.65)","(4.2, 7.6, 6.466666666666667)","(10.0, 22.0, 20.40869565217391)","(31.0, 220.0, 130.0)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.0, 13.05)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:01.607803,"(2.0, 3.25, 2.6550000000000002)","(5.5, 8.8, 8.65)","(4.2, 7.6, 6.466666666666667)","(10.0, 22.0, 19.560000000000002)","(31.0, 220.0, 130.0)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.0, 13.05)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:02.852015,"(2.0, 3.25, 2.9525)","(5.5, 8.4, 8.001470588235293)","(4.2, 7.6, 6.466666666666667)","(10.0, 22.0, 21.419047619047618)","(31.0, 220.0, 130.0)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.0, 13.05)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:03.886591,"(2.0, 3.25, 3.2024)","(5.5, 8.2, 8.001470588235293)","(4.2, 7.6, 6.466666666666667)","(10.0, 22.0, 21.419047619047618)","(31.0, 220.0, 130.0)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.0, 13.05)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:04.935710,"(2.0, 3.25, 2.86)","(5.5, 8.0, 7.9609375)","(4.2, 7.6, 6.466666666666667)","(10.0, 22.0, 21.419047619047618)","(31.0, 220.0, 130.0)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.0, 13.05)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:06.198352,"(2.0, 3.25, 3.2024)","(5.5, 8.4, 8.3546875)","(4.2, 7.6, 6.466666666666667)","(10.0, 22.0, 21.419047619047618)","(31.0, 220.0, 130.0)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.0, 13.05)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:07.409805,"(2.0, 3.35, 2.5323943661971833)","(5.5, 8.4, 8.3546875)","(4.2, 7.6, 6.466666666666667)","(10.0, 22.0, 21.419047619047618)","(31.0, 220.0, 130.0)","(11.0, 24.0, 23.264705882352942)","(6.5, 15.0, 13.05)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:08.587514,"(2.0, 3.35, 2.5323943661971833)","(5.5, 8.4, 8.3546875)","(4.2, 7.6, 6.466666666666667)","(10.0, 22.0, 19.125)","(31.0, 220.0, 130.0)","(11.0, 24.0, 23.2)","(6.5, 15.0, 12.04)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:10.017413,"(2.0, 3.6, 2.316666666666667)","(5.5, 8.4, 8.088888888888889)","(4.2, 7.6, 6.466666666666667)","(10.0, 22.0, 19.7)","(31.0, 220.0, 130.0)","(11.0, 26.0, 24.0)","(6.5, 15.0, 12.04)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:11.099424,"(2.0, 3.5, 2.316666666666667)","(5.5, 8.4, 8.088888888888889)","(4.2, 7.6, 6.466666666666667)","(10.0, 22.0, 19.7)","(31.0, 220.0, 130.0)","(11.0, 26.0, 24.0)","(6.5, 15.0, 12.04)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:12.194423,"(2.0, 3.5, 2.2823529411764705)","(5.5, 8.4, 8.088888888888889)","(4.2, 7.6, 6.466666666666667)","(10.0, 22.0, 19.25)","(31.0, 220.0, 130.0)","(11.0, 26.0, 24.0)","(6.5, 15.0, 12.04)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:13.445589,"(2.0, 3.5, 2.2823529411764705)","(5.5, 8.4, 8.088888888888889)","(4.2, 7.6, 6.466666666666667)","(10.0, 22.0, 19.25)","(31.0, 220.0, 130.0)","(11.0, 26.0, 24.0)","(6.5, 15.0, 12.04)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:14.558575,"(2.0, 3.5, 2.2823529411764705)","(5.5, 8.4, 8.088888888888889)","(4.2, 7.6, 6.466666666666667)","(10.0, 22.0, 19.25)","(31.0, 220.0, 130.0)","(11.0, 26.0, 24.0)","(6.5, 15.0, 13.05)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:16.067447,"(2.0, 3.5, 2.5900000000000003)","(5.5, 8.4, 8.088888888888889)","(4.2, 7.6, 5.05)","(10.0, 22.0, 19.25)","(31.0, 220.0, 130.0)","(11.0, 26.0, 24.0)","(6.5, 15.0, 12.885714285714286)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:17.390214,"(2.0, 3.45, 3.251428571428572)","(5.5, 8.4, 8.088888888888889)","(4.2, 7.6, 5.05)","(10.0, 22.0, 18.166666666666668)","(31.0, 220.0, 130.0)","(11.0, 26.0, 24.0)","(6.5, 15.0, 12.04)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:18.497475,"(2.0, 3.45, 3.251428571428572)","(5.5, 8.4, 8.088888888888889)","(4.2, 7.6, 5.05)","(10.0, 22.0, 18.166666666666668)","(31.0, 220.0, 130.0)","(11.0, 26.0, 24.0)","(6.5, 15.0, 12.04)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:19.756999,"(2.0, 3.45, 2.6671428571428573)","(5.5, 8.4, 8.088888888888889)","(4.2, 7.6, 5.05)","(10.0, 22.0, 18.166666666666668)","(31.0, 220.0, 130.0)","(11.0, 26.0, 24.0)","(6.5, 15.0, 12.04)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:20.922518,"(2.0, 3.45, 2.678571428571429)","(5.5, 8.4, 8.088888888888889)","(4.2, 7.6, 5.05)","(10.0, 22.0, 18.166666666666668)","(31.0, 220.0, 130.0)","(11.0, 26.0, 24.0)","(6.5, 15.0, 13.1)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:22.140906,"(2.0, 3.45, 2.5766666666666667)","(5.5, 8.4, 8.088888888888889)","(4.2, 7.6, 5.05)","(10.0, 22.0, 18.166666666666668)","(31.0, 220.0, 130.0)","(11.0, 26.0, 24.0)","(6.5, 15.0, 12.04)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:23.375921,"(2.0, 3.45, 2.5766666666666667)","(5.5, 8.4, 8.088888888888889)","(4.2, 7.6, 5.05)","(10.0, 22.0, 18.166666666666668)","(31.0, 220.0, 130.0)","(11.0, 26.0, 24.0)","(6.5, 15.0, 12.04)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:24.600175,"(2.0, 3.45, 2.5766666666666667)","(5.5, 8.4, 8.088888888888889)","(4.2, 7.6, 5.05)","(10.0, 22.0, 18.166666666666668)","(31.0, 220.0, 130.0)","(11.0, 26.0, 24.0)","(6.5, 15.0, 12.04)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:25.698930,"(2.0, 3.45, 2.5766666666666667)","(5.5, 8.4, 8.0)","(4.2, 7.6, 5.05)","(10.0, 22.0, 18.166666666666668)","(31.0, 220.0, 130.0)","(11.0, 26.0, 24.0)","(6.5, 15.0, 12.04)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:26.742726,"(2.0, 3.45, 2.5766666666666667)","(5.5, 8.4, 8.0)","(4.2, 7.6, 5.05)","(10.0, 22.0, 18.166666666666668)","(31.0, 220.0, 130.0)","(11.0, 26.0, 24.0)","(6.5, 15.0, 13.1)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:27.908056,"(2.0, 3.45, 2.5766666666666667)","(5.5, 8.4, 8.0)","(4.2, 7.6, 5.05)","(10.0, 22.0, 18.166666666666668)","(31.0, 220.0, 130.0)","(11.0, 26.0, 24.0)","(6.5, 15.0, 13.266666666666666)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:28.962219,"(2.0, 3.45, 2.5766666666666667)","(5.5, 8.4, 8.0)","(4.2, 7.6, 5.05)","(10.0, 22.0, 18.166666666666668)","(31.0, 220.0, 130.0)","(11.0, 26.0, 24.0)","(6.5, 15.0, 13.1)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:30.111496,"(2.0, 3.45, 3.2468000000000004)","(5.5, 8.4, 8.0)","(4.2, 7.6, 5.05)","(10.0, 22.0, 18.166666666666668)","(31.0, 220.0, 130.0)","(11.0, 26.0, 24.0)","(6.5, 15.0, 13.1)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:31.320276,"(2.0, 3.45, 2.6166666666666667)","(5.5, 8.4, 8.0)","(4.2, 7.6, 5.05)","(10.0, 22.0, 18.166666666666668)","(31.0, 220.0, 130.0)","(11.0, 26.0, 24.0)","(6.5, 15.0, 12.04)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:32.482222,"(2.0, 3.45, 2.482)","(5.5, 8.4, 8.0)","(4.2, 7.6, 5.05)","(10.0, 22.0, 18.166666666666668)","(31.0, 220.0, 130.0)","(11.0, 26.0, 16.875)","(6.5, 15.0, 12.04)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:33.464580,"(2.0, 3.45, 2.482)","(5.5, 8.4, 8.0)","(4.2, 7.6, 5.05)","(10.0, 22.0, 18.166666666666668)","(31.0, 220.0, 130.0)","(11.0, 25.0, 23.142857142857142)","(6.5, 15.0, 12.04)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:34.620848,"(2.0, 3.45, 2.482)","(5.5, 8.4, 8.0)","(4.2, 7.6, 5.05)","(10.0, 22.0, 18.166666666666668)","(31.0, 220.0, 130.0)","(11.0, 25.0, 23.142857142857142)","(6.5, 15.0, 12.04)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:35.782591,"(2.0, 3.45, 2.482)","(5.5, 8.4, 8.0)","(4.2, 7.6, 5.05)","(10.0, 22.0, 18.166666666666668)","(31.0, 220.0, 130.0)","(11.0, 25.0, 23.142857142857142)","(6.5, 15.0, 12.04)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:36.901865,"(2.0, 3.45, 2.482)","(5.5, 8.4, 8.0)","(4.2, 7.6, 5.05)","(10.0, 22.0, 18.166666666666668)","(31.0, 220.0, 130.0)","(11.0, 25.0, 23.142857142857142)","(6.5, 15.0, 13.1)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:37.947857,"(2.0, 3.45, 2.482)","(5.5, 8.4, 8.0)","(4.2, 7.6, 5.05)","(10.0, 22.0, 18.166666666666668)","(31.0, 220.0, 130.0)","(11.0, 25.0, 20.666666666666664)","(6.5, 15.0, 13.05)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:39.090046,"(2.0, 3.45, 2.482)","(5.5, 8.4, 8.0)","(4.2, 7.6, 5.05)","(10.0, 22.0, 18.166666666666668)","(31.0, 220.0, 130.0)","(11.0, 25.0, 20.666666666666664)","(6.5, 15.0, 11.96)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:40.307122,"(2.0, 3.45, 2.482)","(5.5, 8.4, 8.0)","(4.2, 7.6, 5.05)","(10.0, 22.0, 18.166666666666668)","(31.0, 220.0, 130.0)","(11.0, 25.0, 20.666666666666664)","(6.5, 15.0, 11.96)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:41.343513,"(2.0, 3.45, 2.482)","(5.5, 8.4, 8.0)","(4.2, 7.6, 5.05)","(10.0, 22.0, 18.166666666666668)","(31.0, 220.0, 130.0)","(11.0, 25.0, 20.666666666666664)","(6.5, 15.0, 11.96)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:42.371825,"(2.0, 3.45, 2.482)","(5.5, 8.4, 8.0)","(4.2, 7.6, 5.05)","(10.0, 22.0, 18.166666666666668)","(31.0, 220.0, 130.0)","(11.0, 25.0, 20.666666666666664)","(6.5, 15.0, 11.96)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:43.589757,"(2.0, 3.45, 2.6166666666666667)","(5.5, 8.4, 8.0)","(4.2, 7.6, 5.05)","(10.0, 22.0, 18.166666666666668)","(31.0, 220.0, 130.0)","(11.0, 25.0, 20.666666666666664)","(6.5, 15.0, 11.96)","(51.0, 440.0, 293.8461538461538)"
11-01-2023 14:12:44.987292,"(2.0, 3.45, 2.6166666666666667)","(5.5, 8.4, 8.0)","(4.2, 7.6, 5.05)","(10.0, 22.0, 18.166666666666668)","(31.0, 220.0, 140.83333333333334)","(11.0, 25.0, 20.666666666666664)","(6.5, 15.0, 11.96)","(51.0, 440.0, 250.0)"
11-01-2023 14:12:46.039118,"(2.0, 3.45, 2.6166666666666667)","(5.5, 8.4, 8.0)","(4.2, 7.6, 5.05)","(10.0, 22.0, 18.166666666666668)","(31.0, 220.0, 140.83333333333334)","(11.0, 25.0, 20.666666666666664)","(6.5, 15.0, 13.1)","(51.0, 440.0, 250.0)"
11-01-2023 14:12:47.069631,"(2.0, 3.45, 2.6166666666666667)","(5.5, 8.4, 8.0)","(4.2, 7.6, 5.05)","(10.0, 22.0, 20.5)","(31.0, 220.0, 140.83333333333334)","(11.0, 25.0, 20.666666666666664)","(6.5, 15.0, 13.05)","(51.0, 440.0, 250.0)"
11-01-2023 14:12:48.210220,"(2.0, 3.45, 2.6166666666666667)","(5.5, 8.4, 8.0)","(4.2, 7.6, 5.05)","(10.0, 22.0, 20.5)","(31.0, 220.0, 140.83333333333334)","(11.0, 25.0, 20.666666666666664)","(6.5, 15.0, 13.1)","(51.0, 440.0, 250.0)"
11-01-2023 14:12:49.454745,"(2.0, 3.45, 2.6166666666666667)","(5.5, 8.4, 8.0)","(4.2, 7.4, 5.0)","(10.0, 22.0, 20.5)","(31.0, 220.0, 140.83333333333334)","(11.0, 25.0, 20.666666666666664)","(6.5, 15.0, 12.04)","(51.0, 440.0, 250.0)"
11-01-2023 14:12:50.497414,"(2.0, 3.45, 2.6166666666666667)","(5.5, 8.4, 8.0)","(4.2, 7.2, 6.2)","(10.0, 22.0, 20.5)","(31.0, 220.0, 140.83333333333334)","(11.0, 25.0, 20.666666666666664)","(6.5, 15.0, 13.1)","(51.0, 440.0, 250.0)"
11-01-2023 14:12:51.494614,"(2.0, 3.45, 2.6166666666666667)","(5.5, 8.4, 8.0)","(4.2, 7.2, 6.2)","(10.0, 22.0, 20.5)","(31.0, 220.0, 140.83333333333334)","(11.0, 25.0, 20.666666666666664)","(6.5, 15.0, 13.1)","(51.0, 440.0, 250.0)"
11-01-2023 14:12:52.651605,"(2.0, 3.45, 2.6166666666666667)","(5.5, 8.4, 8.0)","(4.2, 7.2, 6.2)","(10.0, 22.0, 20.5)","(31.0, 220.0, 140.83333333333334)","(11.0, 25.0, 20.666666666666664)","(6.5, 15.0, 13.1)","(51.0, 440.0, 250.0)"
11-01-2023 14:12:53.669347,"(2.0, 3.45, 2.6166666666666667)","(5.5, 8.4, 8.0)","(4.2, 7.2, 6.2)","(10.0, 22.0, 20.5)","(31.0, 220.0, 140.83333333333334)","(11.0, 25.0, 20.666666666666664)","(6.5, 15.0, 13.1)","(51.0, 440.0, 250.0)"
11-01-2023 14:12:54.763581,"(2.0, 3.45, 2.6166666666666667)","(5.5, 8.4, 8.0)","(4.2, 7.2, 6.2)","(10.0, 22.0, 20.5)","(31.0, 220.0, 140.83333333333334)","(11.0, 25.0, 17.57142857142857)","(6.5, 15.0, 13.1)","(51.0, 440.0, 250.0)"
11-01-2023 14:12:55.881330,"(2.0, 3.45, 2.6166666666666667)","(5.5, 8.4, 8.0)","(4.2, 7.2, 6.2)","(10.0, 22.0, 20.5)","(31.0, 220.0, 140.83333333333334)","(11.0, 25.0, 17.57142857142857)","(6.5, 15.0, 12.04)","(51.0, 440.0, 250.0)"
11-01-2023 14:12:57.105088,"(2.0, 3.45, 2.6166666666666667)","(5.5, 8.4, 8.0)","(4.2, 7.2, 6.2)","(10.0, 22.0, 20.5)","(31.0, 220.0, 140.83333333333334)","(11.0, 25.0, 17.57142857142857)","(6.5, 15.0, 12.04)","(51.0, 440.0, 250.0)"
11-01-2023 14:12:58.212811,"(2.0, 3.45, 2.6166666666666667)","(5.5, 8.4, 8.0)","(4.2, 7.2, 6.2)","(10.0, 22.0, 20.5)","(31.0, 220.0, 140.83333333333334)","(11.0, 25.0, 17.57142857142857)","(6.5, 15.0, 12.04)","(51.0, 440.0, 250.0)"
11-01-2023 14:12:59.238986,"(2.0, 3.45, 2.6166666666666667)","(5.5, 8.4, 8.0)","(4.2, 7.2, 6.2)","(10.0, 22.0, 20.5)","(31.0, 220.0, 140.83333333333334)","(11.0, 25.0, 17.57142857142857)","(6.5, 15.0, 13.1)","(51.0, 440.0, 250.0)"
11-01-2023 14:13:00.288812,"(2.0, 3.45, 2.6166666666666667)","(5.5, 8.4, 8.0)","(4.2, 7.2, 6.2)","(10.0, 22.0, 20.5)","(31.0, 220.0, 140.83333333333334)","(11.0, 25.0, 17.57142857142857)","(6.5, 15.0, 12.04)","(51.0, 440.0, 250.0)"
11-01-2023 14:13:01.371124,"(2.0, 3.45, 2.6166666666666667)","(5.5, 8.4, 8.0)","(4.2, 7.2, 6.2)","(10.0, 23.0, 21.375)","(31.0, 220.0, 140.83333333333334)","(11.0, 25.0, 20.666666666666664)","(6.5, 15.0, 12.04)","(51.0, 440.0, 250.0)"
