,Adaminaby,Conquered Journey,Right On Ralphy,Lord Power,Borlotti Beans,Lord Prophet,Lady Damus
08-12-2022 13:16:28.671497,"(10.0, 17.0, 14.5)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 50.5)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:29.663074,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 50.5)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:30.712535,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 50.5)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:31.920916,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 50.5)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:32.943898,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 50.5)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:33.899572,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 50.5)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:34.803042,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 50.5)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:35.740011,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 50.5)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:36.811789,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 50.5)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:37.877179,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 28.705882352941178)","(1.6, 1.79, 1.7536363636363637)"
08-12-2022 13:16:38.983353,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 28.705882352941178)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:16:40.187322,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 28.705882352941178)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:16:41.356906,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 28.705882352941178)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:16:42.438217,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 28.705882352941178)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:16:43.437352,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 28.705882352941178)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:16:44.445495,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 28.705882352941178)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:16:45.384056,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 28.705882352941178)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:16:46.417764,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 28.705882352941178)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:16:47.421601,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 28.705882352941178)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:16:48.400367,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 28.705882352941178)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:16:49.395220,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 28.705882352941178)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:16:50.703853,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.5600000000000005)","(17.0, 60.0, 28.705882352941178)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:16:51.767787,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 9.0, 7.6571428571428575)","(17.0, 60.0, 28.705882352941178)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:16:52.882192,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 60.0, 28.705882352941178)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:16:53.912201,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 60.0, 43.0)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:16:54.940057,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 50.0, 43.0)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:16:55.929638,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 50.0, 43.0)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:16:57.045725,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 50.0, 43.0)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:16:58.170819,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 50.0, 43.0)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:16:59.181378,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 50.0, 43.0)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:00.304497,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 50.0, 43.0)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:01.413476,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 50.0, 37.6)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:02.471570,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:03.488098,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:04.569304,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:05.613792,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:06.633123,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:07.682786,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:08.732298,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:09.747648,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:10.918477,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:11.996339,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:13.063077,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:14.299262,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:15.451990,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:16.523123,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:17.628144,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:18.807697,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:19.836359,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:20.887330,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:21.947154,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:23.040098,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:24.099891,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:25.158497,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:26.213419,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:27.243140,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:28.319357,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:29.416658,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:30.566618,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:31.688510,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:32.849950,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:34.027219,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:35.271499,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:36.405033,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:37.551535,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:38.901927,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:40.043933,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
08-12-2022 13:17:41.234849,"(10.0, 17.5, 13.375)","(16.0, 26.0, 22.6)","(26.0, 100.0, 58.66666666666667)","(5.5, 8.2, 6.88)","(4.8, 8.8, 7.6571428571428575)","(17.0, 48.0, 33.14285714285714)","(1.6, 1.79, 1.7488235294117647)"
