,Amazonian Queen,Dots Redeemer,Dr Ryker,Mad Brax,King Kaboom,Button,Mahogany Jet,Shes So Kind
11-01-2023 19:04:20.898340,"(6.0, 13.0, 11.225)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 7.95)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 13.75)","(13.0, 28.0, 25.181818181818183)"
11-01-2023 19:04:22.157838,"(6.0, 13.0, 11.225)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 7.95)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 13.75)","(13.0, 28.0, 25.181818181818183)"
11-01-2023 19:04:23.430184,"(6.0, 13.0, 11.225)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 7.95)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 13.75)","(13.0, 28.0, 25.181818181818183)"
11-01-2023 19:04:24.666962,"(6.0, 13.0, 12.433333333333334)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 7.95)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 13.75)","(13.0, 28.0, 25.181818181818183)"
11-01-2023 19:04:25.882652,"(6.0, 13.0, 12.433333333333334)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 7.95)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 13.75)","(13.0, 28.0, 25.181818181818183)"
11-01-2023 19:04:27.188076,"(6.0, 13.0, 12.433333333333334)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 7.95)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 13.75)","(13.0, 28.0, 25.181818181818183)"
11-01-2023 19:04:28.446475,"(6.0, 13.0, 12.433333333333334)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 7.95)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 13.75)","(13.0, 28.0, 25.181818181818183)"
11-01-2023 19:04:29.689826,"(6.0, 13.0, 12.433333333333334)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 7.95)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 13.75)","(13.0, 28.0, 25.181818181818183)"
11-01-2023 19:04:30.955418,"(6.0, 13.0, 12.433333333333334)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 7.95)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 13.75)","(13.0, 28.0, 25.181818181818183)"
11-01-2023 19:04:32.299136,"(6.0, 13.0, 12.433333333333334)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 7.95)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 13.75)","(13.0, 28.0, 25.181818181818183)"
11-01-2023 19:04:33.624964,"(6.0, 13.0, 12.433333333333334)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 7.95)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 13.75)","(13.0, 28.0, 25.181818181818183)"
11-01-2023 19:04:34.996542,"(6.0, 13.0, 12.433333333333334)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 7.95)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 13.75)","(13.0, 28.0, 22.0)"
11-01-2023 19:04:36.335171,"(6.0, 13.0, 12.433333333333334)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 7.95)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 13.75)","(13.0, 28.0, 22.0)"
11-01-2023 19:04:37.724496,"(6.0, 13.0, 12.433333333333334)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 7.95)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 13.75)","(13.0, 28.0, 22.0)"
11-01-2023 19:04:39.083936,"(6.0, 13.0, 12.433333333333334)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 7.95)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 13.75)","(13.0, 28.0, 22.0)"
11-01-2023 19:04:40.431254,"(6.0, 13.0, 12.433333333333334)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 7.95)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 13.75)","(13.0, 28.0, 22.0)"
11-01-2023 19:04:41.846287,"(6.0, 13.0, 12.433333333333334)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 8.833333333333334)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 13.75)","(13.0, 28.0, 22.0)"
11-01-2023 19:04:43.300449,"(6.0, 13.0, 12.433333333333334)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 8.833333333333334)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:04:44.655053,"(6.0, 13.0, 10.8)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:04:46.208690,"(6.0, 13.0, 10.8)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:04:47.751110,"(6.0, 13.0, 10.8)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:04:49.262745,"(6.0, 13.0, 10.8)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:04:50.747219,"(6.0, 13.0, 10.8)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:04:52.136384,"(6.0, 13.0, 10.8)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:04:53.590767,"(6.0, 13.0, 10.8)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:04:55.231239,"(6.0, 13.0, 10.8)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:04:56.628878,"(6.0, 13.0, 10.8)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:04:58.218687,"(6.0, 13.0, 10.8)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:04:59.636942,"(6.0, 13.0, 10.8)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:00.996624,"(6.0, 13.0, 10.8)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:02.362902,"(6.0, 13.0, 10.8)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:03.779053,"(6.0, 13.0, 10.8)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:05.143250,"(6.0, 13.0, 10.8)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:06.552609,"(6.0, 13.0, 11.45)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:07.944631,"(6.0, 13.0, 11.45)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:09.326098,"(6.0, 13.0, 11.45)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:10.700022,"(6.0, 13.0, 11.45)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:12.343337,"(6.0, 13.0, 11.45)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:13.733980,"(6.0, 13.0, 11.45)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:15.150106,"(6.0, 13.0, 11.45)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:16.483662,"(6.0, 13.0, 11.225)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:17.825843,"(6.0, 13.0, 11.225)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:19.136688,"(6.0, 13.0, 11.816666666666666)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:20.473997,"(6.0, 13.0, 11.816666666666666)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:21.823260,"(6.0, 13.0, 11.35)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:23.187509,"(6.0, 13.0, 12.433333333333334)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:24.553741,"(6.0, 13.0, 12.433333333333334)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:25.958496,"(6.0, 13.0, 12.433333333333334)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:27.383157,"(6.0, 13.0, 12.433333333333334)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:28.712172,"(6.0, 13.0, 12.433333333333334)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:30.064859,"(6.0, 13.0, 12.433333333333334)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:31.385029,"(6.0, 13.0, 12.433333333333334)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:32.943436,"(6.0, 13.0, 12.611764705882353)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:34.417228,"(6.0, 13.0, 12.611764705882353)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:35.736146,"(6.0, 13.0, 11.4)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:37.089756,"(6.0, 13.0, 11.4)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:38.483437,"(6.0, 13.0, 11.816666666666666)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:39.812205,"(6.0, 13.0, 11.816666666666666)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:41.104437,"(6.0, 13.0, 11.816666666666666)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:42.364079,"(6.0, 13.0, 11.816666666666666)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 18.333333333333332)"
11-01-2023 19:05:43.591665,"(6.0, 13.0, 11.816666666666666)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 28.0, 17.625)"
11-01-2023 19:05:44.786257,"(6.0, 13.0, 12.416666666666668)","(4.2, 6.4, 6.1703125000000005)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 30.0, 17.625)"
11-01-2023 19:05:45.983284,"(6.0, 13.0, 11.35)","(4.2, 6.4, 6.1703125000000005)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 30.0, 17.625)"
11-01-2023 19:05:47.116924,"(6.0, 13.0, 11.3)","(4.2, 6.4, 6.1703125000000005)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 30.0, 17.625)"
11-01-2023 19:05:48.257574,"(6.0, 13.0, 11.3)","(4.2, 6.4, 6.1703125000000005)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 30.0, 17.625)"
11-01-2023 19:05:49.383057,"(6.0, 13.0, 11.3)","(4.2, 6.4, 6.1703125000000005)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 30.0, 17.625)"
11-01-2023 19:05:50.521704,"(6.0, 13.0, 11.816666666666666)","(4.2, 6.4, 6.1703125000000005)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 30.0, 17.625)"
11-01-2023 19:05:51.652668,"(6.0, 13.0, 11.816666666666666)","(4.2, 6.4, 6.1703125000000005)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 30.0, 17.625)"
11-01-2023 19:05:52.846149,"(6.0, 13.0, 11.816666666666666)","(4.2, 6.4, 6.1703125000000005)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 30.0, 17.625)"
11-01-2023 19:05:54.080036,"(6.0, 13.0, 11.816666666666666)","(4.2, 6.4, 6.1703125000000005)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 30.0, 17.625)"
11-01-2023 19:05:55.327683,"(6.0, 13.0, 11.816666666666666)","(4.2, 6.4, 6.1703125000000005)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 30.0, 17.625)"
11-01-2023 19:05:56.560845,"(6.0, 13.0, 12.416666666666668)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 30.0, 17.625)"
11-01-2023 19:05:57.805505,"(6.0, 13.0, 12.433333333333334)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 30.0, 17.625)"
11-01-2023 19:05:59.079506,"(6.0, 13.0, 12.433333333333334)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 30.0, 17.625)"
11-01-2023 19:06:00.357480,"(6.0, 13.0, 12.433333333333334)","(4.2, 6.4, 6.010000000000001)","(4.4, 7.4, 7.180303030303031)","(5.0, 10.5, 9.48)","(5.5, 9.0, 8.852)","(7.0, 11.5, 10.275)","(8.5, 22.0, 11.166666666666666)","(13.0, 30.0, 17.625)"
