,Lightning Luna,Drive The Jack,Gable,Burning Fee,Bailey The Rock,Woodside Bella
11-01-2023 11:07:13.362274,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:14.367404,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:15.317227,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:16.345742,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:17.348515,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:18.367536,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:19.437535,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:20.517369,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:21.538762,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:22.389304,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:23.288949,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:24.264160,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:25.184242,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:26.148203,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:27.110132,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:27.998032,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:28.945827,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:29.940969,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:30.916265,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:31.949175,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:32.950928,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:33.923029,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:34.760484,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:35.724359,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:36.674186,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:37.624001,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:38.602877,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:39.537192,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:40.523035,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:41.505940,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:42.391011,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.782857142857143)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:43.479195,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.7582608695652175)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:44.510395,"(5.0, 8.8, 7.28)","(3.6, 5.3, 3.7)","(3.6, 6.8, 4.07)","(2.7, 3.6, 2.7582608695652175)","(26.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:45.576583,"(5.0, 8.8, 7.28)","(3.7, 5.3, 3.7)","(3.5, 6.8, 4.07)","(2.6, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:46.629966,"(5.0, 8.8, 7.28)","(3.7, 5.3, 3.7)","(3.5, 6.8, 4.07)","(2.6, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:47.675592,"(5.0, 8.8, 7.28)","(3.7, 5.3, 3.7)","(3.5, 6.8, 4.07)","(2.6, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:48.704791,"(5.0, 8.8, 7.28)","(3.7, 5.3, 3.7)","(3.5, 6.8, 4.07)","(2.6, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:49.645615,"(5.0, 8.8, 7.28)","(3.7, 5.3, 3.7)","(3.5, 6.8, 4.07)","(2.6, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 14.5, 12.471428571428572)"
11-01-2023 11:07:50.579401,"(5.0, 8.8, 7.28)","(3.7, 5.3, 3.7)","(3.5, 6.8, 4.07)","(2.6, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 14.5, 12.82857142857143)"
11-01-2023 11:07:51.481432,"(5.0, 8.8, 7.28)","(3.7, 5.6, 3.7625)","(3.5, 6.8, 4.07)","(2.6, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 15.0, 12.82857142857143)"
11-01-2023 11:07:52.571961,"(5.0, 8.8, 7.28)","(3.7, 5.6, 3.7625)","(3.5, 6.8, 4.07)","(2.6, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 15.0, 12.82857142857143)"
11-01-2023 11:07:53.623486,"(5.0, 8.8, 7.28)","(3.7, 5.6, 3.7625)","(3.5, 6.8, 4.07)","(2.6, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 15.0, 12.82857142857143)"
11-01-2023 11:07:54.685015,"(5.0, 8.8, 7.28)","(3.7, 5.6, 3.7625)","(3.5, 6.8, 4.07)","(2.6, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 15.0, 12.82857142857143)"
11-01-2023 11:07:56.046738,"(5.0, 8.8, 7.28)","(3.7, 5.6, 3.7625)","(3.5, 6.8, 4.07)","(2.6, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 15.0, 12.82857142857143)"
11-01-2023 11:07:57.053550,"(5.0, 8.8, 7.28)","(3.7, 5.6, 3.7625)","(3.5, 6.8, 4.07)","(2.6, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 15.0, 12.82857142857143)"
11-01-2023 11:07:58.050681,"(5.0, 8.8, 7.28)","(3.7, 5.6, 3.7625)","(3.5, 6.8, 4.07)","(2.6, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 15.0, 12.82857142857143)"
11-01-2023 11:07:58.976268,"(5.0, 8.8, 7.28)","(3.7, 5.6, 3.7625)","(3.5, 6.8, 4.07)","(2.6, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 15.0, 12.82857142857143)"
11-01-2023 11:08:00.158540,"(5.0, 8.8, 7.28)","(3.7, 5.6, 3.7625)","(3.5, 6.8, 4.07)","(2.6, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 15.0, 12.82857142857143)"
11-01-2023 11:08:01.147680,"(5.0, 8.8, 7.28)","(3.7, 5.6, 3.7625)","(3.5, 6.8, 4.07)","(2.6, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 15.0, 12.82857142857143)"
11-01-2023 11:08:02.139352,"(5.0, 8.8, 7.28)","(3.7, 5.6, 3.7625)","(3.5, 6.8, 4.07)","(2.6, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 15.0, 12.82857142857143)"
11-01-2023 11:08:02.994400,"(5.0, 8.8, 7.28)","(3.7, 5.6, 3.7625)","(3.5, 6.8, 4.07)","(2.6, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 15.0, 12.82857142857143)"
11-01-2023 11:08:03.927326,"(5.0, 8.8, 7.28)","(3.8, 5.6, 3.7625)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 15.0, 12.82857142857143)"
11-01-2023 11:08:04.968324,"(5.0, 8.8, 7.28)","(3.8, 5.6, 3.7625)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 15.0, 12.82857142857143)"
11-01-2023 11:08:05.996828,"(5.0, 8.8, 7.28)","(3.8, 5.6, 3.7625)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 15.0, 13.185714285714285)"
11-01-2023 11:08:07.061864,"(5.0, 9.0, 7.4)","(3.8, 5.7, 3.775)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 15.5, 13.185714285714285)"
11-01-2023 11:08:08.049597,"(5.0, 9.0, 7.4)","(3.8, 5.7, 3.775)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 15.5, 13.542857142857143)"
11-01-2023 11:08:09.171312,"(5.0, 9.2, 7.52)","(3.8, 5.7, 3.775)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 13.542857142857143)"
11-01-2023 11:08:10.078833,"(5.0, 9.2, 7.52)","(3.8, 5.7, 3.775)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 13.542857142857143)"
11-01-2023 11:08:10.985312,"(5.0, 9.2, 7.52)","(3.8, 5.7, 3.775)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 13.542857142857143)"
11-01-2023 11:08:11.938256,"(5.0, 9.2, 7.52)","(3.8, 5.7, 3.775)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 13.542857142857143)"
11-01-2023 11:08:12.987575,"(5.0, 9.2, 7.52)","(3.8, 5.7, 3.775)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 13.542857142857143)"
11-01-2023 11:08:13.953642,"(5.0, 9.2, 7.52)","(3.8, 5.7, 3.775)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 13.542857142857143)"
11-01-2023 11:08:14.829496,"(5.0, 9.2, 7.52)","(3.8, 5.7, 3.775)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 13.542857142857143)"
11-01-2023 11:08:15.706484,"(5.0, 9.2, 7.52)","(3.8, 5.7, 3.775)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 13.542857142857143)"
11-01-2023 11:08:16.626902,"(5.0, 9.2, 7.52)","(3.8, 5.7, 3.775)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 13.542857142857143)"
11-01-2023 11:08:17.620444,"(5.0, 9.2, 7.52)","(3.8, 5.7, 3.775)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 13.542857142857143)"
11-01-2023 11:08:18.598850,"(5.0, 9.2, 7.52)","(3.8, 5.7, 3.775)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 13.542857142857143)"
11-01-2023 11:08:19.563966,"(5.0, 9.2, 7.52)","(3.8, 5.7, 3.775)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
11-01-2023 11:08:20.448409,"(5.0, 9.2, 7.52)","(3.8, 5.7, 5.274324324324325)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
11-01-2023 11:08:21.317169,"(5.0, 9.2, 7.52)","(3.8, 5.7, 5.274324324324325)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
11-01-2023 11:08:22.227003,"(5.0, 9.2, 7.52)","(3.8, 5.7, 4.6)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
11-01-2023 11:08:23.188586,"(5.0, 9.2, 7.52)","(3.8, 5.7, 4.6)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
11-01-2023 11:08:24.238172,"(5.0, 9.2, 7.52)","(3.8, 5.7, 4.331818181818182)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
11-01-2023 11:08:25.304196,"(5.0, 9.2, 7.52)","(3.8, 5.7, 4.331818181818182)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
11-01-2023 11:08:26.278955,"(5.0, 9.2, 7.52)","(3.8, 5.7, 4.331818181818182)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
11-01-2023 11:08:27.218299,"(5.0, 9.2, 7.52)","(3.8, 5.7, 4.331818181818182)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
11-01-2023 11:08:28.107444,"(5.0, 9.2, 7.52)","(3.8, 5.7, 4.331818181818182)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
11-01-2023 11:08:28.961694,"(5.0, 9.2, 7.52)","(3.8, 5.7, 4.331818181818182)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
11-01-2023 11:08:29.914743,"(5.0, 9.2, 7.52)","(3.8, 5.7, 4.331818181818182)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
11-01-2023 11:08:30.850446,"(5.0, 9.2, 7.52)","(3.8, 5.7, 4.331818181818182)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
11-01-2023 11:08:31.814574,"(5.0, 9.2, 7.52)","(3.8, 5.7, 4.331818181818182)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
11-01-2023 11:08:32.672487,"(5.0, 9.2, 7.52)","(3.8, 5.7, 4.331818181818182)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
11-01-2023 11:08:33.523038,"(5.0, 9.2, 7.52)","(3.8, 5.7, 3.8625000000000003)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
11-01-2023 11:08:34.442841,"(5.0, 9.2, 7.52)","(3.8, 5.7, 3.8625000000000003)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
11-01-2023 11:08:35.520156,"(5.0, 9.2, 7.52)","(3.8, 5.7, 3.8625000000000003)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
11-01-2023 11:08:36.544519,"(5.0, 9.2, 7.52)","(3.8, 5.7, 3.8625000000000003)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
11-01-2023 11:08:37.537192,"(5.0, 9.2, 7.52)","(3.8, 5.7, 3.8625000000000003)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
11-01-2023 11:08:38.493883,"(5.0, 9.2, 7.52)","(3.8, 5.7, 3.8625000000000003)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
11-01-2023 11:08:39.424321,"(5.0, 9.2, 7.52)","(3.8, 5.7, 3.8625000000000003)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
11-01-2023 11:08:40.312544,"(5.0, 9.2, 7.52)","(3.8, 5.7, 3.8625000000000003)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
11-01-2023 11:08:41.215836,"(5.0, 9.2, 7.52)","(3.8, 5.7, 3.8625000000000003)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
11-01-2023 11:08:42.129867,"(5.0, 9.2, 7.52)","(3.8, 5.7, 3.8625000000000003)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
11-01-2023 11:08:43.047938,"(5.0, 9.2, 7.52)","(3.8, 5.7, 3.8625000000000003)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
11-01-2023 11:08:44.025326,"(5.0, 9.2, 7.52)","(3.8, 5.7, 3.8625000000000003)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
11-01-2023 11:08:44.921727,"(5.0, 9.2, 7.52)","(3.8, 5.7, 3.8625000000000003)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
11-01-2023 11:08:45.827988,"(5.0, 9.2, 7.52)","(3.8, 5.7, 3.8625000000000003)","(3.5, 6.8, 4.07)","(2.5, 3.6, 2.7582608695652175)","(31.0, 170.0, 79.375)","(8.0, 16.0, 15.094736842105263)"
