,Cashed Up Johnny,Dixie Dutton,Book Of Love,Precious Layla,High Range,Four Barrys,Salem Sweetheart,Cool Red
08-01-2023 16:39:10.084418,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:11.158072,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:12.172898,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:13.318036,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:14.506549,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:15.650122,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:16.813461,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:17.924877,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:19.002200,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:20.162109,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:21.374928,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:22.559778,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:23.694197,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:24.775232,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:25.888782,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:27.057926,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:28.245179,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:29.429575,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:30.526294,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:31.648796,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:32.753284,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.184210526315789)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:33.867127,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:35.025378,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:36.169297,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:37.231300,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:38.349330,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.184210526315789)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:39.512891,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.184210526315789)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:40.665668,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.184210526315789)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:41.859955,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.184210526315789)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:43.005174,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.184210526315789)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:44.126863,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.184210526315789)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:45.255659,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.184210526315789)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:46.320973,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.184210526315789)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:47.536320,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.184210526315789)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:48.619852,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.184210526315789)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:49.771243,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.184210526315789)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:50.830943,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.184210526315789)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:51.858094,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.184210526315789)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:52.946797,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.184210526315789)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:54.104621,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.184210526315789)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:55.185176,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.184210526315789)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:56.200346,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.184210526315789)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:57.203903,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.184210526315789)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:58.221603,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.184210526315789)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:39:59.239083,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.184210526315789)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:40:00.239406,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.184210526315789)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:40:01.270628,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.184210526315789)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:40:02.380112,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:40:03.460518,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:40:04.524962,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.05)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:40:05.649274,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.184210526315789)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:40:06.759399,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.184210526315789)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:40:07.918776,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.097222222222222)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:40:09.111422,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.097222222222222)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:40:10.295147,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.097222222222222)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:40:11.477114,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.097222222222222)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:40:12.588261,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.3475)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:40:13.753433,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.3475)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:40:14.917879,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.3475)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:40:16.157978,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.3475)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:40:17.370283,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.3475)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:40:18.540001,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.3475)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:40:19.691621,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.3475)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:40:20.867618,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.3475)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:40:22.075980,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.3475)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:40:23.298487,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.3475)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:40:24.551738,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.3475)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:40:25.746388,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.3475)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:40:26.940359,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.3475)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:40:28.108909,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.3475)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:40:29.273450,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.3475)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:40:30.468007,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.3475)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
08-01-2023 16:40:31.658278,"(1.95, 2.4, 2.1975)","(7.5, 13.0, 7.7272727272727275)","(12.0, 30.0, 18.666666666666664)","(2.8, 6.6, 4.3475)","(61.0, 240.0, 105.6923076923077)","(7.5, 14.5, 14.06875)","(41.0, 210.0, 90.0)","(21.0, 25.0, 20.213675213675213)"
