,Grace Elizabeth,Cruz In The Castle,Got Your Number,Jamestown Road,Secret Castle,Miss Wave,Heretodaygonmanana,Cheese Louise,Ocean Lilly
08-01-2023 12:19:56.406018,"(12.0, 17.0, 14.0)","(3.4, 6.0, 5.742857142857143)","(13.0, 18.0, 16.166666666666668)","(3.4, 6.2, 5.95)","(4.6, 6.6, 5.364705882352941)","(6.5, 8.2, 7.542857142857143)","(31.0, 220.0, 86.33333333333333)","(31.0, 220.0, 120.5)","(10.0, 13.5, 13.0)"
08-01-2023 12:19:57.568987,"(12.0, 17.0, 14.0)","(3.4, 6.0, 5.742857142857143)","(13.0, 18.0, 16.166666666666668)","(3.4, 6.2, 5.95)","(4.6, 6.6, 5.75)","(6.5, 8.2, 7.542857142857143)","(31.0, 220.0, 86.33333333333333)","(31.0, 220.0, 120.5)","(10.0, 13.5, 13.0)"
08-01-2023 12:19:58.741070,"(12.0, 17.0, 14.0)","(3.4, 6.0, 5.742857142857143)","(13.0, 17.5, 15.0)","(3.4, 6.2, 5.95)","(4.6, 6.4, 5.75)","(6.5, 8.2, 7.542857142857143)","(31.0, 220.0, 86.33333333333333)","(31.0, 220.0, 120.5)","(10.0, 13.5, 13.0)"
08-01-2023 12:19:59.867076,"(12.0, 17.0, 14.0)","(3.4, 6.0, 5.742857142857143)","(13.0, 17.5, 15.0)","(3.4, 6.2, 5.95)","(4.6, 6.4, 5.75)","(6.5, 8.2, 7.542857142857143)","(31.0, 220.0, 86.33333333333333)","(31.0, 220.0, 120.5)","(10.0, 13.5, 13.0)"
08-01-2023 12:20:01.002211,"(12.0, 17.0, 14.0)","(3.4, 6.0, 5.742857142857143)","(13.0, 17.5, 15.0)","(3.4, 6.2, 5.95)","(4.6, 6.4, 5.75)","(6.5, 8.2, 7.542857142857143)","(31.0, 220.0, 86.33333333333333)","(31.0, 220.0, 120.5)","(10.0, 13.5, 13.0)"
08-01-2023 12:20:02.127326,"(12.0, 17.0, 14.0)","(3.4, 6.0, 5.742857142857143)","(13.0, 17.5, 15.0)","(3.4, 6.2, 5.95)","(4.6, 6.4, 5.75)","(6.5, 8.2, 7.542857142857143)","(31.0, 220.0, 86.33333333333333)","(31.0, 220.0, 134.71428571428572)","(10.0, 13.5, 13.1)"
08-01-2023 12:20:03.206712,"(12.0, 16.5, 13.166666666666666)","(3.4, 6.0, 5.742857142857143)","(13.0, 17.5, 15.833333333333334)","(3.4, 6.2, 5.5)","(4.6, 6.4, 5.680000000000001)","(6.5, 8.2, 7.1)","(31.0, 220.0, 139.8)","(31.0, 220.0, 134.71428571428572)","(10.0, 13.5, 13.1)"
08-01-2023 12:20:04.304693,"(12.0, 16.5, 13.166666666666666)","(3.4, 6.0, 5.742857142857143)","(13.0, 17.5, 15.833333333333334)","(3.4, 6.2, 5.5)","(4.6, 6.4, 5.326315789473685)","(6.5, 8.2, 7.1)","(31.0, 220.0, 139.8)","(31.0, 220.0, 134.71428571428572)","(10.0, 13.5, 13.1)"
08-01-2023 12:20:05.390079,"(12.0, 16.5, 13.166666666666666)","(3.4, 6.0, 5.742857142857143)","(13.0, 17.5, 15.833333333333334)","(3.4, 6.2, 5.5)","(4.6, 6.4, 5.51304347826087)","(6.5, 8.2, 7.1)","(31.0, 220.0, 140.0)","(31.0, 220.0, 121.0)","(10.0, 13.5, 11.5)"
08-01-2023 12:20:06.486228,"(12.0, 16.5, 13.166666666666666)","(3.4, 6.0, 5.742857142857143)","(13.0, 22.0, 18.833333333333332)","(3.4, 6.2, 5.5)","(4.6, 6.4, 5.51304347826087)","(6.5, 8.2, 7.3999999999999995)","(31.0, 220.0, 140.0)","(31.0, 220.0, 121.0)","(10.0, 13.5, 11.5)"
08-01-2023 12:20:07.609328,"(12.0, 16.5, 13.166666666666666)","(3.4, 6.0, 5.742857142857143)","(13.0, 22.0, 18.833333333333332)","(3.4, 6.2, 5.5)","(4.6, 6.4, 5.51304347826087)","(6.5, 8.2, 7.3999999999999995)","(31.0, 220.0, 140.39999999999998)","(31.0, 220.0, 121.5)","(10.0, 13.5, 11.5)"
08-01-2023 12:20:08.736533,"(12.0, 16.5, 13.166666666666666)","(3.4, 6.0, 5.742857142857143)","(13.0, 22.0, 18.833333333333332)","(3.4, 6.2, 5.5)","(4.6, 6.4, 5.51304347826087)","(6.5, 8.2, 7.3999999999999995)","(31.0, 220.0, 140.39999999999998)","(31.0, 220.0, 121.5)","(10.0, 13.5, 11.5)"
08-01-2023 12:20:09.880918,"(12.0, 16.5, 13.166666666666666)","(3.4, 6.0, 5.742857142857143)","(13.0, 22.0, 18.833333333333332)","(3.4, 6.2, 5.5)","(4.6, 6.4, 5.578947368421053)","(6.5, 8.2, 7.571428571428571)","(31.0, 220.0, 140.39999999999998)","(31.0, 220.0, 121.5)","(10.0, 13.5, 11.5)"
08-01-2023 12:20:11.044489,"(12.0, 16.5, 13.166666666666666)","(3.4, 6.0, 5.742857142857143)","(13.0, 22.0, 18.833333333333332)","(3.4, 6.2, 5.5)","(4.6, 6.4, 5.578947368421053)","(6.5, 8.2, 7.571428571428571)","(31.0, 220.0, 140.39999999999998)","(31.0, 220.0, 121.5)","(10.0, 13.5, 11.5)"
08-01-2023 12:20:12.254402,"(12.0, 16.5, 13.166666666666666)","(3.4, 6.0, 5.742857142857143)","(13.0, 22.0, 18.833333333333332)","(3.4, 6.2, 5.533333333333333)","(4.6, 6.4, 5.578947368421053)","(6.5, 8.2, 7.571428571428571)","(31.0, 220.0, 140.39999999999998)","(31.0, 220.0, 121.5)","(10.0, 13.5, 11.5)"
08-01-2023 12:20:13.509458,"(12.0, 16.5, 13.166666666666666)","(3.4, 6.0, 5.742857142857143)","(13.0, 22.0, 18.833333333333332)","(3.4, 5.9, 5.533333333333333)","(4.6, 6.4, 5.46875)","(6.5, 8.2, 7.1)","(31.0, 220.0, 140.39999999999998)","(31.0, 220.0, 121.5)","(10.0, 13.5, 12.5)"
08-01-2023 12:20:14.705601,"(12.0, 16.5, 13.166666666666666)","(3.4, 5.9, 5.775)","(13.0, 22.0, 16.0)","(3.4, 5.9, 5.533333333333333)","(4.6, 6.2, 5.46875)","(6.5, 8.2, 7.1)","(31.0, 220.0, 140.39999999999998)","(31.0, 220.0, 121.5)","(10.0, 13.5, 12.5)"
08-01-2023 12:20:15.841214,"(12.0, 16.5, 13.166666666666666)","(3.4, 5.9, 5.5875)","(13.0, 17.0, 15.0)","(3.4, 5.9, 5.075)","(4.6, 6.2, 5.46875)","(6.5, 8.2, 7.1)","(31.0, 220.0, 140.39999999999998)","(31.0, 220.0, 121.5)","(10.0, 13.5, 12.5)"
08-01-2023 12:20:16.930625,"(12.0, 16.5, 13.166666666666666)","(3.4, 5.9, 5.5875)","(13.0, 17.0, 15.0)","(3.4, 5.9, 5.075)","(4.6, 6.2, 5.46875)","(6.5, 8.2, 7.1)","(31.0, 220.0, 140.39999999999998)","(31.0, 220.0, 141.2)","(10.0, 13.5, 12.5)"
08-01-2023 12:20:18.027407,"(12.0, 16.5, 14.0)","(3.4, 5.9, 5.5875)","(13.0, 17.0, 15.0)","(3.4, 5.9, 5.075)","(4.6, 6.2, 5.46875)","(6.5, 8.2, 7.1)","(31.0, 220.0, 140.39999999999998)","(31.0, 220.0, 141.2)","(10.0, 13.5, 12.5)"
08-01-2023 12:20:19.195831,"(12.0, 16.5, 14.0)","(3.4, 5.9, 5.5875)","(13.0, 17.0, 15.0)","(3.4, 5.9, 5.075)","(4.6, 6.2, 5.46875)","(6.5, 8.2, 7.1)","(31.0, 220.0, 140.39999999999998)","(31.0, 220.0, 141.2)","(10.0, 13.5, 12.553333333333335)"
08-01-2023 12:20:20.272214,"(12.0, 16.5, 14.0)","(3.4, 5.9, 5.775)","(13.0, 17.0, 15.0)","(3.4, 5.9, 5.075)","(4.6, 6.2, 5.46875)","(6.5, 8.2, 7.1)","(31.0, 220.0, 140.39999999999998)","(31.0, 220.0, 141.2)","(10.0, 13.5, 11.825)"
08-01-2023 12:20:21.403449,"(12.0, 16.5, 14.0)","(3.8, 5.9, 5.775)","(13.0, 17.0, 15.0)","(3.5, 5.9, 5.075)","(4.4, 6.2, 5.46875)","(6.5, 8.2, 7.1)","(31.0, 220.0, 140.39999999999998)","(31.0, 220.0, 141.2)","(9.0, 13.5, 9.3)"
08-01-2023 12:20:22.476098,"(10.0, 16.5, 14.0)","(3.8, 5.9, 5.775)","(13.0, 17.0, 15.0)","(3.5, 5.9, 5.075)","(4.4, 6.2, 5.46875)","(6.5, 8.2, 7.1)","(31.0, 220.0, 140.39999999999998)","(31.0, 220.0, 141.2)","(9.0, 13.5, 9.3)"
08-01-2023 12:20:23.595229,"(10.0, 16.5, 14.0)","(3.8, 5.9, 5.775)","(13.0, 17.0, 15.0)","(3.5, 5.9, 5.075)","(4.4, 6.2, 5.46875)","(6.5, 8.2, 7.1)","(31.0, 220.0, 140.39999999999998)","(31.0, 220.0, 141.2)","(9.0, 13.5, 9.3)"
08-01-2023 12:20:24.731376,"(10.0, 16.5, 14.0)","(3.8, 5.9, 5.775)","(13.0, 17.0, 15.0)","(3.5, 5.9, 5.075)","(4.4, 6.2, 5.46875)","(6.5, 8.2, 7.1)","(31.0, 220.0, 140.39999999999998)","(31.0, 220.0, 141.2)","(9.0, 13.5, 12.025)"
08-01-2023 12:20:25.849233,"(10.0, 16.5, 14.0)","(3.8, 5.9, 5.775)","(13.0, 17.0, 15.0)","(3.5, 5.9, 5.075)","(4.4, 6.2, 5.46875)","(6.5, 8.2, 7.1)","(31.0, 220.0, 140.39999999999998)","(31.0, 220.0, 141.2)","(9.0, 13.5, 11.87142857142857)"
08-01-2023 12:20:26.982659,"(10.0, 16.5, 14.0)","(3.8, 5.9, 5.775)","(13.0, 17.0, 15.0)","(3.5, 5.9, 5.075)","(4.4, 6.2, 5.46875)","(6.5, 8.2, 7.1)","(31.0, 220.0, 140.39999999999998)","(31.0, 220.0, 141.2)","(9.0, 13.5, 11.87142857142857)"
08-01-2023 12:20:28.107467,"(10.0, 16.5, 14.0)","(3.8, 5.9, 5.775)","(13.0, 17.0, 15.0)","(3.5, 5.9, 5.075)","(4.4, 6.0, 5.65)","(6.5, 8.2, 7.1)","(31.0, 220.0, 140.39999999999998)","(31.0, 220.0, 141.2)","(9.0, 13.5, 11.666666666666666)"
08-01-2023 12:20:29.254368,"(10.0, 16.5, 14.0)","(3.8, 5.9, 5.775)","(13.0, 17.0, 15.0)","(3.5, 5.9, 5.075)","(4.4, 6.0, 5.66)","(6.5, 8.2, 7.1)","(31.0, 220.0, 140.39999999999998)","(31.0, 220.0, 141.2)","(9.0, 13.5, 12.042857142857143)"
08-01-2023 12:20:30.447329,"(10.0, 16.5, 14.0)","(3.8, 5.9, 5.775)","(13.0, 17.0, 15.0)","(3.5, 5.9, 5.133333333333333)","(4.4, 5.9, 5.66)","(6.5, 8.2, 7.1)","(31.0, 220.0, 140.39999999999998)","(31.0, 220.0, 141.2)","(9.0, 13.5, 12.042857142857143)"
08-01-2023 12:20:31.579917,"(10.0, 16.5, 14.0)","(3.8, 6.0, 5.6571428571428575)","(13.0, 17.0, 15.0)","(3.5, 5.8, 5.0)","(4.4, 5.9, 5.66)","(6.5, 8.2, 7.6)","(31.0, 220.0, 140.39999999999998)","(31.0, 220.0, 141.2)","(9.0, 13.5, 12.16)"
08-01-2023 12:20:32.725594,"(10.0, 16.5, 15.125)","(3.8, 6.0, 5.6571428571428575)","(13.0, 17.0, 15.0)","(3.5, 5.8, 4.7)","(4.4, 5.9, 5.66)","(6.5, 8.2, 7.6)","(31.0, 220.0, 140.39999999999998)","(31.0, 220.0, 141.2)","(9.0, 13.5, 11.642857142857142)"
08-01-2023 12:20:33.897642,"(10.0, 16.5, 15.125)","(4.0, 6.0, 5.6571428571428575)","(13.0, 17.0, 15.0)","(3.5, 5.7, 4.7)","(4.4, 5.9, 5.66)","(6.5, 8.2, 7.999999999999999)","(31.0, 220.0, 163.71428571428572)","(31.0, 220.0, 155.0)","(9.0, 13.5, 9.433333333333334)"
08-01-2023 12:20:35.078404,"(10.0, 16.5, 15.125)","(4.0, 6.0, 5.6571428571428575)","(13.0, 17.0, 15.0)","(3.5, 5.6, 5.4)","(4.4, 5.9, 5.66)","(6.5, 8.2, 7.6)","(31.0, 220.0, 170.5)","(31.0, 220.0, 164.0)","(9.0, 13.5, 11.14)"
08-01-2023 12:20:36.239126,"(10.0, 16.5, 15.125)","(4.0, 6.0, 5.6571428571428575)","(13.0, 17.0, 15.0)","(3.5, 5.7, 5.4)","(4.4, 5.9, 5.66)","(6.5, 8.2, 7.6)","(31.0, 220.0, 170.5)","(31.0, 220.0, 164.0)","(9.0, 13.5, 9.833333333333334)"
08-01-2023 12:20:37.336346,"(10.0, 16.5, 16.045454545454547)","(4.0, 6.0, 5.6571428571428575)","(13.0, 17.0, 15.0)","(3.5, 5.7, 5.4)","(4.4, 5.9, 5.46875)","(6.5, 8.2, 7.622222222222222)","(31.0, 220.0, 119.75)","(31.0, 220.0, 140.8)","(9.0, 13.5, 10.85)"
08-01-2023 12:20:38.422760,"(10.0, 16.5, 15.125)","(4.0, 6.0, 5.6571428571428575)","(13.0, 17.0, 15.0)","(3.5, 5.7, 5.33)","(4.4, 6.2, 5.46875)","(6.5, 8.2, 7.622222222222222)","(31.0, 220.0, 119.75)","(31.0, 220.0, 140.8)","(9.0, 13.5, 10.85)"
08-01-2023 12:20:39.579164,"(10.0, 16.5, 16.045454545454547)","(4.0, 6.0, 5.6571428571428575)","(13.0, 17.0, 15.0)","(3.5, 5.7, 5.33)","(4.4, 6.2, 5.902857142857143)","(6.5, 8.2, 7.99090909090909)","(31.0, 220.0, 170.0)","(31.0, 220.0, 163.71428571428572)","(9.0, 13.5, 12.873333333333335)"
08-01-2023 12:20:40.682470,"(10.0, 16.5, 16.045454545454547)","(4.0, 6.0, 5.6571428571428575)","(13.0, 17.0, 15.0)","(3.5, 5.7, 5.33)","(4.4, 6.2, 5.902857142857143)","(6.5, 8.2, 7.99090909090909)","(31.0, 220.0, 170.5)","(31.0, 220.0, 163.71428571428572)","(9.0, 13.5, 12.873333333333335)"
08-01-2023 12:20:41.767769,"(10.0, 16.5, 16.045454545454547)","(4.0, 6.0, 5.6571428571428575)","(13.0, 17.0, 15.0)","(3.5, 5.7, 5.33)","(4.4, 6.2, 5.46875)","(6.5, 8.2, 7.6)","(31.0, 220.0, 169.875)","(31.0, 220.0, 162.57142857142858)","(9.0, 13.5, 10.1)"
08-01-2023 12:20:42.888464,"(10.0, 16.5, 15.0)","(4.0, 6.0, 5.6571428571428575)","(13.0, 17.0, 15.0)","(3.5, 5.7, 5.33)","(4.4, 6.2, 5.902857142857143)","(6.5, 8.2, 7.99090909090909)","(31.0, 220.0, 170.0)","(31.0, 220.0, 186.58333333333331)","(8.0, 13.5, 12.9)"
08-01-2023 12:20:43.977696,"(8.5, 16.5, 16.09090909090909)","(4.8, 6.0, 5.6571428571428575)","(11.0, 17.0, 15.0)","(3.5, 5.7, 5.33)","(4.4, 6.2, 5.46875)","(6.5, 8.2, 7.6)","(31.0, 220.0, 169.875)","(26.0, 220.0, 139.8)","(8.0, 13.5, 11.35)"
08-01-2023 12:20:45.134579,"(8.5, 16.5, 15.0)","(4.8, 6.0, 5.6571428571428575)","(11.0, 17.0, 15.0)","(3.5, 5.7, 5.33)","(4.4, 6.2, 5.46875)","(6.5, 8.2, 7.571428571428571)","(31.0, 220.0, 119.75)","(26.0, 220.0, 153.33333333333334)","(8.0, 13.5, 12.544444444444444)"
08-01-2023 12:20:46.266367,"(8.5, 16.0, 13.5)","(4.8, 6.0, 5.6571428571428575)","(11.0, 17.0, 15.0)","(3.5, 5.7, 5.33)","(4.4, 6.2, 5.95)","(6.5, 8.2, 8.00952380952381)","(31.0, 220.0, 170.0)","(26.0, 220.0, 169.875)","(8.0, 13.5, 11.35)"
08-01-2023 12:20:47.376154,"(8.5, 16.0, 15.25)","(4.8, 6.0, 5.6571428571428575)","(11.0, 17.0, 15.0)","(3.5, 5.7, 5.33)","(4.4, 6.0, 5.72)","(6.5, 8.2, 7.571428571428571)","(31.0, 220.0, 153.16666666666666)","(26.0, 220.0, 153.16666666666666)","(8.0, 13.5, 11.35)"
08-01-2023 12:20:48.536944,"(8.5, 16.0, 13.5)","(4.8, 6.0, 5.6571428571428575)","(11.0, 17.0, 15.0)","(3.5, 5.7, 5.33)","(4.4, 6.0, 5.72)","(6.5, 8.2, 7.571428571428571)","(31.0, 220.0, 170.0)","(26.0, 220.0, 170.0)","(8.0, 13.5, 12.914285714285715)"
08-01-2023 12:20:49.723390,"(8.5, 16.0, 13.5)","(4.8, 6.0, 5.6571428571428575)","(11.0, 17.0, 15.0)","(3.5, 5.7, 5.33)","(4.4, 6.0, 5.95)","(6.5, 8.2, 8.00952380952381)","(31.0, 220.0, 170.0)","(26.0, 220.0, 170.0)","(8.0, 13.5, 11.35)"
08-01-2023 12:20:50.893186,"(8.5, 16.0, 15.25)","(4.8, 6.0, 5.6571428571428575)","(11.0, 17.0, 15.0)","(3.5, 5.7, 5.33)","(4.4, 6.0, 5.95)","(6.5, 8.2, 8.00952380952381)","(31.0, 220.0, 119.5)","(26.0, 220.0, 140.39999999999998)","(8.0, 13.5, 11.35)"
08-01-2023 12:20:52.076343,"(8.5, 16.0, 15.25)","(4.8, 6.0, 5.6571428571428575)","(11.0, 17.0, 15.0)","(3.5, 5.7, 5.33)","(4.4, 6.0, 5.72)","(6.5, 8.2, 7.6)","(31.0, 220.0, 119.5)","(26.0, 220.0, 140.39999999999998)","(8.0, 13.5, 11.35)"
08-01-2023 12:20:53.196288,"(8.5, 16.0, 13.5)","(4.8, 6.0, 5.6571428571428575)","(11.0, 17.0, 15.0)","(3.5, 5.7, 5.33)","(4.4, 6.0, 5.72)","(6.5, 8.2, 7.6)","(31.0, 220.0, 169.875)","(26.0, 220.0, 163.71428571428572)","(8.0, 13.5, 11.35)"
08-01-2023 12:20:54.358176,"(8.5, 11.0, 10.4)","(4.8, 6.0, 5.6571428571428575)","(11.0, 17.0, 15.0)","(3.5, 5.7, 5.33)","(4.4, 6.0, 5.72)","(6.5, 8.2, 7.433333333333333)","(31.0, 220.0, 169.75)","(26.0, 220.0, 140.8)","(8.0, 13.5, 11.35)"
08-01-2023 12:20:55.475052,"(8.5, 16.0, 11.200000000000001)","(4.8, 6.0, 5.6571428571428575)","(11.0, 17.0, 15.0)","(3.5, 5.7, 5.33)","(4.4, 6.0, 5.72)","(6.5, 8.2, 7.571428571428571)","(31.0, 220.0, 119.5)","(26.0, 220.0, 153.66666666666666)","(8.0, 13.5, 11.35)"
08-01-2023 12:20:56.633286,"(8.5, 16.0, 14.0)","(4.8, 6.0, 5.6571428571428575)","(11.0, 17.0, 15.0)","(3.5, 5.7, 5.33)","(4.4, 6.0, 5.76)","(6.5, 8.2, 7.4799999999999995)","(31.0, 220.0, 119.5)","(26.0, 220.0, 153.66666666666666)","(8.0, 13.5, 11.35)"
08-01-2023 12:20:57.696523,"(8.5, 16.0, 14.0)","(4.8, 6.0, 5.6571428571428575)","(11.0, 17.0, 14.25)","(3.5, 5.7, 5.33)","(4.4, 6.0, 5.76)","(6.5, 8.2, 7.433333333333333)","(31.0, 220.0, 153.33333333333334)","(26.0, 220.0, 141.2)","(8.0, 13.5, 11.35)"
08-01-2023 12:20:58.775201,"(8.5, 16.0, 13.04)","(4.8, 6.0, 5.6571428571428575)","(11.0, 17.0, 14.25)","(3.5, 5.7, 5.33)","(4.4, 6.0, 5.76)","(6.5, 8.2, 7.3999999999999995)","(31.0, 220.0, 153.33333333333334)","(26.0, 220.0, 141.2)","(8.0, 13.5, 11.35)"
