,Dancin In Dubai,Proud Union,Fearnought,Stringfella,Strong Heart,Lil Toughman,Hidden Rod,Stormin Rocket,Manhattan Weave,Freedom Rider
08-01-2023 11:45:44.859362,"(5.5, 16.5, 11.95)","(11.0, 23.0, 16.5)","(17.0, 160.0, 145.29999999999998)","(8.0, 15.0, 11.363636363636363)","(17.0, 160.0, 123.25)","(31.0, 230.0, 178.5)","(17.0, 230.0, 208.29999999999998)","(21.0, 210.0, 161.375)","(13.0, 28.0, 21.0)","(1.75, 1.87, 1.814)"
08-01-2023 11:45:45.947164,"(5.5, 16.5, 11.95)","(11.0, 23.0, 16.5)","(17.0, 160.0, 145.29999999999998)","(8.0, 15.0, 11.363636363636363)","(17.0, 160.0, 123.25)","(31.0, 230.0, 178.5)","(17.0, 230.0, 208.29999999999998)","(21.0, 210.0, 161.375)","(13.0, 28.0, 21.0)","(1.75, 1.87, 1.814)"
08-01-2023 11:45:47.052867,"(5.5, 16.5, 11.95)","(11.0, 23.0, 16.5)","(17.0, 160.0, 145.29999999999998)","(8.0, 15.0, 11.363636363636363)","(17.0, 160.0, 123.25)","(31.0, 230.0, 178.5)","(17.0, 230.0, 208.29999999999998)","(21.0, 210.0, 161.5)","(13.0, 28.0, 21.0)","(1.75, 1.87, 1.814)"
08-01-2023 11:45:48.184587,"(5.5, 16.5, 11.95)","(11.0, 23.0, 16.5)","(17.0, 160.0, 145.29999999999998)","(8.0, 15.0, 11.363636363636363)","(17.0, 160.0, 123.25)","(31.0, 230.0, 178.5)","(17.0, 230.0, 208.29999999999998)","(21.0, 210.0, 161.5)","(13.0, 28.0, 21.0)","(1.75, 1.87, 1.814)"
08-01-2023 11:45:49.309909,"(5.5, 16.5, 11.95)","(11.0, 23.0, 16.5)","(17.0, 160.0, 145.29999999999998)","(8.0, 15.0, 11.363636363636363)","(17.0, 160.0, 130.75)","(31.0, 230.0, 178.5)","(17.0, 230.0, 208.29999999999998)","(21.0, 210.0, 131.5)","(13.0, 28.0, 16.75)","(1.75, 1.87, 1.814)"
08-01-2023 11:45:50.402925,"(5.5, 17.5, 13.214285714285715)","(11.0, 21.0, 15.5)","(17.0, 180.0, 163.29999999999998)","(8.0, 16.0, 11.8)","(17.0, 170.0, 130.75)","(31.0, 230.0, 178.5)","(17.0, 230.0, 208.29999999999998)","(21.0, 170.0, 131.5)","(13.0, 23.0, 16.75)","(1.75, 1.87, 1.814)"
08-01-2023 11:45:51.516486,"(5.5, 17.5, 12.25)","(11.0, 21.0, 15.5)","(17.0, 180.0, 163.29999999999998)","(8.0, 16.0, 11.8)","(17.0, 170.0, 130.75)","(31.0, 230.0, 178.5)","(17.0, 230.0, 208.29999999999998)","(21.0, 170.0, 131.5)","(13.0, 23.0, 16.75)","(1.75, 1.87, 1.814)"
08-01-2023 11:45:52.653395,"(5.5, 17.5, 12.25)","(11.0, 21.0, 15.5)","(17.0, 180.0, 163.29999999999998)","(8.0, 16.0, 11.8)","(17.0, 170.0, 130.75)","(31.0, 230.0, 178.5)","(17.0, 230.0, 208.29999999999998)","(21.0, 170.0, 131.5)","(13.0, 23.0, 16.75)","(1.75, 1.87, 1.814)"
08-01-2023 11:45:53.812171,"(5.5, 17.5, 12.25)","(11.0, 21.0, 15.5)","(17.0, 180.0, 163.29999999999998)","(8.0, 16.0, 11.8)","(17.0, 170.0, 130.75)","(31.0, 230.0, 178.5)","(17.0, 230.0, 208.29999999999998)","(21.0, 170.0, 131.5)","(13.0, 23.0, 16.75)","(1.75, 1.87, 1.814)"
08-01-2023 11:45:54.940542,"(5.5, 17.5, 12.25)","(11.0, 21.0, 15.5)","(17.0, 180.0, 163.29999999999998)","(8.0, 16.0, 11.8)","(17.0, 170.0, 130.75)","(31.0, 230.0, 178.5)","(17.0, 230.0, 208.29999999999998)","(21.0, 170.0, 131.5)","(13.0, 23.0, 16.75)","(1.75, 1.87, 1.814)"
08-01-2023 11:45:56.040801,"(5.5, 17.5, 12.25)","(11.0, 21.0, 15.5)","(17.0, 180.0, 163.29999999999998)","(8.0, 16.0, 11.8)","(17.0, 170.0, 130.75)","(31.0, 230.0, 178.5)","(17.0, 230.0, 208.29999999999998)","(21.0, 170.0, 131.5)","(13.0, 23.0, 16.75)","(1.75, 1.87, 1.814)"
08-01-2023 11:45:57.130668,"(5.5, 17.5, 12.25)","(11.0, 21.0, 15.5)","(17.0, 180.0, 163.29999999999998)","(8.0, 16.0, 11.8)","(17.0, 170.0, 130.75)","(31.0, 230.0, 178.5)","(17.0, 230.0, 208.29999999999998)","(21.0, 170.0, 131.5)","(13.0, 23.0, 16.75)","(1.75, 1.87, 1.814)"
08-01-2023 11:45:58.282402,"(5.5, 17.5, 12.25)","(11.0, 21.0, 15.5)","(17.0, 180.0, 163.29999999999998)","(8.0, 16.0, 11.8)","(17.0, 170.0, 130.75)","(31.0, 230.0, 178.5)","(17.0, 230.0, 208.29999999999998)","(21.0, 170.0, 131.5)","(13.0, 23.0, 16.75)","(1.75, 1.87, 1.814)"
08-01-2023 11:45:59.444179,"(5.5, 17.5, 12.25)","(11.0, 21.0, 15.5)","(17.0, 180.0, 163.29999999999998)","(8.0, 16.0, 13.0)","(17.0, 170.0, 138.25)","(31.0, 230.0, 178.5)","(17.0, 230.0, 208.29999999999998)","(21.0, 170.0, 131.5)","(13.0, 23.0, 16.75)","(1.75, 1.87, 1.814)"
08-01-2023 11:46:00.577431,"(5.5, 17.5, 12.25)","(11.0, 21.0, 15.5)","(17.0, 190.0, 172.29999999999998)","(8.0, 16.0, 13.0)","(17.0, 180.0, 138.25)","(31.0, 230.0, 178.5)","(17.0, 230.0, 208.29999999999998)","(21.0, 170.0, 131.5)","(13.0, 23.0, 16.75)","(1.75, 1.87, 1.814)"
08-01-2023 11:46:01.687777,"(5.5, 17.5, 12.25)","(11.0, 21.0, 15.5)","(17.0, 190.0, 172.29999999999998)","(8.0, 16.0, 13.0)","(17.0, 180.0, 138.25)","(31.0, 230.0, 178.5)","(17.0, 230.0, 208.29999999999998)","(21.0, 170.0, 131.5)","(13.0, 23.0, 16.75)","(1.75, 1.87, 1.814)"
08-01-2023 11:46:02.814250,"(5.5, 17.5, 12.25)","(11.0, 21.0, 15.5)","(17.0, 190.0, 172.29999999999998)","(8.0, 16.0, 13.0)","(17.0, 180.0, 138.25)","(31.0, 230.0, 178.5)","(17.0, 230.0, 208.29999999999998)","(21.0, 170.0, 131.5)","(13.0, 23.0, 16.75)","(1.75, 1.87, 1.814)"
08-01-2023 11:46:03.907427,"(5.5, 17.5, 12.25)","(11.0, 21.0, 15.5)","(17.0, 190.0, 172.29999999999998)","(8.0, 16.0, 12.25)","(17.0, 180.0, 160.83333333333334)","(31.0, 230.0, 178.5)","(17.0, 230.0, 194.16666666666669)","(21.0, 170.0, 131.5)","(13.0, 23.0, 17.25)","(1.75, 1.87, 1.814)"
08-01-2023 11:46:04.998844,"(5.5, 230.0, 175.0)","(11.0, 22.0, 16.0)","(17.0, 200.0, 163.3)","(8.0, 14.0, 11.5)","(17.0, 190.0, 160.83333333333334)","(31.0, 230.0, 178.5)","(17.0, 230.0, 194.16666666666669)","(21.0, 170.0, 131.5)","(13.0, 24.0, 17.25)","(1.75, 1.87, 1.807777777777778)"
08-01-2023 11:46:06.102977,"(5.5, 230.0, 175.0)","(11.0, 22.0, 16.0)","(17.0, 200.0, 163.3)","(8.0, 14.0, 10.666666666666666)","(17.0, 190.0, 160.83333333333334)","(31.0, 230.0, 178.5)","(17.0, 230.0, 194.16666666666669)","(21.0, 170.0, 139.2)","(13.0, 24.0, 14.25)","(1.75, 1.87, 1.8376923076923077)"
08-01-2023 11:46:07.240253,"(5.5, 230.0, 120.25)","(11.0, 22.0, 13.375)","(17.0, 200.0, 169.41666666666666)","(8.0, 14.0, 11.083333333333334)","(17.0, 190.0, 160.83333333333334)","(31.0, 230.0, 178.5)","(17.0, 230.0, 194.16666666666669)","(21.0, 170.0, 139.2)","(13.0, 24.0, 14.25)","(1.75, 1.87, 1.8376923076923077)"
08-01-2023 11:46:08.392770,"(5.5, 230.0, 120.25)","(11.0, 22.0, 13.375)","(17.0, 200.0, 169.41666666666666)","(8.0, 14.0, 11.083333333333334)","(17.0, 190.0, 160.83333333333334)","(31.0, 230.0, 178.5)","(17.0, 230.0, 194.16666666666669)","(21.0, 170.0, 139.2)","(13.0, 24.0, 14.25)","(1.75, 1.87, 1.8311111111111111)"
08-01-2023 11:46:09.531266,"(5.5, 230.0, 120.25)","(11.0, 22.0, 13.375)","(17.0, 200.0, 194.84615384615384)","(8.0, 14.0, 11.083333333333334)","(17.0, 190.0, 182.95454545454547)","(31.0, 230.0, 178.5)","(17.0, 230.0, 199.14285714285714)","(21.0, 170.0, 131.2)","(13.0, 24.0, 14.25)","(1.75, 1.87, 1.8311111111111111)"
08-01-2023 11:46:10.649378,"(5.5, 32.0, 17.666666666666668)","(11.0, 22.0, 13.375)","(17.0, 210.0, 194.84615384615384)","(8.0, 14.0, 11.083333333333334)","(17.0, 200.0, 182.95454545454547)","(31.0, 230.0, 178.5)","(17.0, 230.0, 199.14285714285714)","(21.0, 160.0, 131.2)","(13.0, 24.0, 14.25)","(1.75, 1.87, 1.8311111111111111)"
08-01-2023 11:46:11.724411,"(5.5, 32.0, 17.666666666666668)","(11.0, 22.0, 13.375)","(17.0, 210.0, 194.84615384615384)","(8.0, 14.0, 11.083333333333334)","(17.0, 200.0, 173.21428571428572)","(31.0, 230.0, 178.5)","(17.0, 230.0, 199.14285714285714)","(21.0, 160.0, 131.2)","(13.0, 24.0, 14.25)","(1.75, 1.87, 1.8311111111111111)"
08-01-2023 11:46:12.818490,"(5.5, 32.0, 17.666666666666668)","(11.0, 22.0, 13.375)","(17.0, 210.0, 181.85714285714286)","(8.0, 14.0, 11.083333333333334)","(17.0, 200.0, 173.21428571428572)","(31.0, 230.0, 178.5)","(17.0, 230.0, 199.14285714285714)","(21.0, 160.0, 131.2)","(13.0, 24.0, 14.25)","(1.75, 1.87, 1.8311111111111111)"
08-01-2023 11:46:13.912319,"(5.5, 32.0, 17.666666666666668)","(11.0, 22.0, 13.375)","(17.0, 210.0, 181.85714285714286)","(8.0, 14.0, 10.9375)","(17.0, 200.0, 173.21428571428572)","(31.0, 230.0, 178.5)","(17.0, 230.0, 199.14285714285714)","(21.0, 160.0, 131.2)","(13.0, 24.0, 14.25)","(1.75, 1.87, 1.8311111111111111)"
08-01-2023 11:46:15.065286,"(5.5, 32.0, 17.666666666666668)","(11.0, 27.0, 16.0)","(17.0, 210.0, 181.85714285714286)","(8.0, 16.5, 11.25)","(17.0, 200.0, 173.21428571428572)","(31.0, 230.0, 178.5)","(17.0, 230.0, 199.14285714285714)","(21.0, 160.0, 131.2)","(13.0, 24.0, 14.25)","(1.75, 1.87, 1.8311111111111111)"
08-01-2023 11:46:16.191056,"(5.5, 32.0, 17.666666666666668)","(11.0, 27.0, 16.0)","(17.0, 210.0, 181.85714285714286)","(8.0, 16.5, 11.25)","(17.0, 200.0, 181.85714285714286)","(31.0, 230.0, 178.5)","(17.0, 230.0, 194.16666666666669)","(21.0, 160.0, 131.2)","(13.0, 24.0, 14.25)","(1.75, 1.87, 1.8311111111111111)"
08-01-2023 11:46:17.301635,"(5.5, 32.0, 17.666666666666668)","(11.0, 27.0, 16.0)","(17.0, 210.0, 181.85714285714286)","(8.0, 16.5, 11.25)","(17.0, 210.0, 181.85714285714286)","(31.0, 230.0, 178.5)","(17.0, 230.0, 194.16666666666669)","(21.0, 160.0, 131.2)","(13.0, 24.0, 14.25)","(1.75, 1.87, 1.8311111111111111)"
08-01-2023 11:46:18.438198,"(5.5, 32.0, 17.666666666666668)","(11.0, 27.0, 16.0)","(17.0, 210.0, 181.85714285714286)","(8.0, 16.5, 11.25)","(17.0, 210.0, 181.85714285714286)","(31.0, 230.0, 178.5)","(17.0, 230.0, 194.16666666666669)","(21.0, 160.0, 131.2)","(13.0, 24.0, 14.25)","(1.75, 1.87, 1.8311111111111111)"
08-01-2023 11:46:19.561665,"(5.5, 32.0, 17.666666666666668)","(11.0, 27.0, 16.0)","(17.0, 210.0, 181.85714285714286)","(8.0, 16.5, 11.25)","(17.0, 210.0, 181.85714285714286)","(31.0, 230.0, 178.5)","(17.0, 230.0, 194.16666666666669)","(21.0, 160.0, 131.2)","(13.0, 24.0, 14.25)","(1.75, 1.87, 1.8311111111111111)"
08-01-2023 11:46:20.693984,"(5.5, 32.0, 17.666666666666668)","(11.0, 27.0, 16.0)","(17.0, 220.0, 151.16666666666666)","(8.0, 16.5, 11.25)","(17.0, 210.0, 181.85714285714286)","(31.0, 230.0, 178.5)","(17.0, 230.0, 194.16666666666669)","(21.0, 160.0, 131.2)","(13.0, 24.0, 14.25)","(1.75, 1.87, 1.8311111111111111)"
08-01-2023 11:46:21.786207,"(5.5, 32.0, 17.666666666666668)","(11.0, 27.0, 16.0)","(17.0, 220.0, 151.16666666666666)","(8.0, 16.5, 11.25)","(17.0, 210.0, 181.85714285714286)","(31.0, 230.0, 178.5)","(17.0, 230.0, 194.16666666666669)","(21.0, 160.0, 131.2)","(13.0, 24.0, 14.25)","(1.75, 1.87, 1.8311111111111111)"
08-01-2023 11:46:22.847349,"(5.5, 32.0, 17.666666666666668)","(11.0, 27.0, 16.0)","(17.0, 220.0, 151.16666666666666)","(8.0, 16.5, 11.25)","(17.0, 210.0, 181.85714285714286)","(31.0, 230.0, 178.5)","(17.0, 230.0, 194.16666666666669)","(21.0, 160.0, 131.2)","(13.0, 24.0, 14.25)","(1.75, 1.87, 1.8311111111111111)"
08-01-2023 11:46:23.964578,"(5.5, 32.0, 17.666666666666668)","(11.0, 27.0, 16.0)","(17.0, 220.0, 151.16666666666666)","(8.0, 16.5, 11.25)","(17.0, 210.0, 181.85714285714286)","(31.0, 230.0, 178.5)","(17.0, 230.0, 194.16666666666669)","(21.0, 160.0, 131.2)","(13.0, 24.0, 14.25)","(1.75, 1.87, 1.8311111111111111)"
08-01-2023 11:46:25.090629,"(6.0, 32.0, 17.666666666666668)","(11.0, 27.0, 16.0)","(17.0, 220.0, 151.16666666666666)","(8.0, 16.5, 11.25)","(17.0, 210.0, 181.85714285714286)","(31.0, 230.0, 178.5)","(19.0, 230.0, 194.16666666666669)","(20.0, 160.0, 131.2)","(13.0, 24.0, 14.25)","(1.65, 1.87, 1.8311111111111111)"
08-01-2023 11:46:26.231851,"(6.0, 32.0, 17.666666666666668)","(11.0, 27.0, 16.0)","(17.0, 220.0, 151.16666666666666)","(8.0, 16.5, 11.25)","(17.0, 210.0, 181.85714285714286)","(31.0, 230.0, 178.5)","(19.0, 230.0, 194.16666666666669)","(20.0, 160.0, 131.2)","(13.0, 24.0, 14.25)","(1.65, 1.87, 1.8311111111111111)"
08-01-2023 11:46:27.415827,"(6.0, 32.0, 17.666666666666668)","(11.0, 27.0, 16.0)","(17.0, 220.0, 151.16666666666666)","(8.0, 16.5, 11.25)","(17.0, 210.0, 181.85714285714286)","(31.0, 230.0, 178.5)","(19.0, 230.0, 194.16666666666669)","(20.0, 160.0, 131.2)","(13.0, 24.0, 14.25)","(1.65, 1.87, 1.8311111111111111)"
08-01-2023 11:46:28.536342,"(6.0, 32.0, 17.666666666666668)","(11.0, 27.0, 16.0)","(17.0, 220.0, 151.16666666666666)","(8.0, 16.5, 11.9)","(17.0, 210.0, 149.1875)","(31.0, 230.0, 178.5)","(19.0, 230.0, 194.16666666666669)","(20.0, 160.0, 139.2)","(13.0, 24.0, 13.333333333333334)","(1.65, 1.87, 1.8311111111111111)"
08-01-2023 11:46:29.605822,"(6.0, 34.0, 18.333333333333332)","(11.0, 29.0, 16.666666666666668)","(17.0, 230.0, 194.16666666666669)","(8.0, 17.5, 11.9)","(17.0, 230.0, 149.1875)","(31.0, 230.0, 178.5)","(19.0, 230.0, 187.7)","(20.0, 170.0, 139.2)","(13.0, 25.0, 15.666666666666668)","(1.65, 1.87, 1.8311111111111111)"
08-01-2023 11:46:30.726732,"(6.0, 34.0, 18.333333333333332)","(11.0, 29.0, 16.666666666666668)","(17.0, 230.0, 194.16666666666669)","(8.0, 17.5, 11.5)","(17.0, 230.0, 149.1875)","(31.0, 230.0, 178.5)","(19.0, 230.0, 187.7)","(20.0, 170.0, 139.2)","(13.0, 25.0, 15.666666666666668)","(1.65, 1.87, 1.8311111111111111)"
08-01-2023 11:46:31.814905,"(6.0, 34.0, 18.333333333333332)","(11.0, 29.0, 16.666666666666668)","(17.0, 230.0, 194.16666666666669)","(8.0, 17.5, 11.5)","(17.0, 230.0, 149.1875)","(31.0, 230.0, 178.5)","(19.0, 230.0, 187.7)","(20.0, 170.0, 139.2)","(13.0, 25.0, 15.666666666666668)","(1.65, 1.87, 1.8311111111111111)"
08-01-2023 11:46:32.965259,"(6.0, 34.0, 18.333333333333332)","(11.0, 29.0, 16.666666666666668)","(17.0, 230.0, 194.16666666666669)","(8.0, 17.5, 11.5)","(17.0, 230.0, 149.1875)","(31.0, 230.0, 178.5)","(19.0, 230.0, 187.7)","(20.0, 170.0, 139.2)","(13.0, 25.0, 15.666666666666668)","(1.65, 1.87, 1.8311111111111111)"
08-01-2023 11:46:34.080647,"(10.0, 34.0, 18.333333333333332)","(11.0, 29.0, 16.666666666666668)","(21.0, 230.0, 194.16666666666669)","(8.0, 17.5, 11.5)","(20.0, 230.0, 149.1875)","(31.0, 230.0, 178.5)","(26.0, 230.0, 187.7)","(18.0, 170.0, 139.2)","(13.0, 25.0, 15.666666666666668)","(1.45, 1.87, 1.8311111111111111)"
08-01-2023 11:46:35.209346,"(10.0, 34.0, 18.333333333333332)","(11.0, 29.0, 16.666666666666668)","(21.0, 230.0, 194.16666666666669)","(8.0, 17.5, 11.5)","(20.0, 230.0, 149.1875)","(31.0, 230.0, 178.5)","(26.0, 230.0, 187.7)","(18.0, 170.0, 139.2)","(13.0, 25.0, 15.666666666666668)","(1.45, 1.87, 1.8311111111111111)"
08-01-2023 11:46:36.339781,"(10.0, 34.0, 18.333333333333332)","(11.0, 29.0, 16.666666666666668)","(21.0, 230.0, 194.16666666666669)","(8.0, 17.5, 11.5)","(20.0, 230.0, 149.1875)","(31.0, 230.0, 178.5)","(26.0, 230.0, 187.7)","(18.0, 170.0, 139.2)","(13.0, 25.0, 15.666666666666668)","(1.45, 1.87, 1.8376923076923077)"
08-01-2023 11:46:37.473827,"(10.0, 34.0, 18.333333333333332)","(11.0, 29.0, 16.666666666666668)","(21.0, 230.0, 194.16666666666669)","(8.0, 17.5, 11.5)","(20.0, 230.0, 149.1875)","(31.0, 230.0, 178.5)","(26.0, 230.0, 187.7)","(18.0, 170.0, 139.2)","(13.0, 25.0, 15.666666666666668)","(1.45, 1.87, 1.8325)"
08-01-2023 11:46:38.546949,"(10.0, 34.0, 18.333333333333332)","(11.0, 29.0, 16.666666666666668)","(21.0, 230.0, 194.16666666666669)","(8.0, 17.5, 11.5)","(20.0, 230.0, 149.1875)","(31.0, 230.0, 178.5)","(26.0, 230.0, 187.7)","(18.0, 170.0, 123.2)","(13.0, 25.0, 15.666666666666668)","(1.45, 1.84, 1.8325)"
08-01-2023 11:46:39.625086,"(10.0, 34.0, 18.333333333333332)","(11.0, 29.0, 16.666666666666668)","(21.0, 230.0, 194.16666666666669)","(8.0, 17.5, 11.5)","(20.0, 230.0, 149.1875)","(31.0, 230.0, 178.5)","(26.0, 230.0, 187.7)","(18.0, 150.0, 123.2)","(13.0, 25.0, 15.666666666666668)","(1.45, 1.84, 1.8325)"
08-01-2023 11:46:40.704761,"(10.0, 34.0, 18.333333333333332)","(11.0, 29.0, 16.666666666666668)","(21.0, 230.0, 194.16666666666669)","(8.0, 17.5, 11.5)","(20.0, 230.0, 149.1875)","(31.0, 230.0, 178.5)","(26.0, 230.0, 187.7)","(18.0, 150.0, 123.2)","(13.0, 25.0, 15.666666666666668)","(1.45, 1.84, 1.8325)"
08-01-2023 11:46:41.845696,"(10.0, 34.0, 18.333333333333332)","(11.0, 29.0, 16.666666666666668)","(21.0, 230.0, 194.16666666666669)","(8.0, 17.5, 11.5)","(20.0, 230.0, 149.1875)","(31.0, 230.0, 178.5)","(26.0, 230.0, 187.7)","(18.0, 150.0, 123.2)","(13.0, 25.0, 15.666666666666668)","(1.45, 1.84, 1.8325)"
08-01-2023 11:46:42.986533,"(10.0, 34.0, 18.333333333333332)","(11.0, 29.0, 16.666666666666668)","(21.0, 230.0, 194.16666666666669)","(8.0, 17.5, 11.5)","(20.0, 230.0, 149.1875)","(31.0, 230.0, 178.5)","(26.0, 230.0, 187.7)","(18.0, 150.0, 123.2)","(13.0, 25.0, 15.666666666666668)","(1.45, 1.84, 1.8325)"
08-01-2023 11:46:44.104236,"(10.0, 34.0, 18.333333333333332)","(11.0, 29.0, 16.666666666666668)","(21.0, 230.0, 194.16666666666669)","(8.0, 17.5, 11.5)","(20.0, 230.0, 149.1875)","(31.0, 230.0, 178.5)","(26.0, 230.0, 187.7)","(18.0, 150.0, 123.2)","(13.0, 25.0, 15.666666666666668)","(1.45, 1.84, 1.8325)"
08-01-2023 11:46:45.222926,"(10.0, 34.0, 18.333333333333332)","(11.0, 29.0, 16.666666666666668)","(21.0, 230.0, 194.16666666666669)","(8.0, 17.5, 11.5)","(20.0, 230.0, 149.1875)","(31.0, 230.0, 178.5)","(26.0, 230.0, 187.7)","(18.0, 150.0, 123.2)","(13.0, 25.0, 15.666666666666668)","(1.45, 1.84, 1.8325)"
08-01-2023 11:46:46.361843,"(10.0, 34.0, 18.333333333333332)","(11.0, 29.0, 16.666666666666668)","(21.0, 230.0, 194.16666666666669)","(8.0, 17.5, 11.5)","(20.0, 230.0, 149.1875)","(31.0, 230.0, 178.5)","(26.0, 230.0, 187.7)","(18.0, 150.0, 123.2)","(13.0, 25.0, 15.666666666666668)","(1.45, 1.84, 1.8325)"
08-01-2023 11:46:47.462577,"(10.0, 34.0, 18.333333333333332)","(11.0, 29.0, 16.666666666666668)","(21.0, 230.0, 194.16666666666669)","(8.0, 17.5, 11.5)","(20.0, 230.0, 149.1875)","(31.0, 230.0, 178.5)","(26.0, 230.0, 187.7)","(18.0, 150.0, 123.2)","(13.0, 25.0, 15.666666666666668)","(1.45, 1.84, 1.8325)"
08-01-2023 11:46:48.554749,"(10.0, 34.0, 18.333333333333332)","(11.0, 29.0, 16.666666666666668)","(21.0, 230.0, 194.16666666666669)","(8.0, 17.5, 11.5)","(20.0, 230.0, 149.1875)","(31.0, 230.0, 178.5)","(26.0, 230.0, 187.7)","(18.0, 150.0, 123.2)","(13.0, 25.0, 15.666666666666668)","(1.45, 1.84, 1.8325)"
08-01-2023 11:46:49.629289,"(12.0, 34.0, 18.333333333333332)","(11.0, 29.0, 16.666666666666668)","(21.0, 230.0, 194.16666666666669)","(8.0, 17.5, 11.5)","(21.0, 230.0, 149.1875)","(31.0, 230.0, 178.5)","(26.0, 230.0, 187.7)","(18.0, 150.0, 123.2)","(13.0, 25.0, 15.666666666666668)","(1.35, 1.84, 1.8325)"
08-01-2023 11:46:50.727387,"(12.0, 34.0, 18.333333333333332)","(11.0, 29.0, 16.666666666666668)","(21.0, 230.0, 194.16666666666669)","(8.0, 17.5, 11.375)","(21.0, 230.0, 149.1875)","(31.0, 230.0, 178.5)","(26.0, 230.0, 187.7)","(18.0, 150.0, 123.2)","(13.0, 25.0, 15.666666666666668)","(1.35, 1.84, 1.8325)"
08-01-2023 11:46:51.843904,"(12.0, 34.0, 18.333333333333332)","(11.0, 29.0, 16.666666666666668)","(21.0, 230.0, 194.16666666666669)","(8.0, 17.5, 11.375)","(21.0, 230.0, 149.1875)","(31.0, 230.0, 178.5)","(26.0, 230.0, 187.7)","(18.0, 150.0, 123.2)","(13.0, 25.0, 15.666666666666668)","(1.35, 1.84, 1.8325)"
