,Baozun,Eyes On Red,Helluva Life,Victory Stripe,Fort Knox,Charing Cross,Concrete Finisher,Frosted Prayer,Moro Warrior,Great Faces,Hoodoo Brown
16-12-2022 12:46:38.577205,"(17.0, 30.0, 27.0)","(8.0, 10.0, 9.4)","(2.7, 2.94, 2.86)","(31.0, 600.0, 563.448275862069)","(9.0, 6.4, 6.16)","(10.0, 20.0, 17.57142857142857)","(26.0, 48.0, 32.5)","(21.0, 44.0, 30.0)","(21.0, 130.0, 65.8)","(3.8, 6.8, 6.45)","(7.0, 18.5, 12.033333333333333)"
16-12-2022 12:46:39.858133,"(17.0, 30.0, 27.0)","(8.0, 10.0, 9.4)","(2.7, 2.94, 2.86)","(31.0, 600.0, 563.448275862069)","(9.0, 6.4, 6.6)","(10.0, 20.0, 17.57142857142857)","(26.0, 48.0, 32.5)","(21.0, 44.0, 30.0)","(21.0, 130.0, 65.8)","(3.8, 6.8, 6.45)","(7.0, 18.5, 14.620000000000001)"
16-12-2022 12:46:41.074160,"(17.0, 30.0, 27.0)","(8.0, 10.0, 9.4)","(2.7, 2.94, 2.86)","(31.0, 600.0, 564.6666666666667)","(9.0, 8.2, 6.88)","(10.0, 20.0, 16.0)","(26.0, 48.0, 37.66666666666667)","(21.0, 44.0, 30.0)","(21.0, 130.0, 84.14285714285714)","(3.8, 6.8, 6.644444444444444)","(7.0, 18.5, 14.620000000000001)"
16-12-2022 12:46:42.311371,"(17.0, 30.0, 27.0)","(8.0, 10.0, 9.4)","(2.7, 2.94, 2.86)","(31.0, 600.0, 564.6666666666667)","(9.0, 8.2, 6.228571428571429)","(10.0, 20.0, 16.0)","(26.0, 48.0, 37.66666666666667)","(21.0, 44.0, 25.666666666666664)","(21.0, 130.0, 84.14285714285714)","(3.8, 6.8, 6.644444444444444)","(7.0, 18.5, 14.620000000000001)"
16-12-2022 12:46:43.478436,"(17.0, 30.0, 27.0)","(8.0, 10.0, 9.4)","(2.7, 2.94, 2.882068965517241)","(31.0, 600.0, 564.6666666666667)","(9.0, 8.2, 6.866666666666666)","(10.0, 20.0, 16.0)","(26.0, 48.0, 37.66666666666667)","(21.0, 44.0, 25.666666666666664)","(21.0, 130.0, 51.25)","(3.8, 6.8, 6.67)","(7.0, 18.5, 14.3)"
16-12-2022 12:46:44.714418,"(17.0, 30.0, 27.0)","(8.0, 10.0, 9.4)","(2.7, 2.94, 2.882068965517241)","(31.0, 600.0, 564.6666666666667)","(9.0, 8.2, 6.866666666666666)","(10.0, 20.0, 16.0)","(26.0, 48.0, 37.66666666666667)","(21.0, 44.0, 25.666666666666664)","(21.0, 130.0, 51.25)","(3.8, 6.8, 6.5)","(7.0, 18.5, 14.3)"
16-12-2022 12:46:45.875304,"(17.0, 30.0, 27.0)","(8.0, 10.0, 9.4)","(2.7, 2.94, 2.882068965517241)","(31.0, 600.0, 564.6666666666667)","(9.0, 8.2, 7.0)","(10.0, 20.0, 16.0)","(26.0, 48.0, 37.83333333333333)","(21.0, 44.0, 25.666666666666664)","(21.0, 130.0, 51.25)","(3.8, 6.8, 6.5)","(7.0, 18.5, 16.04)"
16-12-2022 12:46:47.045558,"(17.0, 30.0, 27.0)","(8.0, 11.0, 9.32)","(2.7, 2.94, 2.882068965517241)","(31.0, 600.0, 564.6666666666667)","(9.0, 8.2, 7.0)","(10.0, 20.0, 16.0)","(26.0, 48.0, 37.83333333333333)","(21.0, 44.0, 25.666666666666664)","(21.0, 130.0, 51.25)","(3.8, 6.8, 6.5)","(7.0, 18.0, 15.6)"
16-12-2022 12:46:48.245684,"(17.0, 30.0, 27.0)","(8.0, 11.0, 10.290909090909091)","(2.7, 2.94, 2.882068965517241)","(31.0, 600.0, 564.6666666666667)","(9.0, 8.2, 7.0)","(10.0, 20.0, 16.0)","(26.0, 48.0, 37.83333333333333)","(21.0, 44.0, 25.666666666666664)","(21.0, 130.0, 51.25)","(3.8, 6.8, 6.5)","(7.0, 18.0, 15.6)"
16-12-2022 12:46:49.423208,"(17.0, 30.0, 27.0)","(8.0, 11.0, 9.56)","(2.7, 2.94, 2.882068965517241)","(31.0, 600.0, 564.6666666666667)","(9.0, 8.2, 7.0)","(10.0, 20.0, 16.0)","(26.0, 48.0, 37.83333333333333)","(21.0, 44.0, 25.666666666666664)","(21.0, 130.0, 51.25)","(3.8, 6.8, 6.5)","(7.0, 18.0, 15.6)"
16-12-2022 12:46:50.815746,"(17.0, 30.0, 27.0)","(8.0, 11.0, 9.685714285714285)","(2.7, 2.94, 2.882068965517241)","(31.0, 600.0, 564.6666666666667)","(9.0, 8.2, 7.0)","(10.0, 20.0, 21.6)","(26.0, 48.0, 37.83333333333333)","(21.0, 44.0, 25.666666666666664)","(21.0, 120.0, 56.66666666666667)","(3.8, 6.8, 6.5)","(7.0, 18.0, 15.5)"
16-12-2022 12:46:52.002061,"(17.0, 30.0, 27.0)","(8.0, 10.5, 9.685714285714285)","(2.7, 2.94, 2.882068965517241)","(31.0, 600.0, 564.6666666666667)","(9.0, 8.2, 7.0)","(10.0, 36.0, 21.6)","(26.0, 48.0, 37.83333333333333)","(21.0, 44.0, 25.666666666666664)","(21.0, 120.0, 56.66666666666667)","(3.8, 6.8, 6.5)","(7.0, 18.0, 16.04)"
16-12-2022 12:46:53.304389,"(17.0, 30.0, 27.0)","(8.0, 10.5, 9.685714285714285)","(2.7, 2.94, 2.8741176470588234)","(31.0, 600.0, 564.6666666666667)","(9.0, 8.2, 7.0)","(10.0, 36.0, 21.6)","(26.0, 48.0, 37.83333333333333)","(21.0, 44.0, 25.666666666666664)","(21.0, 120.0, 56.66666666666667)","(3.8, 6.8, 6.5)","(7.0, 18.0, 15.6)"
16-12-2022 12:46:54.538381,"(17.0, 30.0, 27.0)","(8.0, 10.5, 9.685714285714285)","(2.7, 2.94, 2.8741176470588234)","(31.0, 600.0, 564.6666666666667)","(9.0, 8.2, 7.449999999999999)","(10.0, 36.0, 21.6)","(26.0, 48.0, 37.83333333333333)","(21.0, 44.0, 25.666666666666664)","(21.0, 120.0, 56.66666666666667)","(3.8, 6.8, 6.5)","(7.0, 18.0, 15.6)"
16-12-2022 12:46:55.725953,"(17.0, 30.0, 27.0)","(8.0, 10.5, 9.685714285714285)","(2.7, 2.94, 2.8741176470588234)","(31.0, 600.0, 564.6666666666667)","(9.0, 8.2, 7.449999999999999)","(10.0, 36.0, 23.0)","(26.0, 48.0, 37.83333333333333)","(21.0, 44.0, 25.666666666666664)","(21.0, 120.0, 56.66666666666667)","(3.8, 6.8, 6.5)","(7.0, 18.0, 15.5)"
16-12-2022 12:46:57.051288,"(17.0, 30.0, 27.0)","(8.0, 10.5, 9.685714285714285)","(2.7, 2.94, 2.8741176470588234)","(31.0, 600.0, 564.6666666666667)","(9.0, 8.2, 7.449999999999999)","(10.0, 34.0, 23.0)","(26.0, 48.0, 37.83333333333333)","(21.0, 44.0, 32.2)","(21.0, 120.0, 56.66666666666667)","(3.8, 6.8, 6.5)","(7.0, 18.0, 15.5)"
16-12-2022 12:46:58.323943,"(17.0, 30.0, 27.0)","(8.0, 10.5, 9.685714285714285)","(2.7, 2.94, 2.8741176470588234)","(31.0, 600.0, 564.6666666666667)","(9.0, 8.2, 7.449999999999999)","(10.0, 34.0, 23.0)","(26.0, 48.0, 37.83333333333333)","(21.0, 44.0, 32.2)","(21.0, 120.0, 56.66666666666667)","(3.8, 6.8, 6.5)","(7.0, 18.0, 15.6)"
16-12-2022 12:46:59.486353,"(17.0, 30.0, 27.0)","(8.0, 10.5, 9.685714285714285)","(2.7, 2.94, 2.8741176470588234)","(31.0, 600.0, 564.6666666666667)","(9.0, 8.2, 7.449999999999999)","(10.0, 34.0, 23.0)","(26.0, 48.0, 37.83333333333333)","(21.0, 44.0, 32.2)","(21.0, 120.0, 56.66666666666667)","(3.8, 6.8, 6.5)","(7.0, 18.0, 15.6)"
16-12-2022 12:47:00.748406,"(17.0, 30.0, 27.0)","(8.0, 10.5, 9.685714285714285)","(2.7, 2.94, 2.8741176470588234)","(31.0, 600.0, 564.6666666666667)","(9.0, 8.2, 7.449999999999999)","(10.0, 34.0, 23.0)","(26.0, 48.0, 37.83333333333333)","(21.0, 44.0, 32.6)","(21.0, 120.0, 56.66666666666667)","(3.8, 6.8, 6.5)","(7.0, 18.0, 15.5)"
16-12-2022 12:47:01.936474,"(17.0, 30.0, 27.0)","(8.0, 10.5, 9.685714285714285)","(2.7, 2.94, 2.8741176470588234)","(31.0, 600.0, 564.6666666666667)","(9.0, 8.2, 7.449999999999999)","(10.0, 34.0, 23.0)","(26.0, 48.0, 37.83333333333333)","(21.0, 44.0, 32.6)","(21.0, 120.0, 56.66666666666667)","(3.8, 6.8, 6.666666666666666)","(7.0, 18.0, 15.5)"
16-12-2022 12:47:03.099663,"(17.0, 30.0, 27.0)","(8.0, 10.5, 9.685714285714285)","(2.7, 2.94, 2.8741176470588234)","(31.0, 600.0, 564.6666666666667)","(9.0, 8.2, 7.449999999999999)","(10.0, 34.0, 23.0)","(26.0, 48.0, 37.83333333333333)","(21.0, 44.0, 32.6)","(21.0, 120.0, 56.66666666666667)","(3.8, 6.8, 6.666666666666666)","(7.0, 18.0, 16.04)"
16-12-2022 12:47:04.242209,"(17.0, 30.0, 27.0)","(8.0, 10.5, 9.685714285714285)","(2.7, 2.94, 2.8741176470588234)","(31.0, 600.0, 564.6666666666667)","(9.0, 8.2, 7.449999999999999)","(10.0, 34.0, 23.0)","(26.0, 48.0, 37.83333333333333)","(21.0, 44.0, 32.6)","(21.0, 120.0, 56.66666666666667)","(3.8, 6.8, 6.55)","(7.0, 18.0, 12.514285714285714)"
