,Feeling Fancy,Miss June,Homebush Villa,Mitcham Zorro,Homebush Opal,Tammy The Tomboy,Harpoon Bale,Goldstar Smiles
06-01-2023 11:59:23.213378,"(6.5, 20.0, 10.0)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 14.399999999999999)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.3, 1.6272727272727272)","(15.0, 120.0, 35.6)"
06-01-2023 11:59:24.551179,"(6.5, 20.0, 10.0)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 14.399999999999999)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.3, 1.6272727272727272)","(15.0, 120.0, 35.6)"
06-01-2023 11:59:25.932203,"(6.5, 20.0, 10.0)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 14.399999999999999)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.3, 1.6272727272727272)","(15.0, 120.0, 35.6)"
06-01-2023 11:59:27.297177,"(6.5, 20.0, 10.0)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 14.399999999999999)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.3, 1.6272727272727272)","(15.0, 120.0, 35.6)"
06-01-2023 11:59:28.676214,"(6.5, 20.0, 10.0)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 14.399999999999999)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.3, 1.6272727272727272)","(15.0, 120.0, 35.6)"
06-01-2023 11:59:30.074377,"(6.5, 20.0, 10.0)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 14.399999999999999)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.3, 1.6272727272727272)","(15.0, 120.0, 35.6)"
06-01-2023 11:59:31.459259,"(6.5, 20.0, 10.0)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 14.399999999999999)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.3, 1.6272727272727272)","(15.0, 120.0, 35.6)"
06-01-2023 11:59:32.843999,"(6.5, 20.0, 10.0)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 14.399999999999999)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.3, 1.6272727272727272)","(15.0, 120.0, 35.6)"
06-01-2023 11:59:34.263044,"(6.5, 20.0, 10.0)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 14.399999999999999)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.3, 1.6272727272727272)","(15.0, 120.0, 49.666666666666664)"
06-01-2023 11:59:35.675247,"(6.5, 20.0, 10.0)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 14.399999999999999)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.3, 1.6272727272727272)","(15.0, 120.0, 49.666666666666664)"
06-01-2023 11:59:37.095836,"(6.5, 20.0, 10.0)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 14.399999999999999)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.3, 1.6272727272727272)","(15.0, 120.0, 49.666666666666664)"
06-01-2023 11:59:38.462318,"(6.5, 20.0, 10.0)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 14.399999999999999)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.3, 1.6272727272727272)","(15.0, 120.0, 49.666666666666664)"
06-01-2023 11:59:39.834299,"(6.5, 20.0, 10.0)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 14.399999999999999)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.3, 1.6272727272727272)","(15.0, 120.0, 49.666666666666664)"
06-01-2023 11:59:41.229704,"(6.5, 20.0, 10.0)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 14.399999999999999)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.3, 1.6272727272727272)","(15.0, 120.0, 49.666666666666664)"
06-01-2023 11:59:42.573291,"(6.5, 20.0, 10.0)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 14.399999999999999)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.3, 1.6272727272727272)","(15.0, 120.0, 49.666666666666664)"
06-01-2023 11:59:43.915128,"(6.5, 20.0, 10.0)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 14.399999999999999)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.3, 1.6272727272727272)","(15.0, 120.0, 49.666666666666664)"
06-01-2023 11:59:45.237649,"(6.5, 20.0, 10.0)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 14.399999999999999)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.3, 1.6272727272727272)","(15.0, 120.0, 49.666666666666664)"
06-01-2023 11:59:46.562266,"(6.5, 20.0, 10.0)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 14.399999999999999)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.3, 1.6272727272727272)","(15.0, 120.0, 49.666666666666664)"
06-01-2023 11:59:47.826149,"(6.5, 19.5, 9.857142857142858)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.054545454545455)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.3, 1.68)","(15.0, 120.0, 49.666666666666664)"
06-01-2023 11:59:49.097953,"(6.5, 19.5, 9.857142857142858)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 13.333333333333332)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.28, 1.68)","(15.0, 120.0, 49.666666666666664)"
06-01-2023 11:59:50.255655,"(6.5, 19.5, 9.857142857142858)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 13.333333333333332)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.28, 1.68)","(15.0, 120.0, 49.666666666666664)"
06-01-2023 11:59:51.411681,"(6.5, 19.5, 9.857142857142858)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 13.333333333333332)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.28, 1.68)","(15.0, 120.0, 49.666666666666664)"
06-01-2023 11:59:52.671471,"(6.5, 19.5, 9.857142857142858)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 13.333333333333332)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.28, 1.6218181818181818)","(15.0, 120.0, 49.666666666666664)"
06-01-2023 11:59:53.936659,"(6.5, 19.5, 9.857142857142858)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 13.333333333333332)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.24, 1.6218181818181818)","(15.0, 120.0, 49.666666666666664)"
06-01-2023 11:59:55.215190,"(6.5, 19.5, 9.857142857142858)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 13.333333333333332)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.24, 1.6218181818181818)","(15.0, 120.0, 49.666666666666664)"
06-01-2023 11:59:56.580394,"(6.5, 19.5, 9.857142857142858)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 13.333333333333332)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.24, 1.6218181818181818)","(15.0, 120.0, 43.0)"
06-01-2023 11:59:57.842618,"(6.5, 19.5, 9.857142857142858)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 13.333333333333332)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.24, 1.6218181818181818)","(15.0, 100.0, 43.0)"
06-01-2023 11:59:59.069234,"(6.5, 19.5, 9.857142857142858)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 13.333333333333332)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.24, 1.6218181818181818)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:00.278702,"(6.5, 19.5, 9.857142857142858)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 13.333333333333332)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.24, 1.6218181818181818)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:01.500065,"(6.5, 22.0, 8.461538461538462)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 13.333333333333332)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.24, 1.6218181818181818)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:02.790059,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 13.333333333333332)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.24, 1.6218181818181818)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:04.074571,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 13.333333333333332)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.24, 1.6218181818181818)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:05.244196,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 13.333333333333332)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.24, 1.6218181818181818)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:06.300757,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 13.333333333333332)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.24, 1.6218181818181818)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:07.439319,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 13.333333333333332)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.24, 1.6218181818181818)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:08.676674,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 13.333333333333332)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.24, 1.6218181818181818)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:09.908618,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 13.333333333333332)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.24, 1.6218181818181818)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:11.182186,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 13.333333333333332)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.24, 1.6218181818181818)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:12.481857,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 13.333333333333332)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.24, 1.6218181818181818)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:13.809434,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 13.333333333333332)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.24, 1.6218181818181818)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:15.131908,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 13.333333333333332)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.24, 1.6218181818181818)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:16.556617,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 13.333333333333332)","(8.5, 17.5, 10.375)","(14.0, 36.0, 20.666666666666668)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.24, 1.6218181818181818)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:18.065646,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 13.333333333333332)","(8.5, 17.5, 10.375)","(14.0, 36.0, 24.25)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.24, 1.6218181818181818)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:19.443754,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 13.333333333333332)","(8.5, 17.5, 10.375)","(14.0, 36.0, 24.25)","(9.0, 18.0, 13.2)","(1.5, 2.24, 1.6156521739130436)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:20.823987,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.163636363636364)","(8.5, 17.5, 10.375)","(14.0, 36.0, 26.6)","(9.0, 18.0, 13.2)","(1.5, 2.2, 1.6156521739130436)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:22.209253,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.163636363636364)","(8.5, 17.5, 10.375)","(14.0, 36.0, 21.0)","(9.0, 18.0, 13.2)","(1.5, 2.2, 1.6156521739130436)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:23.531251,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.163636363636364)","(8.5, 17.5, 10.375)","(14.0, 36.0, 21.0)","(9.0, 18.0, 13.2)","(1.5, 2.2, 1.6156521739130436)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:24.771085,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.163636363636364)","(8.5, 17.5, 10.375)","(14.0, 36.0, 21.0)","(9.0, 18.0, 13.2)","(1.5, 2.2, 1.6156521739130436)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:26.123839,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.163636363636364)","(8.5, 17.5, 10.375)","(14.0, 36.0, 21.0)","(9.0, 18.0, 11.866666666666667)","(1.5, 2.2, 1.6840000000000002)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:27.432310,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.163636363636364)","(8.5, 17.5, 10.375)","(14.0, 36.0, 21.0)","(9.0, 18.0, 11.866666666666667)","(1.5, 2.18, 1.6840000000000002)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:28.773100,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.163636363636364)","(8.5, 17.5, 10.375)","(14.0, 36.0, 21.0)","(9.0, 18.0, 11.866666666666667)","(1.5, 2.18, 1.6840000000000002)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:30.155754,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.163636363636364)","(8.5, 17.5, 10.375)","(14.0, 36.0, 21.0)","(9.0, 18.0, 11.866666666666667)","(1.5, 2.18, 1.6840000000000002)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:31.467845,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.163636363636364)","(8.5, 17.5, 10.375)","(14.0, 36.0, 21.0)","(9.0, 18.0, 11.866666666666667)","(1.5, 2.18, 1.6840000000000002)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:32.758646,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.163636363636364)","(8.5, 17.5, 10.375)","(14.0, 36.0, 21.0)","(9.0, 18.0, 11.866666666666667)","(1.5, 2.18, 1.6840000000000002)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:33.992433,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.163636363636364)","(8.5, 17.5, 10.375)","(14.0, 36.0, 21.0)","(9.0, 18.0, 11.866666666666667)","(1.5, 2.18, 1.6840000000000002)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:35.186314,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.163636363636364)","(8.5, 17.5, 10.375)","(14.0, 36.0, 21.0)","(9.0, 18.0, 11.866666666666667)","(1.5, 2.18, 1.6840000000000002)","(15.0, 100.0, 43.0)"
06-01-2023 12:00:36.473966,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.163636363636364)","(8.5, 17.5, 10.375)","(14.0, 36.0, 21.0)","(9.0, 18.0, 11.866666666666667)","(1.5, 2.18, 1.6840000000000002)","(15.0, 100.0, 37.5)"
06-01-2023 12:00:37.781636,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.163636363636364)","(8.5, 17.5, 10.375)","(14.0, 36.0, 21.0)","(9.0, 18.0, 11.866666666666667)","(1.5, 2.18, 1.6840000000000002)","(15.0, 95.0, 37.5)"
06-01-2023 12:00:39.041681,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.163636363636364)","(8.5, 17.5, 10.375)","(14.0, 36.0, 21.0)","(9.0, 18.0, 11.866666666666667)","(1.5, 2.18, 1.6840000000000002)","(15.0, 95.0, 37.5)"
06-01-2023 12:00:40.261643,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.163636363636364)","(8.5, 17.5, 10.375)","(14.0, 36.0, 21.0)","(9.0, 18.0, 11.866666666666667)","(1.5, 2.18, 1.6840000000000002)","(15.0, 95.0, 37.5)"
06-01-2023 12:00:41.468961,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.163636363636364)","(8.5, 17.5, 10.375)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.866666666666667)","(1.5, 2.18, 1.6840000000000002)","(15.0, 95.0, 47.5)"
06-01-2023 12:00:42.681691,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.163636363636364)","(8.5, 17.5, 10.375)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.866666666666667)","(1.5, 2.18, 1.6840000000000002)","(15.0, 130.0, 47.5)"
06-01-2023 12:00:44.054519,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.163636363636364)","(8.5, 17.5, 10.375)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.866666666666667)","(1.5, 2.18, 1.6840000000000002)","(15.0, 130.0, 47.5)"
06-01-2023 12:00:45.314164,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.163636363636364)","(8.5, 17.5, 10.375)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.866666666666667)","(1.5, 2.18, 1.6840000000000002)","(15.0, 130.0, 47.5)"
06-01-2023 12:00:46.610315,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.163636363636364)","(8.5, 17.5, 10.375)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.866666666666667)","(1.5, 2.18, 1.6840000000000002)","(15.0, 130.0, 47.5)"
06-01-2023 12:00:47.920409,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.163636363636364)","(8.5, 17.5, 10.375)","(14.0, 36.0, 24.5)","(9.0, 18.0, 11.733333333333333)","(1.5, 2.18, 1.6840000000000002)","(15.0, 130.0, 47.5)"
06-01-2023 12:00:49.289214,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.163636363636364)","(8.5, 17.5, 10.375)","(14.0, 36.0, 24.5)","(9.0, 18.0, 13.2)","(1.5, 2.18, 1.6840000000000002)","(15.0, 130.0, 47.5)"
06-01-2023 12:00:50.730208,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.163636363636364)","(8.5, 17.5, 10.375)","(14.0, 36.0, 24.5)","(9.0, 18.0, 12.0)","(1.5, 2.18, 1.6840000000000002)","(15.0, 130.0, 47.5)"
06-01-2023 12:00:52.029045,"(6.5, 21.0, 10.285714285714285)","(21.0, 240.0, 93.33333333333333)","(11.0, 24.0, 21.163636363636364)","(8.5, 17.5, 10.375)","(14.0, 36.0, 24.5)","(9.0, 18.0, 12.0)","(1.5, 2.18, 1.6840000000000002)","(15.0, 130.0, 47.5)"
