,Mezidon,Barmera,Different Road,Putt For Dough,Mr Showman,Alfano,Gypsy King,Jeune Dreamon,Mad Darcey,Not That Easy
04-01-2023 12:56:49.423945,"(6.0, 7.0, 6.958260869565217)","(9.0, 12.0, 11.827586206896552)","(3.7, 4.7, 4.536190476190476)","(19.0, 44.0, 41.333333333333336)","(14.0, 23.0, 22.38235294117647)","(12.0, 17.5, 17.25)","(20.0, 36.0, 35.368421052631575)","(31.0, 70.0, 62.72727272727273)","(3.3, 3.95, 3.896511627906977)","(9.0, 12.5, 12.18421052631579)"
04-01-2023 12:56:50.883998,"(6.0, 7.0, 7.006086956521739)","(9.0, 12.0, 11.478494623655914)","(3.7, 4.7, 4.491666666666667)","(19.0, 44.0, 37.833333333333336)","(14.0, 23.0, 20.92)","(12.0, 17.5, 16.416666666666668)","(20.0, 36.0, 31.866666666666667)","(31.0, 70.0, 60.588235294117645)","(3.3, 3.95, 3.8841463414634148)","(9.0, 12.5, 11.9)"
04-01-2023 12:56:52.250909,"(6.0, 7.2, 7.006086956521739)","(9.0, 11.5, 11.478494623655914)","(3.7, 4.5, 4.49453125)","(19.0, 38.0, 41.1764705882353)","(14.0, 21.0, 20.958333333333332)","(12.0, 16.5, 16.46875)","(20.0, 32.0, 31.866666666666667)","(31.0, 70.0, 60.588235294117645)","(3.3, 3.9, 3.888888888888889)","(9.0, 12.0, 11.944444444444445)"
04-01-2023 12:56:53.735293,"(6.0, 7.2, 7.003571428571429)","(9.0, 11.5, 11.489010989010989)","(3.7, 4.5, 4.49453125)","(19.0, 44.0, 41.1764705882353)","(14.0, 21.0, 20.958333333333332)","(12.0, 16.5, 16.46875)","(20.0, 32.0, 31.866666666666667)","(31.0, 70.0, 60.588235294117645)","(3.3, 3.9, 3.888888888888889)","(9.0, 12.0, 11.944444444444445)"
04-01-2023 12:56:55.197199,"(6.0, 7.2, 7.003571428571429)","(9.0, 11.5, 11.489010989010989)","(3.7, 4.5, 4.49453125)","(19.0, 44.0, 41.1764705882353)","(14.0, 21.0, 20.958333333333332)","(12.0, 16.5, 16.46875)","(20.0, 32.0, 31.866666666666667)","(31.0, 70.0, 60.588235294117645)","(3.3, 3.9, 3.888888888888889)","(9.0, 12.0, 11.944444444444445)"
04-01-2023 12:56:56.795113,"(6.0, 7.2, 7.003791469194312)","(9.0, 11.5, 11.494444444444444)","(3.7, 4.5, 4.49453125)","(19.0, 44.0, 41.1764705882353)","(14.0, 21.0, 22.464285714285715)","(12.0, 16.5, 17.40625)","(20.0, 32.0, 37.77777777777778)","(31.0, 70.0, 61.25)","(3.3, 3.9, 3.8636363636363638)","(9.0, 12.0, 11.970588235294118)"
04-01-2023 12:56:58.378598,"(6.0, 7.2, 7.003791469194312)","(9.0, 11.5, 11.494444444444444)","(3.7, 4.5, 4.49453125)","(19.0, 44.0, 41.1764705882353)","(14.0, 23.0, 22.464285714285715)","(12.0, 17.5, 17.40625)","(20.0, 40.0, 37.77777777777778)","(31.0, 70.0, 61.25)","(3.3, 3.9, 3.8636363636363638)","(9.0, 12.0, 11.970588235294118)"
04-01-2023 12:57:01.238593,"(6.0, 7.2, 7.003791469194312)","(9.0, 11.5, 11.494444444444444)","(3.7, 4.5, 4.49453125)","(19.0, 44.0, 41.1764705882353)","(14.0, 23.0, 22.464285714285715)","(12.0, 17.5, 17.40625)","(20.0, 40.0, 37.89473684210526)","(31.0, 70.0, 61.25)","(3.3, 3.9, 3.8636363636363638)","(9.0, 12.0, 11.970588235294118)"
04-01-2023 12:57:03.031660,"(6.0, 7.2, 7.0019138755980865)","(9.0, 11.5, 11.492857142857142)","(3.7, 4.5, 4.4968)","(19.0, 44.0, 40.92307692307692)","(14.0, 23.0, 22.464285714285715)","(13.0, 17.5, 17.40625)","(20.0, 40.0, 37.89473684210526)","(31.0, 70.0, 58.333333333333336)","(3.3, 3.9, 3.8714285714285714)","(9.0, 12.0, 11.970588235294118)"
04-01-2023 12:57:04.504413,"(6.0, 7.2, 7.0019138755980865)","(9.0, 11.5, 11.758241758241759)","(3.7, 4.5, 4.49921875)","(19.0, 44.0, 40.92307692307692)","(14.0, 23.0, 22.53846153846154)","(13.0, 17.5, 17.4)","(20.0, 40.0, 38.8)","(31.0, 70.0, 61.42857142857143)","(3.3, 3.9, 3.8993548387096775)","(9.0, 12.0, 12.035714285714286)"
04-01-2023 12:57:05.980759,"(6.0, 7.2, 6.849572649572649)","(9.0, 12.0, 11.8375)","(3.7, 4.5, 4.49921875)","(19.0, 44.0, 40.92307692307692)","(14.0, 23.0, 22.53846153846154)","(13.0, 18.0, 17.4)","(20.0, 40.0, 38.57142857142857)","(31.0, 70.0, 61.42857142857143)","(3.3, 3.9, 3.8993548387096775)","(9.0, 13.0, 12.035714285714286)"
04-01-2023 12:57:07.538977,"(6.0, 7.2, 6.849572649572649)","(9.0, 12.0, 11.848837209302326)","(3.7, 4.5, 4.543502824858757)","(19.0, 44.0, 40.92307692307692)","(14.0, 23.0, 22.53846153846154)","(13.0, 18.0, 17.4)","(20.0, 40.0, 38.57142857142857)","(31.0, 70.0, 60.57142857142857)","(3.3, 3.9, 3.8993548387096775)","(9.0, 13.0, 12.035714285714286)"
04-01-2023 12:57:08.996558,"(6.0, 7.2, 6.849572649572649)","(9.0, 12.0, 11.848837209302326)","(3.7, 4.6, 4.543502824858757)","(19.0, 44.0, 41.5)","(14.0, 23.0, 22.53846153846154)","(13.0, 18.0, 17.4)","(20.0, 40.0, 38.57142857142857)","(31.0, 70.0, 60.57142857142857)","(3.3, 3.9, 3.8993548387096775)","(9.0, 13.0, 12.035714285714286)"
04-01-2023 12:57:10.414725,"(6.0, 7.2, 6.849572649572649)","(9.0, 12.0, 11.848837209302326)","(3.7, 4.6, 4.543502824858757)","(19.0, 44.0, 41.5)","(14.0, 23.0, 22.53846153846154)","(13.0, 18.0, 17.4)","(20.0, 40.0, 38.57142857142857)","(31.0, 70.0, 60.57142857142857)","(3.3, 3.9, 3.8993548387096775)","(9.0, 13.0, 12.035714285714286)"
04-01-2023 12:57:11.869379,"(6.0, 7.2, 6.849572649572649)","(9.0, 12.0, 11.848837209302326)","(3.7, 4.6, 4.543502824858757)","(19.0, 44.0, 41.5)","(14.0, 23.0, 22.53846153846154)","(13.0, 18.0, 17.4)","(20.0, 40.0, 38.57142857142857)","(31.0, 70.0, 60.57142857142857)","(3.3, 3.9, 3.8993548387096775)","(9.0, 13.0, 12.035714285714286)"
04-01-2023 12:57:13.303380,"(6.0, 7.2, 6.849572649572649)","(9.0, 12.0, 11.848837209302326)","(3.7, 4.6, 4.543502824858757)","(19.0, 44.0, 41.5)","(14.0, 23.0, 22.53846153846154)","(13.0, 18.0, 17.4)","(20.0, 40.0, 38.57142857142857)","(31.0, 70.0, 60.57142857142857)","(3.3, 3.9, 3.8993548387096775)","(9.0, 13.0, 12.035714285714286)"
04-01-2023 12:57:14.795061,"(6.0, 7.2, 6.849572649572649)","(9.0, 12.0, 11.64792899408284)","(3.7, 4.6, 4.477300613496933)","(19.0, 44.0, 38.93333333333333)","(14.0, 23.0, 20.733333333333334)","(13.0, 18.0, 16.583333333333332)","(20.0, 40.0, 33.130434782608695)","(31.0, 70.0, 53.09090909090909)","(3.3, 3.9, 3.8388324873096447)","(9.0, 13.0, 11.733333333333333)"
04-01-2023 12:57:16.272563,"(6.0, 7.0, 6.907692307692308)","(9.0, 12.5, 11.68867924528302)","(3.7, 4.5, 4.595652173913043)","(19.0, 40.0, 41.5)","(14.0, 21.0, 22.586206896551722)","(13.0, 17.0, 17.473684210526315)","(20.0, 34.0, 38.8)","(31.0, 55.0, 60.57142857142857)","(3.3, 3.85, 3.9296610169491526)","(9.0, 12.0, 12.666666666666666)"
04-01-2023 12:57:17.910153,"(6.0, 7.2, 6.786754966887417)","(9.0, 12.5, 11.651785714285714)","(3.7, 4.6, 4.595652173913043)","(19.0, 44.0, 41.5)","(14.0, 23.0, 22.586206896551722)","(13.0, 18.0, 17.473684210526315)","(20.0, 40.0, 38.57142857142857)","(31.0, 70.0, 60.57142857142857)","(3.3, 3.95, 3.9296610169491526)","(9.0, 13.0, 12.666666666666666)"
