,Victa Monty,Bag The Cash,Koepka,Bermuda Sky,Stella Star,Club Supreme
16-12-2022 10:16:51.310857,"(1.95, 2.54, 2.2933333333333334)","(51.0, 260.0, 100.0)","(6.0, 10.5, 9.055555555555555)","(4.6, 9.2, 7.817948717948718)","(4.0, 9.6, 5.1454545454545455)","(11.0, 26.0, 21.444444444444443)"
16-12-2022 10:16:52.279021,"(1.95, 2.54, 2.2933333333333334)","(51.0, 260.0, 100.0)","(6.0, 10.5, 9.055555555555555)","(4.6, 9.2, 7.817948717948718)","(4.0, 9.6, 5.1454545454545455)","(11.0, 26.0, 21.444444444444443)"
16-12-2022 10:16:53.137948,"(1.95, 2.54, 2.2933333333333334)","(51.0, 260.0, 100.0)","(6.0, 10.5, 9.055555555555555)","(4.6, 9.2, 7.817948717948718)","(4.0, 9.6, 5.1454545454545455)","(11.0, 26.0, 21.444444444444443)"
16-12-2022 10:16:53.985378,"(1.95, 2.54, 2.2933333333333334)","(51.0, 260.0, 100.0)","(6.0, 10.5, 9.055555555555555)","(4.6, 9.2, 7.817948717948718)","(4.0, 9.6, 5.1454545454545455)","(11.0, 26.0, 21.444444444444443)"
16-12-2022 10:16:54.942616,"(1.95, 2.54, 2.2933333333333334)","(51.0, 260.0, 100.0)","(6.0, 10.5, 9.055555555555555)","(4.6, 9.2, 7.817948717948718)","(4.0, 9.6, 5.1454545454545455)","(11.0, 26.0, 21.444444444444443)"
16-12-2022 10:16:55.947247,"(1.95, 2.54, 2.2933333333333334)","(51.0, 260.0, 100.0)","(6.0, 10.5, 9.055555555555555)","(4.6, 9.2, 7.817948717948718)","(4.0, 9.6, 5.1454545454545455)","(11.0, 26.0, 21.444444444444443)"
16-12-2022 10:16:56.897778,"(1.95, 2.54, 2.2933333333333334)","(51.0, 260.0, 100.0)","(6.0, 10.5, 9.055555555555555)","(4.6, 9.2, 7.817948717948718)","(4.0, 9.6, 5.1454545454545455)","(11.0, 26.0, 21.444444444444443)"
16-12-2022 10:16:57.819786,"(1.95, 2.54, 2.2933333333333334)","(51.0, 260.0, 100.0)","(6.0, 10.5, 9.055555555555555)","(4.6, 9.2, 7.817948717948718)","(4.0, 9.6, 5.1454545454545455)","(11.0, 26.0, 21.444444444444443)"
16-12-2022 10:16:58.697147,"(1.95, 2.54, 2.2933333333333334)","(51.0, 260.0, 100.0)","(6.0, 10.5, 9.055555555555555)","(4.6, 9.2, 7.817948717948718)","(4.0, 9.6, 5.1454545454545455)","(11.0, 26.0, 21.444444444444443)"
16-12-2022 10:16:59.613382,"(1.95, 2.54, 2.2933333333333334)","(51.0, 260.0, 100.0)","(6.0, 10.5, 9.055555555555555)","(4.6, 9.2, 7.817948717948718)","(4.0, 9.6, 5.1454545454545455)","(11.0, 26.0, 21.444444444444443)"
16-12-2022 10:17:00.509045,"(1.95, 2.54, 2.2933333333333334)","(51.0, 260.0, 100.0)","(6.0, 10.5, 9.055555555555555)","(4.6, 9.2, 7.817948717948718)","(4.0, 9.6, 5.1454545454545455)","(11.0, 26.0, 21.444444444444443)"
16-12-2022 10:17:01.398913,"(1.95, 2.54, 2.2933333333333334)","(51.0, 260.0, 100.0)","(6.0, 10.5, 9.055555555555555)","(4.6, 9.2, 7.817948717948718)","(4.0, 9.6, 5.1454545454545455)","(11.0, 26.0, 21.114285714285714)"
16-12-2022 10:17:02.293943,"(1.95, 2.44, 2.067906976744186)","(51.0, 260.0, 100.0)","(6.0, 10.5, 9.344444444444445)","(4.6, 7.8, 7.2696969696969695)","(4.0, 7.0, 5.0285714285714285)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:03.160897,"(1.95, 2.44, 2.0844444444444443)","(51.0, 260.0, 100.0)","(6.0, 10.5, 9.344444444444445)","(4.6, 7.8, 7.2696969696969695)","(4.0, 7.0, 5.0285714285714285)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:04.088935,"(1.95, 2.44, 2.0844444444444443)","(51.0, 260.0, 100.0)","(6.0, 10.5, 9.344444444444445)","(4.6, 7.8, 7.2696969696969695)","(4.0, 7.0, 5.0285714285714285)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:05.004295,"(1.95, 2.44, 1.896896551724138)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 4.942857142857143)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:05.894648,"(1.95, 2.44, 1.896896551724138)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 4.942857142857143)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:06.766849,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 4.942857142857143)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:07.651887,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 4.942857142857143)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:08.638054,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 4.942857142857143)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:09.613364,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 4.942857142857143)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:10.589492,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 4.942857142857143)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:11.452692,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 4.942857142857143)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:12.357711,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 4.942857142857143)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:13.258792,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 4.942857142857143)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:14.185364,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 4.942857142857143)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:15.069703,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 4.942857142857143)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:16.014330,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 4.942857142857143)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:16.928819,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 4.942857142857143)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:17.904951,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 4.942857142857143)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:18.844520,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 4.942857142857143)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:19.804640,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 4.942857142857143)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:20.712266,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 4.942857142857143)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:21.575662,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 4.942857142857143)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:22.473856,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 4.942857142857143)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:23.420492,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 4.942857142857143)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:24.337958,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:25.272603,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:26.137067,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:26.993721,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:27.932792,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:28.880757,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:29.822602,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:30.784354,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:31.730893,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:32.696472,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:33.691125,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:34.648714,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:35.652262,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:36.502826,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:37.453687,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:38.451646,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.533333333333333)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:39.463805,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:40.427131,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:41.340971,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:42.297104,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:43.274109,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:44.266757,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:45.247953,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:46.159674,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:47.074160,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:48.097294,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:49.107530,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:50.167624,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:51.123028,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:52.026864,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:53.013809,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:53.983483,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:55.004546,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:55.998457,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:57.028239,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:58.063128,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:17:59.080964,"(1.95, 2.42, 1.938421052631579)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:18:00.092878,"(1.95, 2.42, 2.159705882352941)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:18:01.073466,"(1.95, 2.42, 2.159705882352941)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:18:02.028823,"(1.95, 2.42, 2.159705882352941)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:18:02.975852,"(1.95, 2.42, 2.159705882352941)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:18:03.885822,"(1.95, 2.42, 2.159705882352941)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:18:04.926747,"(1.95, 2.42, 1.895)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:18:05.983939,"(1.95, 2.42, 1.895)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:18:06.998832,"(1.95, 2.42, 1.895)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:18:08.018119,"(1.95, 2.42, 1.895)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:18:08.988130,"(1.95, 2.42, 1.895)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:18:09.971618,"(1.95, 2.42, 1.895)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:18:10.999050,"(1.95, 2.42, 1.895)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:18:11.981615,"(1.95, 2.42, 1.895)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:18:12.965907,"(1.95, 2.42, 1.895)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:18:13.930387,"(1.95, 2.42, 1.895)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:18:14.906289,"(1.95, 2.42, 1.895)","(51.0, 260.0, 100.0)","(6.0, 10.5, 8.314285714285715)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:18:15.913051,"(1.95, 2.42, 1.895)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.75)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:18:16.865226,"(1.95, 2.42, 1.895)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.75)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:18:17.753922,"(1.95, 2.42, 1.895)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.75)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:18:18.735288,"(1.95, 2.42, 1.895)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.75)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:18:19.747995,"(1.95, 2.42, 1.895)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.75)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
16-12-2022 10:18:20.795224,"(1.95, 2.42, 1.895)","(51.0, 260.0, 100.0)","(6.0, 10.5, 6.75)","(4.6, 7.6, 5.822222222222222)","(4.0, 6.4, 6.025)","(11.0, 22.0, 21.114285714285714)"
