,Tinted,Queen Of Stripes,Dr Dixie,Julipa Bale,Quinnley Bale,Stay At Home,Jay Jay Lopez
12-01-2023 16:10:05.750584,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:06.829493,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:07.926381,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:08.951819,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:10.021539,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:11.053837,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:12.176391,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:13.288054,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:14.279430,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:15.334245,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:16.477798,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:17.510661,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:18.533654,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:19.626887,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:20.633665,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:21.575399,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:22.629168,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:23.719359,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:24.817510,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:25.903300,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:26.955137,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:27.885824,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:28.879339,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:29.999093,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:30.937450,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:31.993466,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:33.143293,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:34.123608,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:35.076115,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:36.175059,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:37.245106,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:38.323469,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:39.507226,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:40.562982,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:41.566821,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:42.690127,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:43.771850,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:44.687790,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:45.675802,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:46.790862,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:47.767604,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:48.850934,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:49.932094,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:50.948499,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:52.072941,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:53.183773,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:54.211250,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:55.302864,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:56.406715,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
12-01-2023 16:10:57.440177,"(5.5, 9.6, 9.0625)","(5.0, 11.5, 5.954545454545455)","(4.4, 8.2, 6.25)","(2.3, 3.55, 2.2899999999999996)","(9.0, 23.0, 19.315789473684212)","(10.0, 21.0, 20.153846153846153)","(12.0, 32.0, 30.18181818181818)"
