,Elettrica,Anagain,Black On Beauty,Miss Lenorr,The Storm In Me,Summerbeel,Sebrings Rose,Spanish Pearl,Arranmore
11-01-2023 15:20:39.081442,"(4.4, 5.1, 5.0249999999999995)","(4.8, 5.7, 5.352777777777778)","(5.5, 7.6, 7.409756097560976)","(4.8, 5.4, 5.319402985074627)","(18.0, 28.0, 24.5)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 29.142857142857142)","(21.0, 110.0, 31.79310344827586)","(8.0, 10.5, 10.204545454545455)"
11-01-2023 15:20:40.618743,"(4.4, 5.1, 5.0249999999999995)","(4.8, 5.7, 5.352777777777778)","(5.5, 7.6, 7.409756097560976)","(4.8, 5.4, 5.319402985074627)","(18.0, 28.0, 24.5)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 29.142857142857142)","(21.0, 110.0, 31.79310344827586)","(8.0, 10.5, 10.157894736842104)"
11-01-2023 15:20:42.144402,"(4.4, 5.1, 5.0249999999999995)","(4.8, 5.7, 5.352777777777778)","(5.5, 7.6, 7.409756097560976)","(4.8, 5.4, 5.319402985074627)","(18.0, 28.0, 24.5)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 29.142857142857142)","(21.0, 110.0, 31.79310344827586)","(8.0, 10.5, 10.157894736842104)"
11-01-2023 15:20:43.670410,"(4.4, 5.1, 5.0249999999999995)","(4.8, 5.7, 5.3375)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.4, 5.1657718120805365)","(18.0, 28.0, 24.5)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 29.142857142857142)","(21.0, 110.0, 31.79310344827586)","(8.0, 10.5, 10.157894736842104)"
11-01-2023 15:20:45.243426,"(4.4, 5.1, 5.0)","(4.8, 5.7, 5.2972222222222225)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.1657718120805365)","(18.0, 28.0, 24.5)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 27.5)","(21.0, 110.0, 31.79310344827586)","(8.0, 10.5, 9.88888888888889)"
11-01-2023 15:20:46.706662,"(4.4, 5.1, 5.0)","(4.8, 5.7, 5.2972222222222225)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.1657718120805365)","(18.0, 28.0, 26.25)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 27.5)","(21.0, 110.0, 31.79310344827586)","(8.0, 10.5, 9.88888888888889)"
11-01-2023 15:20:48.191566,"(4.4, 5.1, 5.0)","(4.8, 5.7, 5.2972222222222225)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.1657718120805365)","(18.0, 28.0, 26.25)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 27.5)","(21.0, 110.0, 31.79310344827586)","(8.0, 10.5, 9.88888888888889)"
11-01-2023 15:20:49.704742,"(4.4, 5.1, 5.0)","(4.8, 5.7, 5.2972222222222225)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.1657718120805365)","(18.0, 28.0, 26.25)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 27.5)","(21.0, 110.0, 31.79310344827586)","(8.0, 10.5, 9.88888888888889)"
11-01-2023 15:20:51.244903,"(4.4, 5.1, 5.0)","(4.8, 5.7, 5.2972222222222225)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.1657718120805365)","(18.0, 28.0, 26.25)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 27.5)","(21.0, 110.0, 31.79310344827586)","(8.0, 10.5, 9.88888888888889)"
11-01-2023 15:20:52.779632,"(4.4, 5.1, 5.0)","(4.8, 5.7, 5.2972222222222225)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.1657718120805365)","(18.0, 28.0, 26.25)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 27.5)","(21.0, 110.0, 31.79310344827586)","(8.0, 10.5, 9.88888888888889)"
11-01-2023 15:20:54.254275,"(4.4, 5.1, 5.0)","(4.8, 5.7, 5.2972222222222225)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.1657718120805365)","(18.0, 28.0, 26.25)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 27.5)","(21.0, 110.0, 31.79310344827586)","(8.0, 10.5, 9.88888888888889)"
11-01-2023 15:20:55.774456,"(4.4, 5.1, 5.0)","(4.8, 5.7, 5.2972222222222225)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.204812834224598)","(18.0, 28.0, 26.25)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 27.5)","(21.0, 110.0, 31.79310344827586)","(8.0, 10.5, 9.88888888888889)"
11-01-2023 15:20:57.288891,"(4.4, 5.1, 5.0)","(4.8, 5.7, 5.2972222222222225)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.20722891566265)","(18.0, 28.0, 26.25)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 27.5)","(21.0, 110.0, 31.79310344827586)","(8.0, 10.5, 9.88888888888889)"
11-01-2023 15:20:58.741559,"(4.4, 5.1, 5.0)","(4.8, 5.7, 5.2972222222222225)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.20722891566265)","(18.0, 28.0, 26.25)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 27.5)","(21.0, 110.0, 31.79310344827586)","(8.0, 10.5, 9.88888888888889)"
11-01-2023 15:21:00.260395,"(4.4, 5.1, 5.047058823529412)","(4.8, 5.7, 5.2972222222222225)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.20722891566265)","(18.0, 28.0, 26.25)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 27.5)","(21.0, 110.0, 31.79310344827586)","(8.0, 10.5, 9.88888888888889)"
11-01-2023 15:21:01.804369,"(4.4, 5.1, 5.047058823529412)","(4.8, 5.7, 5.2972222222222225)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.20722891566265)","(18.0, 28.0, 26.25)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 27.5)","(21.0, 110.0, 31.79310344827586)","(8.0, 10.5, 9.88888888888889)"
11-01-2023 15:21:03.261111,"(4.4, 5.1, 5.047058823529412)","(4.8, 5.7, 5.2972222222222225)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.20722891566265)","(18.0, 28.0, 26.25)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 27.5)","(21.0, 110.0, 31.79310344827586)","(8.0, 10.5, 9.88888888888889)"
11-01-2023 15:21:04.662159,"(4.4, 5.1, 5.047058823529412)","(4.8, 5.7, 5.2972222222222225)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.20722891566265)","(18.0, 28.0, 24.5)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 27.5)","(21.0, 110.0, 31.79310344827586)","(8.0, 10.5, 9.88888888888889)"
11-01-2023 15:21:06.127975,"(4.4, 5.1, 5.047058823529412)","(4.8, 5.7, 5.2972222222222225)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.20722891566265)","(18.0, 28.0, 24.5)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 27.5)","(21.0, 110.0, 31.79310344827586)","(8.0, 10.5, 9.88888888888889)"
11-01-2023 15:21:07.602081,"(4.4, 5.1, 5.047058823529412)","(4.8, 5.7, 5.2972222222222225)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.20722891566265)","(18.0, 28.0, 24.5)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 27.5)","(21.0, 110.0, 31.79310344827586)","(8.0, 10.5, 9.88888888888889)"
11-01-2023 15:21:09.035617,"(4.4, 5.1, 5.047058823529412)","(4.8, 5.7, 5.2972222222222225)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.20722891566265)","(18.0, 28.0, 24.5)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 27.5)","(21.0, 110.0, 31.79310344827586)","(8.0, 10.5, 9.88888888888889)"
11-01-2023 15:21:10.466133,"(4.4, 5.1, 5.047058823529412)","(4.8, 5.7, 5.2972222222222225)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.220689655172414)","(18.0, 28.0, 24.5)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 27.5)","(21.0, 110.0, 31.79310344827586)","(8.0, 10.5, 9.8)"
11-01-2023 15:21:11.937969,"(4.4, 5.1, 5.047058823529412)","(4.8, 5.7, 5.2972222222222225)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.220689655172414)","(18.0, 28.0, 24.5)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 27.5)","(21.0, 110.0, 31.79310344827586)","(8.0, 10.0, 9.8)"
11-01-2023 15:21:13.451126,"(4.4, 5.1, 5.047058823529412)","(4.8, 5.7, 5.2972222222222225)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.220689655172414)","(18.0, 28.0, 23.833333333333332)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 27.5)","(21.0, 110.0, 52.66666666666667)","(8.0, 10.0, 9.8)"
11-01-2023 15:21:14.918960,"(4.4, 5.1, 5.047058823529412)","(4.8, 5.7, 5.2972222222222225)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.220689655172414)","(18.0, 27.0, 23.833333333333332)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 27.5)","(21.0, 100.0, 52.66666666666667)","(8.0, 10.0, 9.8)"
11-01-2023 15:21:16.491771,"(4.4, 5.1, 5.047058823529412)","(4.8, 5.7, 5.2972222222222225)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.220689655172414)","(18.0, 27.0, 23.833333333333332)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 27.5)","(21.0, 100.0, 52.66666666666667)","(8.0, 10.0, 9.8)"
11-01-2023 15:21:18.138096,"(4.4, 5.1, 5.047058823529412)","(4.8, 5.7, 5.2972222222222225)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.220689655172414)","(18.0, 27.0, 23.833333333333332)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 27.5)","(21.0, 100.0, 52.66666666666667)","(8.0, 10.0, 9.8)"
11-01-2023 15:21:19.784998,"(4.4, 5.1, 5.047058823529412)","(4.8, 5.7, 5.2972222222222225)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.220689655172414)","(18.0, 27.0, 24.3)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 27.5)","(21.0, 100.0, 52.66666666666667)","(8.0, 10.0, 9.8)"
11-01-2023 15:21:21.566321,"(4.4, 5.1, 5.047058823529412)","(4.8, 5.7, 5.2972222222222225)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.220689655172414)","(18.0, 26.0, 24.3)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 27.5)","(21.0, 100.0, 52.66666666666667)","(8.0, 10.0, 9.8)"
11-01-2023 15:21:23.142498,"(4.4, 5.1, 5.047058823529412)","(4.8, 5.7, 5.2972222222222225)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.220689655172414)","(18.0, 26.0, 25.227272727272727)","(9.0, 12.0, 11.766666666666666)","(16.0, 30.0, 27.5)","(21.0, 100.0, 52.66666666666667)","(8.0, 10.0, 9.8)"
11-01-2023 15:21:25.189267,"(4.4, 5.1, 5.047058823529412)","(4.8, 5.7, 5.246875)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.220689655172414)","(18.0, 26.0, 25.227272727272727)","(9.0, 12.0, 11.851851851851851)","(16.0, 30.0, 27.5)","(21.0, 100.0, 52.66666666666667)","(8.0, 10.0, 9.8)"
11-01-2023 15:21:27.032784,"(4.4, 5.1, 5.047058823529412)","(4.8, 5.7, 5.3374999999999995)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.220689655172414)","(18.0, 26.0, 25.227272727272727)","(9.0, 12.0, 11.851851851851851)","(16.0, 30.0, 27.5)","(21.0, 100.0, 52.66666666666667)","(8.0, 10.0, 9.8)"
11-01-2023 15:21:28.630881,"(4.4, 5.1, 5.047058823529412)","(4.8, 5.7, 5.3374999999999995)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.220689655172414)","(18.0, 26.0, 25.227272727272727)","(9.0, 12.0, 11.851851851851851)","(16.0, 30.0, 27.5)","(21.0, 100.0, 52.66666666666667)","(8.0, 10.0, 9.8)"
11-01-2023 15:21:30.510509,"(4.4, 5.1, 5.047058823529412)","(4.8, 5.7, 5.3374999999999995)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.220689655172414)","(18.0, 26.0, 25.227272727272727)","(9.0, 12.0, 11.851851851851851)","(16.0, 30.0, 27.5)","(21.0, 100.0, 52.66666666666667)","(8.0, 10.0, 9.8)"
11-01-2023 15:21:32.200629,"(4.4, 5.1, 5.047058823529412)","(4.8, 5.7, 5.17948717948718)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.220689655172414)","(18.0, 26.0, 25.227272727272727)","(9.0, 12.0, 11.851851851851851)","(16.0, 30.0, 27.5)","(21.0, 100.0, 52.66666666666667)","(8.0, 10.0, 9.8)"
11-01-2023 15:21:33.678145,"(4.4, 5.1, 5.047058823529412)","(4.8, 5.7, 5.084848484848485)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.220689655172414)","(18.0, 26.0, 23.75)","(9.0, 12.0, 11.862068965517242)","(16.0, 30.0, 27.5)","(21.0, 100.0, 38.42857142857143)","(8.0, 10.0, 9.8)"
11-01-2023 15:21:35.213044,"(4.4, 5.1, 5.055)","(4.8, 5.7, 5.22972972972973)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.3969696969696965)","(18.0, 25.0, 23.75)","(9.0, 12.0, 11.944444444444445)","(16.0, 30.0, 27.5)","(21.0, 95.0, 38.42857142857143)","(8.0, 10.0, 9.8)"
11-01-2023 15:21:36.694050,"(4.4, 5.1, 5.047058823529412)","(4.8, 5.7, 5.22972972972973)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.3969696969696965)","(18.0, 25.0, 23.75)","(9.0, 12.5, 11.944444444444445)","(16.0, 30.0, 27.5)","(21.0, 95.0, 38.42857142857143)","(8.0, 10.0, 9.8)"
11-01-2023 15:21:38.123630,"(4.4, 5.1, 5.047058823529412)","(4.8, 5.7, 5.22972972972973)","(5.5, 7.6, 7.408888888888889)","(4.8, 5.5, 5.414285714285715)","(18.0, 25.0, 23.75)","(9.0, 12.5, 11.944444444444445)","(16.0, 30.0, 27.5)","(21.0, 95.0, 38.42857142857143)","(8.0, 10.0, 9.8)"
