,Twenty Two Black,Aeroplane Ellie,Determination,Latham Bale,Islas Boy,Conor Pass,Kelseys Girl,Just Shout
09-01-2023 12:13:55.752154,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:13:56.855192,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:13:58.025943,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:13:59.143371,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:00.251828,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:01.415129,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:02.597554,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:03.723998,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:04.834229,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:05.937542,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:07.012940,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:08.269246,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:09.446038,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:10.678810,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:12.036160,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:13.295777,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:14.643388,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:15.845982,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:16.994544,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:18.251588,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:19.449042,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:20.582470,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:21.762723,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:22.902763,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:24.079786,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:25.138756,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:26.265641,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:27.362358,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:28.427132,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:29.510935,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:30.607915,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:31.767218,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:32.910203,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:34.046544,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:35.200370,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:36.342295,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:37.518149,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:38.669707,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:39.907580,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:41.047854,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:42.150840,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:43.245492,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:44.346717,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:45.453536,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:46.549409,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:47.708476,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:48.763080,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:49.818326,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:50.774159,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:51.788438,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:52.796327,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:53.833545,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:54.946820,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:56.049832,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:57.156937,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:58.274648,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:14:59.334156,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:15:00.422090,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:15:01.600237,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:15:02.662944,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:15:03.709155,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:15:04.776107,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:15:05.756394,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:15:06.727291,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:15:07.697746,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:15:08.712891,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:15:09.770876,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:15:10.874953,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:15:11.938980,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:15:13.020939,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:15:14.140407,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:15:15.247389,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:15:16.383117,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:15:17.492142,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:15:18.574283,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:15:19.647942,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
09-01-2023 12:15:20.700024,"(5.5, 11.5, 9.325)","(4.4, 7.0, 6.16)","(4.8, 10.5, 5.2749999999999995)","(19.0, 65.0, 43.40909090909091)","(6.5, 12.0, 9.75)","(6.5, 12.0, 9.75)","(4.6, 9.8, 5.0)","(7.0, 13.5, 7.366666666666666)"
