,Elviare,Enuff For Me,Lenny Rocket,Caddy,Chilena,Flying Carmen,Valentina Express
06-01-2023 12:35:29.124884,"(12.0, 23.0, 20.0)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:30.327742,"(12.0, 23.0, 20.0)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:31.537733,"(12.0, 23.0, 20.0)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:32.703857,"(12.0, 23.0, 20.0)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:33.808693,"(12.0, 23.0, 20.0)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:34.938292,"(12.0, 23.0, 20.0)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:35.961869,"(12.0, 23.0, 20.0)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:37.050220,"(12.0, 23.0, 20.0)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:38.166006,"(12.0, 23.0, 20.0)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:39.167790,"(12.0, 23.0, 20.0)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:40.307203,"(12.0, 23.0, 20.0)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:41.480456,"(12.0, 23.0, 20.0)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:42.717325,"(12.0, 23.0, 20.0)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:43.926856,"(12.0, 23.0, 20.0)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:45.101569,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:46.246242,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:47.477640,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:48.664366,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:49.898006,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:51.147078,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:52.282167,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:53.425786,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:54.692000,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:55.923479,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:57.206576,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:58.485097,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:35:59.686811,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:00.923842,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:02.215904,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:03.545433,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:04.782505,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:05.963836,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:07.234674,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:08.408821,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:09.631091,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:10.814950,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:12.017376,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:13.236808,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:14.381918,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:15.677233,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:16.992372,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:18.189801,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 154.28571428571428)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:19.432388,"(12.0, 23.0, 21.58823529411765)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:20.617370,"(12.0, 23.0, 19.857142857142858)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:21.799804,"(12.0, 23.0, 19.0)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:23.059493,"(12.0, 23.0, 19.0)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:24.242228,"(12.0, 23.0, 19.0)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:25.340318,"(12.0, 23.0, 19.0)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:26.523665,"(12.0, 23.0, 19.0)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:27.755666,"(12.0, 23.0, 19.0)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:28.997527,"(12.0, 23.0, 19.0)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:30.216302,"(12.0, 23.0, 19.0)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:31.431428,"(12.0, 23.0, 19.0)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:32.685337,"(12.0, 23.0, 19.0)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:33.937511,"(12.0, 23.0, 19.0)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:35.157784,"(12.0, 23.0, 19.0)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:36.483933,"(12.0, 23.0, 19.0)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:37.777265,"(12.0, 23.0, 19.0)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:38.988303,"(12.0, 23.0, 19.0)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:40.222644,"(12.0, 23.0, 19.0)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:41.443710,"(12.0, 23.0, 19.0)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:42.647651,"(12.0, 23.0, 19.0)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:43.858495,"(12.0, 23.0, 19.0)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:45.165775,"(12.0, 23.0, 19.0)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:46.340330,"(12.0, 23.0, 19.0)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:47.495671,"(12.0, 23.0, 19.0)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:48.694003,"(12.0, 23.0, 19.0)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:50.027327,"(12.0, 23.0, 20.142857142857142)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:51.484584,"(12.0, 23.0, 20.142857142857142)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:53.219231,"(12.0, 23.0, 20.142857142857142)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:54.792040,"(12.0, 23.0, 20.142857142857142)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:56.348746,"(12.0, 23.0, 20.142857142857142)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:57.794582,"(12.0, 23.0, 20.142857142857142)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:36:59.061776,"(12.0, 23.0, 20.142857142857142)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:37:00.219501,"(12.0, 23.0, 20.142857142857142)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:37:01.457820,"(12.0, 23.0, 20.142857142857142)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 112.5)","(5.0, 8.2, 7.199999999999999)","(1.2, 1.36, 1.283171806167401)"
06-01-2023 12:37:02.720028,"(12.0, 23.0, 20.142857142857142)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 128.33333333333334)","(5.0, 8.2, 7.266666666666667)","(1.2, 1.36, 1.2879338842975208)"
06-01-2023 12:37:04.049671,"(12.0, 23.0, 20.5)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 128.33333333333334)","(5.0, 7.8, 7.266666666666667)","(1.2, 1.36, 1.2879338842975208)"
06-01-2023 12:37:05.211714,"(12.0, 23.0, 20.5)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 128.33333333333334)","(5.0, 7.8, 7.266666666666667)","(1.2, 1.36, 1.2879338842975208)"
06-01-2023 12:37:06.428362,"(12.0, 23.0, 20.5)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 128.33333333333334)","(5.0, 7.8, 7.266666666666667)","(1.2, 1.36, 1.2879338842975208)"
06-01-2023 12:37:07.716335,"(12.0, 23.0, 20.5)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 128.33333333333334)","(5.0, 7.8, 7.266666666666667)","(1.2, 1.36, 1.2879338842975208)"
06-01-2023 12:37:08.964269,"(12.0, 23.0, 20.5)","(41.0, 170.0, 117.5)","(19.0, 50.0, 42.666666666666664)","(26.0, 130.0, 100.66666666666666)","(41.0, 160.0, 128.33333333333334)","(5.0, 7.8, 7.266666666666667)","(1.2, 1.36, 1.2879338842975208)"
