,Goldstar Spencer,Opawa Chrissy,Diamond Alex,Tiggerlong Panda,Iced Mocha,Goldstar Brooks,Ava Effort
05-01-2023 14:20:52.526616,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:53.735102,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:54.916594,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:56.028354,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:57.185006,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:58.440870,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:20:59.727729,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:21:00.875217,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:21:01.878753,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:21:03.206907,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 4.3, 3.7214285714285715)","(12.0, 26.0, 24.2)","(11.0, 26.0, 24.2)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:21:04.719030,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 4.3, 4.493846153846153)","(12.0, 26.0, 24.2)","(11.0, 26.0, 22.30909090909091)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:21:05.871280,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 5.3, 4.493846153846153)","(12.0, 26.0, 24.2)","(11.0, 27.0, 22.30909090909091)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:21:07.018058,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 5.3, 4.493846153846153)","(12.0, 26.0, 24.2)","(11.0, 27.0, 22.30909090909091)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:21:08.161565,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 5.3, 4.493846153846153)","(12.0, 26.0, 24.2)","(11.0, 27.0, 22.30909090909091)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:21:09.322309,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 5.3, 4.493846153846153)","(12.0, 26.0, 24.2)","(11.0, 27.0, 22.30909090909091)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:21:10.442034,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 5.3, 4.493846153846153)","(12.0, 26.0, 24.2)","(11.0, 27.0, 22.30909090909091)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:21:11.433535,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 5.3, 4.493846153846153)","(12.0, 26.0, 24.2)","(11.0, 27.0, 22.30909090909091)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:21:12.486555,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 5.3, 4.493846153846153)","(12.0, 26.0, 24.2)","(11.0, 27.0, 22.30909090909091)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:21:13.554320,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 5.3, 4.493846153846153)","(12.0, 26.0, 24.2)","(11.0, 27.0, 22.30909090909091)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:21:14.600509,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 5.3, 4.493846153846153)","(12.0, 26.0, 24.2)","(11.0, 27.0, 22.30909090909091)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:21:15.678782,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 5.3, 4.493846153846153)","(12.0, 26.0, 24.2)","(11.0, 27.0, 22.30909090909091)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:21:16.783381,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 5.3, 4.493846153846153)","(12.0, 26.0, 24.2)","(11.0, 27.0, 22.30909090909091)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:21:17.885725,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 5.3, 4.493846153846153)","(12.0, 26.0, 24.2)","(11.0, 27.0, 22.30909090909091)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:21:19.038463,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 5.3, 4.493846153846153)","(12.0, 26.0, 24.2)","(11.0, 27.0, 22.30909090909091)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:21:20.184391,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 5.3, 4.493846153846153)","(12.0, 26.0, 24.2)","(11.0, 27.0, 22.30909090909091)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:21:21.226752,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 5.3, 4.493846153846153)","(12.0, 26.0, 24.2)","(11.0, 27.0, 22.30909090909091)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:21:22.308288,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 5.3, 4.493846153846153)","(12.0, 26.0, 24.2)","(11.0, 27.0, 22.30909090909091)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:21:23.409695,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 5.3, 4.493846153846153)","(12.0, 26.0, 24.2)","(11.0, 27.0, 22.30909090909091)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:21:24.514783,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 5.3, 4.493846153846153)","(12.0, 26.0, 24.2)","(11.0, 27.0, 22.30909090909091)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:21:25.492476,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 5.3, 4.493846153846153)","(12.0, 26.0, 24.2)","(11.0, 27.0, 22.30909090909091)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:21:26.561337,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 5.3, 4.493846153846153)","(12.0, 26.0, 24.2)","(11.0, 27.0, 22.30909090909091)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
05-01-2023 14:21:27.681973,"(7.0, 13.5, 12.617647058823529)","(2.0, 3.4, 2.7984615384615386)","(2.8, 5.3, 4.493846153846153)","(12.0, 26.0, 24.2)","(11.0, 27.0, 22.30909090909091)","(18.0, 95.0, 88.41666666666666)","(15.0, 34.0, 31.07142857142857)"
