,Flop Wedge,Arthur Chance,Canya Side Kick,Cyberpunk Wave,Foxy Foliaki,Jai Cool Guy,Always Dream,Bears Best
09-01-2023 15:49:30.772818,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 16.714285714285715)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.7, 5.166666666666667)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:31.979282,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 16.714285714285715)","(2.9, 4.2, 3.2)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.7, 4.966666666666667)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:33.194669,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 16.714285714285715)","(2.9, 4.2, 3.4823529411764707)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.4, 4.927272727272728)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:34.374328,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 16.714285714285715)","(2.9, 4.2, 3.4823529411764707)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 5.4, 6.367272727272727)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:35.619851,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 16.714285714285715)","(2.9, 4.2, 3.4823529411764707)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 7.4, 6.367272727272727)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:36.715425,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 16.714285714285715)","(2.9, 4.2, 3.4823529411764707)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 7.4, 6.367272727272727)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:37.851500,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 16.714285714285715)","(2.9, 4.2, 3.4823529411764707)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 7.4, 6.367272727272727)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:39.140304,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 16.714285714285715)","(2.9, 4.2, 3.4823529411764707)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 7.4, 6.367272727272727)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:40.510951,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 16.714285714285715)","(2.9, 4.2, 3.4823529411764707)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 7.4, 6.367272727272727)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:41.818417,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 16.714285714285715)","(2.9, 4.2, 3.4823529411764707)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 7.4, 6.367272727272727)","(8.5, 21.0, 14.0)"
09-01-2023 15:49:43.102796,"(31.0, 300.0, 167.0)","(3.8, 6.0, 4.663636363636364)","(9.0, 18.0, 16.714285714285715)","(2.9, 4.2, 3.4823529411764707)","(14.0, 32.0, 28.6)","(9.0, 16.0, 14.0)","(3.8, 7.4, 6.367272727272727)","(8.5, 21.0, 14.0)"
