,Emmas Portrait,Pyrenees Blazer,Cruising Loren,Philip Marlowe,Another Six,Ranger Ricksen,Jellybean Jam,Aston Zabbar
16-12-2022 13:15:21.205420,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 14.25)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:22.202134,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.833333333333334)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:23.255892,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.833333333333334)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:24.297966,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.833333333333334)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:25.354272,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.833333333333334)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:26.419194,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.833333333333334)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:27.477684,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.833333333333334)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:28.535556,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.833333333333334)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:29.591754,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.833333333333334)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:30.655502,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.833333333333334)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:31.770003,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.833333333333334)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:32.883130,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.833333333333334)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:34.058512,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.833333333333334)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:35.152758,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.833333333333334)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:36.251331,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.833333333333334)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:37.366254,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.833333333333334)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
16-12-2022 13:15:38.462527,"(3.4, 5.6, 3.4956521739130433)","(5.0, 8.6, 5.88)","(51.0, 280.0, 64.0)","(10.0, 22.0, 12.833333333333334)","(10.0, 28.0, 15.5)","(6.0, 11.5, 9.6625)","(3.1, 5.1, 4.252173913043478)","(7.0, 12.5, 10.6)"
