,Money Run,Mean Blake,Sly Dunbar,Pattaya Pete,Club Model,Royal Emgrand,Acting Foolish,Trip Hazard
11-01-2023 15:16:50.531221,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5609756097561)","(19.0, 55.0, 49.193548387096776)","(4.2, 7.8, 7.444444444444445)","(4.6, 9.6, 8.01081081081081)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:16:51.751612,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5609756097561)","(19.0, 55.0, 49.193548387096776)","(4.2, 7.8, 7.08187134502924)","(4.6, 9.6, 8.01081081081081)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:16:53.044916,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5609756097561)","(19.0, 55.0, 49.193548387096776)","(4.2, 7.4, 7.08187134502924)","(4.6, 9.6, 8.01081081081081)","(5.0, 7.8, 7.364516129032258)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:16:54.315895,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5609756097561)","(19.0, 55.0, 49.193548387096776)","(4.2, 7.4, 7.08187134502924)","(4.6, 9.6, 8.01081081081081)","(5.0, 7.8, 7.364516129032258)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:16:55.889179,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5609756097561)","(19.0, 55.0, 49.193548387096776)","(4.2, 7.4, 7.08187134502924)","(4.6, 9.6, 8.01081081081081)","(5.0, 7.8, 7.364516129032258)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:16:57.356108,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5609756097561)","(19.0, 55.0, 49.193548387096776)","(4.2, 7.4, 7.08187134502924)","(4.6, 9.6, 8.01081081081081)","(5.0, 7.8, 7.364516129032258)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:16:58.791007,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5609756097561)","(19.0, 55.0, 49.193548387096776)","(4.2, 7.4, 7.08187134502924)","(4.6, 9.6, 8.01081081081081)","(5.0, 7.8, 7.364516129032258)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:17:00.204596,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5609756097561)","(19.0, 55.0, 49.193548387096776)","(4.2, 7.4, 7.08187134502924)","(4.6, 9.6, 8.01081081081081)","(5.0, 7.8, 7.364516129032258)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:17:01.701006,"(31.0, 320.0, 359.2)","(2.6, 4.0, 2.7510526315789474)","(14.0, 34.0, 37.351351351351354)","(19.0, 55.0, 127.48275862068965)","(4.2, 7.4, 15.397058823529413)","(4.6, 9.6, 9.878571428571428)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:03.230111,"(31.0, 440.0, 359.2)","(2.6, 7.6, 2.7510526315789474)","(14.0, 38.0, 37.33333333333333)","(19.0, 140.0, 183.4230769230769)","(4.2, 16.5, 15.397058823529413)","(4.6, 10.5, 9.878571428571428)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:04.629576,"(31.0, 440.0, 359.2)","(2.6, 7.6, 2.7510526315789474)","(14.0, 38.0, 37.33333333333333)","(19.0, 190.0, 183.4230769230769)","(4.2, 16.5, 15.397058823529413)","(4.6, 10.5, 9.878571428571428)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:06.221148,"(31.0, 440.0, 414.5)","(2.6, 7.6, 2.7510526315789474)","(14.0, 38.0, 37.33333333333333)","(19.0, 190.0, 183.4230769230769)","(4.2, 16.5, 15.397058823529413)","(4.6, 10.5, 10.367647058823529)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:07.697448,"(31.0, 440.0, 414.5)","(2.6, 7.6, 2.7510526315789474)","(14.0, 38.0, 37.33333333333333)","(19.0, 190.0, 183.4230769230769)","(4.2, 16.5, 7.199999999999999)","(4.6, 10.5, 10.367647058823529)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:09.227277,"(31.0, 440.0, 414.5)","(2.6, 7.6, 2.7510526315789474)","(14.0, 38.0, 37.33333333333333)","(19.0, 190.0, 183.4230769230769)","(4.2, 16.5, 7.199999999999999)","(4.6, 10.5, 10.367647058823529)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:10.598904,"(31.0, 440.0, 414.5)","(2.6, 7.6, 2.7510526315789474)","(14.0, 38.0, 37.33333333333333)","(19.0, 190.0, 183.4230769230769)","(4.2, 16.5, 7.199999999999999)","(4.6, 10.5, 10.367647058823529)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:11.972811,"(31.0, 440.0, 414.5)","(2.6, 7.6, 2.7510526315789474)","(14.0, 38.0, 37.33333333333333)","(19.0, 190.0, 183.4230769230769)","(4.2, 16.5, 9.403846153846153)","(4.6, 10.5, 10.367647058823529)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:13.341858,"(31.0, 440.0, 414.5)","(2.6, 7.6, 2.7510526315789474)","(14.0, 38.0, 37.33333333333333)","(19.0, 190.0, 183.4230769230769)","(4.2, 16.5, 9.403846153846153)","(4.6, 10.5, 10.367647058823529)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:14.716297,"(31.0, 440.0, 414.5)","(2.6, 7.6, 2.7510526315789474)","(14.0, 38.0, 37.33333333333333)","(19.0, 190.0, 183.4230769230769)","(4.2, 16.5, 9.403846153846153)","(4.6, 10.5, 10.367647058823529)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:16.049754,"(31.0, 440.0, 414.5)","(2.6, 7.6, 2.7510526315789474)","(14.0, 38.0, 37.33333333333333)","(19.0, 190.0, 183.4230769230769)","(4.2, 16.5, 9.403846153846153)","(4.6, 10.5, 10.367647058823529)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:17.312870,"(31.0, 440.0, 414.5)","(2.6, 7.6, 2.7510526315789474)","(14.0, 38.0, 37.33333333333333)","(19.0, 190.0, 183.4230769230769)","(4.2, 16.5, 9.403846153846153)","(4.6, 10.5, 10.367647058823529)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:18.675624,"(31.0, 440.0, 414.5)","(2.6, 7.6, 2.7510526315789474)","(14.0, 38.0, 37.33333333333333)","(19.0, 190.0, 183.4230769230769)","(4.2, 16.5, 9.403846153846153)","(4.6, 10.5, 10.367647058823529)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:20.037895,"(31.0, 440.0, 414.5)","(2.6, 7.6, 2.7510526315789474)","(14.0, 38.0, 37.33333333333333)","(19.0, 190.0, 183.4230769230769)","(4.2, 16.5, 9.403846153846153)","(4.6, 10.5, 10.367647058823529)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:21.344975,"(31.0, 440.0, 414.5)","(2.6, 7.6, 2.7510526315789474)","(14.0, 38.0, 37.33333333333333)","(19.0, 190.0, 183.4230769230769)","(4.2, 16.5, 9.403846153846153)","(4.6, 10.5, 10.367647058823529)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:22.672285,"(31.0, 440.0, 414.5)","(2.6, 7.6, 2.7510526315789474)","(14.0, 38.0, 37.33333333333333)","(19.0, 190.0, 183.4230769230769)","(4.2, 16.5, 9.403846153846153)","(4.6, 10.5, 10.367647058823529)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:24.055630,"(31.0, 440.0, 414.5)","(2.6, 7.6, 2.7510526315789474)","(14.0, 38.0, 37.33333333333333)","(19.0, 190.0, 183.4230769230769)","(4.2, 16.5, 9.403846153846153)","(4.6, 10.5, 10.367647058823529)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:25.552303,"(31.0, 440.0, 414.5)","(2.6, 7.6, 2.7510526315789474)","(14.0, 38.0, 37.33333333333333)","(19.0, 190.0, 183.4230769230769)","(4.2, 16.5, 9.403846153846153)","(4.6, 10.5, 10.367647058823529)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:26.987996,"(31.0, 440.0, 414.5)","(2.6, 7.6, 2.7510526315789474)","(14.0, 38.0, 37.33333333333333)","(19.0, 190.0, 183.4230769230769)","(4.2, 16.5, 9.403846153846153)","(4.6, 10.5, 10.367647058823529)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:28.397062,"(31.0, 440.0, 414.5)","(2.6, 7.6, 2.7510526315789474)","(14.0, 38.0, 37.33333333333333)","(19.0, 190.0, 183.4230769230769)","(4.2, 16.5, 9.403846153846153)","(4.6, 10.5, 10.367647058823529)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:29.817998,"(31.0, 440.0, 414.5)","(2.6, 7.6, 2.7510526315789474)","(14.0, 38.0, 37.33333333333333)","(19.0, 190.0, 183.4230769230769)","(4.2, 16.5, 9.403846153846153)","(4.6, 10.5, 10.367647058823529)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:31.255967,"(31.0, 440.0, 414.5)","(2.6, 7.6, 2.7510526315789474)","(14.0, 38.0, 37.33333333333333)","(19.0, 190.0, 183.4230769230769)","(4.2, 16.5, 9.403846153846153)","(4.6, 10.5, 10.367647058823529)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:32.704398,"(31.0, 440.0, 414.5)","(2.6, 7.6, 2.7510526315789474)","(14.0, 38.0, 37.33333333333333)","(19.0, 190.0, 183.4230769230769)","(4.2, 16.5, 9.403846153846153)","(4.6, 10.5, 10.367647058823529)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:34.003362,"(31.0, 440.0, 414.5)","(2.6, 7.6, 2.7510526315789474)","(14.0, 38.0, 37.33333333333333)","(19.0, 190.0, 183.4230769230769)","(4.2, 16.5, 9.403846153846153)","(4.6, 10.5, 10.367647058823529)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:35.404093,"(31.0, 440.0, 414.5)","(2.6, 7.6, 2.7510526315789474)","(14.0, 38.0, 37.33333333333333)","(19.0, 190.0, 183.4230769230769)","(4.2, 16.5, 9.403846153846153)","(4.6, 10.5, 10.367647058823529)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:36.825303,"(31.0, 440.0, 414.5)","(2.6, 7.6, 2.7510526315789474)","(14.0, 38.0, 37.33333333333333)","(19.0, 190.0, 183.4230769230769)","(4.2, 16.5, 9.403846153846153)","(4.6, 10.5, 10.367647058823529)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:38.174854,"(31.0, 440.0, 414.5)","(2.6, 7.6, 2.7510526315789474)","(14.0, 38.0, 37.33333333333333)","(19.0, 190.0, 183.4230769230769)","(4.2, 16.5, 9.403846153846153)","(4.6, 10.5, 7.9714285714285715)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:39.778775,"(31.0, 440.0, 414.5)","(2.6, 7.6, 2.7510526315789474)","(14.0, 38.0, 37.33333333333333)","(19.0, 190.0, 183.4230769230769)","(4.2, 16.5, 9.403846153846153)","(4.6, 10.5, 7.9714285714285715)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:41.279229,"(31.0, 440.0, 414.5)","(2.6, 7.6, 2.7510526315789474)","(14.0, 38.0, 37.33333333333333)","(19.0, 190.0, 183.4230769230769)","(4.2, 16.5, 9.403846153846153)","(4.6, 10.5, 7.9714285714285715)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 18.188524590163937)"
11-01-2023 15:17:42.706952,"(31.0, 440.0, 414.5)","(2.6, 7.6, 2.658333333333333)","(14.0, 38.0, 31.5)","(19.0, 190.0, 49.0)","(4.2, 16.5, 5.503703703703704)","(4.6, 10.5, 8.295652173913043)","(5.0, 7.8, 7.364516129032258)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:17:44.126707,"(31.0, 320.0, 177.0)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5)","(19.0, 55.0, 49.0)","(4.2, 7.4, 5.503703703703704)","(4.6, 9.6, 8.295652173913043)","(5.0, 7.8, 7.364516129032258)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:17:45.574916,"(31.0, 320.0, 177.0)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5)","(19.0, 55.0, 49.0)","(4.2, 7.4, 5.503703703703704)","(4.6, 9.6, 6.505263157894737)","(5.0, 7.8, 7.364516129032258)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:17:47.001295,"(31.0, 320.0, 177.0)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5)","(19.0, 55.0, 49.0)","(4.2, 7.4, 5.503703703703704)","(4.6, 9.6, 8.293333333333333)","(5.0, 7.8, 7.364516129032258)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:17:48.386846,"(31.0, 320.0, 177.0)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5)","(19.0, 55.0, 49.0)","(4.2, 7.4, 5.503703703703704)","(4.6, 9.6, 8.293333333333333)","(5.0, 7.8, 7.364516129032258)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:17:49.767381,"(31.0, 320.0, 177.0)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5)","(19.0, 55.0, 49.0)","(4.2, 7.4, 5.503703703703704)","(4.6, 9.6, 8.293333333333333)","(5.0, 7.8, 7.364516129032258)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:17:51.096864,"(31.0, 320.0, 177.0)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5)","(19.0, 55.0, 49.0)","(4.2, 7.4, 5.503703703703704)","(4.6, 9.6, 8.293333333333333)","(5.0, 7.8, 7.364516129032258)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:17:52.431762,"(31.0, 320.0, 177.0)","(2.6, 4.0, 2.658333333333333)","(14.0, 34.0, 31.5)","(19.0, 55.0, 49.0)","(4.2, 7.4, 5.503703703703704)","(4.6, 9.6, 8.293333333333333)","(5.0, 7.8, 7.364516129032258)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:17:53.784934,"(31.0, 320.0, 177.0)","(2.6, 4.0, 2.7794871794871794)","(14.0, 34.0, 31.5)","(19.0, 55.0, 49.0)","(4.2, 7.4, 5.503703703703704)","(4.6, 9.6, 8.293333333333333)","(5.0, 7.8, 7.364516129032258)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:17:55.057291,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 2.7794871794871794)","(14.0, 34.0, 31.5)","(19.0, 55.0, 49.0)","(4.2, 7.4, 5.503703703703704)","(4.6, 9.6, 8.293333333333333)","(5.0, 7.8, 7.364516129032258)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:17:56.421022,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 2.7794871794871794)","(14.0, 34.0, 31.5)","(19.0, 55.0, 49.0)","(4.2, 7.4, 5.666666666666667)","(4.6, 9.6, 8.293333333333333)","(5.0, 7.8, 7.364516129032258)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:17:57.776310,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 2.7794871794871794)","(14.0, 34.0, 31.5)","(19.0, 55.0, 49.0)","(4.2, 7.8, 5.666666666666667)","(4.6, 9.6, 8.293333333333333)","(5.0, 7.8, 7.364516129032258)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:17:59.170264,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 2.7794871794871794)","(14.0, 34.0, 31.5)","(19.0, 55.0, 49.0)","(4.2, 7.8, 5.666666666666667)","(4.6, 9.6, 8.293333333333333)","(5.0, 7.8, 7.364516129032258)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:18:00.622951,"(31.0, 320.0, 162.22222222222223)","(2.6, 4.0, 3.0766666666666667)","(14.0, 34.0, 31.5)","(19.0, 55.0, 49.0)","(4.2, 7.8, 5.666666666666667)","(4.6, 9.6, 8.293333333333333)","(5.0, 7.8, 7.364516129032258)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:18:01.976296,"(31.0, 320.0, 162.22222222222223)","(2.6, 3.95, 3.0766666666666667)","(14.0, 34.0, 31.5)","(19.0, 55.0, 49.0)","(4.2, 7.8, 5.666666666666667)","(4.6, 9.6, 8.293333333333333)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:18:03.376392,"(31.0, 320.0, 162.22222222222223)","(2.6, 3.95, 2.767777777777778)","(14.0, 34.0, 31.5)","(19.0, 55.0, 49.0)","(4.2, 7.8, 5.666666666666667)","(4.6, 9.6, 8.293333333333333)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:18:04.828799,"(31.0, 320.0, 162.22222222222223)","(2.6, 3.95, 2.767777777777778)","(14.0, 34.0, 31.5)","(19.0, 55.0, 49.0)","(4.2, 7.8, 5.666666666666667)","(4.6, 9.6, 8.293333333333333)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:18:06.327605,"(31.0, 320.0, 162.22222222222223)","(2.6, 3.95, 2.767777777777778)","(14.0, 34.0, 31.5)","(19.0, 55.0, 49.0)","(4.2, 7.8, 5.666666666666667)","(4.6, 9.6, 8.293333333333333)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:18:07.735985,"(31.0, 320.0, 162.22222222222223)","(2.6, 3.95, 2.767777777777778)","(14.0, 34.0, 31.5)","(19.0, 55.0, 49.0)","(4.2, 7.8, 5.666666666666667)","(4.6, 9.6, 8.293333333333333)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:18:09.188169,"(31.0, 320.0, 162.22222222222223)","(2.6, 3.95, 2.767777777777778)","(14.0, 34.0, 31.5)","(19.0, 55.0, 49.0)","(4.2, 7.8, 5.666666666666667)","(4.6, 9.6, 8.293333333333333)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:18:10.577497,"(31.0, 320.0, 162.22222222222223)","(2.6, 3.95, 2.767777777777778)","(14.0, 34.0, 31.5)","(19.0, 55.0, 49.0)","(4.2, 7.8, 5.666666666666667)","(4.6, 9.6, 8.293333333333333)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:18:11.941898,"(31.0, 320.0, 162.22222222222223)","(2.6, 3.95, 2.767777777777778)","(14.0, 34.0, 31.5)","(19.0, 55.0, 49.0)","(4.2, 7.8, 5.666666666666667)","(4.6, 9.6, 8.293333333333333)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:18:13.269826,"(31.0, 320.0, 162.22222222222223)","(2.6, 3.95, 2.767777777777778)","(14.0, 34.0, 31.5)","(19.0, 55.0, 49.0)","(4.2, 7.8, 5.666666666666667)","(4.6, 9.6, 8.293333333333333)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:18:14.620330,"(31.0, 320.0, 162.22222222222223)","(2.6, 3.95, 2.767777777777778)","(14.0, 34.0, 31.5)","(19.0, 55.0, 49.0)","(4.2, 7.8, 5.666666666666667)","(4.6, 9.6, 8.293333333333333)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:18:15.977132,"(31.0, 320.0, 162.22222222222223)","(2.6, 3.95, 2.767777777777778)","(14.0, 34.0, 31.5)","(19.0, 55.0, 49.0)","(4.2, 7.8, 5.666666666666667)","(4.6, 9.6, 8.293333333333333)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:18:17.362112,"(31.0, 320.0, 162.22222222222223)","(2.6, 3.95, 2.767777777777778)","(14.0, 34.0, 31.5)","(19.0, 55.0, 49.0)","(4.2, 7.8, 5.666666666666667)","(4.6, 9.6, 8.293333333333333)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 17.192307692307693)"
11-01-2023 15:18:18.717148,"(31.0, 320.0, 162.22222222222223)","(2.6, 3.95, 2.767777777777778)","(14.0, 34.0, 31.5)","(19.0, 55.0, 49.0)","(4.2, 7.8, 5.666666666666667)","(4.6, 9.6, 8.293333333333333)","(5.0, 7.8, 7.684297520661157)","(9.0, 18.5, 17.192307692307693)"
